ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.539923045670721	0.358123665189423	0.379222314607909	0.503912795185411	0.584256151386209	0.394711695474943	0.346823845781023	0.414112744629057	0.390670947203712	0.492601675701273	0.445123947104264	0.62091852402371	0.359244830686245	0.432478305114023	0.401663162541932	0.558718054859583	0.345946792474992	0.578777402555216	0.447082753958202	0.405633519642929	0.202216117758559	0.39187027154264	0.370411340956097	0.460298883687432	0.569896442120373	0.582534124243638	0.297651883719995	0.273404002362452	0.53324473607708	0.370823756830393	0.560029979540989	0.477081905852756	0.52279023027135	0.50867659847783	0.352291333639664	0.144047043348744	0.55661906411247	0.448087997514915	0.36370773156005	0.456872908978648	0.418748945385005	0.37784712552218	0.356481310652743	0.363757443314433	0.388884156469994	0.362416707297253	0.493547130683762	0.39785812113219	0.511452107442104	0.38258023628676	0.395982956534334	0.366947057968305	0.514483826770715	0.507695716262287	0.451609986643378	0.573963373526877	0.428484799637694	0.562186662099043	0.315414568177579	0.509010673681007	0.208299707884836	0.449693349762268	0.532801030720677
ZB_2	0.539923045670721	0	0.499423760811345	0.56904306245745	0.131552231611391	0.627433823693234	0.554810163446947	0.365903377243981	0.333799611089812	0.31470313239189	0.260493685088754	0.553197698059232	0.620036313302838	0.351684709166778	0.332747225201912	0.304623934026135	0.429373383162562	0.593814315263853	0.573933727496287	0.304190338546942	0.352361708466704	0.519558872890082	0.309491581261772	0.570416428853668	0.61694839022388	0.64825375579718	0.506799775479112	0.416258268761535	0.548191581064579	0.595786328543835	0.320639399918751	0.543857907244287	0.543935006212098	0.610070603818362	0.245499294560276	0.517530498189319	0.511404825752776	0.553787586067105	0.449853395991485	0.331299692414834	0.549798790609944	0.275724791074459	0.56451192879593	0.48618610383511	0.346347472314516	0.529619711045	0.486586807307615	0.528929283435517	0.5642861509104	0.21948118651161	0.507235911703076	0.554785834755828	0.558380883730017	0.565162994672921	0.595173406431684	0.451973704004573	0.569290484802497	0.373836598604101	0.551274563766003	0.398137317271714	0.122724770608757	0.473782929145976	0.26262553179174	0.0629499877876732
ZB_3	0.358123665189423	0.499423760811345	0	0.318608588579344	0.464616833052993	0.554332469128927	0.112700518480065	0.297422922699287	0.455063182851416	0.415761883193009	0.43716180226104	0.511787032605657	0.654264319441826	0.320339504917709	0.529104096750746	0.404606859214995	0.438874125494875	0.341361324163519	0.432034071871425	0.373411341434889	0.413442545142355	0.297221795951858	0.449983102399459	0.0907611136057476	0.382373661237721	0.539948475557827	0.613594236184903	0.439241884979676	0.326846673666817	0.469192720798797	0.420696554255295	0.440328611112973	0.331390184888363	0.444252698035715	0.472425921363686	0.0275439566361743	0.296593770289316	0.401663337734295	0.535060686361108	0.430242264207323	0.378918285640486	0.419654941738359	0.181448199313965	0.292870970913616	0.327683448376016	0.113728422958165	0.505202559464768	0.571406238317598	0.102106188549852	0.475175529848548	0.0689466280736873	0.146469806083734	0.417016305568029	0.360086141556082	0.509058523856085	0.474447126178716	0.425440107840779	0.446568169812386	0.399795276085463	0.457018474460298	0.469654103697806	0.303562186511613	0.411582845930104	0.493278854199494
ZB_4	0.379222314607909	0.56904306245745	0.318608588579344	0	0.51582374770727	0.559656961479354	0.297335327748183	0.365892347079713	0.501206212068205	0.487801131479781	0.383872392096258	0.461449191267136	0.597156696384265	0.377348524645694	0.528013441869642	0.426100395088232	0.4080864877529	0.195580482479793	0.477424109894253	0.420023680293901	0.500035663216958	0.338979390638937	0.497259979500472	0.370302654747808	0.440468835929229	0.545222778432496	0.517062782489926	0.478313542586915	0.294014320992757	0.487952773860095	0.469893112790901	0.451770774701216	0.390477195203432	0.489366464243786	0.462930246232606	0.31278478354168	0.295308683677181	0.44981604120677	0.519204702580834	0.464807627652525	0.435357457115125	0.440786841450314	0.264734955945856	0.410910799034615	0.358572925847407	0.383854149090541	0.455307811352881	0.496254937005995	0.325677595179653	0.411606383983379	0.338466943145247	0.325381360731097	0.389185791787347	0.432553461360818	0.443521367370452	0.449358248673126	0.471427102479403	0.505945572865312	0.428950475668832	0.513133327741378	0.542449125708688	0.34272112717512	0.493680137575236	0.56236297133878
ZB_5	0.503912795185411	0.131552231611391	0.464616833052993	0.51582374770727	0	0.677041641659943	0.492992320127145	0.280990653797849	0.281482184995507	0.237058234940965	0.291620427352152	0.538785890842059	0.653751201766295	0.263465049869371	0.237574544726836	0.192926295153894	0.427871507160823	0.54384161724534	0.62422960641552	0.234108537107157	0.321380828497098	0.459655946419971	0.234693368629031	0.538879289064429	0.598670607944335	0.697825007806433	0.533355689393838	0.334181873831235	0.474432147970437	0.645110274593109	0.245611510231706	0.598332846851191	0.54456	0.658689632887463	0.208773525044319	0.472676858427147	0.44987910786539	0.606905102961755	0.399734699655963	0.257043171148184	0.56722708009227	0.161330724679396	0.524558552702849	0.438529454914043	0.254927119857241	0.509453560463397	0.410136201947662	0.585102160619262	0.511256031023132	0.198948161740612	0.461832565028445	0.525973818815998	0.539855962600816	0.583057654659572	0.630667441907091	0.400392235341205	0.62021195912502	0.293315175558056	0.588523224328265	0.350026210661412	0.0544549477071601	0.407096477784953	0.24074352347178	0.110845599601369
ZB_6	0.584256151386209	0.627433823693234	0.554332469128927	0.559656961479354	0.677041641659943	0	0.506907796475157	0.556546996443686	0.602456199675464	0.668301059024766	0.484868515648715	0.31594410001287	0.260659837445294	0.59313007694536	0.768042975623037	0.655342414343105	0.322231647892048	0.505945096422637	0.144328743786258	0.559350894303701	0.687123374919545	0.572797559097103	0.617257286967045	0.583860417597587	0.295588092068954	0.0364521714038378	0.439471437016925	0.671233322627408	0.621588279317343	0.117574950966657	0.64509166284235	0.217469676078787	0.359912369453062	0.132085480119133	0.566417510189569	0.560124082427362	0.564404137735582	0.195292720753199	0.729539171619981	0.651545060702342	0.250986512936379	0.638021255362885	0.508845575324275	0.561453242467882	0.601889995655182	0.492723614843532	0.708132008188314	0.318700878256472	0.583782107771141	0.562401946112295	0.552331804990935	0.488580365403133	0.688019709807793	0.286515822978386	0.144977188903844	0.742937143746042	0.155851726296362	0.667386007812535	0.214650002327816	0.63334423904141	0.656083710148188	0.575373428307577	0.631711099941973	0.623145639025096
ZB_7	0.394711695474943	0.554810163446947	0.112700518480065	0.297335327748183	0.492992320127145	0.506907796475157	0	0.296640248395498	0.473461642563817	0.437755292229639	0.407580219433884	0.453252304632215	0.616476424103627	0.318852168233035	0.531941681266146	0.439423481976289	0.413040535168229	0.279825837963318	0.382032012724056	0.405580999323067	0.449647661335743	0.309476157849819	0.469051553451536	0.147157344705271	0.330888983873717	0.490898576798278	0.564480170516592	0.445968065050145	0.324942566354528	0.420415550079085	0.441924239619964	0.388206006962247	0.246765230265559	0.394477436210349	0.472333511056948	0.121698615036563	0.309006409282829	0.365021003679017	0.562067052878097	0.450990190634832	0.324724429187179	0.452798101408964	0.131711867420827	0.306283112958556	0.325936856731904	0.164290816202998	0.509170194460923	0.542422984119859	0.171780027126137	0.465083699454886	0.157550696619809	0.0703848397980669	0.453176311096194	0.303400998013662	0.443560325293903	0.507044941527972	0.374814126799318	0.440459892465189	0.343402189761191	0.475799877573568	0.519027085083531	0.315791408224213	0.470133757420798	0.539117808149384
ZB_8	0.346823845781023	0.365903377243981	0.297422922699287	0.365892347079713	0.280990653797849	0.556546996443686	0.296640248395498	0	0.37355096042172	0.368269128797921	0.277706376668314	0.477134247144733	0.610733189056553	0.0796619852877095	0.368696643512381	0.333419381485879	0.344109815774324	0.347212673231322	0.488892477567952	0.237621293721473	0.438089904024604	0.309164474160612	0.366360483554489	0.333022282715294	0.45854030371425	0.576703935291186	0.557989448579895	0.442222604399556	0.280423575036193	0.524210447167582	0.333239434752638	0.500218279204288	0.376525512378443	0.514686563712875	0.343761827016843	0.305570224050787	0.266037116367787	0.464482714794103	0.500311576772194	0.342979479293706	0.4185023285049	0.350445087995673	0.377755121460517	0.276008802163423	0.074705710801209	0.328222420155236	0.505852003564672	0.563844540845195	0.333942150848898	0.335674029067789	0.333876641617793	0.347867076466998	0.449258311681425	0.446635550196443	0.493359411839478	0.50351291160719	0.483305035630617	0.413463334086866	0.444760897742002	0.465559349254795	0.316297148128032	0.287425149700599	0.405516082955806	0.348700754400671
ZB_9	0.414112744629057	0.333799611089812	0.455063182851416	0.501206212068205	0.281482184995507	0.602456199675464	0.473461642563817	0.37355096042172	0	0.135928887438352	0.435016526400578	0.467172815871911	0.553957878652621	0.358454819344471	0.402719766877125	0.140771205152187	0.546427478003133	0.527673290767335	0.544662442381241	0.434243549995631	0.231428597331012	0.397243690284694	0.122801591001172	0.496628481187176	0.539338949777545	0.624841470621435	0.454060109942639	0.291160972571644	0.409191587579207	0.568681537563765	0.088015847113432	0.509561108980407	0.455636094907153	0.568002467287946	0.35723000186965	0.463642363063085	0.385180586445442	0.521176716523513	0.262347693646649	0.101338120104439	0.473467767773033	0.148548788430387	0.483667550985594	0.409513908258742	0.391311064906307	0.427391965568439	0.374540060806215	0.499786663981195	0.515953855899313	0.392344216766604	0.477090253250169	0.447098269724315	0.487230331190063	0.504842183816421	0.567540799691482	0.320913112851755	0.539280899967127	0.243313084478686	0.518622088799331	0.210287050266268	0.234669657528887	0.376616236830018	0.148520487983841	0.278737226533694
ZB_10	0.390670947203712	0.31470313239189	0.415761883193009	0.487801131479781	0.237058234940965	0.668301059024766	0.437755292229639	0.368269128797921	0.135928887438352	0	0.462345104301481	0.531307015974793	0.619595703168304	0.349846859076243	0.323952891093637	0.112300685492884	0.563919100504186	0.496244084953015	0.610048013815419	0.410063930439526	0.139212647241166	0.373839488343305	0.116711136999944	0.444426384282587	0.596867209510667	0.690087523619858	0.524432363384298	0.191865163710427	0.385020603109196	0.633253444789695	0.052537141323419	0.578820814149288	0.517282330642703	0.63267603689717	0.373856761876858	0.409546040085162	0.360253982811414	0.588804966373513	0.220708789880761	0.0384914149668099	0.543813927219295	0.144656486836969	0.433723319495115	0.35973279764554	0.345891689023145	0.444581793413136	0.286924187287158	0.562652152930452	0.482846403664264	0.36416217748795	0.439474201152436	0.450835390135483	0.419101716017492	0.562313893351095	0.624388834612085	0.214084492264756	0.605439250233309	0.160252048634737	0.585878010966848	0.195767916848379	0.247030522319965	0.306547399698212	0.127392996108949	0.29283340010981
