ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.606853717322786	0.531225820714049	0.363245082828687	0.606853717322786	0.588540438575808	0.60928047170101	0.663572901792797	0.567318483251148	0.73670975204949	0.712338058739741	0.92100311636385	0.593929528916124	0.675252138388868	0.567318483251148	0.606853717322786	0.625243981782694	0.864859427651763	0.655865408022504	0.363245082828687	0.363245082828687	0.663572901792797	0.84609278532369	0.810346701445495	0.834873671261395	0	0.625243981782694	0	0.539071840017389	0.588540438575808	0.657726245561175	0.8938154514918	0.712338058739741	0.625948139001588	0.363245082828687	0.793123888559573	0	0.567318483251148	0.673442673442673	0.60928047170101	0.625105928300357	0	0.675252138388868	0.567318483251148	0.411459561424192	0.411459561424192	0.632919792267744	0.655865408022504	0.598681512790588	0.655865408022504	0.73670975204949	0.625948139001588	0.834873671261395	0	0.73670975204949	0.497213989330172	0.87315855786005	0	0.655865408022504	0.360106623748931	0.497213989330172	0.548413430822744
ZB_2	0.606853717322786	0	0.498157496214033	0.678874305906108	0	0.838236202954082	0.3613074204947	0.413258269461213	0.0913725974908844	0.61698906124467	0.268308123629293	0.476102891455465	0.392377587077234	0.456688541140838	0.0913725974908844	0	0.81100454316002	0.695723379271986	0.124665278191015	0.678874305906108	0.678874305906108	0.413258269461213	0.407184009088204	0.580590192312894	0.469692461659138	0.606853717322786	0.81100454316002	0.606853717322786	0.378053068621352	0.838236202954082	0.427864071084583	0.528181200173042	0.268308123629293	0.204646885396662	0.678874305906108	0.449446882145726	0.606853717322786	0.0913725974908844	0.387415496619865	0.3613074204947	0.562468450277638	0.606853717322786	0.456688541140838	0.0913725974908844	0.768617514368704	0.768617514368704	0.187173730761949	0.124665278191015	0.267155337967596	0.124665278191015	0.61698906124467	0.204646885396662	0.469692461659138	0.606853717322786	0.61698906124467	0.21806439651443	0.504465396007145	0.606853717322786	0.124665278191015	0.385606575613374	0.21806439651443	0.129411037636734
ZB_3	0.531225820714049	0.498157496214033	0	0.263807523672672	0.498157496214033	0.807118381784017	0.371546245533644	0.450331599790066	0.457682131849549	0.543310858111344	0.386352845418165	0.761412095367319	0.3497121246331	0.421624520207722	0.457682131849549	0.498157496214033	0.456689141888656	0.637190965697653	0.550453322480725	0.263807523672672	0.263807523672672	0.450331599790066	0.699675324675325	0.787094787094787	0.681861348528015	0.531225820714049	0.456689141888656	0.531225820714049	0.594902594902595	0.807118381784017	0.441728048071332	0.843247961159752	0.386352845418165	0.518244814886606	0.263807523672672	0.773750102282955	0.531225820714049	0.457682131849549	0.303380303380303	0.371546245533644	0.0938801075863085	0.531225820714049	0.421624520207722	0.457682131849549	0.724107438930032	0.724107438930032	0.525669163605134	0.550453322480725	0.489669156335823	0.550453322480725	0.543310858111344	0.518244814886606	0.681861348528015	0.531225820714049	0.543310858111344	0.569511496604206	0.523817600310138	0.531225820714049	0.550453322480725	0.267418297041377	0.569511496604206	0.438840596071348
ZB_4	0.363245082828687	0.678874305906108	0.263807523672672	0	0.678874305906108	0.738001101045994	0.38638946043055	0.471653709873605	0.652974388347926	0.807118381784017	0.54823758167718	0.934895328552045	0.362281373675476	0.443603983148219	0.652974388347926	0.678874305906108	0.261998898954006	0.900998489370325	0.712338058739741	0	0	0.471653709873605	0.87315855786005	0.84983219070021	0.865634865634866	0.363245082828687	0.261998898954006	0.363245082828687	0.635036286968245	0.738001101045994	0.462471752932315	0.91748303289009	0.54823758167718	0.691728048071332	0	0.839234714246231	0.363245082828687	0.652974388347926	0.487153820487154	0.38638946043055	0.357687631258981	0.363245082828687	0.443603983148219	0.652974388347926	0.625243981782694	0.625243981782694	0.696478839639296	0.712338058739741	0.673442673442673	0.712338058739741	0.807118381784017	0.691728048071332	0.865634865634866	0.363245082828687	0.807118381784017	0.60928047170101	0.697300833494863	0.363245082828687	0.712338058739741	0.531225820714049	0.60928047170101	0.640917814405058
ZB_5	0.606853717322786	0	0.498157496214033	0.678874305906108	0	0.838236202954082	0.3613074204947	0.413258269461213	0.0913725974908844	0.61698906124467	0.268308123629293	0.476102891455465	0.392377587077234	0.456688541140838	0.0913725974908844	0	0.81100454316002	0.695723379271986	0.124665278191015	0.678874305906108	0.678874305906108	0.413258269461213	0.407184009088204	0.580590192312894	0.469692461659138	0.606853717322786	0.81100454316002	0.606853717322786	0.378053068621352	0.838236202954082	0.427864071084583	0.528181200173042	0.268308123629293	0.204646885396662	0.678874305906108	0.449446882145726	0.606853717322786	0.0913725974908844	0.387415496619865	0.3613074204947	0.562468450277638	0.606853717322786	0.456688541140838	0.0913725974908844	0.768617514368704	0.768617514368704	0.187173730761949	0.124665278191015	0.267155337967596	0.124665278191015	0.61698906124467	0.204646885396662	0.469692461659138	0.606853717322786	0.61698906124467	0.21806439651443	0.504465396007145	0.606853717322786	0.124665278191015	0.385606575613374	0.21806439651443	0.129411037636734
ZB_6	0.588540438575808	0.838236202954082	0.807118381784017	0.738001101045994	0.838236202954082	0	0.839234714246231	0.861573853720451	0.821969052882163	0.577652279144816	0.881638743810622	0.898703159164593	0.832918422060513	0.914241031533257	0.821969052882163	0.838236202954082	1	0.783219039935458	0.858402531714046	0.738001101045994	0.738001101045994	0.861573853720451	0.802646460076906	0.739746457867263	0.783811686970886	0.588540438575808	1	0.588540438575808	0.810346701445495	0	0.859168191111589	0.849188976819891	0.881638743810622	0.84609278532369	0.738001101045994	0.706179491496885	0.588540438575808	0.821969052882163	0.865634865634866	0.839234714246231	0.900998489370325	0.588540438575808	0.914241031533257	0.821969052882163	1	1	0.848961338718984	0.858402531714046	0.834873671261395	0.858402531714046	0.577652279144816	0.84609278532369	0.783811686970886	0.588540438575808	0.577652279144816	0.793123888559573	0.845044991712053	0.588540438575808	0.858402531714046	0.73670975204949	0.793123888559573	0.814190388301271
ZB_7	0.60928047170101	0.3613074204947	0.371546245533644	0.38638946043055	0.3613074204947	0.839234714246231	0	0.246131226793591	0.309794615825219	0.773750102282955	0.263763594022022	0.63003973638302	0.201154279279279	0.272888513513513	0.309794615825219	0.3613074204947	0.54715474618432	0.843247961159752	0.427864071084583	0.38638946043055	0.38638946043055	0.246131226793591	0.568302965691025	0.582858065210373	0.624297344446598	0.60928047170101	0.54715474618432	0.60928047170101	0.381416119659959	0.839234714246231	0.123991176154094	0.53109357245954	0.263763594022022	0.386872455902307	0.38638946043055	0.45284525381568	0.60928047170101	0.309794615825219	0.267009110292692	0	0.441044104410441	0.60928047170101	0.272888513513513	0.309794615825219	0.77004575745478	0.77004575745478	0.480114856768184	0.427864071084583	0.442866834657879	0.427864071084583	0.773750102282955	0.386872455902307	0.624297344446598	0.60928047170101	0.773750102282955	0.22289101127046	0.392445241325838	0.60928047170101	0.427864071084583	0.569511496604206	0.22289101127046	0.467011610297829
ZB_8	0.663572901792797	0.413258269461213	0.450331599790066	0.471653709873605	0.413258269461213	0.861573853720451	0.246131226793591	0	0.480114856768184	0.802113650460423	0.14495014583192	0.602817156164507	0.171505632238617	0.238880956158443	0.480114856768184	0.413258269461213	0.610079856153155	0.86289899327258	0.309050622894481	0.471653709873605	0.471653709873605	0	0.545207895272333	0.468110423607806	0.520134548404027	0.663572901792797	0.610079856153155	0.663572901792797	0.270109471680152	0.861573853720451	0.13127663285903	0.677091380298537	0.14495014583192	0.375907210201452	0.471653709873605	0.613596152408483	0.663572901792797	0.480114856768184	0.16835249773367	0.246131226793591	0.511116942602223	0.663572901792797	0.238880956158443	0.480114856768184	0.801999048072346	0.801999048072346	0.270957583854192	0.309050622894481	0.3415000715683	0.309050622894481	0.802113650460423	0.375907210201452	0.520134548404027	0.663572901792797	0.802113650460423	0.426997931670363	0.381107418209772	0.663572901792797	0.309050622894481	0.623479173624696	0.426997931670363	0.425688248485138
ZB_9	0.567318483251148	0.0913725974908844	0.457682131849549	0.652974388347926	0.0913725974908844	0.821969052882163	0.309794615825219	0.480114856768184	0	0.578473048801224	0.335164710936264	0.430558005527136	0.467011610297829	0.531322564361434	0	0.0913725974908844	0.79576139432125	0.665124978745111	0.204646885396662	0.652974388347926	0.652974388347926	0.480114856768184	0.355647674486976	0.544128888104898	0.423590286352678	0.567318483251148	0.79576139432125	0.567318483251148	0.323984241782795	0.821969052882163	0.386872455902307	0.480734568950859	0.335164710936264	0.135503028164873	0.652974388347926	0.394082639006972	0.567318483251148	0	0.343525877107967	0.309794615825219	0.527179990726345	0.567318483251148	0.531322564361434	0	0.745349430368985	0.745349430368985	0.267155337967596	0.204646885396662	0.203445640030576	0.204646885396662	0.578473048801224	0.135503028164873	0.423590286352678	0.567318483251148	0.578473048801224	0.139432069375956	0.468962008141113	0.567318483251148	0.204646885396662	0.323822479170209	0.139432069375956	0.220783635127619
ZB_10	0.73670975204949	0.61698906124467	0.543310858111344	0.807118381784017	0.61698906124467	0.577652279144816	0.773750102282955	0.802113650460423	0.578473048801224	0	0.719754007551606	0.628779310864812	0.765889591329871	0.837801986904493	0.578473048801224	0.61698906124467	1	0.205566760790641	0.664737226474805	0.807118381784017	0.807118381784017	0.802113650460423	0.532722611777124	0.657443733223209	0.488127193888086	0.73670975204949	1	0.73670975204949	0.738352837270921	0.577652279144816	0.799016282225237	0.737783455764931	0.719754007551606	0.635591227141765	0.807118381784017	0.621526668795912	0.73670975204949	0.578473048801224	0.681861348528015	0.773750102282955	0.637190965697653	0.73670975204949	0.837801986904493	0.578473048801224	1	1	0.642383150605886	0.664737226474805	0.609027536826168	0.664737226474805	0	0.635591227141765	0.488127193888086	0.73670975204949	0	0.717905118177181	0.633110348093772	0.73670975204949	0.664737226474805	0.376603128300558	0.717905118177181	0.560055370199475
