ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.399899449221857	0.394933491857041	0.33460311178173	0.354210892448877	0.595757216590751	0.369273572097826	0.374403853904914	0.282330953033685	0.308501800682245	0.402302337325683	0.30337157419855	0.477685611235486	0.361319367711653	0.407410526000647	0.380405402947393	0.37882585785114	0.341257132546968	0.485626431973113	0.388130339143929	0.325839049037077	0.319675222539847	0.31352364238382	0.328457360174599	0.317113647152357	0.603947159877892	0.400928741245512	0.353473506108538	0.338282776696816	0.483608666648091	0.41689987979723	0.456637658902824	0.350190918826147	0.573202394636184	0.357568082054169	0.286371350915638	0.359946441486347	0.409375505566579	0.363030637234245	0.291749275252169	0.344660503086336	0.367779530285977	0.343254278128556	0.391841871483565	0.391393096616599	0.360622719302403	0.336973445461503	0.405304945199014	0.372397546861028	0.3394899589739	0.376092889951004	0.339991756174865	0.277480951069494	0.471987668474507	0.521422429572369	0.379337414525648	0.533393788919807	0.353332267384571	0.417549826004429	0.304462118700842	0.344568900372961	0.336603133653088	0.346012526008015	0.345495826541798
ZB_2	0.399899449221857	0	0.368352115989137	0.275362369526861	0.16922322165019	0.535801805505051	0.239473717858558	0.184612720349095	0.205328688137411	0.28995391484707	0.150383831328049	0.316353114041809	0.451188708265931	0.206437163563655	0.16654407140761	0.184592989001467	0.222260658713608	0.273077264013043	0.383113144733746	0.0540565018143615	0.363610415212124	0.300789488170965	0.278328610530016	0.267331573468174	0.329946013528894	0.543317892207238	0.375690096805489	0.31608181787795	0.290264200063562	0.336024281160421	0.198198853714235	0.381813975776203	0.256183319228194	0.528912691254759	0.17196416836717	0.277532825592444	0.213628543223805	0.364391991727019	0.404452918507758	0.274898530225693	0.246463990990666	0.224568803576258	0.274480668018077	0.372512080401843	0.157066109961882	0.26642501800393	0.503972865348176	0.435861437509538	0.325443888003642	0.132753301171939	0.329538371967172	0.281854664150819	0.407148444226823	0.352563183961357	0.450959117308398	0.400474931041031	0.437918670927217	0.226740110521615	0.282717500616055	0.320962974626149	0.165877631547671	0.243660438463413	0.231744565077898	0.155263396135314
ZB_3	0.394933491857041	0.368352115989137	0	0.254578478499156	0.402203004489467	0.575987943031147	0.181660367015117	0.254745743766454	0.400294369986277	0.396414733094817	0.336553347060554	0.453769054811504	0.571288298848314	0.283876388926135	0.293555212358096	0.295656092575604	0.287267767007713	0.26458697472203	0.533079547392055	0.341530617035183	0.486727989487516	0.184019266607906	0.390197138126548	0.163665985071401	0.3303891659403	0.58370037978154	0.517716571800948	0.311762383187821	0.184214236280214	0.480424144811025	0.297111927429729	0.489190197987666	0.3116911595847	0.539747120785695	0.390780816742581	0.226974929275193	0.238673899327456	0.474928566682172	0.503480011851995	0.347611821241658	0.320374071811017	0.274899585354767	0.142707506208714	0.557559201398415	0.274971360860655	0.193120740177112	0.477798626644852	0.529978902312885	0.115179579850915	0.418203925405779	0.102975371753458	0.142125701435666	0.456995163175788	0.485212793165416	0.497884842500629	0.480986294006987	0.582470213557605	0.28245349039381	0.461510531842803	0.417799225722125	0.421524260389087	0.273712067532605	0.444743856145323	0.437670873143778
ZB_4	0.33460311178173	0.275362369526861	0.254578478499156	0	0.322913715490918	0.451772092180463	0.135988507268019	0.127653698251805	0.301799149011351	0.320570183970919	0.23547424531646	0.322323170646117	0.408930507606447	0.0772831670015691	0.170203867686749	0.158053168998246	0.209801541059434	0.086068971234353	0.342157507154171	0.263632214576604	0.375518071524608	0.203315146506445	0.283502113668389	0.196072056405119	0.249562128941275	0.459532698532929	0.394618637716357	0.27812254447621	0.174177133859767	0.352661673888142	0.237602251768559	0.292917586303868	0.18857952434842	0.426613701753977	0.330042586472149	0.169354793488683	0.109943512049856	0.332164847585148	0.399713438851866	0.251468268298709	0.196667156197897	0.269927840096559	0.183232468091209	0.438118950859537	0.151217646070875	0.136892929792944	0.43138691368561	0.408172136492067	0.289219893011738	0.338471439614135	0.265746744040981	0.148096007385183	0.433359641782047	0.350842533410808	0.358400212395994	0.403148234112338	0.405636275320204	0.175272685597222	0.320765090895182	0.306091746426011	0.341699807277293	0.183447887458009	0.34127424423406	0.357399187836434
ZB_5	0.354210892448877	0.16922322165019	0.402203004489467	0.322913715490918	0	0.588475194846596	0.27294638329261	0.236352770556014	0.104096144868691	0.215179677952159	0.204130877456085	0.364111595711855	0.496139978615299	0.254803971627168	0.218352337590312	0.240369365496263	0.25227040875665	0.320340909881033	0.464711895744101	0.14470083208606	0.307424333727738	0.352411617072495	0.194503012205545	0.301675138718906	0.416005024667605	0.595940846410787	0.435490517232424	0.40984383120806	0.342015309715312	0.415659651718089	0.232530896516914	0.462660754309927	0.302551840635717	0.582138417828287	0.0801822408645846	0.331446741771434	0.264753558869436	0.474339354121787	0.35538811811663	0.145301003023775	0.293304629815607	0.169655265335977	0.308907425420922	0.356048680396478	0.208803276629274	0.31650892827539	0.442329510900017	0.512901026055791	0.367434724029878	0.0447677258959299	0.370865651021527	0.315732792402379	0.392296251262064	0.452855954948316	0.526915209971439	0.308506833266582	0.532368153368521	0.253345032990872	0.353038432077524	0.230070241339254	0.0487759333847206	0.303875720127553	0.114613889763438	0.0433676274593463
ZB_6	0.595757216590751	0.535801805505051	0.575987943031147	0.451772092180463	0.588475194846596	0	0.517593852557432	0.504525932080819	0.574941477138501	0.601458836203958	0.44371533850779	0.411542273034287	0.333538397488677	0.468822582681141	0.528638765208449	0.44598964288767	0.391801486258594	0.439834079085052	0.222844872834852	0.538928983130014	0.61450383769428	0.582842378798699	0.573171771479585	0.546270811419802	0.417286737078983	0.010703808024929	0.40398348702552	0.532380846516831	0.568892806066452	0.28450651948284	0.520768571036866	0.245466777489126	0.396421889882087	0.204760047454212	0.599275974528778	0.498510392949193	0.51089243708179	0.269600041743849	0.635410040468514	0.57254231379027	0.382248647226197	0.504701994968849	0.567407383560431	0.577669523735133	0.531661827821257	0.515023448711184	0.572322313513714	0.401902617873333	0.610350158714495	0.615191303427714	0.598436820543336	0.525286070159677	0.657604967289969	0.36660811989032	0.186185931642439	0.586141513405234	0.27459143224901	0.408148154296956	0.309268473644086	0.585962914340245	0.607980701861631	0.545904134769919	0.560108037514331	0.619441787861799
ZB_7	0.369273572097826	0.239473717858558	0.181660367015117	0.135988507268019	0.27294638329261	0.517593852557432	0	0.13186959544818	0.25091988545629	0.282461586497181	0.266287797161152	0.343974744384439	0.479481905084282	0.170460278686204	0.175161144686873	0.164490086232182	0.218109489870734	0.159494960723284	0.401163481532825	0.210227178056425	0.371352297163602	0.166711730534457	0.268848535707903	0.0712471774535716	0.251654133198631	0.525204514528136	0.397663557033	0.222881264475639	0.156967141640764	0.395812204159305	0.145927097894042	0.377901323124276	0.171858907883155	0.496965989723514	0.262463399353016	0.139290075207852	0.113836732748761	0.379382812748964	0.37639917615194	0.210094189299952	0.191836893671415	0.197815419936504	0.079956453619172	0.435935122458055	0.155803367362487	0.0935956000769784	0.439693012087263	0.447630809368768	0.168237022770855	0.28935134387534	0.142465196204581	0.0534809163781167	0.426732910699682	0.38867681324674	0.432333306651725	0.395827565012656	0.47200354787964	0.165714748504019	0.329524543852374	0.291591620827857	0.29275552072288	0.173368600933747	0.329080809155149	0.309309852012355
ZB_8	0.374403853904914	0.184612720349095	0.254745743766454	0.127653698251805	0.236352770556014	0.504525932080819	0.13186959544818	0	0.208314217875971	0.249732790247566	0.233045588776243	0.320375181581995	0.43768009153086	0.126664852539621	0.0775729258999764	0.12792667244495	0.234434551135125	0.12612765373719	0.396206408062846	0.17146449783295	0.343460201639134	0.161210240174174	0.186131041324491	0.194126115186117	0.278554887832562	0.504844700524337	0.396831559064439	0.27918286355578	0.129713877900747	0.395342145715496	0.202650147439369	0.337762358884832	0.203024472370874	0.483473831139771	0.245911292231036	0.242209960337567	0.0471623050571403	0.35978808755709	0.356276854867402	0.199672239540973	0.222656071527731	0.179802636155297	0.180793244930725	0.398066245769654	0.0565420968209646	0.118295474982369	0.443300657417589	0.411610647150825	0.290642719340339	0.253284051935792	0.266320644775886	0.144348398289116	0.404865612506763	0.371106220964756	0.403383448739319	0.341875635638926	0.426472253631306	0.167593708619726	0.34665777435323	0.256385013206761	0.256797445081821	0.127536772339912	0.25324709906093	0.273882889432794
ZB_9	0.282330953033685	0.205328688137411	0.400294369986277	0.301799149011351	0.104096144868691	0.574941477138501	0.25091988545629	0.208314217875971	0	0.185665432397511	0.253731878214433	0.336133987902702	0.531139219158445	0.297252481850231	0.270461955371131	0.214052860080737	0.299295568292368	0.299226839000377	0.443940516229486	0.192011720039947	0.2474801301873	0.316775692611603	0.123429307206315	0.280798503548135	0.390145142683083	0.582795187330978	0.412771026575198	0.362058921953819	0.320022938548835	0.447463519436614	0.264754698982408	0.441989166456846	0.269429353199843	0.568135245901639	0.137022776629562	0.311414291248193	0.238673479929748	0.425544900802681	0.296040316099966	0.111677804339165	0.273885074868912	0.15668497153509	0.288416487618444	0.277288433690026	0.253611343236342	0.279701379034597	0.395107154859669	0.462735425326208	0.349838559910085	0.123411970340133	0.353760429141223	0.295995244182477	0.317180995712995	0.471968618617836	0.510441367331206	0.245852945421363	0.514964502563995	0.230826689922554	0.385055361635955	0.159119322948793	0.088357597574167	0.263739159348944	0.127616677430025	0.127575970987211
ZB_10	0.308501800682245	0.28995391484707	0.396414733094817	0.320570183970919	0.215179677952159	0.601458836203958	0.282461586497181	0.249732790247566	0.185665432397511	0	0.352214641733536	0.347080238067676	0.509539558279516	0.336277802560803	0.288932886871464	0.292454538695724	0.382540199443737	0.328192932608028	0.465212080696807	0.258759399332367	0.189694955383918	0.343712300975375	0.157322556509135	0.302036908042222	0.390038349327511	0.609562724160973	0.392432952617317	0.30411063497191	0.316297987575001	0.467284162114793	0.275095113845808	0.438047100723746	0.338057389244392	0.59471009013447	0.253933744205973	0.329591982876504	0.256513712971261	0.434303468875803	0.2453907284429	0.124531706600865	0.328610460648913	0.259336103724068	0.309954179077785	0.25120713199866	0.271491626144781	0.286965221866165	0.365496117161935	0.448092505235247	0.371762930989324	0.176489377276377	0.370967841777833	0.286064432957947	0.287008766391704	0.431479034902788	0.535453384247634	0.238186285193477	0.501080358634516	0.268922077392205	0.413812838201377	0.158080137604472	0.230521476693942	0.242990279140284	0.230720126863816	0.220047918065374
ZB_11	0.402302337325683	0.150383831328049	0.336553347060554	0.23547424531646	0.204130877456085	0.44371533850779	0.266287797161152	0.233045588776243	0.253731878214433	0.352214641733536	0	0.315699496152207	0.425903033367984	0.198887966169674	0.216786706938242	0.17019719939428	0.145545153104708	0.257471073004245	0.361657207397552	0.143749821668046	0.433611033172901	0.337896379632647	0.293083235638921	0.292160657296123	0.318022781261386	0.451112902322281	0.373759996892912	0.389142135943173	0.328473991261091	0.272475896452779	0.229133171648909	0.360631575670796	0.222065461385927	0.436060001036776	0.222224341258916	0.25015697388294	0.25876099694279	0.368995811176884	0.460432807337359	0.299813477232324	0.212497103676943	0.200519550703223	0.298697505391682	0.456046446377312	0.208164450999199	0.305760726265374	0.494294488995052	0.443476929207635	0.345594134735095	0.213481182412189	0.349032273450462	0.30504674895552	0.486071842243469	0.347417611442968	0.384826744476661	0.42873264868525	0.444278273750896	0.208370983179722	0.279903025625385	0.357701198860276	0.201519435391622	0.287634850953976	0.277096445185204	0.224161783416662
ZB_12	0.30337157419855	0.316353114041809	0.453769054811504	0.322323170646117	0.364111595711855	0.411542273034287	0.343974744384439	0.320375181581995	0.336133987902702	0.347080238067676	0.315699496152207	0	0.283514781578827	0.317579654206829	0.372344011134765	0.300470674692049	0.318415839044938	0.293058087559196	0.272791997895345	0.320100207839811	0.36501979782128	0.387726802538511	0.343231726671989	0.372808916599915	0.235360341593573	0.419970110781569	0.140158068818572	0.369438628824907	0.3982342838907	0.302748315937398	0.357321933320459	0.243559614964713	0.192303364464949	0.400806528286791	0.368927122818137	0.303344937021622	0.31449720133017	0.219564419546164	0.40396667373028	0.345089511383254	0.196622631967663	0.31797384635309	0.397301017429665	0.381804452243606	0.357310672506941	0.357639721323443	0.417375586587181	0.241818767087782	0.426458918493967	0.368553436259053	0.439308162484755	0.358723062918533	0.411411379074185	0.319364795232465	0.309147680617576	0.448309314004823	0.317206841880602	0.276502379521671	0.231096326498885	0.382919808578913	0.373073339762345	0.361176260740201	0.386038618966369	0.356511458105549
ZB_13	0.477685611235486	0.451188708265931	0.571288298848314	0.408930507606447	0.496139978615299	0.333538397488677	0.479481905084282	0.43768009153086	0.531139219158445	0.509539558279516	0.425903033367984	0.283514781578827	0	0.372371668229863	0.427597415734884	0.41275484541066	0.378912547951298	0.407973393398551	0.241453347435021	0.454933846714258	0.497197656292838	0.502768240900089	0.48229619402512	0.517956869358459	0.335119356263563	0.32759723151987	0.249496548175048	0.455884796868961	0.491130096547892	0.256826466030009	0.436741440772063	0.201705110218734	0.370673842461655	0.327932703301482	0.486478321972234	0.474829334701286	0.441154556076745	0.230946433055954	0.520512033207923	0.517837143871726	0.390574373601626	0.480507270633496	0.524866704872189	0.478257013330216	0.413217218482609	0.461698099837013	0.448657335861201	0.209301731895512	0.587250155635323	0.501087117944371	0.575398079214308	0.481241571750759	0.528773680791107	0.307445231122808	0.272808931558659	0.511479121738982	0.228941572119441	0.422441619786884	0.244920803422217	0.505622232312073	0.516912320640062	0.473717300047506	0.459335326795584	0.504521173516674
ZB_14	0.361319367711653	0.206437163563655	0.283876388926135	0.0772831670015691	0.254803971627168	0.468822582681141	0.170460278686204	0.126664852539621	0.297252481850231	0.336277802560803	0.198887966169674	0.317579654206829	0.372371668229863	0	0.118798611539475	0.187564346551025	0.144767261366113	0.0993659944474153	0.363362204037591	0.194234955648697	0.40160529626153	0.236199095022624	0.279248128597966	0.228146653261079	0.246277930457641	0.476323844988639	0.388692906464336	0.307935368852536	0.208675212538337	0.318446822550924	0.188647641456141	0.316227295308218	0.186503909393557	0.444870409758595	0.263389322030942	0.202139711413649	0.133125551529262	0.327414149772445	0.41317376647956	0.269429756712365	0.194434514481275	0.266269781385278	0.216181400802629	0.450062936840589	0.0994998639404716	0.159043189120526	0.454048723182851	0.412228885782568	0.317578137760565	0.270630703076214	0.295041505297506	0.182653558301227	0.457030581957899	0.302488893628219	0.378647681196148	0.427108974967678	0.399429951771579	0.173390514259845	0.264888441536655	0.32270768625463	0.273914892178613	0.217558687943936	0.271184196004856	0.289885729433344
ZB_15	0.407410526000647	0.16654407140761	0.293555212358096	0.170203867686749	0.218352337590312	0.528638765208449	0.175161144686873	0.0775729258999764	0.270461955371131	0.288932886871464	0.216786706938242	0.372344011134765	0.427597415734884	0.118798611539475	0	0.189695796349991	0.220908496429822	0.190850417200252	0.423651486775255	0.160784971422146	0.380395480110899	0.206062735962728	0.250623456110263	0.235457142531954	0.332799842331322	0.529067181966222	0.443783929555501	0.316903461124875	0.176209500252234	0.368313283041965	0.169034390403738	0.388135112494806	0.260242306274724	0.508569232490599	0.228301147495102	0.280002808796575	0.0958169330869949	0.409318640579442	0.392797267043799	0.239787948511887	0.278752673577876	0.239197121757243	0.223029258641633	0.43264196818759	0.0215654608757591	0.163355960834611	0.474588034175104	0.46065058269858	0.328934339468023	0.235306561566741	0.305378192068533	0.187997977208857	0.439813239844611	0.340813983631448	0.430241931598842	0.352768000387952	0.474155828500248	0.226787512588117	0.339264514214187	0.295945444630719	0.238824715507893	0.174396541666411	0.241997537401211	0.255933311352812
