ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.500059915416967	0.499303355247541	0.439448126003336	0.510145703747885	0.58843908326237	0.343433515109271	0.46900915046478	0.485214578678849	0.326918748982934	0.437529295349201	0.413230702683518	0.6242364784758	0.496127961936958	0.508179090614669	0.489578940359133	0.453623801115781	0.462798140491041	0.454667722780699	0.475104854691974	0.305882877559893	0.441150774845176	0.443775246111796	0.499430031031644	0.470421494798369	0.368186966745872	0.492737572696752	0.326336600976166	0.35032330560265	0.463999456595571	0.451289183403553	0.53116734606019	0.452199319177235	0.574580321437474	0.54286788743071	0.439439590722442	0.472719552344723	0.598615958347165	0.345622774763218	0.457322742515679	0.481044556845674	0.50244185902746	0.470497847747423	0.326547822374039	0.533741549405924	0.494163661505925	0.359908987805349	0.388229173042786	0.464520919206515	0.568573696183146	0.483299961658075	0.496277376791512	0.355455062953233	0.454583965827656	0.538760049024149	0.343599218225127	0.468457912887302	0.47894709583862	0.467653863230953	0.481056760177471	0.550877856488283	0.465349417637271	0.466900697123744	0.547371229535113
ZB_2	0.500059915416967	0	0.359812094746593	0.35623702945871	0.19458928113514	0.712012236472807	0.347647274857422	0.385114216641587	0.358346858187116	0.247547096711705	0.104455340686716	0.419526385960173	0.688726349235534	0.298167436143895	0.273497943683721	0.303273031210623	0.156743497920704	0.395922243875965	0.456351480880292	0.0902961200885899	0.335780586630507	0.328344059809724	0.361112628754158	0.391967712055048	0.433575552807348	0.56973574435886	0.441143634979434	0.367330137052642	0.337765650479288	0.440576938823677	0.310470322907283	0.471017530391568	0.370815894149781	0.588480549871907	0.146165245765019	0.332897860779323	0.236118736613472	0.727984278441138	0.341966519766898	0.37285551019351	0.412578896816685	0.353505305015706	0.327679634775705	0.289240802621596	0.255331548955275	0.333105068148736	0.380554402472211	0.422929473641732	0.358886280194759	0.200243623761815	0.389595739049887	0.437413926224729	0.344424145471068	0.408362806877188	0.455567957413926	0.406705732319564	0.492182666025001	0.323646368258752	0.428149789647105	0.331825620587336	0.155058224163028	0.383471398871017	0.308359746562503	0.230451389110294
ZB_3	0.499303355247541	0.359812094746593	0	0.129919071932201	0.30086760011947	0.844475600285615	0.249459764131334	0.233215869136183	0.207561801210381	0.291700436780513	0.356067731352016	0.506350342956207	0.813898604950659	0.279697130692267	0.259022624501311	0.179526134781453	0.393488327995331	0.174646843210741	0.58417181302405	0.318412465872012	0.318789180070165	0.24677947741967	0.228460603680018	0.0699198422321509	0.491574134161914	0.659152955451189	0.463459980123844	0.28121542088298	0.295042177023899	0.551117014117271	0.217460304508886	0.588975957495094	0.386061661506708	0.645482358391846	0.25033542204202	0.212505778039249	0.347904322162676	0.84798611022456	0.249719357890854	0.110086813650392	0.455988467696568	0.248536663104412	0.0625856183737595	0.307668738019348	0.305125120057697	0.115147715281059	0.28718452666621	0.46899954300558	0.107631426329615	0.274271683820273	0.0429928321402818	0.133816308890493	0.272506289259642	0.458778798689235	0.589028622705499	0.330111294642141	0.612904186268088	0.205052023625827	0.538045475893896	0.146536867316547	0.228134906008109	0.163415034373165	0.182411592878474	0.315322808006766
ZB_4	0.439448126003336	0.35623702945871	0.129919071932201	0	0.257980589651413	0.812514017765399	0.223290138923896	0.119106791338583	0.140273087043905	0.232370211679561	0.352740865835018	0.468301133154428	0.788314478727423	0.174353080459417	0.153490453460621	0.132250681285378	0.358177514021516	0.0775677091253147	0.545452478973556	0.315704078740311	0.276602664666764	0.241977596846201	0.110077400827535	0.0977657291313679	0.453398194938279	0.626047471404031	0.483869161302492	0.313993709488571	0.215055927768353	0.511742295515928	0.0990161490472782	0.521619950648626	0.377244437776091	0.648247677504115	0.248959131752149	0.247291442932182	0.287560182301707	0.816674034080892	0.283933941977302	0.0231921382582176	0.398204185287182	0.141092509372017	0.0704494377100099	0.280629720872081	0.207856120257695	0.0941905613995466	0.303718484384129	0.462352583640435	0.101268776432842	0.27242973448431	0.0945261493279115	0.125196394608451	0.28838906680569	0.408680356542878	0.52333231561513	0.360659814957948	0.565404087991055	0.0895497215069068	0.498387088489257	0.116535164897542	0.227285322048414	0.107791246694682	0.0626310283635378	0.31252992047611
ZB_5	0.510145703747885	0.19458928113514	0.30086760011947	0.257980589651413	0	0.792469111495166	0.404257926926424	0.295074254387759	0.301468728453279	0.34242612901681	0.198938701738916	0.515255892296989	0.782330417755671	0.19652504933033	0.169186442453769	0.201664595575588	0.210469385670246	0.307023824135063	0.539131587105141	0.174214558259522	0.37561882618704	0.406299372026174	0.235400195208325	0.335845091456064	0.536133368677153	0.629570366210276	0.543350934891704	0.407891912243098	0.392859276428981	0.554753791520245	0.196593960348696	0.533505895162388	0.432140372012837	0.696078727042006	0.0577224408724758	0.377758482791673	0.278701348901276	0.80603284057484	0.43579649761346	0.276451727823299	0.465472315906432	0.262043264253895	0.265915298334251	0.328011730863863	0.151583957233837	0.271816850370466	0.463367250000764	0.550656162569622	0.26381336546353	0.122657470067673	0.333264961693889	0.350837305952817	0.42963160286444	0.463007699478996	0.539625650119965	0.448170520259849	0.550814388516447	0.224253529630644	0.542163877628475	0.269369019817419	0.0781451853771056	0.328279812108195	0.204765863119978	0.0942429969552759
ZB_6	0.58843908326237	0.712012236472807	0.844475600285615	0.812514017765399	0.792469111495166	0	0.738362954282623	0.786364467378905	0.784734054740191	0.673057670557549	0.682149652000096	0.455746163050691	0.282864513167904	0.823615265849657	0.826884464943601	0.769233901963479	0.656249185084739	0.80562193627451	0.340033392183296	0.713250424545147	0.685216941972778	0.729228060180749	0.778521089161773	0.843322274021998	0.55252652115262	0.290874161906337	0.587538085961053	0.739424595670842	0.694091793744856	0.372585051313814	0.773022004460974	0.417354130362002	0.566269775976147	0.341345077256102	0.793726111725851	0.738219492886733	0.741740059470626	0.0697701778940749	0.744995428123571	0.825900657726592	0.53006691960021	0.758141590685222	0.818658914930782	0.684667213918562	0.785539746182687	0.801941891845275	0.6996529015348	0.493242747384881	0.825465369675175	0.788540481032971	0.840739090174018	0.862266077595275	0.710771187666675	0.511967899691701	0.406918045489767	0.730277019792062	0.330714426676811	0.765391174286239	0.385788598992042	0.798548089463232	0.796684677647888	0.810274432650557	0.778090252688815	0.776080879703129
ZB_7	0.343433515109271	0.347647274857422	0.249459764131334	0.223290138923896	0.404257926926424	0.738362954282623	0	0.255054410433275	0.274429863224045	0.154286370371965	0.284323207323886	0.393049822916944	0.696930584263575	0.295545628079433	0.276929915051563	0.311355469789726	0.308144745847162	0.203919978964898	0.485097880169745	0.321949341844049	0.174654389968784	0.150038455732779	0.303504179862679	0.226049377931088	0.354692539302843	0.530735366479265	0.359616850026194	0.150009689546917	0.0853932180874935	0.451410062405423	0.293840661194198	0.456899225635321	0.29840377187003	0.54035515046751	0.396576131586366	0.18760789927997	0.221917528013756	0.743930696851502	0.119561257315608	0.208225803404432	0.292497918998032	0.315530222606935	0.275803502381417	0.167362808833149	0.317549566246427	0.255313059559104	0.146184210036794	0.365057592543744	0.222968510331138	0.369790932299745	0.223270415875354	0.188236890043022	0.128531243872641	0.331024799822064	0.459354221756117	0.197279175225766	0.497916131073625	0.281282905229509	0.438034188034188	0.281489695282925	0.378120825111228	0.239469216566922	0.263651889126279	0.445625354174537
ZB_8	0.46900915046478	0.385114216641587	0.233215869136183	0.119106791338583	0.295074254387759	0.786364467378905	0.255054410433275	0	0.0939673556430446	0.306612429130496	0.380449460018416	0.492902344851129	0.793671617039549	0.157657725273571	0.173037757688532	0.131408349613685	0.384626282087607	0.0679174868766404	0.536283422195404	0.346694337936939	0.356977534779346	0.213195270766349	0.109945045931759	0.20784530839895	0.441485016615673	0.607810419901481	0.501611695741225	0.391402834485893	0.246300750284821	0.52008546585817	0.152018001399402	0.530192761345235	0.427380544543957	0.639943327698207	0.286527158422998	0.296137707779912	0.249442770395257	0.795766682418234	0.363727317243299	0.140157480314961	0.37466647485295	0.139987374306714	0.179936039046487	0.350905654811924	0.159201995012469	0.191940716239425	0.311384930877205	0.508541217762179	0.134522213389336	0.217925377408665	0.204904855643045	0.167835465879265	0.365865558056037	0.426768327936311	0.487956389793104	0.434367524950592	0.555867206971806	0.0901103619362636	0.490065359477124	0.221566694230647	0.265992990494893	0.0902187837108954	0.117863844539151	0.345360656166606
ZB_9	0.485214578678849	0.358346858187116	0.207561801210381	0.140273087043905	0.301468728453279	0.784734054740191	0.274429863224045	0.0939673556430446	0	0.249394892129799	0.354794341304884	0.503716530332947	0.792257115772587	0.229385654977475	0.209143455773542	0.151016974776235	0.391134300671087	0.0885481631891925	0.509574609743107	0.318365352467659	0.309412540178638	0.206068914412745	0.0935525186728832	0.180221709085642	0.46149814035532	0.630586098541332	0.531963257835348	0.345599235680111	0.265036374428846	0.492801757692465	0.137393611141815	0.527973195720796	0.449015055828507	0.651742681556524	0.25287209599183	0.315393735180332	0.267359360428139	0.798398000573606	0.300344703823894	0.161544039947786	0.401421773933059	0.177026498925313	0.152052470412977	0.31225630733945	0.185916249105225	0.173823996585168	0.330952041107622	0.471904153299078	0.164067376154375	0.211325913861113	0.177167031637426	0.189511634171104	0.304270579240543	0.417035960669147	0.52171982495747	0.375312177541163	0.554270110479244	0.129297595572801	0.479836043217485	0.139565640801017	0.260498808954984	0.121543754395777	0.157051078175689	0.315385555751756
ZB_10	0.326918748982934	0.247547096711705	0.291700436780513	0.232370211679561	0.34242612901681	0.673057670557549	0.154286370371965	0.306612429130496	0.249394892129799	0	0.181341873028442	0.367567523583754	0.6259509026527	0.343359112361266	0.325005741122284	0.252681747539285	0.246761168538256	0.28410514893766	0.400866333394404	0.220365373642421	0.125359590694082	0.215750840603496	0.2600345117601	0.270235214696936	0.356454531093048	0.505743383030125	0.400375534918925	0.163092962641182	0.169120204409825	0.36416929136987	0.2001175302287	0.393714325587886	0.282092787892031	0.526804697648525	0.298608710399123	0.267735369812781	0.303255071328945	0.680296580424526	0.114056948523246	0.251362541486752	0.301784271367557	0.273148070392304	0.242771939160126	0.0793391605033138	0.322568021513927	0.202754158544263	0.190282559982511	0.334571923037769	0.294238683127572	0.341802756898367	0.267515947723325	0.328543391135557	0.123231702459399	0.280291954029592	0.408335841930982	0.19226074171142	0.448936344464691	0.235695742012963	0.369931903723596	0.180880397181044	0.30494248701501	0.272562688357667	0.216373210108136	0.354517020703142
