ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_53	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_2	0	0.647981249054892	0.608390658635465	0.192847421745048	0.519435366834066	0.856313532929787	0.636051523814933	0.820346287615303	0.820346287615303	0.192847421745048	0.545141908451261	0.456181288657053	0.144790564040526	0.336334808746779	0.820346287615303	0.26256504476066	0.820346287615303	0.545141908451261	0.30402238016029	0.820346287615303	0.786009555004386	0.337637985785574	0.590674163965531	0.519435366834066	0.545141908451261	1	0.820346287615303	0.545141908451261	0.820346287615303	0.545141908451261	0.545141908451261	0.75695089737834	0	0.608390658635465	0.535449560679131	0.590674163965531	0.820346287615303	0.820346287615303	0.545141908451261	0.468327536670195	0.820346287615303	0.334001209738394	0.337637985785574	0.820346287615303	0.769745821987111	0.545141908451261	0.648825188859647	0.30402238016029	0.515951303557567	0.545141908451261	0.545141908451261	0.545141908451261	0.820346287615303	0.366081310775555	0.820346287615303	0.30402238016029	0.775999207240537	0.820346287615303	0.23919534914448
ZB_3	0.647981249054892	0	0.602580932511311	0.84082867079994	0.692390026031687	1	0.648668531758367	1	1	0.84082867079994	0.712923911703046	0.639289394373727	0.588382990009725	0.743556194221752	1	0.790950455005056	1	0.712923911703046	0.820919391609106	1	0.53391799199989	0.813880293519583	0.695629719216814	0.692390026031687	0.712923911703046	1	1	0.712923911703046	1	0.712923911703046	0.712923911703046	0.560176088270859	0.647981249054892	0.602580932511311	0.479385881537309	0.695629719216814	1	1	0.712923911703046	0.337902984968501	1	0.81466841563152	0.813880293519583	1	0.449177185372906	0.712923911703046	0.641142603136973	0.820919391609106	0.706534533494894	0.712923911703046	0.712923911703046	0.712923911703046	1	0.765355132320997	1	0.820919391609106	0.483660230249132	1	0.769220821649288
ZB_4	0.608390658635465	0.602580932511311	0	0.66708516581481	0.51988715197484	0.775360674645943	0.133462120941104	0.673015261397883	0.673015261397883	0.66708516581481	0.551936120360094	0.437008514561527	0.549852079088901	0.482147651006711	0.673015261397883	0.581257262523464	0.673015261397883	0.551936120360094	0.626259340805978	0.673015261397883	0.416806782814009	0.611867518924631	0.608755703539277	0.51988715197484	0.551936120360094	1	0.673015261397883	0.551936120360094	0.673015261397883	0.551936120360094	0.551936120360094	0.62268838192521	0.608390658635465	0	0.320422754118744	0.608755703539277	0.673015261397883	0.673015261397883	0.551936120360094	0.324081670925244	0.673015261397883	0.613477777106927	0.611867518924631	0.673015261397883	0.326984738602116	0.551936120360094	0.536857456721845	0.626259340805978	0.613849190682985	0.551936120360094	0.551936120360094	0.551936120360094	0.673015261397883	0.633769951466341	0.673015261397883	0.626259340805978	0.501246139352961	0.673015261397883	0.536015959930388
ZB_5	0.192847421745048	0.84082867079994	0.66708516581481	0	0.652585639858424	0.830109894824147	0.69264060356653	0.777422860033348	0.777422860033348	0	0.671169657680449	0.606857399410434	0.337637985785574	0.368478723174187	0.777422860033348	0.286141295262296	0.777422860033348	0.671169657680449	0.137737227644866	0.777422860033348	0.855610425240055	0.179384379039661	0.716701913194719	0.652585639858424	0.671169657680449	1	0.777422860033348	0.671169657680449	0.777422860033348	0.671169657680449	0.671169657680449	0.890101170402698	0.192847421745048	0.66708516581481	0.703950584660104	0.716701913194719	0.777422860033348	0.777422860033348	0.671169657680449	0.661174958415243	0.777422860033348	0.174878693070049	0.179384379039661	0.777422860033348	0.843605134910258	0.671169657680449	0.706522633744856	0.137737227644866	0.562119341563786	0.671169657680449	0.671169657680449	0.671169657680449	0.777422860033348	0.492109060004743	0.777422860033348	0.137737227644866	0.848239967127791	0.777422860033348	0.262480265861201
ZB_6	0.519435366834066	0.692390026031687	0.51988715197484	0.652585639858424	0	0.624271575247433	0.445941303170052	0.843010425888975	0.843010425888975	0.652585639858424	0.0667529905043779	0.270890368726107	0.58660053871478	0.552081106503057	0.843010425888975	0.513227330223733	0.843010425888975	0.0667529905043779	0.729345681203604	0.843010425888975	0.602930877281076	0.722914617982812	0.123572573683561	0	0.0667529905043779	0.781261149358458	0.843010425888975	0.0667529905043779	0.843010425888975	0.0667529905043779	0.0667529905043779	0.300606525100096	0.519435366834066	0.51988715197484	0.409140161475746	0.123572573683561	0.843010425888975	0.843010425888975	0.0667529905043779	0.535400451920663	0.843010425888975	0.723625081959348	0.722914617982812	0.843010425888975	0.676876726085865	0.0667529905043779	0.459313926292004	0.729345681203604	0.641225576125529	0.0667529905043779	0.0667529905043779	0.0667529905043779	0.843010425888975	0.237200066525887	0.843010425888975	0.729345681203604	0.649715237126207	0.843010425888975	0.473497156783103
ZB_7	0.856313532929787	1	0.775360674645943	0.830109894824147	0.624271575247433	0	0.79685549646906	0.582172750931983	0.582172750931983	0.830109894824147	0.649352571217166	0.853489949438895	0.837494956126853	0.844369776520213	0.582172750931983	0.869911087751571	0.582172750931983	0.649352571217166	0.810150451033502	0.582172750931983	1	0.803157955778678	0.70617215439635	0.624271575247433	0.649352571217166	0.417827249068017	0.582172750931983	0.649352571217166	0.582172750931983	0.649352571217166	0.649352571217166	0.744578257481658	0.856313532929787	0.775360674645943	0.806089638963243	0.70617215439635	0.582172750931983	0.582172750931983	0.649352571217166	0.770260862839131	0.582172750931983	0.803939203907849	0.803157955778678	0.582172750931983	1	0.649352571217166	1	0.810150451033502	1	0.649352571217166	0.649352571217166	0.649352571217166	0.582172750931983	0.713394382594409	0.582172750931983	0.810150451033502	1	0.582172750931983	0.858041582028916
ZB_8	0.636051523814933	0.648668531758367	0.133462120941104	0.69264060356653	0.445941303170052	0.79685549646906	0	0.716655338127094	0.716655338127094	0.69264060356653	0.482926378098409	0.350297893440146	0.586018765120136	0.393778128701145	0.716655338127094	0.509800416278268	0.716655338127094	0.482926378098409	0.658166534448038	0.716655338127094	0.283344661872906	0.646166600868535	0.539745961277593	0.445941303170052	0.482926378098409	1	0.716655338127094	0.482926378098409	0.716655338127094	0.482926378098409	0.482926378098409	0.536341683575457	0.636051523814933	0.133462120941104	0.204455496839706	0.539745961277593	0.716655338127094	0.716655338127094	0.482926378098409	0.402466065692674	0.716655338127094	0.647505329148673	0.646166600868535	0.716655338127094	0.416806782814009	0.482926378098409	0.43086859350733	0.658166534448038	0.525479668377418	0.482926378098409	0.482926378098409	0.482926378098409	0.716655338127094	0.577364062917362	0.716655338127094	0.658166534448038	0.367784018411858	0.716655338127094	0.456838858468809
ZB_9	0.820346287615303	1	0.673015261397883	0.777422860033348	0.843010425888975	0.582172750931983	0.716655338127094	0	0	0.777422860033348	0.853489949438895	0.815910376298684	0.789930156484838	0.80127792320752	0	0.841111371159183	0	0.853489949438895	0.741868549701249	0	1	0.728768092781152	0.910309532618079	0.843010425888975	0.853489949438895	1	0	0.853489949438895	0	0.853489949438895	0.853489949438895	1	0.820346287615303	0.673015261397883	0.734303190240302	0.910309532618079	0	0	0.853489949438895	0.662097015031499	0	0.730249191122212	0.728768092781152	0	1	0.853489949438895	1	0.741868549701249	1	0.853489949438895	0.853489949438895	0.853489949438895	0	0.880248363311981	0	0.741868549701249	1	0	0.823039628220119
ZB_10	0.820346287615303	1	0.673015261397883	0.777422860033348	0.843010425888975	0.582172750931983	0.716655338127094	0	0	0.777422860033348	0.853489949438895	0.815910376298684	0.789930156484838	0.80127792320752	0	0.841111371159183	0	0.853489949438895	0.741868549701249	0	1	0.728768092781152	0.910309532618079	0.843010425888975	0.853489949438895	1	0	0.853489949438895	0	0.853489949438895	0.853489949438895	1	0.820346287615303	0.673015261397883	0.734303190240302	0.910309532618079	0	0	0.853489949438895	0.662097015031499	0	0.730249191122212	0.728768092781152	0	1	0.853489949438895	1	0.741868549701249	1	0.853489949438895	0.853489949438895	0.853489949438895	0	0.880248363311981	0	0.741868549701249	1	0	0.823039628220119
ZB_11	0.192847421745048	0.84082867079994	0.66708516581481	0	0.652585639858424	0.830109894824147	0.69264060356653	0.777422860033348	0.777422860033348	0	0.671169657680449	0.606857399410434	0.337637985785574	0.368478723174187	0.777422860033348	0.286141295262296	0.777422860033348	0.671169657680449	0.137737227644866	0.777422860033348	0.855610425240055	0.179384379039661	0.716701913194719	0.652585639858424	0.671169657680449	1	0.777422860033348	0.671169657680449	0.777422860033348	0.671169657680449	0.671169657680449	0.890101170402698	0.192847421745048	0.66708516581481	0.703950584660104	0.716701913194719	0.777422860033348	0.777422860033348	0.671169657680449	0.661174958415243	0.777422860033348	0.174878693070049	0.179384379039661	0.777422860033348	0.843605134910258	0.671169657680449	0.706522633744856	0.137737227644866	0.562119341563786	0.671169657680449	0.671169657680449	0.671169657680449	0.777422860033348	0.492109060004743	0.777422860033348	0.137737227644866	0.848239967127791	0.777422860033348	0.262480265861201
ZB_12	0.545141908451261	0.712923911703046	0.551936120360094	0.671169657680449	0.0667529905043779	0.649352571217166	0.482926378098409	0.853489949438895	0.853489949438895	0.671169657680449	0	0.204137378221729	0.609210965049662	0.576579535005911	0.853489949438895	0.459734959285319	0.853489949438895	0	0.743823622420745	0.853489949438895	0.629436428659514	0.738069496509008	0.0568195831791836	0.0667529905043779	0	0.795862621778271	0.853489949438895	0	0.853489949438895	0	0	0.347293131088914	0.545141908451261	0.551936120360094	0.448581822666173	0.0568195831791836	0.853489949438895	0.853489949438895	0	0.566413861141941	0.853489949438895	0.73870445874639	0.738069496509008	0.853489949438895	0.698446170921199	0	0.495406338636083	0.743823622420745	0.660848346451919	0	0	0	0.853489949438895	0.182638759393002	0.853489949438895	0.743823622420745	0.67309779257615	0.853489949438895	0.502293647505785
ZB_13	0.456181288657053	0.639289394373727	0.437008514561527	0.606857399410434	0.270890368726107	0.853489949438895	0.350297893440146	0.815910376298684	0.815910376298684	0.606857399410434	0.204137378221729	0	0.530719342842062	0.49153375275282	0.815910376298684	0.354070547091454	0.815910376298684	0.204137378221729	0.693720942597045	0.815910376298684	0.534387517141463	0.685459652613889	0.260956961400913	0.270890368726107	0.204137378221729	1	0.815910376298684	0.204137378221729	0.815910376298684	0.204137378221729	0.204137378221729	0.551430509310643	0.456181288657053	0.437008514561527	0.307144019275914	0.260956961400913	0.815910376298684	0.815910376298684	0.204137378221729	0.45519977067241	0.815910376298684	0.686374854819977	0.685459652613889	0.815910376298684	0.621098138262844	0.204137378221729	0.365978942149016	0.693720942597045	0.592728309601956	0.204137378221729	0.204137378221729	0.204137378221729	0.815910376298684	0.349492740110574	0.815910376298684	0.693720942597045	0.589247944961378	0.815910376298684	0.402327232134732
ZB_14	0.144790564040526	0.588382990009725	0.549852079088901	0.337637985785574	0.58660053871478	0.837494956126853	0.586018765120136	0.789930156484838	0.789930156484838	0.337637985785574	0.609210965049662	0.530719342842062	0	0.240213280895477	0.789930156484838	0.380632074773731	0.789930156484838	0.609210965049662	0.254789206846099	0.789930156484838	0.756591840690304	0.225497303509858	0.65576594691267	0.58660053871478	0.609210965049662	1	0.789930156484838	0.609210965049662	0.789930156484838	0.609210965049662	0.609210965049662	0.729954526472089	0.144790564040526	0.549852079088901	0.468166691877174	0.65576594691267	0.789930156484838	0.789930156484838	0.609210965049662	0.378313146494563	0.789930156484838	0.288517812787097	0.225497303509858	0.789930156484838	0.73532694814572	0.609210965049662	0.734164475179377	0.254789206846099	0.4494081162375	0.609210965049662	0.609210965049662	0.609210965049662	0.789930156484838	0.460703415289746	0.789930156484838	0.254789206846099	0.743556194221752	0.789930156484838	0.316251939778389
