ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.570286058538435	0.485513786652759	0.554602170984334	0.445382852988863	0.570112249419284	0.457354612382035	0.554008820650144	0.205334322329264	0.0384302786446052	0.420563577397693	0.087819106501795	0.329324395106443	0.522319968202267	0.535486210869163	0.356910965880156	0.432041079789591	0.539974646101838	0.595758314183985	0.920420351297171	0.0266318107053176	0.471882295213596	0.173748060899371	0.459704811350585	0.368344587115342	0.556553173660574	0.423407527087452	0.0379624393583142	0.507255123093809	0.586245331541334	0.210774220344825	0.537216512727115	0.374072065297322	0.554589845787859	0.88814550361229	0.357119416590702	0.51157744268383	0.48160637546786	0.0546301963656797	0.208805137738719	0.386642913067134	0.190848614819029	0.459986610750943	0.23692918332153	0.538748344955424	0.469186601020776	0.0445833438773186	0.324011043511579	0.388879120020319	0.474794157117387	0.438341265836595	0.490418611557057	0.06407261917401	0.39904673683104	0.570296876887356	0.0539797811442801	0.575748842201507	0.129712821212446	0.441636345756712	0.20557726636754	0.445382852988863	0.509975805997862	0.185535339846719	0.481477094981193
ZB_2	0.570286058538435	0	0.540012253524293	0.392569715121688	0.250469817887631	0.401614621837656	0.572877142297661	0.459447444897093	0.476147555015215	0.566410290099687	0.353553567286993	0.588866310665847	0.347685308674906	0.423969411666828	0.445349501309411	0.463853660488147	0.390909314751434	0.50991586937194	0.438451290970858	0.719823360526592	0.587767037608643	0.468618341019526	0.556658939604064	0.582407070897963	0.596715758427511	0.301835048754063	0.43862134088763	0.544384425852219	0.477211682396781	0.424804742887837	0.449080347816267	0.523370516883841	0.503099992275054	0.379246403946208	0.741234629780836	0.533431627750008	0.472746141416393	0.482470859811906	0.577288607245249	0.506099748220978	0.590202892901996	0.523407187148711	0.604021774645258	0.41132300038782	0.449164940288648	0.604878182315905	0.592789226633858	0.477840673335817	0.509934352761013	0.291410065408424	0.607035602183073	0.569479879551054	0.525349958032112	0.506733578051997	0.401880344845531	0.555312999214794	0.409723529915262	0.542217746993157	0.422491771998092	0.502940670331116	0.250469817887631	0.41555019797366	0.495017342373023	0.221477714365744
ZB_3	0.485513786652759	0.540012253524293	0	0.35146162263561	0.53110471551915	0.583595112492824	0.100309793090472	0.352699702985775	0.466604555629351	0.475826121717296	0.258012938774506	0.529572853558534	0.550378713372274	0.383123339065187	0.408841644520869	0.294524707439863	0.200283496912897	0.40026262310458	0.535901855474027	0.802131098311925	0.501644279686822	0.441847557778343	0.467215882444896	0.169330710888802	0.325018553640637	0.575061553135328	0.524227911447031	0.489520632165757	0.459218383617321	0.52928102022122	0.430539315304049	0.479552946023898	0.251940702980669	0.60085479649457	0.738339862268155	0.202302197552209	0.433437548851024	0.43740939512391	0.485910412522135	0.437389401281851	0.311385582623194	0.434822471689608	0.158910244194593	0.467195753621081	0.402623104580272	0.129357837159195	0.490263927970244	0.433187121531398	0.202948981884652	0.488943005436253	0.152624274917383	0.0528682155063681	0.444049206592109	0.377823174945944	0.57559157380004	0.499421986587636	0.538831155868066	0.496445208691574	0.336486096737526	0.417442551195873	0.53110471551915	0.454616226356104	0.45747381585118	0.558279831746735
ZB_4	0.554602170984334	0.392569715121688	0.35146162263561	0	0.363919411794283	0.409325580131515	0.402681855716538	0.100514520417892	0.488945763450229	0.544180639872603	0.315363145040781	0.557480336298414	0.52813004754831	0.069244097446924	0.0776728202263359	0.320975306025118	0.229008194122261	0.161713888028449	0.414534142087314	0.8385064339835	0.556292965247398	0.155165960078443	0.453359090085899	0.408606986590937	0.394863307779981	0.416027677459634	0.497348150797713	0.528891024111969	0.145865603548242	0.403857857891149	0.453515107719649	0.326732228658673	0.370556537536211	0.429303963971998	0.765382964157664	0.397022058933078	0.110967217693812	0.460389061178461	0.539181588457463	0.457255358677869	0.349213883120736	0.457754915563978	0.415348070330931	0.513968543087109	0.0692550553143225	0.422177024665872	0.543916256826889	0.475963533968174	0.334205849788642	0.310884977315712	0.448728799109648	0.389577146604966	0.509996539594763	0.446414011954271	0.38262640910111	0.523724288780806	0.384612227307242	0.490411861381089	0.40661598275234	0.415000807476531	0.363919411794283	0.139635865011046	0.479521947702632	0.398102487342825
ZB_5	0.445382852988863	0.250469817887631	0.53110471551915	0.363919411794283	0	0.589836843966257	0.566998679201305	0.439651607567456	0.3261371448942	0.455696711910923	0.374477362637363	0.468192420893226	0.549898481163413	0.39897007957066	0.422770502026816	0.446096666904478	0.365567832776102	0.495820472301399	0.61438001614665	0.657151579093942	0.466476625323145	0.449106395397955	0.42940558928368	0.577300999192604	0.602839610155216	0.508545048095477	0.614493524250826	0.414128130883488	0.458091092000778	0.605277229551708	0.291334963031066	0.558342005736477	0.490475817198401	0.574977405408046	0.629781136140739	0.524068696038464	0.45343389460555	0.643827364468709	0.468690518826734	0.366363501189532	0.586185018178384	0.393013428713866	0.601014760147601	0.550961525602792	0.427211089580698	0.602151726280818	0.474300109053009	0.60433949063684	0.498176441596846	0.068411888261913	0.604414960469047	0.563518051555386	0.391159810339828	0.626232772654835	0.590013565232612	0.427315312077563	0.595231844420148	0.406840744986401	0.547800415825365	0.364625889093247	0	0.387836424588395	0.349092868538067	0.0473326513889707
ZB_6	0.570112249419284	0.401614621837656	0.583595112492824	0.409325580131515	0.589836843966257	0	0.563975250388485	0.393250556272835	0.61689921115207	0.574542374007508	0.492234982384639	0.563704932665152	0.340401653868872	0.388284457013813	0.370056834852914	0.457658995450041	0.519058109860922	0.359808123589277	0.118352923759024	0.950921506302246	0.562527541222164	0.330229290270777	0.606456949362835	0.531734879966516	0.376904757356359	0.144675350096649	0.232617444753403	0.580879104335959	0.349869352391022	0.0926023200702517	0.620828884246965	0.228814576051573	0.454887857649909	0.044743442771318	0.954003062034426	0.465811191886788	0.351578696177422	0.199768730528631	0.569928907485703	0.618224902518838	0.404616961919799	0.603996920213111	0.5187057323275	0.404545757515164	0.374563031375426	0.560711701453356	0.567906149729914	0.292340757185707	0.491749221624682	0.607940334827967	0.538658655120615	0.576085632704981	0.58845381364783	0.299698424819767	0.0941361953014017	0.576402762525965	0.086534530409328	0.594198842567142	0.30838600819363	0.62570986060919	0.589836843966257	0.353488935032319	0.610379639937047	0.57725507345974
ZB_7	0.457354612382035	0.572877142297661	0.100309793090472	0.402681855716538	0.566998679201305	0.563975250388485	0	0.371306279564127	0.437885602447117	0.447136716240921	0.290979721855334	0.471765732826062	0.528022574863022	0.402365768491743	0.428621585562812	0.25582958134534	0.286252836431686	0.419863262922037	0.485738499277917	0.844751539648509	0.474367969431955	0.461915892968342	0.488215842860882	0.119270227392914	0.25451361117346	0.554538901548621	0.472858438357439	0.462114823538535	0.480051196609023	0.50673511802671	0.399335166900809	0.451964550048492	0.211689176874297	0.581894124138404	0.820741141680308	0.160822438261258	0.453731543367103	0.410463142055789	0.45777294662121	0.457765989364894	0.294479469162366	0.454746862179999	0.108502135272391	0.440703579240941	0.422273078371667	0.101974785609348	0.462364741340975	0.405812561037995	0.198323654883389	0.56915469062177	0.0577353127885503	0.0669815459006192	0.413620567551098	0.315293049530919	0.527690903594847	0.472547746210836	0.516558735990327	0.468852437391585	0.303775197156437	0.468692915947251	0.566998679201305	0.424731395555907	0.42774556942823	0.59446507652863
ZB_8	0.554008820650144	0.459447444897093	0.352699702985775	0.100514520417892	0.439651607567456	0.393250556272835	0.371306279564127	0	0.519977178471692	0.543573406177146	0.382138665603756	0.556885943192071	0.527523203928268	0.0677026919650885	0.076124464792912	0.387931171653974	0.300089772362937	0.0644919242019585	0.347581403400393	0.892694687716915	0.55569537595059	0.153802580424311	0.452589318417001	0.437279787838606	0.329916047263245	0.448922259333883	0.49673362024785	0.528263421887458	0.144431726652253	0.334895865886095	0.485737811572399	0.244860275716301	0.37177173859675	0.413290377619564	0.822890667690626	0.367051540253767	0.1094747551825	0.400702154792082	0.53856095337859	0.489481890100782	0.282382931127542	0.4892246742517	0.382904589171021	0.513375639208921	0.0676925685700962	0.391993556031735	0.543301998449127	0.475343133298056	0.335433989064598	0.389024678412666	0.418569932978458	0.358877410724239	0.509343766505078	0.38755921102734	0.381781156759635	0.523082835648306	0.345022779163116	0.489696096931175	0.376767209361795	0.481918871347174	0.439651607567456	0.138191529950401	0.51130276463415	0.472282937779681
ZB_9	0.205334322329264	0.476147555015215	0.466604555629351	0.488945763450229	0.3261371448942	0.61689921115207	0.437885602447117	0.519977178471692	0	0.191473484780782	0.322211381888	0.205324430670817	0.392803416865102	0.503869152303904	0.508823436673405	0.289642103757732	0.350864629050485	0.513500383444897	0.638395401862056	0.846876936265564	0.202478158564064	0.487945246433758	0.131668350013773	0.417938776063556	0.405771352757271	0.543416125747956	0.486210981714742	0.17113800067919	0.479437100846577	0.630402854819328	0.0969542431969311	0.589561794875251	0.348795782609839	0.603966834661031	0.817180975327836	0.372428226798524	0.474718229381547	0.535209650320912	0.179637026391074	0.0878707189422459	0.410322597052503	0.10000622759179	0.389729680288191	0.324325520333958	0.512222446437642	0.423076054593372	0.185957101470302	0.405934337168022	0.375825614819546	0.338918690120553	0.418521709108339	0.471611849920501	0.2369208280926	0.459122146206472	0.617053386153556	0.159003840103007	0.621609866724658	0.0927275256510498	0.439508690614137	0.140786367173589	0.3261371448942	0.4822668321073	0.0261273056336401	0.363644465569485
ZB_10	0.0384302786446052	0.566410290099687	0.475826121717296	0.544180639872603	0.455696711910923	0.574542374007508	0.447136716240921	0.543573406177146	0.191473484780782	0	0.417395322980888	0.122719613869992	0.326007074557436	0.511408843568522	0.533513798136218	0.366985321844057	0.422079423495636	0.537993889058054	0.599678034447188	0.913644156665612	0.064343123187606	0.46035121109839	0.159340659340659	0.458263197387901	0.344563803785795	0.561265634581588	0.429675890879525	0.0576842495054522	0.505347373154463	0.590350770569307	0.225637279202651	0.542346534016596	0.383352455971359	0.559343903546802	0.891903979735212	0.346836827711942	0.500149208091868	0.486739165823468	0.0163872860238628	0.223795352094184	0.395745922274086	0.17727252833822	0.449226649461828	0.224517559127265	0.536769814922691	0.459191498685364	0.0460611472893108	0.323332004726046	0.378778109919309	0.462797452150473	0.427765352462258	0.48082330342146	0.0828171979778244	0.416840698623991	0.57472321659837	0.0734172034418578	0.580064137876761	0.114598661066664	0.44971666724159	0.191971824190669	0.455696711910923	0.508060909619427	0.171333473734331	0.477297095327832
