ZB_2	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_23	ZB_25	ZB_27	ZB_28	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_50	ZB_52	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_2	0	0.234912083553675	0.31501794183901	0.516376247852166	0.0879990745637229	0.0879990745637229	0.0879990745637229	0.0879990745637229	0.107505789000162	0.404696668967898	0.50511304798067	0.253417559097863	0.146913008989952	0.0879990745637229	0.107505789000162	0.0879990745637229	0.418245258952384	0.107505789000162	0.234912083553675	0.234912083553675	0.50511304798067	0.434637319081201	0.446546191521702	0.411990964689837	0.0879990745637229	0.418245258952384	0.434637319081201	0.50511304798067	0.107505789000162	0.0879990745637229	0.428559251603554	0.234912083553675	0.234912083553675	0.418245258952384	0.0879990745637229	0.234912083553675	0.234912083553675	0	0.234912083553675	0.234912083553675	0.353005042584505	0.107505789000162	0.234912083553675	0.42147048671039	0.418245258952384	0.234912083553675	0.338301337413019	0	0.511176934387453	0.0879990745637229	0.107505789000162	0.216138947646748	0.0879990745637229	0.107505789000162
ZB_4	0.234912083553675	0	0.475928504318493	0.561926735846698	0.161088662184935	0.161088662184935	0.161088662184935	0.161088662184935	0.317163463665728	0.470158733791872	0.550906506338553	0.428798795834773	0.103153694161404	0.161088662184935	0.317163463665728	0.161088662184935	0.482934619937903	0.317163463665728	0	0	0.550906506338553	0.473796074241615	0.492948667350751	0.477041421455116	0.161088662184935	0.482934619937903	0.473796074241615	0.550906506338553	0.317163463665728	0.161088662184935	0.467691494009704	0	0	0.482934619937903	0.161088662184935	0	0	0.234912083553675	0	0	0.390941142421133	0.317163463665728	0	0.460558818046234	0.482934619937903	0	0.375815671682036	0.234912083553675	0.556844574240578	0.161088662184935	0.317163463665728	0.30159276641238	0.161088662184935	0.317163463665728
ZB_5	0.31501794183901	0.475928504318493	0	0.34981204479599	0.375295729049932	0.375295729049932	0.375295729049932	0.375295729049932	0.232508121936587	0.242676987389117	0.33577350414529	0.0825098199024236	0.415650717107572	0.375295729049932	0.232508121936587	0.375295729049932	0.258683138851907	0.232508121936587	0.475928504318493	0.475928504318493	0.33577350414529	0.273905552509985	0.433880371626014	0.251287780666976	0.375295729049932	0.258683138851907	0.273905552509985	0.33577350414529	0.232508121936587	0.375295729049932	0.266662052737214	0.475928504318493	0.475928504318493	0.258683138851907	0.375295729049932	0.475928504318493	0.475928504318493	0.31501794183901	0.475928504318493	0.475928504318493	0.356334943446041	0.232508121936587	0.475928504318493	0.258228075965318	0.258683138851907	0.475928504318493	0.160389852956158	0.31501794183901	0.343325786263014	0.375295729049932	0.232508121936587	0.46306924304683	0.375295729049932	0.232508121936587
ZB_6	0.516376247852166	0.561926735846698	0.34981204479599	0	0.487614197324041	0.487614197324041	0.487614197324041	0.487614197324041	0.550884955752212	0.128079698005316	0.0269104687831084	0.299853472903029	0.586927165945042	0.487614197324041	0.550884955752212	0.487614197324041	0.103967030757891	0.550884955752212	0.561926735846698	0.561926735846698	0.0269104687831084	0.0881306616050828	0.149185456630395	0.115235989188948	0.487614197324041	0.103967030757891	0.0881306616050828	0.0269104687831084	0.550884955752212	0.487614197324041	0.0995987861291386	0.561926735846698	0.561926735846698	0.103967030757891	0.487614197324041	0.561926735846698	0.561926735846698	0.516376247852166	0.561926735846698	0.561926735846698	0.224168305240785	0.550884955752212	0.561926735846698	0.112669492970233	0.103967030757891	0.561926735846698	0.245104167850608	0.516376247852166	0.0125764997694101	0.487614197324041	0.550884955752212	0.439034529981414	0.487614197324041	0.550884955752212
ZB_7	0.0879990745637229	0.161088662184935	0.375295729049932	0.487614197324041	0	0	0	0	0.186044453621628	0.368418040948054	0.474953936300484	0.319116122982776	0.234912083553675	0	0.186044453621628	0	0.383647166566151	0.186044453621628	0.161088662184935	0.161088662184935	0.474953936300484	0.401014094574371	0.408552385617966	0.376622349738504	0	0.383647166566151	0.401014094574371	0.474953936300484	0.186044453621628	0	0.39418721548871	0.161088662184935	0.161088662184935	0.383647166566151	0	0.161088662184935	0.161088662184935	0.0879990745637229	0.161088662184935	0.161088662184935	0.308589771687143	0.186044453621628	0.161088662184935	0.386214078897676	0.383647166566151	0.161088662184935	0.291771759081966	0.0879990745637229	0.481774333834111	0	0.186044453621628	0.140504104227445	0	0.186044453621628
ZB_8	0.0879990745637229	0.161088662184935	0.375295729049932	0.487614197324041	0	0	0	0	0.186044453621628	0.368418040948054	0.474953936300484	0.319116122982776	0.234912083553675	0	0.186044453621628	0	0.383647166566151	0.186044453621628	0.161088662184935	0.161088662184935	0.474953936300484	0.401014094574371	0.408552385617966	0.376622349738504	0	0.383647166566151	0.401014094574371	0.474953936300484	0.186044453621628	0	0.39418721548871	0.161088662184935	0.161088662184935	0.383647166566151	0	0.161088662184935	0.161088662184935	0.0879990745637229	0.161088662184935	0.161088662184935	0.308589771687143	0.186044453621628	0.161088662184935	0.386214078897676	0.383647166566151	0.161088662184935	0.291771759081966	0.0879990745637229	0.481774333834111	0	0.186044453621628	0.140504104227445	0	0.186044453621628
ZB_9	0.0879990745637229	0.161088662184935	0.375295729049932	0.487614197324041	0	0	0	0	0.186044453621628	0.368418040948054	0.474953936300484	0.319116122982776	0.234912083553675	0	0.186044453621628	0	0.383647166566151	0.186044453621628	0.161088662184935	0.161088662184935	0.474953936300484	0.401014094574371	0.408552385617966	0.376622349738504	0	0.383647166566151	0.401014094574371	0.474953936300484	0.186044453621628	0	0.39418721548871	0.161088662184935	0.161088662184935	0.383647166566151	0	0.161088662184935	0.161088662184935	0.0879990745637229	0.161088662184935	0.161088662184935	0.308589771687143	0.186044453621628	0.161088662184935	0.386214078897676	0.383647166566151	0.161088662184935	0.291771759081966	0.0879990745637229	0.481774333834111	0	0.186044453621628	0.140504104227445	0	0.186044453621628
ZB_10	0.0879990745637229	0.161088662184935	0.375295729049932	0.487614197324041	0	0	0	0	0.186044453621628	0.368418040948054	0.474953936300484	0.319116122982776	0.234912083553675	0	0.186044453621628	0	0.383647166566151	0.186044453621628	0.161088662184935	0.161088662184935	0.474953936300484	0.401014094574371	0.408552385617966	0.376622349738504	0	0.383647166566151	0.401014094574371	0.474953936300484	0.186044453621628	0	0.39418721548871	0.161088662184935	0.161088662184935	0.383647166566151	0	0.161088662184935	0.161088662184935	0.0879990745637229	0.161088662184935	0.161088662184935	0.308589771687143	0.186044453621628	0.161088662184935	0.386214078897676	0.383647166566151	0.161088662184935	0.291771759081966	0.0879990745637229	0.481774333834111	0	0.186044453621628	0.140504104227445	0	0.186044453621628
ZB_11	0.107505789000162	0.317163463665728	0.232508121936587	0.550884955752212	0.186044453621628	0.186044453621628	0.186044453621628	0.186044453621628	0	0.448091366395648	0.541187883151821	0.31501794183901	0.238624799044262	0.186044453621628	0	0.186044453621628	0.459756049808129	0	0.317163463665728	0.317163463665728	0.541187883151821	0.474978463466207	0.491278844128051	0.454366589877698	0.186044453621628	0.459756049808129	0.474978463466207	0.541187883151821	0	0.186044453621628	0.469740861947935	0.317163463665728	0.317163463665728	0.459756049808129	0.186044453621628	0.317163463665728	0.317163463665728	0.107505789000162	0.317163463665728	0.317163463665728	0.405298116052915	0	0.317163463665728	0.463642454971848	0.459756049808129	0.317163463665728	0.392897974892745	0.107505789000162	0.546404595473735	0.186044453621628	0	0.300408548546482	0.186044453621628	0
ZB_12	0.404696668967898	0.470158733791872	0.242676987389117	0.128079698005316	0.368418040948054	0.368418040948054	0.368418040948054	0.368418040948054	0.448091366395648	0	0.10653589535243	0.183131256472213	0.500593286158095	0.368418040948054	0.448091366395648	0.368418040948054	0.0241126672474257	0.448091366395648	0.470158733791872	0.470158733791872	0.10653589535243	0.0414795952556457	0.218805433799883	0.0353816256784829	0.368418040948054	0.0241126672474257	0.0414795952556457	0.10653589535243	0.448091366395648	0.368418040948054	0.0527485536867029	0.470158733791872	0.470158733791872	0.0241126672474257	0.368418040948054	0.470158733791872	0.470158733791872	0.404696668967898	0.470158733791872	0.470158733791872	0.130065576397075	0.448091366395648	0.470158733791872	0.0177960379496218	0.0241126672474257	0.470158733791872	0.151146156399135	0.404696668967898	0.139348656436373	0.368418040948054	0.448091366395648	0.457157898350862	0.368418040948054	0.448091366395648
ZB_13	0.50511304798067	0.550906506338553	0.33577350414529	0.0269104687831084	0.474953936300484	0.474953936300484	0.474953936300484	0.474953936300484	0.541187883151821	0.10653589535243	0	0.283547635484984	0.577142919834557	0.474953936300484	0.541187883151821	0.474953936300484	0.128079698005316	0.541187883151821	0.550906506338553	0.550906506338553	0	0.112669492970233	0.125656462149353	0.139348656436373	0.474953936300484	0.128079698005316	0.112669492970233	0	0.541187883151821	0.474953936300484	0.124137617494289	0.550906506338553	0.550906506338553	0.128079698005316	0.474953936300484	0.550906506338553	0.550906506338553	0.50511304798067	0.550906506338553	0.550906506338553	0.204651379567487	0.541187883151821	0.550906506338553	0.0903476882923192	0.128079698005316	0.550906506338553	0.226113907531693	0.50511304798067	0.0394869685525184	0.474953936300484	0.541187883151821	0.423824175824176	0.474953936300484	0.541187883151821
ZB_14	0.253417559097863	0.428798795834773	0.0825098199024236	0.299853472903029	0.319116122982776	0.319116122982776	0.319116122982776	0.319116122982776	0.31501794183901	0.183131256472213	0.283547635484984	0	0.363100231949859	0.319116122982776	0.31501794183901	0.319116122982776	0.201722484003247	0.31501794183901	0.428798795834773	0.428798795834773	0.283547635484984	0.218114544132064	0.389368312046945	0.193140409572314	0.319116122982776	0.201722484003247	0.218114544132064	0.283547635484984	0.31501794183901	0.319116122982776	0.209708696486031	0.428798795834773	0.428798795834773	0.201722484003247	0.319116122982776	0.428798795834773	0.428798795834773	0.253417559097863	0.428798795834773	0.428798795834773	0.305725750776666	0.31501794183901	0.428798795834773	0.199905074214705	0.201722484003247	0.428798795834773	0.0848837783151557	0.253417559097863	0.29232637926993	0.319116122982776	0.31501794183901	0.414783102205991	0.319116122982776	0.31501794183901
ZB_15	0.146913008989952	0.103153694161404	0.415650717107572	0.586927165945042	0.234912083553675	0.234912083553675	0.234912083553675	0.234912083553675	0.238624799044262	0.500593286158095	0.577142919834557	0.363100231949859	0	0.234912083553675	0.238624799044262	0.234912083553675	0.511959351907488	0.238624799044262	0.103153694161404	0.103153694161404	0.577142919834557	0.503826038496163	0.526143670318052	0.506712553540606	0.234912083553675	0.511959351907488	0.503826038496163	0.577142919834557	0.238624799044262	0.234912083553675	0.498401932848677	0.103153694161404	0.103153694161404	0.511959351907488	0.234912083553675	0.103153694161404	0.103153694161404	0.146913008989952	0.103153694161404	0.103153694161404	0.430814246548396	0.238624799044262	0.103153694161404	0.49207341824924	0.511959351907488	0.103153694161404	0.417625822358076	0.146913008989952	0.582411510417231	0.234912083553675	0.238624799044262	0.3630519566367	0.234912083553675	0.238624799044262
ZB_16	0.0879990745637229	0.161088662184935	0.375295729049932	0.487614197324041	0	0	0	0	0.186044453621628	0.368418040948054	0.474953936300484	0.319116122982776	0.234912083553675	0	0.186044453621628	0	0.383647166566151	0.186044453621628	0.161088662184935	0.161088662184935	0.474953936300484	0.401014094574371	0.408552385617966	0.376622349738504	0	0.383647166566151	0.401014094574371	0.474953936300484	0.186044453621628	0	0.39418721548871	0.161088662184935	0.161088662184935	0.383647166566151	0	0.161088662184935	0.161088662184935	0.0879990745637229	0.161088662184935	0.161088662184935	0.308589771687143	0.186044453621628	0.161088662184935	0.386214078897676	0.383647166566151	0.161088662184935	0.291771759081966	0.0879990745637229	0.481774333834111	0	0.186044453621628	0.140504104227445	0	0.186044453621628
ZB_17	0.107505789000162	0.317163463665728	0.232508121936587	0.550884955752212	0.186044453621628	0.186044453621628	0.186044453621628	0.186044453621628	0	0.448091366395648	0.541187883151821	0.31501794183901	0.238624799044262	0.186044453621628	0	0.186044453621628	0.459756049808129	0	0.317163463665728	0.317163463665728	0.541187883151821	0.474978463466207	0.491278844128051	0.454366589877698	0.186044453621628	0.459756049808129	0.474978463466207	0.541187883151821	0	0.186044453621628	0.469740861947935	0.317163463665728	0.317163463665728	0.459756049808129	0.186044453621628	0.317163463665728	0.317163463665728	0.107505789000162	0.317163463665728	0.317163463665728	0.405298116052915	0	0.317163463665728	0.463642454971848	0.459756049808129	0.317163463665728	0.392897974892745	0.107505789000162	0.546404595473735	0.186044453621628	0	0.300408548546482	0.186044453621628	0
ZB_18	0.0879990745637229	0.161088662184935	0.375295729049932	0.487614197324041	0	0	0	0	0.186044453621628	0.368418040948054	0.474953936300484	0.319116122982776	0.234912083553675	0	0.186044453621628	0	0.383647166566151	0.186044453621628	0.161088662184935	0.161088662184935	0.474953936300484	0.401014094574371	0.408552385617966	0.376622349738504	0	0.383647166566151	0.401014094574371	0.474953936300484	0.186044453621628	0	0.39418721548871	0.161088662184935	0.161088662184935	0.383647166566151	0	0.161088662184935	0.161088662184935	0.0879990745637229	0.161088662184935	0.161088662184935	0.308589771687143	0.186044453621628	0.161088662184935	0.386214078897676	0.383647166566151	0.161088662184935	0.291771759081966	0.0879990745637229	0.481774333834111	0	0.186044453621628	0.140504104227445	0	0.186044453621628
ZB_19	0.418245258952384	0.482934619937903	0.258683138851907	0.103967030757891	0.383647166566151	0.383647166566151	0.383647166566151	0.383647166566151	0.459756049808129	0.0241126672474257	0.128079698005316	0.201722484003247	0.511959351907488	0.383647166566151	0.459756049808129	0.383647166566151	0	0.459756049808129	0.482934619937903	0.482934619937903	0.128079698005316	0.01736692800822	0.237642118430164	0.0112689584310572	0.383647166566151	0	0.01736692800822	0.128079698005316	0.459756049808129	0.383647166566151	0.0286358864392772	0.482934619937903	0.482934619937903	0	0.383647166566151	0.482934619937903	0.482934619937903	0.418245258952384	0.482934619937903	0.482934619937903	0.151042015680493	0.459756049808129	0.482934619937903	0.0414795952556457	0	0.482934619937903	0.171614286671581	0.418245258952384	0.115235989188948	0.383647166566151	0.459756049808129	0.470247269315821	0.383647166566151	0.459756049808129
ZB_20	0.107505789000162	0.317163463665728	0.232508121936587	0.550884955752212	0.186044453621628	0.186044453621628	0.186044453621628	0.186044453621628	0	0.448091366395648	0.541187883151821	0.31501794183901	0.238624799044262	0.186044453621628	0	0.186044453621628	0.459756049808129	0	0.317163463665728	0.317163463665728	0.541187883151821	0.474978463466207	0.491278844128051	0.454366589877698	0.186044453621628	0.459756049808129	0.474978463466207	0.541187883151821	0	0.186044453621628	0.469740861947935	0.317163463665728	0.317163463665728	0.459756049808129	0.186044453621628	0.317163463665728	0.317163463665728	0.107505789000162	0.317163463665728	0.317163463665728	0.405298116052915	0	0.317163463665728	0.463642454971848	0.459756049808129	0.317163463665728	0.392897974892745	0.107505789000162	0.546404595473735	0.186044453621628	0	0.300408548546482	0.186044453621628	0
ZB_21	0.234912083553675	0	0.475928504318493	0.561926735846698	0.161088662184935	0.161088662184935	0.161088662184935	0.161088662184935	0.317163463665728	0.470158733791872	0.550906506338553	0.428798795834773	0.103153694161404	0.161088662184935	0.317163463665728	0.161088662184935	0.482934619937903	0.317163463665728	0	0	0.550906506338553	0.473796074241615	0.492948667350751	0.477041421455116	0.161088662184935	0.482934619937903	0.473796074241615	0.550906506338553	0.317163463665728	0.161088662184935	0.467691494009704	0	0	0.482934619937903	0.161088662184935	0	0	0.234912083553675	0	0	0.390941142421133	0.317163463665728	0	0.460558818046234	0.482934619937903	0	0.375815671682036	0.234912083553675	0.556844574240578	0.161088662184935	0.317163463665728	0.30159276641238	0.161088662184935	0.317163463665728
ZB_23	0.234912083553675	0	0.475928504318493	0.561926735846698	0.161088662184935	0.161088662184935	0.161088662184935	0.161088662184935	0.317163463665728	0.470158733791872	0.550906506338553	0.428798795834773	0.103153694161404	0.161088662184935	0.317163463665728	0.161088662184935	0.482934619937903	0.317163463665728	0	0	0.550906506338553	0.473796074241615	0.492948667350751	0.477041421455116	0.161088662184935	0.482934619937903	0.473796074241615	0.550906506338553	0.317163463665728	0.161088662184935	0.467691494009704	0	0	0.482934619937903	0.161088662184935	0	0	0.234912083553675	0	0	0.390941142421133	0.317163463665728	0	0.460558818046234	0.482934619937903	0	0.375815671682036	0.234912083553675	0.556844574240578	0.161088662184935	0.317163463665728	0.30159276641238	0.161088662184935	0.317163463665728
ZB_25	0.50511304798067	0.550906506338553	0.33577350414529	0.0269104687831084	0.474953936300484	0.474953936300484	0.474953936300484	0.474953936300484	0.541187883151821	0.10653589535243	0	0.283547635484984	0.577142919834557	0.474953936300484	0.541187883151821	0.474953936300484	0.128079698005316	0.541187883151821	0.550906506338553	0.550906506338553	0	0.112669492970233	0.125656462149353	0.139348656436373	0.474953936300484	0.128079698005316	0.112669492970233	0	0.541187883151821	0.474953936300484	0.124137617494289	0.550906506338553	0.550906506338553	0.128079698005316	0.474953936300484	0.550906506338553	0.550906506338553	0.50511304798067	0.550906506338553	0.550906506338553	0.204651379567487	0.541187883151821	0.550906506338553	0.0903476882923192	0.128079698005316	0.550906506338553	0.226113907531693	0.50511304798067	0.0394869685525184	0.474953936300484	0.541187883151821	0.423824175824176	0.474953936300484	0.541187883151821
ZB_27	0.434637319081201	0.473796074241615	0.273905552509985	0.0881306616050828	0.401014094574371	0.401014094574371	0.401014094574371	0.401014094574371	0.474978463466207	0.0414795952556457	0.112669492970233	0.218114544132064	0.503826038496163	0.401014094574371	0.474978463466207	0.401014094574371	0.01736692800822	0.474978463466207	0.473796074241615	0.473796074241615	0.112669492970233	0	0.224168305240785	0.0286358864392772	0.401014094574371	0.01736692800822	0	0.112669492970233	0.474978463466207	0.401014094574371	0.0114681245240558	0.473796074241615	0.473796074241615	0.01736692800822	0.401014094574371	0.473796074241615	0.473796074241615	0.434637319081201	0.473796074241615	0.473796074241615	0.136037643635702	0.474978463466207	0.473796074241615	0.0245388313651501	0.01736692800822	0.473796074241615	0.156973506245525	0.434637319081201	0.0995987861291386	0.401014094574371	0.474978463466207	0.487614197324041	0.401014094574371	0.474978463466207
ZB_28	0.446546191521702	0.492948667350751	0.433880371626014	0.149185456630395	0.408552385617966	0.408552385617966	0.408552385617966	0.408552385617966	0.491278844128051	0.218805433799883	0.125656462149353	0.389368312046945	0.526143670318052	0.408552385617966	0.491278844128051	0.408552385617966	0.237642118430164	0.491278844128051	0.492948667350751	0.492948667350751	0.125656462149353	0.224168305240785	0	0.248911076861221	0.408552385617966	0.237642118430164	0.224168305240785	0.125656462149353	0.491278844128051	0.408552385617966	0.235636429764841	0.492948667350751	0.492948667350751	0.237642118430164	0.408552385617966	0.492948667350751	0.492948667350751	0.446546191521702	0.492948667350751	0.492948667350751	0.102007524929618	0.491278844128051	0.492948667350751	0.204651379567487	0.237642118430164	0.492948667350751	0.340417598806861	0.446546191521702	0.161761956399806	0.408552385617966	0.491278844128051	0.342863281529757	0.408552385617966	0.491278844128051
ZB_30	0.411990964689837	0.477041421455116	0.251287780666976	0.115235989188948	0.376622349738504	0.376622349738504	0.376622349738504	0.376622349738504	0.454366589877698	0.0353816256784829	0.139348656436373	0.193140409572314	0.506712553540606	0.376622349738504	0.454366589877698	0.376622349738504	0.0112689584310572	0.454366589877698	0.477041421455116	0.477041421455116	0.139348656436373	0.0286358864392772	0.248911076861221	0	0.376622349738504	0.0112689584310572	0.0286358864392772	0.139348656436373	0.454366589877698	0.376622349738504	0.0175648657502061	0.477041421455116	0.477041421455116	0.0112689584310572	0.376622349738504	0.477041421455116	0.477041421455116	0.411990964689837	0.477041421455116	0.477041421455116	0.16231097411155	0.454366589877698	0.477041421455116	0.0527485536867029	0.0112689584310572	0.477041421455116	0.162172847315569	0.411990964689837	0.105151984095607	0.376622349738504	0.454366589877698	0.464209468083905	0.376622349738504	0.454366589877698
ZB_31	0.0879990745637229	0.161088662184935	0.375295729049932	0.487614197324041	0	0	0	0	0.186044453621628	0.368418040948054	0.474953936300484	0.319116122982776	0.234912083553675	0	0.186044453621628	0	0.383647166566151	0.186044453621628	0.161088662184935	0.161088662184935	0.474953936300484	0.401014094574371	0.408552385617966	0.376622349738504	0	0.383647166566151	0.401014094574371	0.474953936300484	0.186044453621628	0	0.39418721548871	0.161088662184935	0.161088662184935	0.383647166566151	0	0.161088662184935	0.161088662184935	0.0879990745637229	0.161088662184935	0.161088662184935	0.308589771687143	0.186044453621628	0.161088662184935	0.386214078897676	0.383647166566151	0.161088662184935	0.291771759081966	0.0879990745637229	0.481774333834111	0	0.186044453621628	0.140504104227445	0	0.186044453621628
