ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.532165119578077	0.623816339257017	0.496128967694393	0.49309142384702	0.781445754733827	0.573595957005232	0.607537024927153	0.158553502742922	0.434861981506135	0.49309142384702	0.723575564850533	0.78656592725227	0.63049396112474	0.554625377903985	0.450774478887765	0.671585049728078	0.616485927231621	0.795073101471406	0.559325495230038	0.167108504643205	0.540827049396366	0.218486629092217	0.533671074474784	0.696809847281217	0.765765783007096	0.807882866884501	0.510499930464037	0.513264909183399	0.74160668039381	0.392119560246584	0.734261299268145	0.694001202013372	0.756545056021007	0.545654658711191	0.663782562793096	0.499750554584619	0.783261289562832	0.355091520509051	0.431082586362827	0.649044552309043	0.198520505710768	0.546164602588315	0.157305455567159	0.595400760943404	0.559460621415612	0.0585718154735037	0.691957166697571	0.593366600892571	0.464710278928615	0.606996059589553	0.561924823548722	0.152237413390022	0.708354273153312	0.746907703572119	0.0572597875477717	0.784042586978999	0.454863104709723	0.720837995751017	0.191867386214833	0.449529886496909	0.563783763141097	0.178913688873848	0.515042055518776
ZB_2	0.532165119578077	0	0.643410616353429	0.472674445418069	0.056483939513447	0.664916088645622	0.535752728559991	0.382961573081005	0.478800864093614	0.387066262162663	0.056483939513447	0.589156301224569	0.6562966253929	0.39939617563618	0.314389249213836	0.418525721314864	0.351943841042678	0.365378194088081	0.674160682676179	0.175964672376389	0.489433069305777	0.605106348929921	0.476875412408067	0.578028530186311	0.583791264063766	0.64392062871259	0.663297065787024	0.211021957988365	0.536816724867807	0.626061370828226	0.372946439600217	0.615968870199186	0.588558036087177	0.639151925078044	0.151213002946791	0.637485932086729	0.485930860497182	0.657478742044979	0.49147947937441	0.343886668423912	0.551282143551138	0.47232178877315	0.586363328315573	0.454457984924064	0.374112906918181	0.595366955152158	0.560807350681916	0.559258543663671	0.611464127654391	0.154134777141742	0.646075805192888	0.611115459097157	0.484372148873676	0.587086662090731	0.614516267218374	0.560165755287276	0.658575897021817	0.440020461059129	0.618966144829419	0.473883138794598	0.132824962181189	0.509141684273033	0.464912383968356	0.036072198518866
ZB_3	0.623816339257017	0.643410616353429	0	0.385068127307058	0.619506584910024	0.583970729418498	0.18637723219391	0.423153862060709	0.651517237616998	0.602048914052348	0.619506584910024	0.655650188971675	0.643673000883762	0.397388618414861	0.485968933251803	0.39731229033702	0.596442228609705	0.422759433962264	0.516692577050691	0.516860744935526	0.653607010211155	0.267309719770971	0.644028985070579	0.112605670888883	0.457342463306213	0.59014234369747	0.699618559740547	0.643058520499617	0.410163976722186	0.492658807378469	0.452148305764194	0.445569550067489	0.392985412470171	0.502801020499188	0.562956702266023	0.184738434272444	0.362763512282052	0.488914198936978	0.400493361789407	0.580497553580043	0.461367391391346	0.659901681654426	0.135647718191832	0.664310460365798	0.458981607857812	0.160212777677229	0.638473904487375	0.631484907833886	0.149734264150333	0.605211616535014	0.0760927354077933	0.181386954995731	0.650563052485467	0.524487931053541	0.545943450126892	0.637869674880124	0.490751346434346	0.463884545827899	0.430836452258682	0.637783688079161	0.597768390078014	0.448834552408324	0.655737536634314	0.634497386245966
ZB_4	0.496128967694393	0.472674445418069	0.385068127307058	0	0.440607783941204	0.524297433589573	0.2263368408406	0.273054633973026	0.441143023499122	0.410172071511068	0.440607783941204	0.580627255605783	0.591736814506113	0.295674618442991	0.251967315445857	0.136858947914334	0.46480318898784	0.304300782563542	0.54204439661149	0.323770404327627	0.452475797373358	0.243147053918182	0.423512806308271	0.308216777965779	0.380751743865108	0.528177859654999	0.642101019810922	0.477003632246804	0.24241698467696	0.488565732962015	0.222199949887246	0.472711116894145	0.425988466591781	0.490338273539882	0.416449404226542	0.452607370680798	0.10898622128452	0.529354207436399	0.368636140675085	0.388193898401361	0.354456184678994	0.435006935144442	0.324479031729815	0.449782718789897	0.260905693775199	0.307408298636177	0.525641608821041	0.53509403890349	0.338478688812511	0.38230938735078	0.367516520681825	0.306962989163007	0.446883614297801	0.417071584420131	0.479933568857695	0.524980515955689	0.531010603019836	0.20105688106686	0.458279369043503	0.459040883255722	0.403940625284289	0.219671133079142	0.426832485739499	0.457671173425223
ZB_5	0.49309142384702	0.056483939513447	0.619506584910024	0.440607783941204	0	0.687323965566848	0.508816540826619	0.349374276661981	0.437774001543714	0.346670516957012	0	0.617597884906181	0.681291954134177	0.367725618271589	0.275354834790137	0.382152280824238	0.345790549447891	0.375927032441742	0.69539130666493	0.130662755571587	0.449208664377667	0.576208754616456	0.43738420225615	0.551686788933255	0.592192346652251	0.667965324353382	0.690326898095297	0.199868108833764	0.507921761277633	0.647863636093744	0.332109709909685	0.638545500154487	0.596422728009735	0.662604964362339	0.103693717835834	0.614831822285019	0.453633115957092	0.679970822310046	0.455455818880848	0.302011967859654	0.559922128581402	0.431649787100965	0.560765570387838	0.446465780505887	0.339501392344576	0.57056250321651	0.522781979431389	0.588744841207357	0.586793540345788	0.102571497379148	0.621317729646212	0.586727203188038	0.443549199007874	0.613232810046273	0.637686456537528	0.522116901223683	0.680984496124031	0.404938171988784	0.626341389992582	0.433674684448678	0.0791351542645852	0.480246114704824	0.423377193919111	0.0219506316717564
ZB_6	0.781445754733827	0.664916088645622	0.583970729418498	0.524297433589573	0.687323965566848	0	0.531572100470329	0.506506610478833	0.735472236913596	0.576000276113628	0.687323965566848	0.227099273607748	0.156170460048426	0.562562457428553	0.574204547317345	0.562458850319629	0.451143087371935	0.479135452354802	0.0909874492070319	0.610703204584866	0.732310892730415	0.62770786199095	0.734614919174505	0.565087610417745	0.26796626485853	0.07261598062954	0.281570944309927	0.642272296772047	0.501188329419426	0.142411303417756	0.613710063960869	0.174747719191957	0.251164261195977	0.126903115456895	0.628347473113681	0.511973950646658	0.550528959319572	0.149073011601408	0.630782810551074	0.58847543339843	0.260156522167522	0.729167188702547	0.549084628785068	0.737940403424641	0.534001043057273	0.551684539833621	0.777580504470452	0.316893151703561	0.5525136551853	0.678637992602373	0.60113593233205	0.545101296630091	0.738392807161057	0.169359151871819	0.0761657210569714	0.777668583718742	0.145427160608391	0.546431960456618	0.188862090766467	0.727555513613321	0.674179882861245	0.454094157149609	0.737706502478925	0.68378552666761
ZB_7	0.573595957005232	0.535752728559991	0.18637723219391	0.2263368408406	0.508816540826619	0.531572100470329	0	0.272185823556657	0.513580070948942	0.478343347902118	0.508816540826619	0.583566712432035	0.626791765717465	0.248283659377326	0.335453811975136	0.259909138037147	0.521722246245941	0.284463766731854	0.465056246182619	0.404853950983578	0.522818602314825	0.313373664428396	0.4774329766575	0.0863449681152076	0.407834907310248	0.535509738496689	0.679510165837713	0.533838030662465	0.342573170446848	0.442200346223043	0.313912184730567	0.393057089830644	0.321425930718326	0.491742000703535	0.453277328031941	0.266982466905081	0.221084371475509	0.434767860559779	0.360498754170362	0.457746167160938	0.353216837992825	0.525466455862435	0.108965151538553	0.533597841363228	0.31834853819889	0.0922465880329719	0.587126251108577	0.583904958376463	0.162228139140414	0.461264044755694	0.18354343511128	0.113000255558395	0.518576586849107	0.44184824300003	0.494170127471145	0.586550846741839	0.436769495573856	0.344442883849782	0.378298828493508	0.508427583248709	0.480373618964913	0.325504009423277	0.519564214263927	0.523999645481365
ZB_8	0.607537024927153	0.382961573081005	0.423153862060709	0.273054633973026	0.349374276661981	0.506506610478833	0.272185823556657	0	0.54008374416818	0.442396924929024	0.349374276661981	0.543639889196676	0.601823378621301	0.152967716591508	0.109556807139114	0.306405042600776	0.419294226384204	0.0855780076086333	0.535053287085435	0.236019299751275	0.548765354251267	0.372022459804617	0.5155715818631	0.345736859382237	0.412110183871902	0.509433929877201	0.653692750811239	0.337544907961827	0.317022395121438	0.526549463466654	0.396051485531791	0.47825245946715	0.430038445108928	0.482890985609557	0.291607670350449	0.430175206124853	0.254550249281016	0.51029403103261	0.392546972541478	0.462142114226281	0.342848466443972	0.533546494528946	0.359585724849466	0.56924557091423	0.107812696525854	0.3440313231536	0.598512868029229	0.543949727381942	0.383598010558004	0.287133146389089	0.389287187535288	0.333693674456263	0.544899288225448	0.435097793586496	0.491301619016265	0.59795333270022	0.511925396765867	0.402986104403262	0.464805149142425	0.544937119213656	0.308078731911187	0.303416386529909	0.545539325475528	0.365929082387481
ZB_9	0.158553502742922	0.478800864093614	0.651517237616998	0.441143023499122	0.437774001543714	0.735472236913596	0.513580070948942	0.54008374416818	0	0.333237446155662	0.437774001543714	0.664463275413222	0.734642139812864	0.567373934850287	0.478720214523319	0.390839134487614	0.626093343261597	0.559805269989679	0.752134106635139	0.511235999755999	0.0280354906610535	0.567660073675627	0.102116484608713	0.567560706878673	0.660064929801239	0.716272703159517	0.750939872883739	0.430488430669542	0.562874117814496	0.711153919793623	0.325783379369638	0.689041146403092	0.651770276883889	0.708501409306486	0.49607330558761	0.686731400654813	0.465563673579183	0.737693356864907	0.398979871414256	0.349154158573194	0.610695515159206	0.0489738204224444	0.578508220108338	0.078246841961452	0.53401442182266	0.590195441156524	0.151198945123639	0.630822788827015	0.604876054151756	0.406295706857559	0.626819708067778	0.58262786963865	0.0102720213579905	0.671312242338069	0.714762358105389	0.150016007640257	0.738649070399929	0.395373939861218	0.67526136953047	0.0871864596558929	0.38945872343809	0.522080092911685	0.0249674613504333	0.45972463321547
ZB_10	0.434861981506135	0.387066262162663	0.602048914052348	0.410172071511068	0.346670516957012	0.576000276113628	0.478343347902118	0.442396924929024	0.333237446155662	0	0.346670516957012	0.461265573861302	0.554155984860789	0.473345405140441	0.390261030907531	0.364089940122166	0.492302202485974	0.477395721709344	0.602865562546577	0.425287973972429	0.348313419787265	0.518655836720031	0.381077740995717	0.525632865024825	0.525651611727922	0.545016666341787	0.551986248871836	0.33193353584006	0.313777652529238	0.571130339562053	0.305963325734613	0.542646834169442	0.494230089699572	0.552151841287523	0.408908550570633	0.492034356653449	0.416043853344883	0.579582808737205	0.367942161086112	0.131019880493093	0.47173270351958	0.355784237569573	0.536344406123882	0.379723133205615	0.434431559027609	0.547846254584751	0.415588491326651	0.46397700507743	0.560286063143206	0.313545352965717	0.577046196644011	0.540390840817428	0.340218770283826	0.490217178835609	0.558026651444066	0.41477402217	0.581124199615241	0.368202912101068	0.528174629777955	0.37571579435311	0.295963280242484	0.347681953678539	0.344642967183937	0.366648525875617
