ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.110279500545076	0.132453170640202	0.0724763632890841	0	0.401020080915729	0.132453170640202	0.0724763632890841	0.145490378947183	0.165612811216688	0.110279500545076	0.252466864734225	0.352487815935623	0.0724763632890841	0	0	0.143274260561206	0.132453170640202	0.411865515278501	0	0	0.95311268715524	0	1	0.26754753124128	0.406198412795461	0.352003509798187	0	0.110279500545076	0.411865515278501	0.145490378947183	0.392150358622589	0.329043177892919	0.378361944263093	0	0.155021359155726	0.0724763632890841	0.465792278991853	0	0	0.360515954014512	0	0.155021359155726	0	0.155021359155726	0.155021359155726	0	0.352003509798187	1	0	0.132453170640202	1	0	0.293721956788911	0.401020080915729	0	0.342622174089617	0.110279500545076	0.342622174089617	0.176968577336361	0	0.328509696823037	0	0
ZB_2	0.110279500545076	0	0.216684007194303	0.168114228937541	0.110279500545076	0.326777432405763	0.216684007194303	0.168114228937541	0.227328056008592	0.0621917902369456	0	0.315856579318118	0.27222966711336	0.168114228937541	0.110279500545076	0.110279500545076	0.22551654293028	0.216684007194303	0.338967141836327	0.110279500545076	0.110279500545076	0.850001713091445	0.110279500545076	1	0.328509696823037	0.332597610633537	0.406952662721893	0.110279500545076	0	0.338967141836327	0.227328056008592	0.316808321546145	0.380558461106717	0.301310854231473	0.110279500545076	0.235129196626161	0.168114228937541	0.462927077403805	0.110279500545076	0.110279500545076	0.281252880677404	0.110279500545076	0.235129196626161	0.110279500545076	0.235129196626161	0.235129196626161	0.110279500545076	0.406952662721893	1	0.110279500545076	0.216684007194303	1	0.110279500545076	0.350574059338411	0.326777432405763	0.110279500545076	0.392150358622589	0	0.392150358622589	0.253156672459667	0.110279500545076	0.245279496664016	0.110279500545076	0.110279500545076
ZB_3	0.132453170640202	0.216684007194303	0	0.0646633735004332	0.132453170640202	0.309570505229919	0	0.0646633735004332	0.244106315912363	0.158298853912104	0.216684007194303	0.329043177892919	0.33403294536666	0.0646633735004332	0.132453170640202	0.132453170640202	0.0397254195703808	0	0.322071772015454	0.132453170640202	0.132453170640202	0.894642180228572	0.132453170640202	0.867546829359798	0.251194256128608	0.331615536473409	0.418383419689119	0.132453170640202	0.216684007194303	0.322071772015454	0.244106315912363	0.29934659339834	0.226604490500864	0.28345302558982	0.132453170640202	0.0260137986236177	0.0646633735004332	0.371703596537983	0.132453170640202	0.132453170640202	0.262882389349066	0.132453170640202	0.0260137986236177	0.132453170640202	0.0260137986236177	0.0260137986236177	0.132453170640202	0.418383419689119	0.867546829359798	0.132453170640202	0	0.867546829359798	0.132453170640202	0.276614853195164	0.309570505229919	0.132453170640202	0.24225666711791	0.216684007194303	0.24225666711791	0.268843350999759	0.132453170640202	0.310546900720334	0.132453170640202	0.132453170640202
ZB_4	0.0724763632890841	0.168114228937541	0.0646633735004332	0	0.0724763632890841	0.354216005525952	0.0646633735004332	0	0.198975636309651	0.216684007194303	0.168114228937541	0.293721956788911	0.301891446820143	0	0.0724763632890841	0.0724763632890841	0.0763300194948969	0.0646633735004332	0.365908898228106	0.0724763632890841	0.0724763632890841	0.888109432281495	0.0724763632890841	0.932210202860231	0.210313958837681	0.359798970395823	0.387765342408971	0.0724763632890841	0.168114228937541	0.365908898228106	0.198975636309651	0.344653206323774	0.276614853195164	0.329787370226711	0.0724763632890841	0.0889950321474869	0	0.417637503489936	0.0724763632890841	0.0724763632890841	0.310546900720334	0.0724763632890841	0.0889950321474869	0.0724763632890841	0.0889950321474869	0.0889950321474869	0.0724763632890841	0.387765342408971	0.932210202860231	0.0724763632890841	0.0646633735004332	0.932210202860231	0.0724763632890841	0.238533644581161	0.354216005525952	0.0724763632890841	0.291254907269528	0.168114228937541	0.291254907269528	0.226700532672999	0.0724763632890841	0.276039686106406	0.0724763632890841	0.0724763632890841
ZB_5	0	0.110279500545076	0.132453170640202	0.0724763632890841	0	0.401020080915729	0.132453170640202	0.0724763632890841	0.145490378947183	0.165612811216688	0.110279500545076	0.252466864734225	0.352487815935623	0.0724763632890841	0	0	0.143274260561206	0.132453170640202	0.411865515278501	0	0	0.95311268715524	0	1	0.26754753124128	0.406198412795461	0.352003509798187	0	0.110279500545076	0.411865515278501	0.145490378947183	0.392150358622589	0.329043177892919	0.378361944263093	0	0.155021359155726	0.0724763632890841	0.465792278991853	0	0	0.360515954014512	0	0.155021359155726	0	0.155021359155726	0.155021359155726	0	0.352003509798187	1	0	0.132453170640202	1	0	0.293721956788911	0.401020080915729	0	0.342622174089617	0.110279500545076	0.342622174089617	0.176968577336361	0	0.328509696823037	0	0
ZB_6	0.401020080915729	0.326777432405763	0.309570505229919	0.354216005525952	0.401020080915729	0	0.309570505229919	0.354216005525952	0.299036658772449	0.28213193210973	0.326777432405763	0.198724590487468	0.0749518946121966	0.354216005525952	0.401020080915729	0.401020080915729	0.331615536473409	0.309570505229919	0.0181065074424407	0.401020080915729	0.401020080915729	0.845193161634103	0.401020080915729	0.90855042431419	0.182226909413854	0.027650271900396	0.278480856522597	0.401020080915729	0.326777432405763	0.0181065074424407	0.299036658772449	0.0505407729480301	0.107275014801658	0.0364490822972173	0.401020080915729	0.322071772015454	0.354216005525952	0.142066443009919	0.401020080915729	0.401020080915729	0.0633387606078548	0.401020080915729	0.322071772015454	0.401020080915729	0.322071772015454	0.322071772015454	0.401020080915729	0.278480856522597	0.90855042431419	0.401020080915729	0.309570505229919	0.90855042431419	0.401020080915729	0.151920515097691	0	0.401020080915729	0.123439146390204	0.326777432405763	0.123439146390204	0.272227156108151	0.401020080915729	0.107984260903888	0.401020080915729	0.401020080915729
ZB_7	0.132453170640202	0.216684007194303	0	0.0646633735004332	0.132453170640202	0.309570505229919	0	0.0646633735004332	0.244106315912363	0.158298853912104	0.216684007194303	0.329043177892919	0.33403294536666	0.0646633735004332	0.132453170640202	0.132453170640202	0.0397254195703808	0	0.322071772015454	0.132453170640202	0.132453170640202	0.894642180228572	0.132453170640202	0.867546829359798	0.251194256128608	0.331615536473409	0.418383419689119	0.132453170640202	0.216684007194303	0.322071772015454	0.244106315912363	0.29934659339834	0.226604490500864	0.28345302558982	0.132453170640202	0.0260137986236177	0.0646633735004332	0.371703596537983	0.132453170640202	0.132453170640202	0.262882389349066	0.132453170640202	0.0260137986236177	0.132453170640202	0.0260137986236177	0.0260137986236177	0.132453170640202	0.418383419689119	0.867546829359798	0.132453170640202	0	0.867546829359798	0.132453170640202	0.276614853195164	0.309570505229919	0.132453170640202	0.24225666711791	0.216684007194303	0.24225666711791	0.268843350999759	0.132453170640202	0.310546900720334	0.132453170640202	0.132453170640202
ZB_8	0.0724763632890841	0.168114228937541	0.0646633735004332	0	0.0724763632890841	0.354216005525952	0.0646633735004332	0	0.198975636309651	0.216684007194303	0.168114228937541	0.293721956788911	0.301891446820143	0	0.0724763632890841	0.0724763632890841	0.0763300194948969	0.0646633735004332	0.365908898228106	0.0724763632890841	0.0724763632890841	0.888109432281495	0.0724763632890841	0.932210202860231	0.210313958837681	0.359798970395823	0.387765342408971	0.0724763632890841	0.168114228937541	0.365908898228106	0.198975636309651	0.344653206323774	0.276614853195164	0.329787370226711	0.0724763632890841	0.0889950321474869	0	0.417637503489936	0.0724763632890841	0.0724763632890841	0.310546900720334	0.0724763632890841	0.0889950321474869	0.0724763632890841	0.0889950321474869	0.0889950321474869	0.0724763632890841	0.387765342408971	0.932210202860231	0.0724763632890841	0.0646633735004332	0.932210202860231	0.0724763632890841	0.238533644581161	0.354216005525952	0.0724763632890841	0.291254907269528	0.168114228937541	0.291254907269528	0.226700532672999	0.0724763632890841	0.276039686106406	0.0724763632890841	0.0724763632890841
ZB_9	0.145490378947183	0.227328056008592	0.244106315912363	0.198975636309651	0.145490378947183	0.299036658772449	0.244106315912363	0.198975636309651	0	0.269404366076399	0.227328056008592	0.125190498914733	0.298002001226558	0.198975636309651	0.145490378947183	0.145490378947183	0.252334506039307	0.244106315912363	0.311728656727264	0.145490378947183	0.145490378947183	0.95892980402749	0.145490378947183	1	0.209205081775276	0.305096662957483	0.224727143978695	0.145490378947183	0.227328056008592	0.311728656727264	0	0.288656761256243	0.214804835924007	0.272520706120307	0.145490378947183	0.261296824491348	0.198975636309651	0.360865758014163	0.145490378947183	0.145490378947183	0.306432890272215	0.145490378947183	0.261296824491348	0.145490378947183	0.261296824491348	0.261296824491348	0.145490378947183	0.224727143978695	1	0.145490378947183	0.244106315912363	1	0.145490378947183	0.173469758782934	0.299036658772449	0.145490378947183	0.230695816975768	0.227328056008592	0.230695816975768	0.115320782960998	0.145490378947183	0.272860400270146	0.145490378947183	0.145490378947183
ZB_10	0.165612811216688	0.0621917902369456	0.158298853912104	0.216684007194303	0.165612811216688	0.28213193210973	0.158298853912104	0.216684007194303	0.269404366076399	0	0.0621917902369456	0.349050596853866	0.305736818673281	0.216684007194303	0.165612811216688	0.165612811216688	0.190530568528159	0.158298853912104	0.295130015623675	0.165612811216688	0.165612811216688	0.858759386064668	0.165612811216688	0.941614846717801	0.360515954014512	0.304673780081631	0.435726781010597	0.165612811216688	0.0621917902369456	0.295130015623675	0.269404366076399	0.271501708620711	0.33438783580376	0.254976509594582	0.165612811216688	0.178118871921687	0.216684007194303	0.419089951191154	0.165612811216688	0.165612811216688	0.233588369306135	0.165612811216688	0.178118871921687	0.165612811216688	0.178118871921687	0.178118871921687	0.165612811216688	0.435726781010597	0.941614846717801	0.165612811216688	0.158298853912104	0.941614846717801	0.165612811216688	0.380558461106717	0.28213193210973	0.165612811216688	0.346843745697155	0.0621917902369456	0.346843745697155	0.292538661577349	0.165612811216688	0.281252880677404	0.165612811216688	0.165612811216688
