ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.0805480265844874	0.811717425970553	0.845674061555648	0.126054334860281	0.856709040688753	0.820011347556516	0.938501639860791	0.832385538485057	0.902264879291886	0.126054334860281	0.913154475273255	1	0.199894727487747	0.15913810635464	0.843188432742433	0.177250769138764	0.938501639860791	0.895306013665218	0.126054334860281	0.934357563250019	0.877362470770793	0.845674061555648	0.832385538485057	0.942052044129287	0.945903765248729	0.895306013665218	0.938501639860791	0.832385538485057	0.895306013665218	0.832385538485057	0.895306013665218	0.126054334860281	0.835274784070932	0.161844950804176	0.970017043094682	0.878950005999562	0.832385538485057	0.852680005742137	0.835274784070932	0.92631173120149	0.127622703120748	0.81145181387222	0.15913810635464	0.918637125302551	0.832385538485057	0.126054334860281	0.847886389463357	0.842967217106111	0.832385538485057	0.917813259338183	0.868913857677903	0.942052044129287	0.832385538485057	0.942052044129287	0.835274784070932	0.126054334860281	0.81145181387222	0.845218348779265	0.0805480265844874
ZB_2	0.0805480265844874	0	0.750538196037466	0.856797326121481	0.049492860520762	0.868250844688672	0.780913397965354	0.942934222854219	0.845218348779265	0.909653542977816	0.049492860520762	0.919803496686124	1	0.178127886346873	0.219744439940728	0.781601812573671	0.105174327045112	0.942934222854219	0.903738907659748	0.049492860520762	0.939383244986836	0.815333469793968	0.856797326121481	0.845218348779265	0.946719637619277	0.949993378914281	0.903738907659748	0.942934222854219	0.845218348779265	0.903738907659748	0.845218348779265	0.903738907659748	0.049492860520762	0.847886389463357	0.222256184673041	0.972178107951865	0.802388531660044	0.845218348779265	0.812669027795313	0.847886389463357	0.881625104992342	0.190500554843082	0.825041696291522	0.219744439940728	0.924501471829255	0.845218348779265	0.049492860520762	0.771324915123838	0.854285581389168	0.845218348779265	0.871065235955891	0.878950005999562	0.946719637619277	0.845218348779265	0.946719637619277	0.847886389463357	0.049492860520762	0.825041696291522	0.768656874439747	0
ZB_3	0.811717425970553	0.750538196037466	0	0.441812745500381	0.701045335516704	0.581112029276355	0.280275445712669	0.695139825291669	0.316704049108724	0.746672920208712	0.701045335516704	0.566190532404675	1	0.791511897563342	0.818732804606516	0.103907448943454	0.71855833826158	0.695139825291669	0.693944044386731	0.701045335516704	0.631684570888915	0.216739464053831	0.441812745500381	0.316704049108724	0.830598512572306	0.859783861953059	0.693944044386731	0.695139825291669	0.316704049108724	0.693944044386731	0.316704049108724	0.693944044386731	0.701045335516704	0.325628615275646	0.821275536630813	0.781145570733423	0.249247550295322	0.316704049108724	0.370436751249882	0.325628615275646	0.503292674647537	0.789128138895055	0.348420003517617	0.818732804606516	0.640929432686483	0.316704049108724	0.701045335516704	0.149652628482201	0.434425748959372	0.316704049108724	0.648577700332662	0.429536064219101	0.830598512572306	0.316704049108724	0.830598512572306	0.325628615275646	0.701045335516704	0.348420003517617	0.141098463418498	0.750538196037466
ZB_4	0.845674061555648	0.856797326121481	0.441812745500381	0	0.810203796854339	0.692513876369847	0.23402118895879	0.346799004788785	0.426870344893022	0.417346638486851	0.810203796854339	0.677522652877271	0.764145643275636	0.74994346609379	0.778124686707818	0.527818490942135	0.751622999076369	0.346799004788785	0.653200995211215	0.810203796854339	0.582653361513149	0.479177444386963	0	0.426870344893022	0.943166184354096	0.734048104748802	0.653200995211215	0.346799004788785	0.426870344893022	0.653200995211215	0.426870344893022	0.653200995211215	0.810203796854339	0.235854356724364	0.737630406252085	0.464538912223441	0.498983950566085	0.426870344893022	0.150863243980009	0.235854356724364	0.610586097228533	0.746609283473927	0.113359267517434	0.778124686707818	0.468404573271977	0.426870344893022	0.810203796854339	0.407726122838303	0.217752265287727	0.426870344893022	0.878214717514703	0.35359426415902	0.943166184354096	0.426870344893022	0.943166184354096	0.235854356724364	0.810203796854339	0.113359267517434	0.544156211678144	0.856797326121481
ZB_5	0.126054334860281	0.049492860520762	0.701045335516704	0.810203796854339	0	0.874771487256224	0.734319868698212	0.896340693587077	0.795725488258504	0.913863103267262	0	0.870310636165362	1	0.131534357079731	0.173150910673586	0.732108952052909	0.0585807977779697	0.896340693587077	0.908503144476521	0	0.889890384466074	0.765840609273206	0.810203796854339	0.795725488258504	0.949356635163082	0.95232336387739	0.908503144476521	0.896340693587077	0.795725488258504	0.908503144476521	0.795725488258504	0.908503144476521	0	0.798393528942595	0.175662655405899	0.925584578684723	0.752895671139282	0.795725488258504	0.766075498528171	0.798393528942595	0.83213224447158	0.14390702557594	0.77844816702438	0.173150910673586	0.877907942562112	0.795725488258504	0	0.721832054603076	0.807692052122026	0.795725488258504	0.877446586249003	0.8294571454788	0.949356635163082	0.795725488258504	0.949356635163082	0.798393528942595	0	0.77844816702438	0.719164013918985	0.049492860520762
ZB_6	0.856709040688753	0.868250844688672	0.581112029276355	0.692513876369847	0.874771487256224	0	0.636426975962622	1	0.386959676583394	0.511898486331802	0.874771487256224	0.752081821637124	1	0.925017260590483	0.883559466154017	0.532539389787638	0.882107473437303	1	0.269360838687859	0.874771487256224	1	0.658454971807978	0.692513876369847	0.386959676583394	0.595592379664074	0.729836584080127	0.269360838687859	1	0.386959676583394	0.269360838687859	0.386959676583394	0.269360838687859	0.874771487256224	0.611211085117869	0.921451384214371	1	0.674198250728863	0.386959676583394	0.734359310641612	0.611211085117869	0.832977348097352	0.887229136530942	0.579154608852412	0.883559466154017	0.809969012368567	0.386959676583394	0.874771487256224	0.7066464504741	0.530100378737717	0.386959676583394	0.560267399417627	0.552088732248367	0.595592379664074	0.386959676583394	0.595592379664074	0.611211085117869	0.874771487256224	0.579154608852412	0.554086659294259	0.868250844688672
ZB_7	0.820011347556516	0.780913397965354	0.280275445712669	0.23402118895879	0.734319868698212	0.636426975962622	0	0.499661878317179	0.406934568331318	0.553699870898994	0.734319868698212	0.623475890899404	0.819340560257382	0.712715415587168	0.755528515862654	0.363305348552023	0.675739070920242	0.499661878317179	0.734359310641612	0.734319868698212	0.680321318059796	0.453466654089237	0.23402118895879	0.406934568331318	0.852968298530708	0.67230885878809	0.734359310641612	0.499661878317179	0.406934568331318	0.734359310641612	0.406934568331318	0.734359310641612	0.734319868698212	0.414680628701408	0.758112477527053	0.589848152626078	0.41886614470333	0.406934568331318	0.0979323346789893	0.414680628701408	0.512633455603598	0.725443819341432	0.136088854279801	0.755528515862654	0.442816451156786	0.406934568331318	0.734319868698212	0.335836241863975	0.226275128588701	0.406934568331318	0.644193528555913	0.504866903010308	0.852968298530708	0.406934568331318	0.852968298530708	0.414680628701408	0.734319868698212	0.136088854279801	0.328704839166116	0.780913397965354
ZB_8	0.938501639860791	0.942934222854219	0.695139825291669	0.346799004788785	0.896340693587077	1	0.499661878317179	0	0.734356468523175	0.764145643275636	0.896340693587077	0.645500300718559	0.638925294888598	0.82499247387359	0.854597099933165	0.781145570733423	0.837759895809107	0	1	0.896340693587077	0.361074705111402	0.758600620796689	0.346799004788785	0.734356468523175	1	0.720933177170713	1	0	0.734356468523175	1	0.734356468523175	1	0.896340693587077	0.582653361513149	0.816245587892198	0.180250655307995	0.767780865093518	0.734356468523175	0.445343025897319	0.582653361513149	0.697324324324324	0.822625170720367	0.420845391147588	0.854597099933165	0.366433477889272	0.734356468523175	0.896340693587077	0.676523037365736	0.52523838891788	0.734356468523175	1	0.700393268947805	1	0.734356468523175	1	0.582653361513149	0.896340693587077	0.420845391147588	0.788718045467409	0.942934222854219
ZB_9	0.832385538485057	0.845218348779265	0.316704049108724	0.426870344893022	0.795725488258504	0.386959676583394	0.406934568331318	0.734356468523175	0	0.656672934820033	0.795725488258504	0.36512214505373	1	0.848462269374586	0.800754186846094	0.237471676239659	0.807692052122026	0.734356468523175	0.552088732248367	0.795725488258504	0.664117329494331	0.363387258259999	0.426870344893022	0	0.752081821637124	0.809969012368567	0.552088732248367	0.734356468523175	0	0.552088732248367	0	0.552088732248367	0.795725488258504	0.275328414612201	0.841255746673732	0.703392748364542	0.392731476827184	0	0.504866903010308	0.275328414612201	0.51823955932775	0.807033498990304	0.313511077375587	0.800754186846094	0.513361760733109	0	0.795725488258504	0.45321233791215	0.233493127102259	0	0.69866786577483	0.165129055664974	0.752081821637124	0	0.752081821637124	0.275328414612201	0.795725488258504	0.313511077375587	0.272619885392581	0.845218348779265
ZB_10	0.902264879291886	0.909653542977816	0.746672920208712	0.417346638486851	0.913863103267262	0.511898486331802	0.553699870898994	0.764145643275636	0.656672934820033	0	0.913863103267262	0.936541568450883	0.595206391478029	0.860184583203777	0.853709933823801	0.722835150737652	0.855282305489292	0.764145643275636	0.404793608521971	0.913863103267262	1	0.691290990926627	0.417346638486851	0.656672934820033	0.909782363129754	0.577829655847579	0.404793608521971	0.764145643275636	0.656672934820033	0.404793608521971	0.656672934820033	0.404793608521971	0.913863103267262	0.653200995211215	0.853299917696694	0.732670265025168	0.704209925841415	0.656672934820033	0.505247614720582	0.653200995211215	0.849996213937757	0.858320324248457	0.483395796764552	0.853709933823801	0.703048441348624	0.656672934820033	0.913863103267262	0.731203085472567	0.423179807717774	0.656672934820033	0.820988583993494	0.606919764691613	0.909782363129754	0.656672934820033	0.909782363129754	0.653200995211215	0.913863103267262	0.483395796764552	0.733293556085919	0.909653542977816
ZB_11	0.126054334860281	0.049492860520762	0.701045335516704	0.810203796854339	0	0.874771487256224	0.734319868698212	0.896340693587077	0.795725488258504	0.913863103267262	0	0.870310636165362	1	0.131534357079731	0.173150910673586	0.732108952052909	0.0585807977779697	0.896340693587077	0.908503144476521	0	0.889890384466074	0.765840609273206	0.810203796854339	0.795725488258504	0.949356635163082	0.95232336387739	0.908503144476521	0.896340693587077	0.795725488258504	0.908503144476521	0.795725488258504	0.908503144476521	0	0.798393528942595	0.175662655405899	0.925584578684723	0.752895671139282	0.795725488258504	0.766075498528171	0.798393528942595	0.83213224447158	0.14390702557594	0.77844816702438	0.173150910673586	0.877907942562112	0.795725488258504	0	0.721832054603076	0.807692052122026	0.795725488258504	0.877446586249003	0.8294571454788	0.949356635163082	0.795725488258504	0.949356635163082	0.798393528942595	0	0.77844816702438	0.719164013918985	0.049492860520762
ZB_12	0.913154475273255	0.919803496686124	0.566190532404675	0.677522652877271	0.870310636165362	0.752081821637124	0.623475890899404	0.645500300718559	0.36512214505373	0.936541568450883	0.870310636165362	0	1	0.905781985266091	0.862109852834125	0.51588765347526	0.877907942562112	0.645500300718559	0.917210877302097	0.870310636165362	0.50827661909989	0.6418032354956	0.677522652877271	0.36512214505373	0.609502557962338	0.736116219198235	0.917210877302097	0.645500300718559	0.36512214505373	0.917210877302097	0.36512214505373	0.917210877302097	0.870310636165362	0.592256013436507	0.901236451341063	0.588120632585509	0.658314064542073	0.36512214505373	0.721408225578393	0.592256013436507	0.524017925915552	0.866518466858455	0.564163385359837	0.862109852834125	0.324236851783744	0.36512214505373	0.870310636165362	0.692344248568648	0.513361760733109	0.36512214505373	0.74879210139346	0.530251200718703	0.609502557962338	0.36512214505373	0.609502557962338	0.592256013436507	0.870310636165362	0.564163385359837	0.53820247310747	0.919803496686124
