ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.591552704499659	0.456275405494869	0.611878423163718	0.636820107077457	0.446313914359932	0.545474335086051	0.488961510136891	0.477582668483687	0.263254544204727	0.296351306666956	0.224710581904436	0.487284951041301	0.612339373932684	0.594657230796225	0.412570010352242	0.373671879256797	0.489764749803545	0.478445830348674	0.695436623467368	0.263254544204727	0.584787743743246	0.474822969424123	0.551506519343233	0.36074820202061	0.439842274039446	0.248690682211495	0.238617087760021	0.48770198478968	0.478445830348674	0.454649218273034	0.46859796550199	0.398008996575167	0.433895419615004	0.829764426194078	0.469604639448226	0.592725578401539	0.457258289409699	0.249680605814045	0.454649218273034	0.385788403391525	0.248855280970456	0.578739419908346	0.249680605814045	0.643917424893064	0.560992398320973	0.263254544204727	0.135941487706194	0.475312143839152	0.601481940609681	0.597000556048289	0.551506519343233	0.236894392453003	0.410793571859888	0.467503131150474	0.263254544204727	0.464773149007237	0.385147925940612	0.428317109532579	0.432384083546874	0.66534062095002	0.479853112698644	0.454649218273034	0.631285894785206
ZB_2	0.591552704499659	0	0.573137859022998	0.208543134156467	0.230861567324356	0.651485921094324	0.624932740655921	0.509832369942196	0.576105830514599	0.62308553824974	0.317574278742644	0.632801040464689	0.472318607423525	0.272540049267867	0.198136023719655	0.590278496403994	0.331825929066351	0.537105675435197	0.670312573280072	0.257225574747746	0.62308553824974	0.240369064432552	0.579244834250037	0.630022407513446	0.636266900632157	0.625594872964588	0.618693811012077	0.615852748213234	0.448829235794024	0.670312573280072	0.572756702073849	0.659235950698882	0.6174242872388	0.644252433507595	0.470463522671344	0.583571360502342	0.230043936072851	0.652453822227668	0.639164985783373	0.572756702073849	0.625694933359229	0.646657723810772	0.652961921999696	0.639164985783373	0.34973206738936	0.638019907344639	0.62308553824974	0.630249246107453	0.55897825289879	0.256858008594833	0.421043854797513	0.630022407513446	0.631458157483877	0.590619870618905	0.641530530503026	0.62308553824974	0.646740472242068	0.460344197694751	0.66401800377588	0.555017420134304	0.186002195832965	0.411910343010111	0.572756702073849	0.280419214804018
ZB_3	0.456275405494869	0.573137859022998	0	0.464000143333948	0.687965389789268	0.487162131079669	0.122788062369969	0.379159885319628	0.557173400935808	0.495414865574359	0.513024830081123	0.498329360201487	0.56158520978792	0.48611081050533	0.531934181383406	0.526766992032986	0.502094646655255	0.32752551183688	0.429129399497482	0.670618784649567	0.495414865574359	0.529958227866272	0.521337793006521	0.137187552384296	0.277907630099626	0.473187861998936	0.539196577242234	0.523718307544563	0.465820428531823	0.429129399497482	0.564064030209366	0.408473306700563	0.350557470665789	0.507825831706831	0.840135520568927	0.0303951367781155	0.525652364602087	0.395774644621737	0.501448936667446	0.564064030209366	0.345060017134001	0.550429908117677	0.201069543774564	0.501448936667446	0.496427285817135	0.159646728666792	0.495414865574359	0.49174681995908	0.0659376015193543	0.62525135579794	0.310459853547106	0.137187552384296	0.506231798410239	0.295571911133526	0.432430816119501	0.495414865574359	0.385046852471937	0.617707868994205	0.378959484346225	0.548361542328727	0.685301216310375	0.385267792360963	0.564064030209366	0.701090591146721
ZB_4	0.611878423163718	0.208543134156467	0.464000143333948	0	0.335562480420768	0.559735764112933	0.513787397609431	0.331061674238864	0.602334785013134	0.677379940501487	0.388194416709932	0.611626441023202	0.403694288426899	0.0899888305766788	0.213603710923399	0.626554038699236	0.414926034410614	0.448501219029361	0.544759198110796	0.409258902853937	0.677379940501487	0.206456894165592	0.597713143814192	0.500452214308472	0.514269393656758	0.545018821113868	0.610562854255459	0.643875668146808	0.429566239759942	0.544759198110796	0.612950665226683	0.537446137677351	0.48853885008262	0.563020135655206	0.576690272985897	0.456695764007737	0.141818383487952	0.528265282717137	0.69452252428333	0.612950665226683	0.502105184593298	0.671476808679222	0.530922101829534	0.69452252428333	0.238138518819712	0.511067633020325	0.677379940501487	0.640274733884655	0.431324944031567	0.395376885678219	0.335900222669918	0.500452214308472	0.657934261870726	0.489305961477517	0.511294004438331	0.677379940501487	0.520531977244551	0.508602425793868	0.542031720179158	0.599345880533999	0.349292819240159	0.314586657115879	0.612950665226683	0.389796850034239
ZB_5	0.636820107077457	0.230861567324356	0.687965389789268	0.335562480420768	0	0.720256958209892	0.738865492515886	0.593065735758026	0.463338867138142	0.649545793835542	0.417177686950825	0.673709814935553	0.536319212940361	0.36542068944413	0.31490264018676	0.484077504429145	0.448944564063939	0.614964883254627	0.728786841002259	0.424640873471781	0.649545793835542	0.348164365427636	0.542069684481439	0.742318658163408	0.717700397934393	0.694786744529034	0.659384901314326	0.595849961497808	0.541220743699961	0.728786841002259	0.458405267122858	0.719649416469057	0.709735424348227	0.71446628381329	0.392957549512709	0.695400437384032	0.321694104717077	0.714646774787819	0.602516396734038	0.458405267122858	0.689489089529355	0.564409395147166	0.757912475643794	0.602516396734038	0.432756984164759	0.747749590324423	0.649545793835542	0.671383508815351	0.672481391276139	0.158804887909336	0.545880800504033	0.742318658163408	0.636231879814604	0.695424892056489	0.702068041687244	0.649545793835542	0.709944479122179	0.353586609737856	0.720806808814913	0.432061125237613	0.0668608436087978	0.540234240323335	0.458405267122858	0.0862843601895735
ZB_6	0.446313914359932	0.651485921094324	0.487162131079669	0.559735764112933	0.720256958209892	0	0.534656002944134	0.372155117609663	0.64683831392411	0.515758972486622	0.534773289496466	0.300114778099668	0.228148873953182	0.502078158895841	0.543536788069816	0.661665037769111	0.538275993145846	0.421442769587544	0.0639327369302537	0.732124138717473	0.515758972486622	0.500814307816926	0.531863862375606	0.52328691503414	0.274049969992447	0.0895878256128089	0.285482210870318	0.492701930015254	0.435493442377699	0.0639327369302537	0.651574867957539	0.102402907525346	0.304884381657085	0.0363981581840125	0.870073544936308	0.466373567637311	0.533109718571093	0.124747510093563	0.609019811213254	0.651574867957539	0.246089849494381	0.548994802751162	0.467906970630952	0.609019811213254	0.420771109085002	0.504776550325191	0.515758972486622	0.356813462043818	0.474350587460576	0.755220300493129	0.620148307526799	0.52328691503414	0.497031457481122	0.31901050910415	0.110047196796339	0.515758972486622	0.14290506379518	0.608690569828285	0.146911815603411	0.679375508533964	0.74322691379001	0.494730328457216	0.651574867957539	0.714934196635935
ZB_7	0.545474335086051	0.624932740655921	0.122788062369969	0.513787397609431	0.738865492515886	0.534656002944134	0	0.433124108176601	0.6148254053591	0.586133408540041	0.58913088310454	0.578697097138652	0.627080726426568	0.532958267262331	0.579834846502661	0.584284266838391	0.579157781309283	0.381102885902477	0.476623271361947	0.650166821794229	0.586133408540041	0.609285040611495	0.574567473102105	0.0181316377864729	0.36808530417501	0.535490957696711	0.615030829993324	0.608866526862091	0.560753915817525	0.476623271361947	0.621746566743568	0.457685672780098	0.438369763998955	0.555319703571296	0.830171593499628	0.123587403098936	0.573001354601633	0.446043482393966	0.598567483997581	0.621746566743568	0.412333730631704	0.637167799354419	0.0978136305417612	0.598567483997581	0.540279470856472	0.0462859275849198	0.586133408540041	0.572948664564868	0.156420478388586	0.6774357432977	0.268114443685968	0.0181316377864729	0.594814876558324	0.387473711814643	0.48045308963006	0.586133408540041	0.436208194404132	0.690480013196239	0.426493028150487	0.608059258352336	0.737725194372701	0.490662098325711	0.621746566743568	0.739744503391665
ZB_8	0.488961510136891	0.509832369942196	0.379159885319628	0.331061674238864	0.593065735758026	0.372155117609663	0.433124108176601	0	0.537185643976394	0.661435540069686	0.556716118638638	0.515482862725965	0.466875866342867	0.315428762467265	0.410132623204493	0.566183490493587	0.623234576937832	0.286737242773879	0.360720645625734	0.677021898305276	0.661435540069686	0.453509142367022	0.517744783008043	0.418574596384208	0.445086232405294	0.374885024962495	0.499256901511905	0.60683468451698	0.347433268821737	0.360720645625734	0.548956183831887	0.351106159089912	0.464002754922579	0.373437124383214	0.828607237975873	0.372207341529821	0.363990603221592	0.331061538615506	0.678391959798995	0.548956183831887	0.394306865336121	0.622308458755047	0.457054299282188	0.678391959798995	0.372885984787182	0.432028984316593	0.661435540069686	0.527412662327244	0.343667522275082	0.655098163049751	0.522071901332478	0.418574596384208	0.641028824833703	0.429303162637335	0.344320008534595	0.661435540069686	0.343412320846374	0.678607367014215	0.368172963393495	0.531617539467052	0.632417706755792	0.268111130039948	0.548956183831887	0.623954833730801
ZB_9	0.477582668483687	0.576105830514599	0.557173400935808	0.602334785013134	0.463338867138142	0.64683831392411	0.6148254053591	0.537185643976394	0	0.508073713704035	0.561030589763338	0.487254110044664	0.673228269402649	0.597997738943296	0.515011405724938	0.110124481734031	0.557481160797184	0.450151914634496	0.65570382010634	0.738345071949767	0.508073713704035	0.608232114998886	0.246744522318302	0.620641399756195	0.615011003455384	0.616628130741005	0.489299560311307	0.43370294589267	0.490598218163713	0.65570382010634	0.0512251767960126	0.654865693283288	0.577110056814854	0.638831203791834	0.768034679357301	0.569196920321472	0.523062744429184	0.665697035843197	0.430291608182062	0.0512251767960126	0.557109105014458	0.283241597930828	0.646632231069003	0.430291608182062	0.595510778952177	0.629743843119884	0.508073713704035	0.540623307482225	0.5532745617231	0.488764128995579	0.673288414671609	0.620641399756195	0.480657472313103	0.592877751867515	0.632290585276951	0.508073713704035	0.678983394453065	0.432677454085852	0.623173772428952	0.112925028052504	0.502509070348207	0.507089033579633	0.0512251767960126	0.49105530163816
ZB_10	0.263254544204727	0.62308553824974	0.495414865574359	0.677379940501487	0.649545793835542	0.515758972486622	0.586133408540041	0.661435540069686	0.508073713704035	0	0.412808746298491	0.324348794280524	0.551591292307229	0.698770108334179	0.676665545372483	0.440601838332429	0.410056172443275	0.492247103313326	0.543860802057389	0.731579674600159	0	0.571369749159332	0.413901931111197	0.591770482596452	0.320552555160529	0.510099025741046	0.366609097427799	0.080253195249099	0.475130486745908	0.543860802057389	0.484689833548872	0.527356092246232	0.338432718456601	0.504898044586472	0.813736154595586	0.508113426202163	0.683749576892032	0.541160449106031	0.160183898129064	0.484689833548872	0.402315557589688	0.269071656028813	0.52542363985167	0.160183898129064	0.652361031493548	0.600626968905731	0	0.253265190232822	0.513545693439846	0.564873661090569	0.634156494743526	0.591770482596452	0.0311637752555058	0.337654701159579	0.557141001450899	0	0.508637797709644	0.406834076719733	0.516812355759163	0.462603777689156	0.634598465599025	0.561945969730582	0.484689833548872	0.653923329075176
ZB_11	0.296351306666956	0.317574278742644	0.513024830081123	0.388194416709932	0.417177686950825	0.534773289496466	0.58913088310454	0.556716118638638	0.561030589763338	0.412808746298491	0	0.433739700532159	0.362367257248387	0.390316650811476	0.356498556102982	0.508961649052548	0.12028509216808	0.507209873579034	0.558073279504538	0.48790470869957	0.412808746298491	0.358051163670013	0.551788799149527	0.593855944409237	0.436764664190741	0.507976699346072	0.405353630337239	0.367061293981122	0.507151544698107	0.558073279504538	0.54355879769316	0.547780683928554	0.460817602122744	0.525872350092083	0.638630687526913	0.523355523465058	0.363489652791157	0.535966460285731	0.412744011593215	0.54355879769316	0.425605915200855	0.374356861867842	0.615400594654821	0.412744011593215	0.441932027244971	0.601320723526802	0.412808746298491	0.357919871992123	0.501535021481284	0.379440218171379	0.416526299581465	0.593855944409237	0.402454404473851	0.444411344404177	0.527665562428542	0.412808746298491	0.546394954987963	0.192103927848495	0.495807465317698	0.528347522128883	0.444506961389407	0.505867607025362	0.54355879769316	0.436133199368451
ZB_12	0.224710581904436	0.632801040464689	0.498329360201487	0.611626441023202	0.673709814935553	0.300114778099668	0.578697097138652	0.515482862725965	0.487254110044664	0.324348794280524	0.433739700532159	0	0.353358173433491	0.598598840941859	0.568705560830998	0.486233722356039	0.437452933004663	0.410910013922113	0.341891626992085	0.726736042869617	0.324348794280524	0.538585450173201	0.364094692755329	0.583792185035104	0.303387584185536	0.291682732764412	0.0837178488146416	0.299772340029496	0.435969193632459	0.341891626992085	0.466528759409297	0.341696725125186	0.246004242538802	0.293493100589985	0.84787322253524	0.509526127766058	0.554749369246898	0.34060258517633	0.408839977379424	0.466528759409297	0.333856875022109	0.342524443771316	0.54882722954758	0.408839977379424	0.54237813092003	0.591829086313788	0.324348794280524	0.177101840462849	0.514335949325819	0.685110691045678	0.622614082459677	0.583792185035104	0.300753025286413	0.336384747249243	0.327680819817788	0.324348794280524	0.362448679225071	0.449617940928352	0.337751030430588	0.502281820738711	0.70022889647671	0.50001107431976	0.466528759409297	0.670385497074822
ZB_13	0.487284951041301	0.472318607423525	0.56158520978792	0.403694288426899	0.536319212940361	0.228148873953182	0.627080726426568	0.466875866342867	0.673228269402649	0.551591292307229	0.362367257248387	0.353358173433491	0	0.364492695079905	0.374795635705806	0.686281194022266	0.396784949442923	0.490000104787752	0.261324244565443	0.580234293873313	0.551591292307229	0.326131229717002	0.568159268506209	0.630821082575935	0.37938759197393	0.219670050480817	0.339322053225269	0.529611294851001	0.48793220834647	0.261324244565443	0.677624650786329	0.294453219169542	0.381782476641907	0.220971311256866	0.701870723730174	0.569687574854089	0.376972315677527	0.313695498566025	0.6379511209787	0.677624650786329	0.368051189260768	0.58180848045464	0.581964282608402	0.6379511209787	0.308825739199128	0.614491033933648	0.551591292307229	0.404407251960178	0.573187691951092	0.590147607017296	0.511102978268826	0.630821082575935	0.534249554774092	0.420091455641546	0.278279601223802	0.551591292307229	0.329332058689056	0.440353938079892	0.321675547765461	0.703346794196743	0.568551555474965	0.558867201693904	0.677624650786329	0.534810523797908
ZB_14	0.612339373932684	0.272540049267867	0.48611081050533	0.0899888305766788	0.36542068944413	0.502078158895841	0.532958267262331	0.315428762467265	0.597997738943296	0.698770108334179	0.390316650811476	0.598598840941859	0.364492695079905	0	0.224400083189224	0.621106543921625	0.449727069083408	0.412299329404593	0.488706457618375	0.45490485525089	0.698770108334179	0.235286801651659	0.593992887292856	0.520431929369797	0.531026235334138	0.505064930961484	0.572932658306453	0.649518076363759	0.434668811391362	0.488706457618375	0.608051014391949	0.510031166984774	0.507550218427719	0.504683776196494	0.614783420291629	0.479017059127359	0.132040979660787	0.497379704621248	0.716000325161266	0.608051014391949	0.462490090315835	0.664575563388796	0.548010955214646	0.716000325161266	0.200399759832194	0.500037410064997	0.698770108334179	0.61048899566026	0.455375903828559	0.446257129039551	0.36675108295578	0.520431929369797	0.680613705795484	0.508277250197289	0.472198908500253	0.698770108334179	0.493219387277631	0.509237902138227	0.491213404005549	0.595043665486721	0.407849197484585	0.374478883451151	0.608051014391949	0.398922839175605
ZB_15	0.594657230796225	0.198136023719655	0.531934181383406	0.213603710923399	0.31490264018676	0.543536788069816	0.579834846502661	0.410132623204493	0.515011405724938	0.676665545372483	0.356498556102982	0.568705560830998	0.374795635705806	0.224400083189224	0	0.539030866148244	0.360457912114529	0.440767550816552	0.550535976819538	0.400593442558309	0.676665545372483	0.222726475745178	0.503452641912507	0.585129734218462	0.582386563508019	0.511609157629532	0.556861391930678	0.623799348036001	0.395210566810467	0.550535976819538	0.521093311323099	0.547104956688822	0.590229561244467	0.539482454166162	0.575383774703757	0.54256995225576	0.114864589887834	0.556197118442055	0.693802006537228	0.521093311323099	0.534971417023372	0.597661445820401	0.609123747778085	0.693802006537228	0.204832018221752	0.593470729873517	0.676665545372483	0.632968297918676	0.519355555662925	0.393643322919572	0.389313997050223	0.585129734218462	0.657176807118847	0.551556255789894	0.517375194719277	0.676665545372483	0.567982159751318	0.42544827443985	0.551138542049573	0.557367240548742	0.347284484067152	0.406229180546302	0.521093311323099	0.337445144925336
ZB_16	0.412570010352242	0.590278496403994	0.526766992032986	0.626554038699236	0.484077504429145	0.661665037769111	0.584284266838391	0.566183490493587	0.110124481734031	0.440601838332429	0.508961649052548	0.486233722356039	0.686281194022266	0.621106543921625	0.539030866148244	0	0.505047677848666	0.478698922918997	0.680964910769655	0.74706994085054	0.440601838332429	0.619200160303711	0.266202586718348	0.590561421169159	0.5751584685439	0.632788366298781	0.488268127918085	0.364659380084268	0.508540864647566	0.680964910769655	0.063983290280917	0.680834693092424	0.59695638289105	0.654216774681382	0.777084315982114	0.539616098787756	0.551296978269182	0.691466633993116	0.349979196037956	0.063983290280917	0.576537610997476	0.199318114797474	0.618613109014141	0.349979196037956	0.617174182313192	0.600385612507702	0.440601838332429	0.484293493081396	0.511796838175546	0.436390392996623	0.637164057504692	0.590561421169159	0.412606204719592	0.597790416724624	0.65092145285382	0.440601838332429	0.704343085183638	0.369479189199506	0.611814096887402	0.1236277042299	0.521917627304115	0.525051195020425	0.063983290280917	0.510910703167745
