ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.376751374209582	0.411472224966248	0.403198265347608	0.376751374209582	0.445883194161352	0.411472224966248	0.357258332410586	0.232282461632521	0.111146679945698	0.246872872702519	0.25452016689847	0.278224183632402	0.370689795365226	0.357258332410586	0.185148912803501	0.217713712709952	0.370689795365226	0.422705438105269	0.238348259414098	0.357258332410586	0.232282461632521	0.253608394525119	0.322797730885966	0.436963701881924	0.278224183632402	0.151199850549401	0.357258332410586	0.466860931760761	0.232282461632521	0.465953420279764	0.326894375101005	0.412009157309495	0.311790475851725	0.411472224966248	0.454062366268981	0.342147316783113	0.242205386609792	0.199771295295137	0.347343670621451	0.185148912803501	0.42373045300661	0.238348259414098	0.370689795365226	0.411472224966248	0.238348259414098	0.143107503339954	0.411472224966248	0.232282461632521	0.411472224966248	0.194271589016068	0.238348259414098	0.233681943013275	0.430714346027189	0.111146679945698	0.450776892887471	0.177728055455014	0.365855597542943	0.376751374209582	0.465093454992445	0.370689795365226	0.232282461632521	0.376751374209582
ZB_2	0.376751374209582	0	0.556350799139202	0.0621847270878514	0	0.436486267172002	0.556350799139202	0.077875414958016	0.177746822218353	0.302746076581084	0.26654323825618	0.445316280839907	0.479384880196339	0.104830148619958	0.077875414958016	0.22281617632537	0.434685494223363	0.104830148619958	0.469901968337121	0.408314075347987	0.077875414958016	0.177746822218353	0.456130532364803	0.477278877973972	0.425922594010008	0.479384880196339	0.252333785101775	0.077875414958016	0.461115701158974	0.177746822218353	0.39828933704979	0.424403072080974	0.396073235488211	0.112509270306001	0.556350799139202	0.262395971309324	0.438717505569745	0.411483279165241	0.209371944440724	0.406505291204786	0.22281617632537	0.566507583990927	0.408314075347987	0.104830148619958	0.556350799139202	0.408314075347987	0.46247662570367	0.556350799139202	0.177746822218353	0.556350799139202	0.371965932881159	0.408314075347987	0.495201676318335	0.478158446064444	0.302746076581084	0.377216750858416	0.278379187882418	0.254124182785136	0	0.198153896311189	0.104830148619958	0.177746822218353	0
ZB_3	0.411472224966248	0.556350799139202	0	0.509031119278478	0.556350799139202	0.673871580409809	0	0.54869476447426	0.402084290446599	0.343969657113144	0.45893550681035	0.537684653487047	0.561101151914237	0.526206795974916	0.54869476447426	0.351754237493048	0.525927062015021	0.526206795974916	0.627873821572607	0.440410776624556	0.54869476447426	0.402084290446599	0.192369424195814	0.44774858656735	0.689350834996366	0.561101151914237	0.374431967332653	0.54869476447426	0.656336613698457	0.402084290446599	0.583832880070479	0.413270923673403	0.697791247344062	0.551023154803781	0	0.593080056313472	0.427835025316134	0.443321445813153	0.367368281064874	0.498732037193576	0.351754237493048	0.0310973114785664	0.440410776624556	0.526206795974916	0	0.440410776624556	0.490279771467683	0	0.402084290446599	0	0.278329877316378	0.440410776624556	0.466882262458533	0.643959827112511	0.343969657113144	0.571119828288062	0.341187108064751	0.49899994812411	0.556350799139202	0.622861018900114	0.526206795974916	0.402084290446599	0.556350799139202
ZB_4	0.403198265347608	0.0621847270878514	0.509031119278478	0	0.0621847270878514	0.399120755329406	0.509031119278478	0.0747042766151046	0.220259836330852	0.335680581200294	0.300559883875937	0.436849294838662	0.497968526988267	0.0454731574158326	0.0747042766151046	0.260904406839084	0.456530324122067	0.0454731574158326	0.432210816224337	0.43220146675056	0.0747042766151046	0.220259836330852	0.410965780257441	0.440112240586082	0.41752188565046	0.497968526988267	0.287649493742684	0.0747042766151046	0.425383319715346	0.220259836330852	0.355506367164016	0.383476846986736	0.419326437358281	0.16518804974219	0.509031119278478	0.2134868667683	0.398809068616205	0.435120574653669	0.24875593397223	0.3671517985069	0.260904406839084	0.520271228086755	0.43220146675056	0.0454731574158326	0.509031119278478	0.43220146675056	0.48226403382131	0.509031119278478	0.220259836330852	0.509031119278478	0.327311310260637	0.43220146675056	0.459309389858641	0.441054347929129	0.335680581200294	0.332935473104837	0.311331486072626	0.201090748958369	0.0621847270878514	0.238634824612884	0.0454731574158326	0.220259836330852	0.0621847270878514
ZB_5	0.376751374209582	0	0.556350799139202	0.0621847270878514	0	0.436486267172002	0.556350799139202	0.077875414958016	0.177746822218353	0.302746076581084	0.26654323825618	0.445316280839907	0.479384880196339	0.104830148619958	0.077875414958016	0.22281617632537	0.434685494223363	0.104830148619958	0.469901968337121	0.408314075347987	0.077875414958016	0.177746822218353	0.456130532364803	0.477278877973972	0.425922594010008	0.479384880196339	0.252333785101775	0.077875414958016	0.461115701158974	0.177746822218353	0.39828933704979	0.424403072080974	0.396073235488211	0.112509270306001	0.556350799139202	0.262395971309324	0.438717505569745	0.411483279165241	0.209371944440724	0.406505291204786	0.22281617632537	0.566507583990927	0.408314075347987	0.104830148619958	0.556350799139202	0.408314075347987	0.46247662570367	0.556350799139202	0.177746822218353	0.556350799139202	0.371965932881159	0.408314075347987	0.495201676318335	0.478158446064444	0.302746076581084	0.377216750858416	0.278379187882418	0.254124182785136	0	0.198153896311189	0.104830148619958	0.177746822218353	0
ZB_6	0.445883194161352	0.436486267172002	0.673871580409809	0.399120755329406	0.436486267172002	0	0.673871580409809	0.388896314045957	0.49767677369393	0.522930501676639	0.423716481290795	0.222520107238606	0.242649499187296	0.370495183724904	0.388896314045957	0.514863732000789	0.313797241062387	0.370495183724904	0.132010790923573	0.407160234071931	0.388896314045957	0.49767677369393	0.558369438209466	0.306278354921428	0.0184011303210532	0.242649499187296	0.490219606811756	0.388896314045957	0.0437068922231402	0.49767677369393	0.244840760842276	0.368170922701762	0.066917106607223	0.445856285024201	0.673871580409809	0.236021346265835	0.37408674818985	0.403042606351502	0.509658956392439	0.262205448093338	0.514863732000789	0.67886951949043	0.407160234071931	0.370495183724904	0.673871580409809	0.407160234071931	0.330112926556644	0.673871580409809	0.49767677369393	0.673871580409809	0.51004076403908	0.407160234071931	0.27554819514761	0.100467386549398	0.522930501676639	0.273100747239505	0.50188521660918	0.406270969037718	0.436486267172002	0.297229567824036	0.370495183724904	0.49767677369393	0.436486267172002
ZB_7	0.411472224966248	0.556350799139202	0	0.509031119278478	0.556350799139202	0.673871580409809	0	0.54869476447426	0.402084290446599	0.343969657113144	0.45893550681035	0.537684653487047	0.561101151914237	0.526206795974916	0.54869476447426	0.351754237493048	0.525927062015021	0.526206795974916	0.627873821572607	0.440410776624556	0.54869476447426	0.402084290446599	0.192369424195814	0.44774858656735	0.689350834996366	0.561101151914237	0.374431967332653	0.54869476447426	0.656336613698457	0.402084290446599	0.583832880070479	0.413270923673403	0.697791247344062	0.551023154803781	0	0.593080056313472	0.427835025316134	0.443321445813153	0.367368281064874	0.498732037193576	0.351754237493048	0.0310973114785664	0.440410776624556	0.526206795974916	0	0.440410776624556	0.490279771467683	0	0.402084290446599	0	0.278329877316378	0.440410776624556	0.466882262458533	0.643959827112511	0.343969657113144	0.571119828288062	0.341187108064751	0.49899994812411	0.556350799139202	0.622861018900114	0.526206795974916	0.402084290446599	0.556350799139202
ZB_8	0.357258332410586	0.077875414958016	0.54869476447426	0.0747042766151046	0.077875414958016	0.388896314045957	0.54869476447426	0	0.231137451561432	0.282811621599916	0.247850603286243	0.398472041459736	0.461149997215054	0.0292311191992721	0	0.270684681011423	0.415809946508456	0.0292311191992721	0.421897268980394	0.389127723725683	0	0.231137451561432	0.452163196109705	0.429942217938553	0.377440515845421	0.461149997215054	0.233636661292016	0	0.415605756985115	0.231137451561432	0.343799529977592	0.372278076655635	0.378035818141708	0.0932083577426284	0.54869476447426	0.200103716292205	0.387888798821304	0.392331649611348	0.258858168851389	0.356383379835608	0.270684681011423	0.558673367522148	0.389127723725683	0.0292311191992721	0.54869476447426	0.389127723725683	0.443982528066209	0.54869476447426	0.231137451561432	0.54869476447426	0.315092326911997	0.389127723725683	0.449488071821254	0.430901438091898	0.282811621599916	0.320818649273952	0.259700423703527	0.18657904542529	0.077875414958016	0.249009217615888	0.0292311191992721	0.231137451561432	0.077875414958016
ZB_9	0.232282461632521	0.177746822218353	0.402084290446599	0.220259836330852	0.177746822218353	0.49767677369393	0.402084290446599	0.231137451561432	0	0.141122750129831	0.1079915753897	0.325410063289058	0.358706394730247	0.249968233799238	0.231137451561432	0.0548120157207655	0.303645699614891	0.249968233799238	0.527910706322253	0.271161390874402	0.231137451561432	0	0.308889286353067	0.356112221594443	0.489299758179293	0.358706394730247	0.0907104586505212	0.231137451561432	0.517341052278683	0	0.47194110029258	0.29097981398121	0.46581206249802	0.263933089080844	0.402084290446599	0.363831828077512	0.308612330422281	0.275065215531988	0.0384615384615385	0.278209285373149	0.0548120157207655	0.415772811038133	0.271161390874402	0.249968233799238	0.402084290446599	0.271161390874402	0.337878810071331	0.402084290446599	0	0.402084290446599	0.226387755916966	0.271161390874402	0.378189521176357	0.53447021911761	0.141122750129831	0.455780799707364	0.122386107324706	0.364072202166065	0.177746822218353	0.316609647523285	0.249968233799238	0	0.177746822218353
ZB_10	0.111146679945698	0.302746076581084	0.343969657113144	0.335680581200294	0.302746076581084	0.522930501676639	0.343969657113144	0.282811621599916	0.141122750129831	0	0.16346000484396	0.340298111412049	0.331504883471726	0.299494346089328	0.282811621599916	0.0883925065548645	0.27421636359909	0.299494346089328	0.502975502410371	0.158171916231542	0.282811621599916	0.141122750129831	0.252383898038026	0.260146354220637	0.515251222394348	0.331504883471726	0.0504122914793094	0.282811621599916	0.540991384593487	0.141122750129831	0.444152909181446	0.261040404514786	0.493766488607871	0.225733303098614	0.343969657113144	0.401272834170543	0.27938325318678	0.162881325650989	0.104751168475851	0.316679614555035	0.0883925065548645	0.359164819141752	0.158171916231542	0.299494346089328	0.343969657113144	0.158171916231542	0.238348259414098	0.343969657113144	0.141122750129831	0.343969657113144	0.103997227218673	0.158171916231542	0.286475013919491	0.50987080976104	0	0.427172920829941	0.0834917510712299	0.330847133280689	0.302746076581084	0.411483279165241	0.299494346089328	0.141122750129831	0.302746076581084
