ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.76360336020938	0.620539293326294	0.726725960196227	0.76360336020938	0.585069926831527	0.530307565666392	0.720444500945985	0.72358847712283	0.730846718296582	0.76360336020938	0.622439468722859	0.528166776968895	0.767582253612196	0.770005291047075	0.691349519111528	0.76360336020938	0.567462384702602	0.6771892406021	0.76360336020938	0.619804902950871	0.574546410728372	0.759090660625459	0.594429196647133	0.326720769461978	0.349366794469618	0.510060749333407	0.543859011627907	0.543852330795703	0.668962255785771	0.744381004478786	0.606527428902668	0.684709094875819	0.619880445848234	0.76360336020938	0.694691251303348	0.59191481221705	0.653557432245957	0.706358528878812	0.546136078129432	0.67445409294045	0.713278727258408	0.646176090885618	0.781212879823228	0.594292362884199	0.352946084054646	0.377278923929837	0.204308035714286	0.76360336020938	0.76358894105373	0.516215435013007	0.582800785944564	0.465273610944438	0.621228133956729	0.560784450936828	0.647596497990199	0.792258444329973	0.582840594824616	0.723075112074631	0.76360336020938	0.513107968264919	0.789523150625922	0.76360336020938
ZB_2	0.76360336020938	0	0.864140529359618	0.444209288653733	0	0.479247501469724	0.821868799864916	0.33351977711174	0.377736881118524	0.511745958039596	0	0.550102368187766	0.649642239013888	0.246867571505253	0.414533116636414	0.289190501750888	0	0.743045295284731	0.321739130434783	0	0.580142682257588	0.816818751118268	0.158301321288362	0.836453628266284	0.648887669382414	0.679201492728063	0.664374815315125	0.813489383258052	0.868003081599054	0.339370702655727	0.321498862561664	0.449147560258671	0.250226898560513	0.719658512895228	0	0.511453620632365	0.469989520231066	0.721526869010933	0.533951895304552	0.526595608721213	0.273845455696737	0.546730550044324	0.590108120542903	0.229362784414707	0.777386128582887	0.819705348473975	0.765323567900713	0.811901093334459	0	0.861190848072945	0.830084638439782	0.844384524462831	0.696531090379501	0.426557268103162	0.802297479842965	0.381315338803261	0.370382878129089	0.482197173018429	0.549521930009709	0	0.781491409514965	0.312123303427651	0
ZB_3	0.620539293326294	0.864140529359618	0	0.839838237114678	0.864140529359618	0.761535611744003	0.516047781740193	0.79615378525169	0.798579329875535	0.803724044461976	0.864140529359618	0.788148730377066	0.733206851989332	0.832187294283275	0.767946788279722	0.822615537244743	0.864140529359618	0.647400839435289	0.814477486111211	0.864140529359618	0.774109813872819	0.598028046481761	0.838588946286173	0.480219633052096	0.733730327520204	0.741931194063593	0.722557401423956	0.534483172211961	0.381107284092359	0.809749357136523	0.814540294465093	0.773867448927612	0.869259997844131	0.711576475484149	0.864140529359618	0.820333114219848	0.832882657894284	0.671724604584285	0.735301072284078	0.815267161039134	0.812905569887004	0.789616331132577	0.790488529014845	0.823705022424595	0.600115394918502	0.520945962625589	0.618104890288301	0.537820329617986	0.864140529359618	0.646462282549341	0.49649732759068	0.458417057378879	0.696078431372549	0.782316088504105	0.557021548575603	0.797470246289144	0.784218907140463	0.760254392744406	0.78840282623866	0.864140529359618	0.593600134028607	0.816958382505581	0.864140529359618
ZB_4	0.726725960196227	0.444209288653733	0.839838237114678	0	0.444209288653733	0.571018080828165	0.740232652784372	0.634806683009959	0.559823606569053	0.347948021320501	0.444209288653733	0.646977278874763	0.755973996553926	0.449873158779782	0.434821490467938	0.600856798415569	0.444209288653733	0.791149487317863	0.60439584628846	0.444209288653733	0.617125865221134	0.634780185327109	0.415177178773209	0.792927327963709	0.693107548189515	0.630592480485496	0.726298657262986	0.711705915154635	0.782144847767017	0.578594481567344	0.58680246033161	0.566463770114654	0.357751484585243	0.636595639054585	0.444209288653733	0.297146362949912	0.537594572421966	0.636638737492882	0.696320564516129	0.501666514633753	0.673384553939292	0.362826661446609	0.51332850362967	0.311527508090615	0.738606145812412	0.702431547411691	0.669022851652254	0.799736768635584	0.444209288653733	0.864528690503009	0.738686569725046	0.76280573010879	0.715939826094732	0.57487237489683	0.693924632510592	0.577921581765498	0.70742936636746	0.585443017830202	0.776777749263726	0.444209288653733	0.808538222195107	0.629785956011305	0.444209288653733
ZB_5	0.76360336020938	0	0.864140529359618	0.444209288653733	0	0.479247501469724	0.821868799864916	0.33351977711174	0.377736881118524	0.511745958039596	0	0.550102368187766	0.649642239013888	0.246867571505253	0.414533116636414	0.289190501750888	0	0.743045295284731	0.321739130434783	0	0.580142682257588	0.816818751118268	0.158301321288362	0.836453628266284	0.648887669382414	0.679201492728063	0.664374815315125	0.813489383258052	0.868003081599054	0.339370702655727	0.321498862561664	0.449147560258671	0.250226898560513	0.719658512895228	0	0.511453620632365	0.469989520231066	0.721526869010933	0.533951895304552	0.526595608721213	0.273845455696737	0.546730550044324	0.590108120542903	0.229362784414707	0.777386128582887	0.819705348473975	0.765323567900713	0.811901093334459	0	0.861190848072945	0.830084638439782	0.844384524462831	0.696531090379501	0.426557268103162	0.802297479842965	0.381315338803261	0.370382878129089	0.482197173018429	0.549521930009709	0	0.781491409514965	0.312123303427651	0
ZB_6	0.585069926831527	0.479247501469724	0.761535611744003	0.571018080828165	0.479247501469724	0	0.714438619088221	0.434277006977304	0.391342611543185	0.720092944871435	0.479247501469724	0.542301918391056	0.603723574631646	0.582576443603355	0.686456745826983	0.308351378084316	0.479247501469724	0.771892417317958	0.275493587727575	0.479247501469724	0.433449721837045	0.640259057017942	0.497165491474001	0.773421363885113	0.533504764785963	0.362267296471242	0.535924566942572	0.720244314072169	0.793743083649293	0.252881321853525	0.336806210744804	0.25082992296107	0.495276320223367	0.509122042066427	0.479247501469724	0.701075002323492	0.422962716185289	0.593062642777744	0.541393940686097	0.320933293254584	0.332484586762269	0.778279117250419	0.382860758229134	0.51118014242593	0.7155443782933	0.710719663298442	0.61049484554876	0.669843475039363	0.479247501469724	0.856622217680819	0.722361476971315	0.782442714284449	0.583404670593069	0.264577740277671	0.674809563727813	0.325197865686421	0.483661787663282	0.2972160946259	0.625951431678144	0.479247501469724	0.766983078827899	0.377224013471354	0.479247501469724
ZB_7	0.530307565666392	0.821868799864916	0.516047781740193	0.740232652784372	0.821868799864916	0.714438619088221	0	0.753871186229554	0.735908689087595	0.635166972873663	0.821868799864916	0.699615409828901	0.559791205314774	0.779973537904019	0.695745045199319	0.767423595226941	0.821868799864916	0.478792686751656	0.776813628533146	0.821868799864916	0.575733963402373	0.506403046626808	0.788367019409198	0.37048594508896	0.666108096606022	0.574825349647922	0.541378277153558	0.203504393490355	0.258990461520232	0.750554192652144	0.775734016216101	0.703507878234292	0.762419857696828	0.522321219592117	0.821868799864916	0.716857424391723	0.728910968244691	0.451855297527463	0.652941841696738	0.738094557648157	0.754692439050976	0.66711965602513	0.642473452678481	0.768852066143997	0.351222265641961	0.41704924145324	0.357126357126357	0.433260344477302	0.821868799864916	0.70741155203581	0.285264909270525	0.345739394256421	0.568913070747617	0.760880550303188	0.371329918595079	0.764770013896673	0.739714974930637	0.75810765630224	0.604572981457404	0.821868799864916	0.498501857696456	0.76000625613172	0.821868799864916
ZB_8	0.720444500945985	0.33351977711174	0.79615378525169	0.634806683009959	0.33351977711174	0.434277006977304	0.753871186229554	0	0.159923249583665	0.732612485304082	0.33351977711174	0.478482560230133	0.581668702986766	0.435235218437098	0.667039338404665	0.185807469190259	0.33351977711174	0.614460120659351	0.289264625213772	0.33351977711174	0.446820067898906	0.762626225481183	0.491821098400101	0.754611815749054	0.61311758360302	0.658929270856954	0.602218362209824	0.720155812075436	0.801949234398999	0.31152270013875	0.176457237181471	0.450104869155561	0.54278578603035	0.694562769717716	0.33351977711174	0.709280008152774	0.377709978217101	0.626760833390846	0.381181666787343	0.527510928461116	0.114405538448349	0.755565199033567	0.436458846631903	0.459274303041274	0.66598578056466	0.72948236821687	0.670445079370022	0.788891963237439	0.33351977711174	0.79172802558865	0.745055658480199	0.766511487973651	0.678051060769507	0.399451613747611	0.703363260652701	0.341537313823522	0.190387080613553	0.470676386671204	0.352054122647899	0.33351977711174	0.725881807753375	0.190513630386748	0.33351977711174
ZB_9	0.72358847712283	0.377736881118524	0.798579329875535	0.559823606569053	0.377736881118524	0.391342611543185	0.735908689087595	0.159923249583665	0	0.692142420483479	0.377736881118524	0.545970658478335	0.624699942643904	0.40712465311208	0.664907268142399	0.148418210923298	0.377736881118524	0.619047619047619	0.230293857989658	0.377736881118524	0.509697261484734	0.67193159504643	0.449598558263009	0.813050236910153	0.6924872522771	0.545717370086658	0.664368890718427	0.723485648571898	0.804305819584282	0.278329876808133	0.154508962557962	0.354451495179476	0.548703114246387	0.5823257281043	0.377736881118524	0.637894911773609	0.243116145633078	0.63106391364987	0.239057476120069	0.49629275610517	0.22598711471115	0.731492637414162	0.353334307489983	0.50237599181937	0.669960180556533	0.732701229004827	0.652076634826758	0.791266155984739	0.377736881118524	0.794206231860249	0.748089214328741	0.769289743168501	0.681534598174588	0.366396505831359	0.706892909948602	0.330961343327551	0.299501850858	0.461115727080621	0.39534253586428	0.377736881118524	0.729013022515283	0.180204421911643	0.377736881118524
ZB_10	0.730846718296582	0.511745958039596	0.803724044461976	0.347948021320501	0.511745958039596	0.720092944871435	0.635166972873663	0.732612485304082	0.692142420483479	0	0.511745958039596	0.778824095061474	0.714245263174927	0.444639074208746	0.280958013010053	0.720840867992767	0.511745958039596	0.74993582651029	0.739161006878959	0.511745958039596	0.671386221165426	0.680088343558282	0.474857495552409	0.746063811428397	0.775876133163006	0.6900168023572	0.707641498501829	0.61800497136064	0.729655246946936	0.749831289605794	0.738313373906594	0.712199870214147	0.369713856886752	0.66873693432683	0.511745958039596	0.238580706018938	0.734440976110197	0.650769773617843	0.669356478333111	0.737377938875354	0.734305654089192	0.197931605631527	0.614779179932913	0.366428155705433	0.663896299675689	0.702728715507091	0.597204730456151	0.75642033161607	0.511745958039596	0.870809578107184	0.651993947908786	0.718037884916424	0.726739646978955	0.740405470808611	0.693983141947216	0.756562300102461	0.771228713284766	0.755079674452491	0.713798214221162	0.511745958039596	0.76931841152581	0.72616530921049	0.511745958039596
