ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.577113624306133	0.50896609168011	0.472525483006061	0.615294964235168	0.602192313411055	0.491278383978489	0.51829232153537	0.527724415008296	0.421934482261746	0.545223067241208	0.54512869654451	0.570906766896366	0.5701693409195	0.524659827322348	0.519725188944537	0.553427065026362	0.507562192736993	0.611314749244942	0.557011588035905	0.412424440043293	0.528309321435719	0.568823032748319	0.440946714257971	0.51592486706124	0.596407502769578	0.489118840820624	0.453151364362069	0.529140329560813	0.615557940737419	0.560185746862334	0.585790816692918	0.560093455994326	0.56772879703994	0.551338836679185	0.520835782132442	0.545956509264923	0.595424894045038	0.424741096382887	0.526387709388946	0.581177427361776	0.570965008194546	0.520130247404402	0.42559608715229	0.536219928609696	0.493317797992015	0.471698358905242	0.54139318323648	0.482397339890118	0.613021391298338	0.550476381045791	0.471391621956974	0.522289755544027	0.505017514973927	0.576042755896363	0.373700402361303	0.579377494495773	0.536352843002232	0.562774610070885	0.53806375747494	0.573436816554435	0.514077308848283	0.508382455555671	0.600466407577813
ZB_2	0.577113624306133	0	0.576459468734833	0.487225899933701	0.194269735341162	0.454600551339906	0.49689901015203	0.392054294727271	0.339689556848234	0.461739756044803	0.169321026486732	0.440376073479143	0.476531920020176	0.33311699771048	0.403786795881284	0.212401228020168	0.241440237005793	0.519805598712838	0.452443908253787	0.200293358723445	0.567645940180531	0.559481140523279	0.353674064685736	0.606106087825946	0.499115617518659	0.485814254006551	0.483349823039994	0.579027364300454	0.509342753005775	0.415319218696829	0.253494700555546	0.427666727175008	0.468899740800622	0.517046325796943	0.180626616219296	0.509673286638396	0.489777666600625	0.476242072976664	0.564730526593395	0.405984835079382	0.445994726455493	0.24090163392605	0.526375536635621	0.533360166250594	0.349614491235065	0.521906811537619	0.557810451802033	0.483251048017843	0.576511581811466	0.202524994653054	0.616158007854178	0.485057934007477	0.660104968394467	0.45843888597272	0.483820421726082	0.615514298159899	0.488653093388684	0.371188590822867	0.482627744553295	0.430721036194421	0.278318198844554	0.516234704148555	0.272514534044314	0.239388804768428
ZB_3	0.50896609168011	0.576459468734833	0	0.429793691091074	0.643692758663405	0.636851712659723	0.257619996400959	0.547945134001657	0.589928838807762	0.567236314901359	0.572387059304206	0.597843330147283	0.622174889336098	0.535146942268482	0.580726276028527	0.517520732127079	0.574752718949671	0.425275473410827	0.641515173031021	0.598297833576071	0.5352570574378	0.457267877364695	0.613245721452484	0.319065240569371	0.474250306756964	0.650418593504039	0.604648904482344	0.369277134833923	0.484576491504542	0.617106002306143	0.560033447477544	0.642819085229958	0.530719136163658	0.658111969623727	0.580958071813281	0.270218897640341	0.478595030454623	0.643051600442017	0.500311149417062	0.549263427641375	0.470535685420865	0.598660027418191	0.305570709630352	0.534130381971283	0.539892560721014	0.335428264841207	0.496231266900857	0.561070401832998	0.30561134284292	0.6405220076899	0.362522364625552	0.324085054310116	0.476188714153562	0.5449948207167	0.617572127488483	0.508613740184516	0.620813867917869	0.56977354985846	0.577139145902672	0.556553805550469	0.627766689925503	0.436919124689045	0.54773487115482	0.628426345546934
ZB_4	0.472525483006061	0.487225899933701	0.429793691091074	0	0.494220455021801	0.583830077405736	0.403014793892938	0.28474487911897	0.463724364790695	0.492102877907334	0.467236887718853	0.523300953398093	0.5285733685652	0.33569414680607	0.360174814657537	0.462793172394826	0.524369900852267	0.212633714409211	0.590723568280981	0.445368331685108	0.456813240190678	0.28268999976729	0.494329474006571	0.492377363195526	0.47426978720608	0.607232892191394	0.564877979442989	0.48437559271785	0.283317780828566	0.562618211066912	0.485328738964834	0.567512201387105	0.496812463253288	0.609742915290684	0.45674461071454	0.41610507314244	0.248238249707509	0.567889380223038	0.47943960098227	0.40700077039518	0.466511188655798	0.471207032313256	0.352954311737917	0.467813090981479	0.359787020644996	0.418768817114056	0.426101279411154	0.558671456285141	0.50270829236826	0.529741042237862	0.552042613899764	0.413660365218243	0.595277180893845	0.50464900586698	0.562647886274291	0.497673266560367	0.553974131812849	0.479186850917002	0.546522240459119	0.352678191707641	0.55816600882402	0.257434934019035	0.470690825375594	0.523204183447944
ZB_5	0.615294964235168	0.194269735341162	0.643692758663405	0.494220455021801	0	0.533777989026545	0.54868716389993	0.36965724047179	0.298503024888869	0.505761415908017	0.180404299373758	0.534771724055654	0.560607198004514	0.329810758741651	0.365604045468204	0.332974890618231	0.283105871243378	0.535634499612565	0.483292937129487	0.15719313364519	0.601984788193731	0.537115175461452	0.415007457533829	0.659892170934398	0.561360846663123	0.557104058339835	0.535176994415881	0.653529677833721	0.482999355976224	0.482907751312071	0.292253086773008	0.506820043673514	0.519904952523691	0.585988334757823	0.160529382716049	0.562557670897609	0.48631743077857	0.489881357339971	0.591107273205312	0.356780593578567	0.488205879044727	0.27459694022592	0.591493638290901	0.545532001863297	0.368693391083638	0.591698589424793	0.5840585543169	0.588044852068664	0.644729145278866	0.0883478488489542	0.670245231948291	0.549621319365798	0.694384778665627	0.511046881744166	0.516808696903883	0.634513285674021	0.522665281687202	0.407977311050869	0.523280275411144	0.379576196414843	0.159998809576953	0.515516814349033	0.385700507564761	0.14633705872937
ZB_6	0.602192313411055	0.454600551339906	0.636851712659723	0.583830077405736	0.533777989026545	0	0.583508557155306	0.532779001167078	0.554504728720757	0.589968838133319	0.494816457861294	0.265483040038979	0.273219931584069	0.534624535264414	0.597037795945979	0.448876797580193	0.3966521775509	0.579909620214119	0.169381491454394	0.492119090789823	0.640602167037786	0.644246188491469	0.524047647506926	0.671857603558471	0.357879587856166	0.0987084914309297	0.326265250882607	0.620878423144876	0.642214521700763	0.118323846748628	0.520291848335236	0.163191980248673	0.347126180161691	0.201513167878313	0.489411534664971	0.571145735467183	0.536539965375245	0.241244570129927	0.62811943470095	0.597027447627495	0.322799438681452	0.510232290333434	0.601724572505008	0.672421801641459	0.519966029529264	0.643407274956204	0.663161642107161	0.317970219556048	0.637999734479616	0.518470787397751	0.711890685246567	0.598412007544283	0.71971181667197	0.353843939286219	0.129479249455752	0.686941059616024	0.229348785712218	0.566051588142996	0.239545229769967	0.627562402475563	0.555897195376588	0.578793073936516	0.481436325198314	0.531273490139267
ZB_7	0.491278383978489	0.49689901015203	0.257619996400959	0.403014793892938	0.54868716389993	0.583508557155306	0	0.475315332499062	0.509617045269831	0.468558447462557	0.479366554706639	0.575490135492144	0.596901679378436	0.484900683972937	0.533463433698988	0.429995894744086	0.493974697304526	0.400403153987295	0.587219622397934	0.49625544293277	0.483710516396532	0.453704508598441	0.545156511932701	0.313423082167408	0.485190361435292	0.603717900300421	0.601855125804611	0.397537710565137	0.443569980675714	0.560509860307046	0.492777621876875	0.574091643633279	0.478976435399488	0.630743255073542	0.485684499889343	0.250176884530086	0.448412363284418	0.573413163545662	0.46478825136612	0.484938603093238	0.436486321907626	0.508319118958	0.284949752861583	0.489279153279153	0.478456085072863	0.313248298626676	0.486245163736765	0.561386614321969	0.301135998354185	0.541451346893898	0.35471920303728	0.275113452928456	0.536566005122842	0.492106769997516	0.572643945728273	0.487462167979634	0.568040796051328	0.484025033797715	0.547381788568707	0.495174294570723	0.522222870516237	0.443053681843732	0.480329995535587	0.529583571954512
ZB_8	0.51829232153537	0.392054294727271	0.547945134001657	0.28474487911897	0.36965724047179	0.532779001167078	0.475315332499062	0	0.343495184908796	0.454304957239924	0.367543614165236	0.504182630496589	0.539784713365578	0.187506615591913	0.254138324493259	0.356415159021008	0.451341297463008	0.312575629300684	0.497914549055206	0.36944327742344	0.4931394353655	0.3901558402874	0.416900593815069	0.527769502846809	0.499861533329557	0.567117247426515	0.53358719300512	0.587148613365694	0.35582375553985	0.500497871481286	0.390710803567737	0.481889068287587	0.432413363378565	0.552684177546404	0.355627058631294	0.504011973083412	0.268022692479821	0.50471381568856	0.57240448253412	0.391053433243948	0.456560331161358	0.371897636785586	0.45126770433115	0.500770901398315	0.233804021769106	0.462830680820405	0.53090981640737	0.563699869007701	0.57577865468753	0.387269964629729	0.595845375672078	0.446428524048195	0.688754527618473	0.48786622290838	0.536541309923774	0.552279344348991	0.50102227115144	0.405427418508337	0.501971192517125	0.358888124904702	0.406595011746376	0.291259284876328	0.364586331190578	0.424538080627032
ZB_9	0.527724415008296	0.339689556848234	0.589928838807762	0.463724364790695	0.298503024888869	0.554504728720757	0.509617045269831	0.343495184908796	0	0.406215283456175	0.343389303949769	0.477697569427226	0.531329076342642	0.35749117816835	0.385129314009443	0.269699311813317	0.36701505834293	0.488250979247891	0.526690467785826	0.349209180206938	0.503414447866205	0.512540862104509	0.24766773859174	0.577863690148371	0.499191305183781	0.571465770222919	0.496746596357881	0.512552222462459	0.515715675605951	0.531950574519204	0.152350452121493	0.49650569326932	0.479794615428492	0.609303040041013	0.310536913775482	0.546834640579746	0.47191797054111	0.545254760066023	0.526810119704371	0.196145456605698	0.447934930291949	0.191530933628549	0.511051800616495	0.420381774155881	0.382946330066844	0.498630218191211	0.485539911515903	0.553849902780488	0.582373743373379	0.245554787051921	0.659976207714191	0.5060190603578	0.615718322241264	0.504255795489644	0.554863768830765	0.515755251130687	0.514883572368985	0.256296816993608	0.518761053127406	0.261748936104838	0.308956053178374	0.502801138892767	0.276751291290468	0.322978015906935
ZB_10	0.421934482261746	0.461739756044803	0.567236314901359	0.492102877907334	0.505761415908017	0.589968838133319	0.468558447462557	0.454304957239924	0.406215283456175	0	0.40980593419492	0.49603940121081	0.586295786364062	0.452975761751166	0.474944002559883	0.44247365532983	0.42826529648367	0.508485445593803	0.564826547815416	0.400082942934516	0.304552299928664	0.550005646875225	0.428842092609642	0.463583063332152	0.462268841063907	0.598515744516922	0.471182990222416	0.436320572966223	0.509509896699919	0.572472223413839	0.432620019856729	0.53378227514327	0.460520340535297	0.608586654612717	0.447220307407984	0.527418802730403	0.501589384738679	0.556489854110111	0.332793729375714	0.459835991528571	0.478929846797903	0.454020484598334	0.49779677902768	0.261548140968875	0.44424887373805	0.466717174840745	0.424822822861483	0.530670708421368	0.526962080488159	0.509130291017577	0.562261272899902	0.4806672207317	0.477278549543487	0.490892180010016	0.565576132376663	0.345658718743579	0.55139675386824	0.454549599273844	0.557676625611841	0.497459077892772	0.443248054466423	0.550775508204218	0.327910672760579	0.482030324686034
ZB_11	0.545223067241208	0.169321026486732	0.572387059304206	0.467236887718853	0.180404299373758	0.494816457861294	0.479366554706639	0.367543614165236	0.343389303949769	0.40980593419492	0	0.475392598412249	0.526156229537581	0.331978060767967	0.378363089317684	0.286100876018472	0.199602285240507	0.498573013123294	0.420622539963749	0.113307414751326	0.501372054082423	0.533395652574619	0.429956563526267	0.580058824774117	0.466508671973999	0.510563062641378	0.481825276372045	0.558124634696858	0.482132287568963	0.423219364237619	0.33100744369697	0.468154095846065	0.441915150876942	0.533023432176182	0.163219580938983	0.502531300209173	0.440174423437486	0.439059376922769	0.518166102496994	0.419011298617342	0.424654097470559	0.33961862369314	0.521630331881593	0.48285467526339	0.31563492632132	0.531131133525054	0.510230544195093	0.521201877028835	0.572382074340938	0.198098244841595	0.592616893725039	0.47738132139372	0.617058307308392	0.430615587650764	0.472450531920513	0.570343126404895	0.46181001546625	0.44148292099559	0.445687902617842	0.443737219826784	0.265778760486441	0.505038392400774	0.355713844798707	0.215433862251747
