ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.532482148449538	0.411728191706778	0.395339382220239	0.547456430011723	0.480856527075587	0.42174797822295	0.421191660528673	0.473407239286859	0.349700650130869	0.459082021393211	0.455370049069071	0.482240087046054	0.467399628049448	0.484463416116766	0.385729754146821	0.40337528929641	0.386318600844318	0.489487406935113	0.523883560499787	0.399682276796307	0.443350533367137	0.414878105640399	0.4412915181363	0.462437852565843	0.447028418318835	0.433087011941104	0.3488178397853	0.452159796049697	0.506478546045595	0.488412072463072	0.526162629388539	0.425796867714666	0.50257309716092	0.552900490120651	0.45020757117078	0.39726033306206	0.483296594791933	0.425680540725834	0.419098410739816	0.418061994213495	0.472343897951485	0.439013842765392	0.37251507804871	0.468074465432117	0.414553031845782	0.375076434924352	0.428831359753938	0.489781172138923	0.556718377286964	0.508850722621819	0.447221348804658	0.377770941473093	0.384153593801403	0.492083142576605	0.423231861152888	0.472088748033126	0.473678067165438	0.433476817406107	0.40839772309791	0.507841487398877	0.393914071860946	0.483272147335543	0.550336643513173
ZB_2	0.532482148449538	0	0.595712992590098	0.475105642931498	0.0795759275598157	0.530397502481693	0.45681959870357	0.349646604504097	0.330040039895347	0.484867450963752	0.25041880643433	0.528791890690059	0.546771500888578	0.318502444777794	0.28076366038171	0.365260437386221	0.296511034043319	0.47031699099223	0.490627623056271	0.117381942637928	0.452285970018316	0.466224835123634	0.319466095368307	0.534365054671836	0.516837652213509	0.519798403317904	0.52221796830944	0.497550494928908	0.528138521946231	0.505513857983846	0.353760438181461	0.49592261029903	0.52762222105016	0.554812651110315	0.144975905595467	0.561904348392419	0.498642311190436	0.554652450185421	0.52682874344916	0.392471535283882	0.461989195413978	0.311150627237531	0.583604327992659	0.499858315164904	0.306689339899737	0.527899061704752	0.570319296462502	0.543740356783087	0.521288329720868	0.144349062605246	0.592834495791477	0.567385541492473	0.517849067761236	0.525879469212009	0.534188963131681	0.541564692614663	0.49932260441707	0.34727181602809	0.535503882302478	0.411279206157587	0.123904883052422	0.500210491700107	0.311090936601604	0.0944839384643486
ZB_3	0.411728191706778	0.595712992590098	0	0.388224090164967	0.558634158818804	0.601285948351878	0.335095067706121	0.45213779801573	0.519042726409919	0.51122905861446	0.513127511341943	0.598820237352715	0.63846777298017	0.470034896516822	0.515509356606038	0.42361333772243	0.550062642721191	0.392594042082969	0.601993304583483	0.529770011634511	0.480359252026055	0.463656316674939	0.507535640963472	0.286590009636706	0.523333394918315	0.577371525925524	0.546301713280756	0.467101582183141	0.361517952852575	0.631280226763279	0.553399891492825	0.598308903321049	0.472829383886256	0.625932701640958	0.596682134006437	0.267253840547159	0.392807838324961	0.581514119877613	0.430526535151214	0.477275402898643	0.420431967221553	0.538905050930691	0.17479047520826	0.455263770258432	0.449516374842329	0.241428165619503	0.370496034637081	0.595675160871651	0.282697224251278	0.5988645542862	0.192962622908383	0.193170942256085	0.445602504350749	0.483032614370363	0.603394851706992	0.543741409545476	0.584679662931537	0.49017349262722	0.53832268355278	0.41521412064216	0.533011298667249	0.323003320231617	0.547646408127759	0.576622342916003
ZB_4	0.395339382220239	0.475105642931498	0.388224090164967	0	0.492020589539434	0.468616638843717	0.441451880534636	0.289758572966323	0.439756956625458	0.424011240707419	0.417050139418718	0.460170063465793	0.492681768318198	0.322610155117146	0.361528339645537	0.363048731813733	0.43692937983541	0.27661763093572	0.517760898370963	0.441652176721702	0.430443836063209	0.375452105575787	0.449621260382973	0.439211924050358	0.424443340554613	0.438906692002555	0.487261150170432	0.402263272699862	0.352512056702022	0.475874913332074	0.475584201701964	0.518877299993809	0.435013656570971	0.507814323378139	0.513819341685574	0.424763542562339	0.356453929817361	0.50433150588075	0.532424414666241	0.453053721178644	0.404278565309767	0.501784022210246	0.425002830659253	0.420431580151507	0.364191454264886	0.405015919365336	0.422515990341205	0.503587581993417	0.427968290293435	0.49180594480312	0.503245297699646	0.419437301807441	0.449423043120935	0.448143710967257	0.4729339332708	0.481395599816534	0.471145842966799	0.466703998047282	0.433916918618288	0.41504830638782	0.45626077062804	0.323631455298227	0.498327121368817	0.478780527711407
ZB_5	0.547456430011723	0.0795759275598157	0.558634158818804	0.492020589539434	0	0.530102713268532	0.419521547266789	0.359108832586394	0.333388417978489	0.501887530131868	0.282412136824807	0.528656059241469	0.546281034062866	0.351304518996308	0.2919862357553	0.34688906706902	0.296349744718034	0.488091404774171	0.475808434834391	0.0956778860685944	0.481845928003016	0.493952604149595	0.364246105023767	0.540340927779666	0.501537086271984	0.519595471077455	0.476538737948972	0.543919865793076	0.496543020272207	0.505449783569611	0.356562962411967	0.47437574514069	0.505507031336047	0.554262744227309	0.151553251215277	0.525515875683138	0.489049471928849	0.539720778885284	0.52735125395795	0.394962590767071	0.445524903046622	0.314630243346872	0.546240440665276	0.527205947193601	0.297321951982551	0.490395722826738	0.579130089977601	0.558071840615152	0.481528598519947	0.150590889319759	0.554212691864076	0.530251772131156	0.544688696598975	0.510854076576646	0.52773804519452	0.584917874255729	0.483504069672012	0.350459382284297	0.514745363314497	0.413426562803298	0.130719556063006	0.468704452111994	0.314571381247083	0.102086752562517
ZB_6	0.480856527075587	0.530397502481693	0.601285948351878	0.468616638843717	0.530102713268532	0	0.534690482941121	0.503771021594877	0.529788516527621	0.538135959143766	0.440431516193537	0.207350688512215	0.28488892775404	0.492780723490092	0.53245155550613	0.490442781595413	0.36276749190135	0.502047912002094	0.203414973512876	0.533203777860572	0.617683173952527	0.54800447181772	0.524946811690354	0.644656212019768	0.307999084000279	0.104645905277458	0.299254880823325	0.600182960518569	0.583477686267398	0.107779436037835	0.478174070364367	0.253419327595914	0.291435663482062	0.140087794711752	0.558897223889009	0.558390106854994	0.493299199305026	0.250889249267545	0.65228327360878	0.589964909010323	0.361269938406748	0.492174423354192	0.610082708167382	0.603232197383605	0.542523862318313	0.555833420612164	0.6323149455566	0.242370560238131	0.628415769881689	0.509490912612584	0.654702249616745	0.612547861071699	0.611181552645493	0.244030790679028	0.0644269405100607	0.599755430611767	0.28009795505884	0.560847981884586	0.209332359221113	0.562776110040772	0.521360508537165	0.548805921001051	0.509819090578028	0.55950521346513
ZB_7	0.42174797822295	0.45681959870357	0.335095067706121	0.441451880534636	0.419521547266789	0.534690482941121	0	0.38467096127831	0.435132572600551	0.368618991068731	0.446027834586432	0.541016694135523	0.496223898093238	0.363695594623622	0.39818703063421	0.421771734321321	0.405186529632897	0.457676256274037	0.463549826018977	0.387193827687856	0.43988207363644	0.514199226986186	0.425427866408033	0.350192900579396	0.426364027032701	0.499629297109705	0.514562056430673	0.516087774501606	0.470545964420296	0.498990778856466	0.456173157458625	0.468773568081271	0.437755559744912	0.515511274706028	0.467341725258357	0.366849346349261	0.440786632203967	0.461788694043435	0.482145826719277	0.420828621216971	0.435315973332064	0.450028870534481	0.357928769465575	0.477050391052105	0.329054089809765	0.334401059323262	0.529615269734572	0.573979445133623	0.35175877881928	0.464688665612123	0.372165516125721	0.338897713755726	0.489320134695773	0.457282825927476	0.541635299387897	0.54686352850508	0.451924788983791	0.42913091792613	0.44435608430986	0.446593504953105	0.457426995248551	0.459002099005478	0.467390994063643	0.432284530879448
ZB_8	0.421191660528673	0.349646604504097	0.45213779801573	0.289758572966323	0.359108832586394	0.503771021594877	0.38467096127831	0	0.330212860804636	0.404438492164584	0.386973208769401	0.510434625430614	0.508072361209132	0.173380653162598	0.224584939330777	0.33141299747013	0.396519389738842	0.287972421370867	0.44074730743471	0.321362171496851	0.342824924810719	0.399358277922824	0.328843924044822	0.379601547582346	0.3986214845983	0.472006461586416	0.495478784268492	0.4312443255901	0.342523185522988	0.504807435214597	0.413809519956195	0.446249950037401	0.452913594226734	0.515177933507838	0.392346764068029	0.417959659786986	0.373311943478448	0.486151949628697	0.485029766273063	0.334573319844829	0.371000292193482	0.388506389853362	0.451889018289776	0.355225292506846	0.241472831776758	0.407095172446195	0.511291306454572	0.571356732946146	0.407230542445526	0.391964140113396	0.488376139175313	0.456384867652912	0.39971275298068	0.4370066825808	0.511749447992592	0.487165737754764	0.398511536480382	0.371914904027731	0.460209219105991	0.422786524362388	0.403842041436323	0.327535436338595	0.384500047632262	0.349436942570202
ZB_9	0.473407239286859	0.330040039895347	0.519042726409919	0.439756956625458	0.333388417978489	0.529788516527621	0.435132572600551	0.330212860804636	0	0.3755411062881	0.351754120758212	0.482196934194749	0.512271576117793	0.342806222074642	0.295296412701853	0.262480393668937	0.397474619559686	0.426914235346748	0.48231705644404	0.32503024974538	0.362479994090562	0.518319630960817	0.174060671189601	0.510584209167243	0.451770980122068	0.513476707797677	0.448688845401174	0.403447005362918	0.494353772991933	0.531888706300016	0.246798365224185	0.477165685779506	0.47341998387914	0.535440789200901	0.295093132261887	0.446999641709606	0.462374887539361	0.526447294940968	0.396696007034858	0.160461448557005	0.382479089659311	0.210200818574762	0.518476372568699	0.417457460079641	0.324448899317341	0.469787986862747	0.451929664306919	0.506825083818798	0.496953982331928	0.245742546883456	0.566190327321387	0.508316924732435	0.416339633788096	0.477273052372826	0.526275205267387	0.467416579643976	0.459079109012214	0.177717479692194	0.496881642544431	0.230093679729831	0.337420887781753	0.44411056952599	0.173685582743068	0.277664821833326
ZB_10	0.349700650130869	0.484867450963752	0.51122905861446	0.424011240707419	0.501887530131868	0.538135959143766	0.368618991068731	0.404438492164584	0.3755411062881	0	0.434069720332874	0.482618424784897	0.471885532045271	0.408639864839797	0.388649785843619	0.392985873270203	0.415643688085336	0.429949846467256	0.489928372239821	0.475178214198911	0.255349677602211	0.51667053610183	0.315962283975218	0.424631292119023	0.438282903424851	0.516925082454472	0.463385700202737	0.353850706517718	0.497303673483307	0.523802055651881	0.407624372473294	0.464554575027488	0.418296834274796	0.512948823547357	0.454694538981607	0.434959260123342	0.466359596051301	0.475575643316874	0.37062028035131	0.329892521126943	0.445889506440149	0.420533128032084	0.46562420971496	0.276123769775246	0.447194303605524	0.447742434356759	0.452232110388966	0.506560232584368	0.458053800807361	0.481088705733363	0.501481811460373	0.471533953707521	0.378174524989517	0.447594107797285	0.544404223610486	0.419886210558012	0.424455430521298	0.352234896374315	0.481872693145888	0.409358137428776	0.512316097342751	0.455725292365555	0.404950293058672	0.478259079587482
