ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.406800552809492	0.495062884666845	0.513920795636102	0.391756723115517	0.650889587204013	0.431858327144262	0.620118546588642	0.257732897204202	0.0278034374650095	0.163696100591643	0.273559648187076	0.606807712908409	0.544471121900223	0.539528656316749	0.414660017120101	0.341009999430772	0.505525047845279	0.47395764799833	0.528044104801209	0.0838581905721644	0.591826365844752	0.299988553768672	0.457438579119995	0.382734535372475	0.498702814891685	0	0.135357017839334	0.617984645298374	0.563473087712032	0.389285558268332	0.389606970805802	0.349090329805228	0.514015518303802	0.403285826783812	0.431858327144262	0.598397213087864	0.366098219760981	0.0560179931642284	0.299988553768672	0.332348121128236	0.233726978383536	0.439672366434882	0.0838581905721644	0.527957030611362	0.431858327144262	0.0278034374650095	0.408943933424665	0.385109668162181	0.273380798977149	0.431858327144262	0.439672366434882	0.210606465250274	0.273711561183199	0.47395764799833	0	0.629942733853568	0.236450361991225	0.642231926154806	0.257732897204202	0.415934193912201	0.608148952086099	0.257732897204202	0.270214029018071
ZB_2	0.406800552809492	0	0.574345604149816	0.393330769653354	0.0339575551927794	0.728495418835597	0.456226755923919	0.475070475661082	0.389842549806603	0.382067308290897	0.360689499184553	0.52501244162009	0.715450618315959	0.437197402888624	0.37509881000705	0.48323629029189	0.473771445864469	0.381118371647295	0.565121352355395	0.389386133697474	0.431932218583861	0.503471098161937	0.329443125444024	0.548730621626291	0.555644228251966	0.585691738444214	0.406800552809492	0.449294608774364	0.47999453775775	0.633151388910006	0.460307524157289	0.49491672762353	0.498027236858852	0.598415374241403	0.395373689249059	0.456226755923919	0.512506069836225	0.588969360773335	0.398071616991601	0.329443125444024	0.552586702049503	0.354655620335692	0.464138555699244	0.431932218583861	0.407261906096235	0.456226755923919	0.382067308290897	0.6288728856138	0.466130060567421	0.250467457376857	0.456226755923919	0.464138555699244	0.487619047619048	0.525103341370996	0.565121352355395	0.406800552809492	0.732301681930034	0.402564895299476	0.741247321108926	0.389842549806603	0.150502823003175	0.455373556263871	0.389842549806603	0.169170832108203
ZB_3	0.495062884666845	0.574345604149816	0	0.413092368796252	0.592297716787688	0.446672064167498	0.199544181050126	0.249028288842549	0.5120985047467	0.477343680313977	0.53264185228123	0.372445932910457	0.650644921663965	0.420359744434949	0.454051411120641	0.339782957566006	0.398668314972459	0.404008238822434	0.462189508846206	0.349949917981622	0.513067522968513	0.294491481821437	0.532074368905664	0.217990690187935	0.384074834240022	0.483993828586761	0.495062884666845	0.530874700834869	0.264076252629771	0.363576669956002	0.37681784442113	0.390032555209494	0.356448639892755	0.497636246875238	0.416826846924753	0.199544181050126	0.277525097653436	0.369959351701524	0.487113277984691	0.532074368905664	0.31407566509653	0.553767596650687	0.210165202444614	0.513067522968513	0.424109759040298	0.199544181050126	0.477343680313977	0.280760888099326	0.192258675664194	0.608922359036525	0.199544181050126	0.210165202444614	0.32976094906788	0.294059722264772	0.462189508846206	0.495062884666845	0.592517711819773	0.497047260991228	0.603979360165119	0.5120985047467	0.579122788989514	0.223545244570279	0.5120985047467	0.506260420855719
ZB_4	0.513920795636102	0.393330769653354	0.413092368796252	0	0.415156842278745	0.465176678305969	0.33110356698862	0.305609221602939	0.399671662603656	0.495140720572525	0.444286020483286	0.589047157324468	0.52614346612081	0.0748111003896631	0.125036833316963	0.256631566301802	0.271646091823905	0.0994035567715458	0.331143197300225	0.253309893973521	0.533003393932518	0.187072891619294	0.350485336076071	0.365465152518602	0.356044903236399	0.282451460438803	0.513920795636102	0.542960414181986	0.233593246880806	0.370244467228293	0.498830461784218	0.248246507083037	0.285346442979652	0.30511501302484	0.259697372713357	0.33110356698862	0.20230675159004	0.384237918838733	0.505131472257616	0.350485336076071	0.342523768366465	0.417270017035775	0.339875140973674	0.533003393932518	0.12493023255814	0.33110356698862	0.495140720572525	0.494134348725624	0.286202998425259	0.458507064519316	0.33110356698862	0.339875140973674	0.56342864150095	0.300748291439824	0.331143197300225	0.513920795636102	0.487910977715003	0.409904830415383	0.504470429673782	0.399671662603656	0.379530846563753	0.281346797472117	0.399671662603656	0.470540256924171
ZB_5	0.391756723115517	0.0339575551927794	0.592297716787688	0.415156842278745	0	0.724287252469454	0.47733503347147	0.494788771539744	0.413967101228391	0.406800552809492	0.384337464138186	0.544024194165837	0.709220170845963	0.457445290442263	0.396318926656269	0.502135898314115	0.463854050054077	0.403383808381623	0.557090466252365	0.373947574409592	0.456665463102457	0.521334664220712	0.353567676865812	0.569531777653286	0.548062511541616	0.578408990354836	0.391756723115517	0.472954544101095	0.49870271746552	0.627526426898125	0.480045706336786	0.484051222351572	0.51608665612102	0.591576763663328	0.417486697686845	0.47733503347147	0.530044585706087	0.581802382227216	0.422164276401565	0.353567676865812	0.570276636196464	0.376569937726493	0.484939711726239	0.456665463102457	0.429527342830563	0.47733503347147	0.406800552809492	0.62303979745233	0.487238338114972	0.277880123919328	0.47733503347147	0.484939711726239	0.508127500322622	0.544111455582348	0.557090466252365	0.391756723115517	0.726794461532088	0.426186427577678	0.736105553777209	0.413967101228391	0.181571497833873	0.475831741340158	0.413967101228391	0.144176819341698
ZB_6	0.650889587204013	0.728495418835597	0.446672064167498	0.465176678305969	0.724287252469454	0	0.584043960219509	0.42317054142612	0.661463858160327	0.656112669691778	0.62175465867244	0.47407128466796	0.433657351154313	0.469958757259177	0.500672665849502	0.526542009049902	0.494174031102556	0.521785269610191	0.295654443537595	0.555298876149485	0.645417305713565	0.353333971841778	0.673468660206912	0.5626680598024	0.383075104316666	0.250583122387342	0.650889587204013	0.656760230928827	0.39180155157552	0.117961062997481	0.558188318752148	0.421832599337954	0.455479427303542	0.272544840344245	0.470730894108868	0.584043960219509	0.337542380997989	0.374201660699088	0.640029372446386	0.673468660206912	0.460016930228485	0.639696469130704	0.588224868978339	0.645417305713565	0.513083164300203	0.584043960219509	0.656112669691778	0.283436933733973	0.554286506809007	0.647715305236763	0.584043960219509	0.588224868978339	0.531501948748847	0.473920656737776	0.295654443537595	0.650889587204013	0.399891123321292	0.665795830201484	0.368455289053742	0.661463858160327	0.676297342997087	0.406294540154894	0.661463858160327	0.743351744724428
ZB_7	0.431858327144262	0.456226755923919	0.199544181050126	0.33110356698862	0.47733503347147	0.584043960219509	0	0.408446268121331	0.453604729404979	0.411921154579578	0.420285027717637	0.526730690014458	0.609536568797645	0.343015245933049	0.33293443054702	0.195621455349418	0.272634535445456	0.319414443341701	0.404492690668398	0.179080486259146	0.45211666231759	0.439347061133866	0.467427816307577	0.107377983430584	0.3080279454334	0.43111056329348	0.431858327144262	0.474558081111908	0.415839516947348	0.501406168416125	0.48025510986892	0.314731137561555	0.27323552771308	0.447647769839275	0.279945137157107	0	0.422827210862543	0.300341538829554	0.424260735849705	0.467427816307577	0.23494616693799	0.453940661351457	0.0157585242899024	0.45211666231759	0.342109872146652	0	0.411921154579578	0.430383442299271	0.0802321896215243	0.507433092541882	0	0.0157585242899024	0.495668489931875	0.207549116420286	0.404492690668398	0.431858327144262	0.544229709442639	0.436749014707296	0.558521163704638	0.453604729404979	0.463388419352809	0.388968465191518	0.453604729404979	0.376171501434492
ZB_8	0.620118546588642	0.475070475661082	0.249028288842549	0.305609221602939	0.494788771539744	0.42317054142612	0.408446268121331	0	0.561847171110223	0.60346417612636	0.619097407869463	0.496913008703464	0.607215208554141	0.294407879968753	0.333624685472123	0.428550244872113	0.465539801204404	0.233199324752881	0.467296629435603	0.348571627094418	0.609856728134045	0.118536329983645	0.519577430074536	0.408103749801267	0.465405691017858	0.489264757168201	0.620118546588642	0.573467982949323	0.0755296404275996	0.359187123773711	0.438548305595853	0.394369552611825	0.409480431981781	0.461641976619005	0.402007451703152	0.408446268121331	0.135054531898547	0.49279094105512	0.610438707392506	0.519577430074536	0.413742707524441	0.562652079891992	0.415551243209135	0.609856728134045	0.215340219773636	0.408446268121331	0.60346417612636	0.404224902913532	0.369768185523643	0.528723523983163	0.408446268121331	0.415551243209135	0.464750414996898	0.428782631255997	0.467296629435603	0.620118546588642	0.571815011425869	0.568281071394177	0.584334170045697	0.561847171110223	0.54136000414377	0.0383010259860399	0.561847171110223	0.538409914342331
ZB_9	0.257732897204202	0.389842549806603	0.5120985047467	0.399671662603656	0.413967101228391	0.661463858160327	0.453604729404979	0.561847171110223	0	0.23362240036897	0.190399178387822	0.407455718475073	0.71152769871755	0.384637453856894	0.377424301796245	0.265921555221973	0.401448997858119	0.417433528984181	0.56158037353224	0.549825126851635	0.282231783618456	0.453123804829128	0.062907918036934	0.478652339510193	0.512545731342808	0.516297810170366	0.257732897204202	0.230582038195688	0.495792998529674	0.570378066715934	0.23193792181134	0.515601447090745	0.455299625788152	0.485966526116871	0.489091725980751	0.453604729404979	0.462538213528007	0.481671864935417	0.252984253552119	0.062907918036934	0.391306507475627	0.182705725963474	0.460806587016634	0.282231783618456	0.440501209013455	0.453604729404979	0.23362240036897	0.531191788487631	0.399908960397773	0.319360417416762	0.453604729404979	0.460806587016634	0.361785782871929	0.407566908263552	0.56158037353224	0.257732897204202	0.726782195039076	0.0231210443037975	0.734964116041646	0	0.287589559877175	0.592813251629682	0	0.333828792941484
ZB_10	0.0278034374650095	0.382067308290897	0.477343680313977	0.495140720572525	0.406800552809492	0.656112669691778	0.411921154579578	0.60346417612636	0.23362240036897	0	0.139159595360729	0.25278448843849	0.615000550681009	0.526871384146504	0.521737962287132	0.396176820871636	0.353199711339246	0.486420596070436	0.48327271754827	0.537652315607162	0.0560547531071549	0.576056237397393	0.277250615234934	0.436949481197269	0.393442050341651	0.507169182504899	0.0278034374650095	0.109116487348669	0.602056648024536	0.569907032994754	0.370001116391047	0.402113373352311	0.330475240009558	0.521976662680905	0.382836907905234	0.411921154579578	0.582880954798597	0.377672383683524	0.0290214518200412	0.277250615234934	0.313254228002134	0.211812660992736	0.420009403380268	0.0560547531071549	0.508852578836518	0.411921154579578	0	0.418768696525323	0.364454934417451	0.24848013838575	0.411921154579578	0.420009403380268	0.188030934103087	0.252940745930008	0.48327271754827	0.0278034374650095	0.637208727668092	0.212339865155993	0.649027773129533	0.23362240036897	0.391581773380898	0.590969823019946	0.23362240036897	0.288264003884607
