ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.266372079633527	0.383537882320825	0.318713358444014	0.269510138425831	0.594183923563762	0.183554300076989	0.329279020845286	0.166473121597735	0.0730045757937287	0.231829604775617	0.249302987950532	0.529383023492234	0.236684780390375	0.305991901420742	0.184491978609626	0.205839684191753	0.320579817454328	0.60984097808712	0.347388495433963	0.272490899635985	0.300979493054477	0.14752402599552	0.30588798061682	0.39786538755542	0.40614636805524	0.40359694773145	0.127905955668862	0.415847887856495	0.379835485322625	0.159297039644272	0.459396538999987	0.356416242059662	0.549803239635528	0.379003429718652	0.363913321212717	0.352849881106634	0.459221178991922	0.0515435831726682	0.159297039644272	0.193009194110598	0.195551414499211	0.224297900971019	0.22647965674728	0.225721888800815	0.222204639153792	0.380406841590594	0.442919969231798	0.228971442798193	0.274057807880479	0.137336227614544	0.391341945156481	0.0559412844474111	0.209879111420837	0.595699594467425	0.187790819849299	0.429083256969571	0.175371545286617	0.398667230331079	0.162383731835685	0.339448994365038	0.310267566747134	0.15951219781311	0.365012203188796
ZB_2	0.266372079633527	0	0.522767717807334	0.232760525501733	0.00517113182853509	0.5903542416085	0.315036140735792	0.251608431059524	0.21876785478838	0.20872142734994	0.0817679592324724	0.3279734534023	0.549518637103736	0.096606490647712	0.216893322121379	0.195526978067569	0.153795742220925	0.241298641838645	0.59913618727129	0.203389993277634	0.373245969757908	0.217126530136778	0.232615570772489	0.397692303364781	0.413167908261281	0.332209750265675	0.376488148513297	0.309171364133735	0.384549679238295	0.367415429688386	0.223501650146649	0.439804264573779	0.331285024888134	0.542971428571429	0.180304487601781	0.443702024323149	0.265440243432807	0.447304515612867	0.223493623159428	0.223501650146649	0.312194980386846	0.185797134378316	0.284710805141117	0.351289987410734	0.125188546412993	0.287433166313301	0.541185767231689	0.548118714203502	0.356589844231639	0.0126486753617962	0.286359523049079	0.510422883801409	0.230426909912416	0.284041711764216	0.587047783235983	0.358239906311144	0.406493721166706	0.234942533777856	0.509048528602415	0.221076196883121	0.189952735605844	0.226178047246407	0.223718701476506	0.158398998951605
ZB_3	0.383537882320825	0.522767717807334	0	0.560756718168375	0.518559687231351	0.826880122372	0.268725756729484	0.542911728052791	0.439261797635241	0.403889853002638	0.481154534694283	0.515534918293419	0.818955380978557	0.468161517316613	0.578940957172562	0.450116027050003	0.422016542993165	0.553429484902309	0.80358135173929	0.485265301874731	0.579818095240629	0.581411012433393	0.454381605106205	0.402096531804394	0.611027796677206	0.66427973859379	0.666723695890425	0.456298125276047	0.442767900354059	0.587855231621796	0.448221220490355	0.666282897261641	0.537574914143341	0.802810209559826	0.511425300685369	0.293215583567141	0.593957115009747	0.660446610326322	0.390297133693222	0.448221220490355	0.393668544605608	0.443857416808835	0.275189135805508	0.54763482353939	0.457389044269288	0.273015099102324	0.703322126929674	0.747498224715627	0.291232057381504	0.512396852601203	0.339194443353513	0.0181533432105128	0.382730438570932	0.419745221273686	0.827020459083998	0.519650914608256	0.641826492931856	0.434004740590246	0.599736161055706	0.451181443975324	0.500673475759333	0.570088815593396	0.448427563146144	0.534921130487787
ZB_4	0.318713358444014	0.232760525501733	0.560756718168375	0	0.236464900624806	0.533054020791327	0.320321642073511	0.0793724364090036	0.30462358647412	0.258589306029579	0.200019651915448	0.431294103266874	0.507080103668142	0.183190434817561	0.0242982871202801	0.319065199219838	0.314843295141216	0.0120483737699992	0.535010760647211	0.327889344132928	0.263631521228263	0.0336292230529005	0.288050846508084	0.223333410371799	0.31628143088103	0.29610281898977	0.344008000807203	0.365111517686008	0.412043805860109	0.381610713958283	0.279436279512826	0.356767285895441	0.384375826659933	0.472997015101812	0.363599810265158	0.517173992898249	0.0463780468947414	0.361336626304301	0.28436893429571	0.279436279512826	0.343197899625572	0.311334558046528	0.31949977001918	0.289764570988332	0.125720223852689	0.317580916077039	0.497085832969888	0.505403500352435	0.405819436035739	0.229393822308922	0.283268757394459	0.566296603982579	0.279847623696782	0.359206483571608	0.529240232969047	0.237580496033999	0.314195075308804	0.293894395416686	0.436978435686379	0.282608695652174	0.352240850162877	0.0162316646162582	0.279276903445342	0.380603657805191
ZB_5	0.269510138425831	0.00517113182853509	0.518559687231351	0.236464900624806	0	0.591848699404472	0.317918489599019	0.246996194980255	0.214545884059245	0.212172634840819	0.0769949785883529	0.324296261561503	0.551402275960945	0.0918811564617485	0.220752115927161	0.19131794494026	0.149397162816121	0.244937957206701	0.600547430626339	0.207290229894211	0.375910278926334	0.221000843588406	0.235845517256488	0.400285119719474	0.409367713924733	0.327956185795253	0.372255376336683	0.312000426302888	0.387361943127258	0.36961252432033	0.226808608502656	0.441832309913628	0.327638403173534	0.544830817365341	0.175241771851696	0.445783103205723	0.268986834789328	0.449296260084829	0.22688776903126	0.226808608502656	0.308477912831501	0.181538325126975	0.280406001518024	0.354019143863644	0.129384815119966	0.283128362690208	0.54313958546323	0.550014053874094	0.352641691669064	0.00751641189002197	0.289266998359209	0.506214853225427	0.233769353147792	0.28004277329115	0.588553628029685	0.361045069845748	0.408769631875055	0.238152962407821	0.510671754805624	0.224403802323642	0.184949610687222	0.229956854098225	0.227024735452301	0.162751028675053
ZB_6	0.594183923563762	0.5903542416085	0.826880122372	0.533054020791327	0.591848699404472	0	0.672342940779104	0.53423744836412	0.584544330004865	0.601186967382866	0.570656811753741	0.422517162884402	0.217887307880666	0.573359833628506	0.549657444557349	0.593830849591233	0.590271847501567	0.534227325441685	0.0992413049305828	0.694295578986527	0.505521184517222	0.538266158324805	0.579238558603943	0.638516257249596	0.336801427642706	0.365890342652112	0.357292243940883	0.559097838247994	0.62391373988742	0.310011261789686	0.58866874802525	0.277639393520487	0.387459210236856	0.159968066764613	0.687911665365161	0.643836053644493	0.520042418386325	0.268556352249422	0.617335602620049	0.58866874802525	0.544006088787872	0.603000040518034	0.672046133242026	0.549375300626754	0.575300444414806	0.671353865799155	0.42345647849317	0.348628511266579	0.651186312107548	0.586686950144888	0.574538470219352	0.828559747818696	0.611901376641813	0.527906857419483	0.06415652928077	0.572530243686925	0.38109442867751	0.593495544399875	0.323488389580337	0.58764923472213	0.709892229786129	0.527751441994481	0.588597846240202	0.70193201038664
ZB_7	0.183554300076989	0.315036140735792	0.268725756729484	0.320321642073511	0.317918489599019	0.672342940779104	0	0.341748420284047	0.247556764675107	0.166032731376975	0.284460106875515	0.351653959159016	0.643750291549126	0.270274722010704	0.338868358475465	0.263030386578134	0.227104444267135	0.317542090557904	0.626006681446572	0.259404739857458	0.354668682861262	0.345990598065871	0.230746894488533	0.136271913229915	0.469226153384569	0.489115909751138	0.516379371049635	0.268808117201367	0.470878696583753	0.409777733928445	0.221900068173306	0.482614271972639	0.373078045386187	0.631436197175316	0.29351946835556	0.264423013565764	0.354855346600551	0.479646621977453	0.14758492423828	0.221900068173306	0.211464543750342	0.25471091828386	0.0497183345588575	0.322735138725031	0.215572606181444	0.0468680086033716	0.508859217000954	0.561602266886189	0.124718527551686	0.311755654968871	0.142096385945904	0.278761169681771	0.143105150875657	0.232623443493426	0.648091591304367	0.278583121371262	0.446614644837652	0.207419303554443	0.444691429731837	0.224915322287282	0.282767643429523	0.332711160679459	0.222110246744253	0.309288543452676
ZB_8	0.329279020845286	0.251608431059524	0.542911728052791	0.0793724364090036	0.246996194980255	0.53423744836412	0.341748420284047	0	0.279739479550704	0.300260000987346	0.211919324197749	0.41117480488984	0.509598260154805	0.158189976433242	0.101742109279982	0.294489969362488	0.284929646169146	0.0898988361311394	0.503448000956671	0.342043667702944	0.307871443068566	0.110332426093654	0.295282503879033	0.253144017490641	0.295522468431114	0.274223496900962	0.341465295189359	0.391207270831236	0.451022398160411	0.354751924642831	0.30675960212009	0.32738774000678	0.343178202305617	0.477012678668726	0.368444743191175	0.508320374173483	0.115451767026426	0.336093265255013	0.324351281042323	0.30675960212009	0.300963214429233	0.305827279641237	0.304314119831356	0.322753559854938	0.181561702272145	0.307044326534969	0.518508833434867	0.526019065938729	0.382776860859671	0.240241384691097	0.29377914848804	0.548499925436872	0.32009935729276	0.314701975093161	0.530575159850404	0.290039000546793	0.283711045834222	0.299487737018699	0.412603362044689	0.309768710117218	0.35759383514782	0.0943157542576956	0.306614164333379	0.392157098102291
ZB_9	0.166473121597735	0.21876785478838	0.439261797635241	0.30462358647412	0.214545884059245	0.584544330004865	0.247556764675107	0.279739479550704	0	0.144235740600883	0.218911421339225	0.227605658899825	0.546832640129695	0.188788055735615	0.292137094518233	0.0292743076389539	0.188921443714827	0.311653642275534	0.592798012021611	0.335763810385108	0.356539059463661	0.292623001454509	0.0226572059126887	0.324629947950779	0.421079147905573	0.344101243455169	0.401276798805288	0.129053716495069	0.434304476580235	0.345370220522474	0.0347176891797571	0.446623730825638	0.321663473677705	0.540960686900535	0.354488098419872	0.419512761602026	0.333074101045631	0.453470788598892	0.161944437677134	0.0347176891797571	0.122944502180431	0.0408067774591134	0.210207207761135	0.216478778400452	0.210484179463359	0.212805658849036	0.444434930819596	0.498978226897569	0.198379478216806	0.219372698260165	0.191469817966019	0.445798613714454	0.168889941185017	0.176036692764276	0.581518586525587	0.28964087238748	0.380238387821756	0.0533022981928882	0.386682457196232	0.0316557245070359	0.315785281061838	0.299618098150996	0.0349381010107861	0.347423966070408
ZB_10	0.0730045757937287	0.20872142734994	0.403889853002638	0.258589306029579	0.212172634840819	0.601186967382866	0.166032731376975	0.300260000987346	0.144235740600883	0	0.174781610092485	0.232428395079518	0.564893904598773	0.214330613100113	0.244441735956075	0.162808621608924	0.149847318721491	0.266327432986851	0.609050248802243	0.32500244943663	0.243057965249626	0.244767183307516	0.124863457315929	0.281117557736328	0.43486149277955	0.386435804633214	0.426565560186813	0.132310414898843	0.404409085388072	0.362062101910828	0.114437720512706	0.460460380875399	0.363907541579111	0.558440406966005	0.356701657366165	0.382015163770158	0.28878970858493	0.467380906829922	0.0280478974549241	0.114437720512706	0.172584743445032	0.153061714816575	0.202209250509965	0.21513283264208	0.166500630935777	0.204899543037761	0.407077637231368	0.466506892298371	0.263739899961524	0.21717308429767	0.134297933899016	0.411237589117789	0.0366159927481313	0.21814340487463	0.59809489080309	0.161407219995312	0.430604791437967	0.13145624939969	0.433183234894013	0.117561185297664	0.3167592232624	0.252785090369881	0.114655441918628	0.342213418457504
