ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.281593892785894	0.838548771969303	0.326349829553091	0.294201094580444	0.433666581049664	0.404248774044116	0.370153259685701	0.247580933925901	0.164632258863346	0.322120931503522	0.313512932523627	0.450328145376198	0.271108284305931	0.178696401885274	0.240955663308019	0.258953233359018	0.293364324127245	0.396382796557251	0.30225208508311	0.182959799075363	0.125539154488262	0.219239578962093	0.873949579831933	0.273192887514496	0.475451945598302	0.378978416694078	0.211210781578609	0.454041581426328	0.428946402056424	0.258227017508887	0.424366888149117	0.295401944724147	0.42300721029359	0.303928824248665	0.21954343335949	0.308738296923763	0.451208726415094	0.0922106568541747	0.205903274854841	0.305556789904017	0.269652721838084	0.157398234108669	0.132887671977707	0.242288749273524	0.355095884507649	0.461510731095552	0.362840358697829	0.275665657682478	0.253829797011359	0.457227637144433	0.406798136953721	0.171299963294245	0.261941561787002	0.408987107925272	0.220438669237696	0.430292621925802	0.237527480736804	0.45651077609088	0.261098874625736	0.232500913416883	0.296301607996523	0.25967205776293	0.316144073656966
ZB_2	0.281593892785894	0	0.829616361699388	0.394669975977454	0.0181900100350202	0.469209129665613	0.483032623518305	0.334316116944179	0.189419663229868	0.298217801955745	0.0583891141070362	0.42172543453759	0.535187158093824	0.184069118111895	0.259722259966845	0.197432843209294	0.0527967123071148	0.31459125062219	0.439825156191534	0.0297937789650497	0.360786636852118	0.260727550404395	0.193868888539538	0.871882947583934	0.412242540269343	0.546153739323658	0.483919324066503	0.328146093135548	0.510235523706437	0.443685596863176	0.199349350113787	0.46270779914056	0.360216796545778	0.497915900977518	0.0231660714881687	0.29199481835586	0.324704265487481	0.541610445273434	0.216383539698962	0.29878972949969	0.311151162559553	0.192715244377697	0.266750907724052	0.177877715849548	0.237952068893883	0.448203746061197	0.537296714067448	0.476101976426133	0.358681798871154	0.133616240849834	0.53250763968996	0.484866019098531	0.256942983378919	0.384878317872771	0.447442003916354	0.323173580749591	0.487581313687888	0.193679573977184	0.475863491081555	0.214182021654152	0.107282314854988	0.390445407505109	0.152917284583449	0.0409346904503471
ZB_3	0.838548771969303	0.829616361699388	0	0.74794167376688	0.832518853232476	0.919156158466961	0.706796851694623	0.852558781761034	0.785859987803083	0.882351789969127	0.792537725644232	0.883390531676192	0.957020722512138	0.757482765515383	0.747565214960065	0.783977462207193	0.838059773457262	0.858647012371677	0.887327915425438	0.800891292725662	0.955731472828773	0.749688094760481	0.799465882494149	0.295673835423067	0.8550914482502	0.937815977294416	0.887073688879955	0.778199659754925	0.59371241932385	0.914694792227774	0.794498441981882	0.94498146104339	0.801591410641962	0.891400060574179	0.825842427723531	0.763788625250723	0.861762328213419	0.933574002623168	0.786377936190304	0.721234595335315	0.822470059293118	0.792131918559315	0.748034213315586	0.811871083341415	0.751676626392839	0.675426118322453	0.749820324341249	0.910745555482352	0.716221697204449	0.823235063115876	0.643653039754627	0.661170417245764	0.789231532646975	0.839028650747852	0.911270238527146	0.925897849410447	0.935305644091129	0.78880038005073	0.932139595296259	0.825933762142406	0.810610693976343	0.865902041096125	0.804196147196233	0.828873777655843
ZB_4	0.326349829553091	0.394669975977454	0.74794167376688	0	0.403847466885156	0.441670170051241	0.413580120917207	0.287568658306573	0.251093393195804	0.34487830236126	0.368264372524921	0.352960952717644	0.43929823635542	0.308078657739362	0.249918969289361	0.245038978064597	0.421465014577259	0.350503487226901	0.397781237718959	0.386597301764758	0.408265042622701	0.230280925231709	0.27533987533365	0.826539937047223	0.258975367612625	0.433842808920404	0.388615327286883	0.160429722470904	0.38490599820949	0.414331116438068	0.28857337257865	0.423841349841131	0.260420294077933	0.40155053796409	0.413919210757109	0.246825781291344	0.362999467760058	0.414081700220295	0.26197429536243	0.167079631251825	0.357172107269489	0.271326032597234	0.279459015784893	0.309786344542038	0.202988851679034	0.449242898260543	0.503993042526234	0.378440998114522	0.161743606496585	0.35974137681788	0.471377676927763	0.375001042839862	0.271398843159251	0.306773098624662	0.452760886666208	0.388663257119936	0.429355846861707	0.270650758048728	0.445735820964965	0.283947873286229	0.361989933489125	0.260907734889713	0.281891592336518	0.422804861395603
ZB_5	0.294201094580444	0.0181900100350202	0.832518853232476	0.403847466885156	0	0.456329572808213	0.491493007572826	0.318616325520557	0.203106286713686	0.310983227180569	0.0409438735426291	0.407465087678174	0.521896958306899	0.197968530636982	0.242480947592777	0.21098416440127	0.0352478612214253	0.326408596974132	0.427236288594333	0.0469253218611087	0.372413934342297	0.273624336130228	0.207697745296101	0.874118428238585	0.397583839450753	0.533818484827443	0.470470306774477	0.339621698127721	0.518679706031936	0.430984433137997	0.182391978372764	0.449573680895048	0.345820961321525	0.48526315489571	0.0409346904503471	0.303809359194992	0.307462953113414	0.529021577676233	0.230637530975445	0.310225290564236	0.296437777056263	0.175830275839781	0.279545177728796	0.192832128448258	0.250523781928409	0.457831893350935	0.545607124369095	0.462391716422057	0.369306121839947	0.115986788827667	0.540762447019157	0.493266988597764	0.238974574762498	0.369848688418623	0.434520363004711	0.335485060107723	0.474735992641636	0.207352649183633	0.462781140912907	0.227604190704758	0.123520858506216	0.400099139483548	0.167385886370979	0.022744680415327
ZB_6	0.433666581049664	0.469209129665613	0.919156158466961	0.441670170051241	0.456329572808213	0	0.605934340328175	0.375120006254398	0.419223554683795	0.494527028364442	0.453817904162785	0.211093219889737	0.156955189923729	0.426459012878823	0.443824431570735	0.438621673292265	0.430460253472927	0.468377121007444	0.136475670023527	0.46177524724872	0.468215515326522	0.470818388274217	0.433082038816983	0.924754723364389	0.327110894849426	0.119289740773142	0.18089681403732	0.509104813484527	0.666725151878785	0.0977397992430687	0.436790731371506	0.158876839182319	0.261473414799388	0.0561631947375708	0.485313650996201	0.503843098881651	0.442647154260497	0.17849018383269	0.464518335231324	0.478650946214689	0.322027121680811	0.410563529875884	0.488608134895742	0.458238137152408	0.453546480548264	0.619166927654244	0.674093371485264	0.162438682075673	0.548077242261741	0.396248704983687	0.687335513708256	0.629070563986806	0.468851840965149	0.307162432412414	0.0780194305565646	0.48435102172684	0.16748886978612	0.434129590831603	0.165802756085464	0.410843635196011	0.447167973280141	0.390864220920699	0.434394176392733	0.472434094138801
ZB_7	0.404248774044116	0.483032623518305	0.706796851694623	0.413580120917207	0.491493007572826	0.605934340328175	0	0.520555557627542	0.337622194540042	0.428190937718025	0.4875335980342	0.507542490256498	0.635920479123798	0.41702644688348	0.364420055837075	0.331775601402385	0.507676115382557	0.472024194353205	0.53225448287348	0.455455485456534	0.498892199196727	0.348490470104849	0.342634677960849	0.743291911555526	0.444168895930684	0.573436884318635	0.558221680876979	0.337021288631607	0.632132057476823	0.576028693047454	0.354707990635812	0.579377207226463	0.432766193989994	0.59728892331526	0.472049309219462	0.247152941176471	0.482971952053776	0.59000538378711	0.358348523175359	0.276884065504414	0.41314302380692	0.357098065896413	0.295482173723099	0.384754286937214	0.332952027794197	0.101978681806901	0.67683800652424	0.581151531154578	0.339186031416331	0.416774038653915	0.605506852100165	0.0665842046303211	0.397443566413752	0.471411166819115	0.588363168996329	0.475910988647841	0.569382982321242	0.336743211474907	0.630655643430889	0.374198052763552	0.427916984511293	0.415919686011038	0.368698784996492	0.480869938151776
ZB_8	0.370153259685701	0.334316116944179	0.852558781761034	0.287568658306573	0.318616325520557	0.375120006254398	0.520555557627542	0	0.27812033199681	0.273247273921233	0.281769010499523	0.35773244572217	0.373205418141376	0.272021743896815	0.226857672469375	0.274469087414498	0.339446177045135	0.192385124509651	0.377476506853415	0.326743336282165	0.338042407589818	0.280129754996776	0.318895643363728	0.910060132362832	0.352133588464716	0.377104281646128	0.390480611134174	0.386970363042148	0.53085023338803	0.395142912755094	0.268444537457117	0.344785188732358	0.268411162920175	0.36802731998151	0.353947042811185	0.367897119601811	0.171302296645757	0.391878756305511	0.33002501154992	0.316627793243548	0.338976988196018	0.251262583719877	0.30782516644845	0.27315441650548	0.26717511069434	0.488409298031272	0.619295683284317	0.41964608396959	0.4031750808818	0.283957084159924	0.589894101775318	0.487504564542633	0.297183268858801	0.337321591900113	0.383787359062313	0.29909101906095	0.365658086110423	0.30957702697702	0.337034944296199	0.260383671821626	0.295981485377656	0.209111448876474	0.290202236918744	0.338247251387563
ZB_9	0.247580933925901	0.189419663229868	0.785859987803083	0.251093393195804	0.203106286713686	0.419223554683795	0.337622194540042	0.27812033199681	0	0.26369465782505	0.205645700530469	0.369975665301163	0.493143735781759	0.136511740518536	0.172129810487396	0.0326040882706598	0.229245959512383	0.229665112552526	0.379231562397602	0.182870768419484	0.329341474624122	0.193875028766738	0.0641451913776427	0.830333701810142	0.304583659637739	0.447538161228919	0.438601528899779	0.17904274177664	0.440727734544804	0.382754225715413	0.0719515157607284	0.38690840578423	0.279387618795831	0.450411138273399	0.210895140269323	0.165369150123155	0.262004796956414	0.474642030092508	0.177834679272536	0.130628982398587	0.211291711517761	0.0304448754238475	0.176881822578416	0.137434617994003	0.0597495802187124	0.372823683846898	0.514841267099627	0.444676234172828	0.227388387693731	0.140458930836214	0.482939235871217	0.340268752760078	0.198552205610847	0.327950025295926	0.416703039561585	0.289878099490075	0.428628465077425	0.040451844687025	0.45969008289613	0.0745940708829661	0.134046617942889	0.301798798186297	0.0566424453544423	0.224219150998992
ZB_10	0.164632258863346	0.298217801955745	0.882351789969127	0.34487830236126	0.310983227180569	0.494527028364442	0.428190937718025	0.273247273921233	0.26369465782505	0	0.339194242795638	0.421485211770454	0.458072036711868	0.288022359190131	0.19340222003788	0.256955824605884	0.335269594768143	0.167480186576406	0.489177584776375	0.319126545645883	0.0891570562358816	0.13881280876443	0.234834976893126	0.921411892423342	0.387219614391028	0.48343288590604	0.479479720656337	0.227931324743115	0.481482585581557	0.520377882953948	0.274513524703285	0.434623509488643	0.367964652309172	0.484342366072022	0.321383873443914	0.235666425463533	0.18792780641005	0.462372831938577	0.104431525373198	0.22122533633325	0.377073705415334	0.28611138224148	0.171928424603916	0.146377355809729	0.258312133223401	0.378858483029844	0.491238146901309	0.470201963463204	0.294233202999566	0.270046386898847	0.486100492528852	0.430740278390479	0.186446409464397	0.377945232860284	0.50395612649245	0.0667848388587608	0.440652613979453	0.253467060154881	0.463978642783328	0.223665689826245	0.248752571603994	0.177360040686984	0.275981096831395	0.333727907595896
