ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.586418093977409	0.588163993097311	0.61147405873721	0.503071967189291	0.535673788414985	0.511136536215451	0.518986356798257	0.531154931516278	0.536648399110696	0.527640046595475	0.358994319514292	0.481726624832323	0.60294523114338	0.602903120890309	0.300372233357408	0.527832036763129	0.642165442393853	0.590664457664985	0.707410917629751	0.55770970281801	0.544302010067511	0.50152717054568	0.490728986131196	0.407239358967283	0.584741069686246	0.466072613262478	0.562727864247131	0.611936798288043	0.544539354035822	0.396746455334519	0.618605112876496	0.569562709325252	0.599667134401739	0.588297854550927	0.523020811726475	0.583789712388561	0.627378188811232	0.508138019574557	0.517397205402525	0.574912726917417	0.431027012688448	0.723581032754065	0.526177651014347	0.536753163980697	0.712487769035745	0.481868360364448	0.418593032296744	0.482472383022827	0.512318705654442	0.533278709819243	0.495205780489091	0.468845315904139	0.56228337591096	0.501845706304282	0.555122066786141	0.599504746889673	0.454810436694993	0.548930175690402	0.48051257099463	0.503071967189291	0.566504248659877	0.480262774936593	0.483493516281166
ZB_2	0.586418093977409	0	0.390810082821663	0.262624331306063	0.264257875272166	0.641570270865027	0.421736201742938	0.471352409482215	0.36483182817785	0.3640396188662	0.337494381111692	0.497735424247978	0.612961191230557	0.42429733227732	0.424230598326926	0.486525963247933	0.412288184712145	0.432676382281985	0.626141272481422	0.451196834654958	0.422401279274664	0.410204583872933	0.39171206331138	0.463006049325268	0.527765383949146	0.624874518413562	0.407408541460411	0.330631952368754	0.426983495485069	0.629883080995186	0.436042869478354	0.58624980043052	0.410738831080787	0.643643741063207	0.285559354652974	0.388417670270726	0.393804283709294	0.614539025499937	0.304675100314453	0.407528555544324	0.33280901910484	0.380853566660939	0.521323383886881	0.323119777158774	0.438499973622928	0.614428641083112	0.530642363266769	0.566786315818538	0.426189829967271	0.279575373432029	0.452490434544958	0.468649640617831	0.375877465353384	0.540050461398776	0.624445765174242	0.35090125639911	0.627021715096838	0.505980422205321	0.55624741521919	0.433589903424849	0.264257875272166	0.317578562186962	0.334038250571644	0.333431206319011
ZB_3	0.588163993097311	0.390810082821663	0	0.378846258012097	0.44780812107704	0.557333059369443	0.202876300049526	0.412483500733098	0.446266600651396	0.323206529878688	0.260553514896809	0.601330845900413	0.594587263001815	0.278300866234484	0.310221288878926	0.551135620778089	0.366649726957344	0.275705366316289	0.508322903629537	0.427163163792934	0.361944279786603	0.374476300650325	0.488688488532523	0.253861227503171	0.477766198352936	0.53622445580027	0.508455021719741	0.342589027382039	0.374661302564466	0.539784235703102	0.482527976176628	0.434461122838615	0.348023807309588	0.533370167752244	0.269185718130575	0.153766489261737	0.330467253772247	0.358145732858765	0.392699390022372	0.493746331495156	0.261288593590405	0.527942232807833	0.452980074638266	0.431439661930895	0.284356406051525	0.406148960265227	0.348930901435436	0.538317908532054	0.301525760405462	0.457565269731397	0.148515816603047	0.238204447356691	0.469932056998973	0.400917520861077	0.551704247634685	0.492376271991523	0.465448580751553	0.602221268088475	0.442525558805377	0.525764331846994	0.44780812107704	0.371200467690959	0.481933106382333	0.493518190199277
ZB_4	0.61147405873721	0.262624331306063	0.378846258012097	0	0.382887769321471	0.620429529080293	0.358631739817422	0.267090341828177	0.304013814004299	0.252253002615315	0.323888851216443	0.557946065128901	0.602789064875473	0.202615841867793	0.215855213753449	0.52914750863704	0.391014249790444	0.273812947206387	0.577876243625324	0.405685496837818	0.283121028672928	0.25158264947245	0.44109807627164	0.317679658435898	0.499085344403011	0.602249736157945	0.497106910870726	0.25123788931619	0.209386986540205	0.600538385852817	0.443871736205729	0.528190487795679	0.387795451641753	0.600190727814212	0.269723636862957	0.362842351306344	0.153269197862996	0.551456543275425	0.354063390657203	0.465129265278966	0.267546586609348	0.476438730576505	0.420978136840557	0.371233408235229	0.225317996999413	0.478596855720385	0.41481547693073	0.558030843297601	0.324780174758485	0.395070653407419	0.34871169272855	0.352751754219609	0.360038528346143	0.432944034619327	0.589687430486466	0.397589206447122	0.517995679365989	0.513734550782072	0.515285040259164	0.417007229699886	0.382887769321471	0.12255100297611	0.449531529503008	0.438954517908721
ZB_5	0.503071967189291	0.264257875272166	0.44780812107704	0.382887769321471	0	0.754609560766381	0.423813446100127	0.452636837588225	0.504045994139357	0.507846630611184	0.298752336983479	0.659440633791282	0.740965694720084	0.397183287806189	0.397102293084916	0.370637274404138	0.494774764693449	0.457659601472268	0.758181641564374	0.42675403486739	0.569743746088798	0.410971870786621	0.214603989268634	0.470466618808327	0.673509118943417	0.743117672819527	0.58284873869844	0.474896102437381	0.399046485026908	0.758431891909352	0.28494606343584	0.716109685083194	0.584597440068756	0.761610870263327	0.235186476124085	0.447469531253111	0.359860193066717	0.692276801906835	0.524389004623749	0.219562572796687	0.457787132942917	0.206280534297252	0.663325569788721	0.483966791073197	0.414353271816825	0.642540531735213	0.546347731698752	0.685735816496902	0.526353610459604	0.0273941444068587	0.488797156547365	0.476431153697659	0.523567039469406	0.626454849498328	0.73580661295331	0.50897040488221	0.711489565024488	0.390927284856571	0.6779755731778	0.268674909599907	0	0.464758378351751	0.146265284798509	0.118560161995098
ZB_6	0.535673788414985	0.641570270865027	0.557333059369443	0.620429529080293	0.754609560766381	0	0.596586611081627	0.57956815247911	0.507848285543453	0.566913048702851	0.62536374730123	0.291358154306487	0.159866298817587	0.641429423050912	0.608426470437308	0.597055430819618	0.434511351771476	0.573934342345525	0.141751239084258	0.764895636587904	0.544174631878068	0.61874314084139	0.72185081937316	0.604249884173752	0.277279764190085	0.0529765311148503	0.459742735853155	0.576311357195445	0.627859837318627	0.117018421182927	0.681926349757585	0.280227026080404	0.402395446671616	0.101669102290606	0.664050032854595	0.576089004353043	0.647554155521321	0.407355266292695	0.556473127832053	0.67874887166908	0.547522805168632	0.729916795895703	0.683557839358904	0.594753534376176	0.59756424700896	0.709676754880605	0.529012023000523	0.191176348496044	0.502410754351292	0.743316768006078	0.554885442672143	0.587403690522681	0.535849651714165	0.381418907745811	0.11553193891294	0.594253860954782	0.3035312275473	0.626118550814907	0.253237196126958	0.714966133506337	0.754609560766381	0.574948901086283	0.736986935817244	0.707618367557925
ZB_7	0.511136536215451	0.421736201742938	0.202876300049526	0.358631739817422	0.423813446100127	0.596586611081627	0	0.418948664722344	0.445885926011774	0.272376928843631	0.232316780491861	0.580083927263039	0.623779787258986	0.284154043977906	0.316254171577322	0.526182756155926	0.346569020445053	0.330976179319265	0.529176037518275	0.444768049058284	0.348558443181108	0.278784194528875	0.433885166096337	0.116126376100559	0.438865472949408	0.577717615355997	0.536235867664249	0.25623945773724	0.381277207017377	0.561054275227436	0.377376258018951	0.46875	0.36014522937662	0.575414318965188	0.240298105834591	0.209052341576173	0.336801371580148	0.399622894522781	0.458097818210197	0.511531234810618	0.158925395960857	0.385695788526699	0.429785038307228	0.419511776097957	0.290155275929255	0.357153578611956	0.335410160477413	0.567974287876317	0.241653923027267	0.434285471064403	0.164807286373231	0.062020631145143	0.459723352318959	0.31946435405302	0.543342352363974	0.44269686123348	0.456916756525536	0.505211210279966	0.420966063391903	0.472859581122779	0.423813446100127	0.377314345719497	0.39924145624176	0.472578249027804
ZB_8	0.518986356798257	0.471352409482215	0.412483500733098	0.267090341828177	0.452636837588225	0.57956815247911	0.418948664722344	0	0.299810632228282	0.417091791858706	0.385418621585305	0.572149972329828	0.555327229369682	0.201573419257647	0.215329881779673	0.554377495125801	0.405041217501585	0.225478212628151	0.558013887766197	0.475339558755086	0.402486995088185	0.281762611303302	0.483705098493627	0.354502967571752	0.527093461666476	0.558216654384672	0.545130888689291	0.42334539764033	0.151147118725291	0.604162050645751	0.513316550753083	0.507819363907925	0.502176464834197	0.555460017196905	0.335881086952149	0.424373304639972	0.150123977372274	0.477954057761987	0.507473194192306	0.441591666283479	0.451522058053023	0.509172041946547	0.582460029433461	0.486916322973791	0.225160184098908	0.530356003572796	0.355943827836836	0.534937015703418	0.358678939422401	0.463398605262497	0.409004515886639	0.398390526400177	0.478689275004752	0.497988993371647	0.593584733848009	0.509889197457467	0.491457405981381	0.504056190342785	0.511866199327785	0.461090349008065	0.452636837588225	0.300445498190164	0.517099323502174	0.442609982751801
ZB_9	0.531154931516278	0.36483182817785	0.446266600651396	0.304013814004299	0.504045994139357	0.507848285543453	0.445885926011774	0.299810632228282	0	0.382727602819464	0.462332037607435	0.500844965354986	0.511178324171401	0.40249399850252	0.306594220391063	0.506729496820837	0.381614146927453	0.396040396951922	0.491001360395581	0.577697074698474	0.351388722375415	0.383531151276188	0.471652323652678	0.44762666647361	0.449791532814786	0.482832190087499	0.412078307402769	0.359130238507261	0.373637029429936	0.525314680454441	0.500017973040439	0.469283155811104	0.383618507011084	0.522689030454533	0.423189328601937	0.470159597096239	0.370880438227908	0.530280073902175	0.385939569998883	0.439238367305523	0.374437952929472	0.496034557722347	0.440199278605354	0.402728274253127	0.388730494497072	0.551480191554201	0.411798495899626	0.462938679935607	0.303653814116839	0.486007043524681	0.475329307905382	0.427809632422044	0.359255404072816	0.458553304654841	0.546047567354189	0.427119006849315	0.433935098017499	0.492090119231203	0.460578548448661	0.450136606021207	0.504045994139357	0.295294430149901	0.465457261424047	0.492894854157533
ZB_10	0.536648399110696	0.3640396188662	0.323206529878688	0.252253002615315	0.507846630611184	0.566913048702851	0.272376928843631	0.417091791858706	0.382727602819464	0	0.352388907450718	0.487693070983574	0.541443030653557	0.390086033609391	0.39001246431587	0.568683660855109	0.401029619781327	0.421992743511024	0.506194937549757	0.488102083511751	0.161897129065392	0.340775578336673	0.447806710979133	0.256910262059126	0.453231881790137	0.545280790293139	0.444397548663752	0.14860348897814	0.365270174781417	0.55362640866472	0.442351372279102	0.467818290785595	0.341251910207093	0.542404906707846	0.395918964876522	0.3428861554968	0.35639742066859	0.484878625039463	0.270506123640481	0.527369307507936	0.245093548119479	0.457612527144001	0.442351256961269	0.180053323649708	0.307120544720215	0.521464766005442	0.340769111540752	0.510239971117284	0.261077779966689	0.516851306502127	0.340496372547559	0.308584034515745	0.280291376921219	0.355861279828629	0.551057175279989	0.269197428303113	0.473567813811945	0.549371922796114	0.480404077165063	0.489081414140515	0.507846630611184	0.229196515498718	0.462376249942972	0.550484398129828
