ZB_2	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_11	ZB_13	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_23	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_38	ZB_39	ZB_47	ZB_48	ZB_49	ZB_50	ZB_55	ZB_56	ZB_57	ZB_59	ZB_61	ZB_64
ZB_2	0	0.578618384720171	0.225740735437896	0.676201223633711	0.797457998060977	0.843762259363061	0.782972595959141	0.193716833413849	0.595590542709333	0.340145260148552	0.690985965202923	0.676201223633711	0.742353836563137	0.946254077890091	0.839598988399981	0.681193420095635	0.676201223633711	0.850848040919197	0.783144408127534	0.844542439875232	0.676201223633711	0.676201223633711	0.749568034557235	0.676201223633711	0.556077575239058	0.578618384720171	0.652585222639047	0.501323362773212	0.946254077890091	0.844542439875232	0.797457998060977	0.548185817700401	0.676201223633711	0.743352035216142	0.712472501526093	0.739459564505795	0.724417372664684	0.428282737376919
ZB_4	0.578618384720171	0	0.641098361570363	0.513826548672566	1	0.687587454594281	0.802101643396096	0.715328817084549	0.692790767087852	0.763180257760898	0.467006372945019	0.513826548672566	1	1	0.67048554689247	0.432962677529451	0.513826548672566	0.714690468814539	0.80203782335281	0.690691426092554	0.513826548672566	0.513826548672566	0.63203104145216	0.513826548672566	0.885065977175464	0	0.576004544219703	0.477419660567166	1	0.690691426092554	1	0.886152079837499	0.513826548672566	0.840210722032848	0.66218398400063	0.607137222569991	1	0.533773826492402
ZB_5	0.225740735437896	0.641098361570363	0	0.727904941301825	0.738405452528134	0.805908747651077	0.880937097362624	0.228587149232744	0.515722077475878	0.369408989595098	0.614340806529908	0.727904941301825	0.673432288838905	0.931876793608935	0.799441974412485	0.737199389928371	0.727904941301825	0.816725122923974	0.88091399960277	0.807111316671321	0.727904941301825	0.727904941301825	0.701489369844522	0.727904941301825	0.617009641675061	0.641098361570363	0.699554699723192	0.355930681037671	0.931876793608935	0.807111316671321	0.738405452528134	0.62035010494997	0.727904941301825	0.829443523906165	0.658155003782835	0.687014853507646	0.644069318962329	0.261594547471866
ZB_6	0.676201223633711	0.513826548672566	0.727904941301825	0	1	0.609670796460177	0.892191380997382	0.768990945730924	0.429137407733338	0.674565434048226	0.43826784660767	0	1	1	0.644332743362832	0.35058740690135	0	0.546227728613569	0.89217244379015	0.602968731563422	0	0	0.131705014749263	0	0.922620030193255	0.513826548672566	0.127892618112667	0.653985280774272	1	0.602968731563422	1	0.923113856027102	0	0.904587794254248	0.293571410930824	0.194444837758112	1	0.677226046721589
ZB_7	0.797457998060977	1	0.738405452528134	1	0	1	1	0.798202604389558	0.780396609613193	0.835040829993303	1	1	0.41326065058956	0.788771982564257	1	1	1	1	1	1	1	1	1	1	0.663398914979537	1	0.949523176667086	1	0.788771982564257	1	0	0.668225739442754	1	0.882483296120686	0.940991963183486	1	0.265040746953256	1
ZB_8	0.843762259363061	0.687587454594281	0.805908747651077	0.609670796460177	1	0	0.765558505801477	0.844258743205014	0.707796945630205	0.777484001992566	0.719340236554907	0.609670796460177	1	1	0.331366194060577	0.642053247173523	0.609670796460177	0.361634298277757	0.765468934776676	0.282628837324219	0.609670796460177	0.609670796460177	0.550464749687449	0.609670796460177	0.873625700323019	0.687587454594281	0.659591020226717	0.72439010704689	1	0.282628837324219	1	0.874937546385452	0.609670796460177	0.81720468226002	0.591992895730038	0.544130913186125	1	0.751997172542244
ZB_9	0.782972595959141	0.802101643396096	0.880937097362624	0.892191380997382	1	0.765558505801477	0	0.78377045505492	0.897986800246902	0.831573967785581	0.82375861314667	0.892191380997382	1	1	0.748782008808512	0.876600408747386	0.892191380997382	0.791093392970003	0.0768435749125129	0.768547112898592	0.892191380997382	0.892191380997382	0.877949829815235	0.892191380997382	0.658837798356943	0.802101643396096	0.904587794254248	0.827168273291592	1	0.768547112898592	1	0.644497902622727	0.892191380997382	0.369347629689506	0.887887774714523	0.869753672681714	1	0.845643570876914
ZB_11	0.193716833413849	0.715328817084549	0.228587149232744	0.768990945730924	0.798202604389558	0.844258743205014	0.78377045505492	0	0.596677804239033	0.19541693820773	0.69198654552373	0.768990945730924	0.743239586390368	0.946438848509565	0.840122240104157	0.678401757942464	0.768990945730924	0.851300577548597	0.783941635589248	0.845033985466349	0.768990945730924	0.768990945730924	0.750225604182556	0.768990945730924	0.400485011513929	0.715328817084549	0.74293400610125	0.503156650567545	0.946438848509565	0.845033985466349	0.798202604389558	0.391762955717226	0.768990945730924	0.744234353382398	0.71321734435401	0.740171214520832	0.725430498665199	0.430384544843186
ZB_13	0.595590542709333	0.692790767087852	0.515722077475878	0.429137407733338	0.780396609613193	0.707796945630205	0.897986800246902	0.596677804239033	0	0.423306865530161	0.472117128904777	0.429137407733338	0.726569563859343	0.86218902603998	0.733307226201454	0.596197411840159	0.429137407733338	0.645780961163536	0.897969844473465	0.626893342972842	0.429137407733338	0.429137407733338	0.365544910179641	0.429137407733338	0.746707438917315	0.692790767087852	0.317533808660046	0.671957975386239	0.86218902603998	0.626893342972842	0.780396609613193	0.748517874021797	0.429137407733338	0.775046294098096	0.304943564893444	0.329990261670187	0.79651153232833	0.692920233630143
ZB_17	0.340145260148552	0.763180257760898	0.369408989595098	0.674565434048226	0.835040829993303	0.777484001992566	0.831573967785581	0.19541693820773	0.423306865530161	0	0.742612363173857	0.674565434048226	0.718854427996948	0.896480724445022	0.797113102197848	0.574463804392529	0.674565434048226	0.730527374595171	0.823383208894308	0.719733997008133	0.674565434048226	0.674565434048226	0.649227120535714	0.674565434048226	0.509926802533425	0.763180257760898	0.594134168597352	0.593855677384748	0.896480724445022	0.719733997008133	0.835040829993303	0.513396209562436	0.674565434048226	0.728787542964137	0.605119129187691	0.635715879422904	0.77555331221035	0.534368159601795
