ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_62	ZB_64
ZB_1	0	0.714321779439333	0.631397950487685	0.618900023868908	0.577553866734978	0.592688217836277	0.626307032406771	0.614624994496917	0.625501366688454	0.77426517980911	0.487354975011762	0.545501440055023	0.47092085983753	0.684969418443551	0.668415938568298	0.664392074671606	0.625446455112111	0.520867518387846	0.653074858698086	0.475379357066815	0.628662539861189	0.633984010000925	0.602807922817163	0.543451411798237	0.630614548707272	0.632801764746433	0.723050542394318	0.660975344846312	0.589488500811146	0.59140989216843	0.760514631496122	0.626307032406771	0.629198491800552	0.65436276502226	0.567662769756723	0.540736113435834	0.631791380689322	0.671997898352402	0.571000940687716	0.628441830637845	0.828548532035033	0.641117883854776	0.626307032406771	0.626307032406771	0.618950226161898	0.695911801482507	0.662698570317082	0.567662769756723	0.576634997105285	0.756393635299237	0.620581988154551	0.526274944149968	0.770852346346685
ZB_2	0.714321779439333	0	0.777436164495141	0.745748151852584	0.829942807500181	0.815164907882384	0.774023420950057	0.737682020451604	0.813846710659215	0.8584146539929	0.733233351223109	0.839931982002317	0.779543364304923	0.770313732381416	0.636798954048975	0.780445503176195	0.827246452368213	0.640165515306659	0.690275225751933	0.574086585234029	0.780601378158279	0.772450161885889	0.798254679067631	0.824570951707122	0.68364955665173	0.824783272184162	0.741136562996191	0.843755111752197	0.790381658748848	0.811547930546791	0.84637118135264	0.774023420950057	0.741902995615274	0.839157465061241	0.808837890625	0.799965796374416	0.782657261651118	0.896495657576438	0.691418232019376	0.780456207557026	0.9011467648606	0.783923669515448	0.774023420950057	0.774023420950057	0.877299652113956	0.794086126116109	0.815077981965753	0.808837890625	0.804733376064842	0.858046737613082	0.825002837441253	0.737208933945826	0.483856287704641
ZB_3	0.631397950487685	0.777436164495141	0	0.190027487365788	0.70390361876847	0.545235469418821	0.0155635598030818	0.156179152948785	0.745416265913377	0.608344600057108	0.56040705387677	0.626729227546909	0.254539772709693	0.424732052640094	0.579401250980668	0.329962570051906	0.335338665642278	0.59288080666302	0.342804261745775	0.533825972980504	0.0545206224047833	0.0899308171556941	0.523995180327214	0.666853289103816	0.357469923867909	0.375882519697795	0.516250239245696	0.322190634422497	0.17496493581962	0.465378018120372	0.712942599696907	0.0155635598030818	0.202735663739039	0.29335366018054	0.881500252166622	0.137266362215789	0.045170101727335	0.707133792276099	0.212332128228496	0.0551742643947447	0.775476253532208	0.0593102496079843	0.0155635598030818	0.0155635598030818	0.805730582638856	0.224631414155924	0.417991728357074	0.881500252166622	0.248720639318501	0.60982389508702	0.326706460332571	0.397074248373293	0.812917341810038
ZB_4	0.618900023868908	0.745748151852584	0.190027487365788	0	0.634436506655567	0.571333723603238	0.20559104716887	0.152827303187729	0.720606592464514	0.516458405891897	0.49066650077032	0.604205752195402	0.187015041290516	0.322641001186689	0.599847737918038	0.214231698351014	0.461642588959468	0.508490796718353	0.188619702516968	0.453238430008798	0.19098956653065	0.169014084507042	0.542464620781617	0.630880617400183	0.206726072663331	0.492126180168198	0.516671334358947	0.424782922480757	0.238492911873057	0.516090292190379	0.649252892030848	0.20559104716887	0.130387456680246	0.419566058807142	0.857073017815959	0.297997823324477	0.181353763032974	0.65407096888469	0.0947138748388377	0.172826106424516	0.738309298617854	0.240893236948425	0.20559104716887	0.20559104716887	0.770531971423511	0.28871848928939	0.463059618675316	0.857073017815959	0.391484368538582	0.518284758029578	0.454650739935191	0.287918470018126	0.791512907435901
ZB_5	0.577553866734978	0.829942807500181	0.70390361876847	0.634436506655567	0	0.80304160307876	0.699222449371844	0.649100419518838	0.788035683195569	0.65632267344168	0.607074969687022	0.722267577501057	0.685250062168132	0.618068621534311	0.756069286951212	0.686596729382035	0.803196184152158	0.272703458649158	0.549454806237666	0.49643407275713	0.686829360588871	0.674644096500314	0.807921376379265	0.746437052602805	0.539171173100605	0.800390086876661	0.725289307703053	0.779859478787538	0.721620808657768	0.785312157803758	0.623401779401367	0.699222449371844	0.628609524138288	0.787814540801862	0.677044245250403	0.734697211622043	0.689896198509092	0.756302961557892	0.648458336907198	0.686612705313482	0.768104308390023	0.712790274732792	0.699222449371844	0.699222449371844	0.706666590177665	0.726679178535476	0.78933365315893	0.677044245250403	0.777548900008271	0.655326520707507	0.800640219397907	0.62148338720672	0.799162106703146
ZB_6	0.592688217836277	0.815164907882384	0.545235469418821	0.571333723603238	0.80304160307876	0	0.540623900262032	0.494291248719942	0.477021193772779	0.725621669390602	0.514947316498363	0.210958315769381	0.485803675626441	0.476895407465513	0.585023167754472	0.43716445228594	0.219807701269047	0.717388361754363	0.583261555398126	0.689655172413793	0.5572166680574	0.560651516745252	0.0490455019195504	0.230492032391105	0.594125082183612	0.197124824208002	0.667541869008801	0.29738465662215	0.43651730608212	0.0900198525523998	0.723661674636559	0.540623900262032	0.527685037815696	0.290156728125631	0.805930148116685	0.45044609640358	0.559914284881727	0.553967607648581	0.523541091578285	0.557026855676965	0.491487058630092	0.510323247311876	0.540623900262032	0.540623900262032	0.618045298220133	0.398371551149362	0.186137206804527	0.805930148116685	0.331694230372371	0.731416038338828	0.232249646623899	0.499739107087675	0.88206514638874
ZB_7	0.626307032406771	0.774023420950057	0.0155635598030818	0.20559104716887	0.699222449371844	0.540623900262032	0	0.171742712751867	0.742475198222699	0.602152679491884	0.554199040415549	0.622827568679097	0.268537340771475	0.416676210846935	0.573511340033864	0.343327454438566	0.345683162068351	0.586444409498349	0.332414251017805	0.526455941709913	0.070084182207865	0.0755429749611225	0.519168222644123	0.663299925262113	0.347311771592319	0.369464611244209	0.508788319973269	0.314558022257568	0.188728957688715	0.459956649309953	0.708609050531746	0	0.21829922354212	0.304441922651771	0.879817996391308	0.125282478936897	0.0300746099142073	0.703407681555997	0.22743432846284	0.0402369345284898	0.77283381504018	0.0451091689942037	0	0	0.803258910115614	0.214209527091869	0.411972990024413	0.879817996391308	0.260413220577289	0.603655361604725	0.337185304602214	0.388514944692869	0.809959637259527
ZB_8	0.614624994496917	0.737682020451604	0.156179152948785	0.152827303187729	0.649100419518838	0.494291248719942	0.171742712751867	0	0.74866922153963	0.535854795112544	0.488998937285534	0.583493223383409	0.236405855834416	0.332182787887379	0.560680784561024	0.27173183169008	0.439144909840076	0.517528875045356	0.22116674344935	0.509221740679406	0.164981988942869	0.205115476693423	0.497521194093533	0.627392864131498	0.238546809577587	0.478023065881305	0.557403115301069	0.433932681065781	0.20666992260147	0.438652404298041	0.662587567958145	0.171742712751867	0.0551734541199685	0.404623540743972	0.862135125503508	0.268086775176171	0.20134925467612	0.664886163232233	0.12852157045432	0.193278683397563	0.745804502173071	0.208549065243904	0.171742712751867	0.171742712751867	0.777706105718053	0.258124298423182	0.47312116725593	0.862135125503508	0.366054813497643	0.537607886464912	0.43186087504372	0.298544641667957	0.826828590332343
ZB_10	0.625501366688454	0.813846710659215	0.745416265913377	0.720606592464514	0.788035683195569	0.477021193772779	0.742475198222699	0.74866922153963	0	0.720381154896138	0.705755036163129	0.404849754638385	0.632267371416027	0.580313505193293	0.496390782187948	0.619745029159205	0.528282731276324	0.71563876041984	0.704204728158601	0.684257124270058	0.734806629834254	0.742321078935489	0.490036008163584	0.393306087983349	0.700034395174092	0.521556822345809	0.607057136622923	0.505454991317055	0.695493621425733	0.522808605258228	0.705048043477344	0.742475198222699	0.738877085096705	0.522952410377222	0.656715043286896	0.664354671471858	0.736688607542056	0.423576217003098	0.728004533868676	0.734674064894986	0.42609900592429	0.751068194104013	0.742475198222699	0.742475198222699	0.324370570727782	0.656107862248213	0.526296867097937	0.656715043286896	0.600312399720634	0.719899742549758	0.522156362701429	0.603108905086919	0.736395893319373
ZB_11	0.77426517980911	0.8584146539929	0.608344600057108	0.516458405891897	0.65632267344168	0.725621669390602	0.602152679491884	0.535854795112544	0.720381154896138	0	0.570956187631125	0.728428033428859	0.583670991618273	0.494808122404061	0.679939059540476	0.585452267985304	0.73968179926555	0.717581495023584	0.423721803150705	0.742039148420946	0.585759976130786	0.569642168610937	0.732438858519315	0.71586801115417	0.434095928657749	0.742920405009572	0.422028398773554	0.708813652093623	0.631779648682478	0.742324438167931	0.314390251562451	0.602152679491884	0.508750884581528	0.719336046801157	0.738334039326073	0.649076191826594	0.589816572929465	0.424553936814536	0.535005493540495	0.585473399820129	0.588274678435366	0.620099241506575	0.602152679491884	0.602152679491884	0.618284498281224	0.638470503428061	0.721345421435495	0.738334039326073	0.705757381523447	0.118349368262432	0.736300949442588	0.499324933482859	0.837705631593856
