ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_61	ZB_62	ZB_64
ZB_1	0	0.809418389717577	0.805828324178671	0.805437402523749	0.809418389717577	0.784366568202453	0.817056127524274	0.796797778806108	0.25013244848451	0.809418389717577	0.759738999660408	0.769102557627231	0.760713526159081	0.379509078190418	0.954432107515027	0.866338723130571	0.537624871627299	0.788195654699663	0.845233246837873	0.953459068913285	0.809062478104956	0.854414978034363	0.776654536544339	0.770238924179059	0.807666701706437	0.824948806418132	0.877701687838904	0.700490664061633	0.833516861334577	0.79255772652251	0.838934098670348	0.610447563642781	0.77741507081234	0.744666780188578	0.118915953803502	0.766293761376095	0.694325736530365	0.816711606777091	0.118915953803502	0.754529339575474	0.623959600876126	0.118915953803502	0.6848752863324	0.805828324178671	0.813661072039004	0.805828324178671	0.805828324178671	0.118915953803502	0.767509394642703	0.800858994145565	0.118915953803502	0.78934847514008	0.641856344801403	0.794596893995035	0.809418389717577	0.799127196874743	0.809418389717577
ZB_2	0.809418389717577	0	0.886638923596411	0.847660017346054	0	0.86358251571945	0.891925948896666	0.842413889626562	0.79567084271087	0	0.828862129410868	0.834609448497286	0.852814201056499	0.833624167370297	0.967693610369309	0.375802943705427	0.861911979983181	0.865680042198452	0.246512195866532	0.967207540754453	0.888149080220278	0.786058577188416	0.859388609000085	0.816865120555177	0.84903013758913	0.719078200447868	0.91252651608263	0.878934490622977	0.779910807764447	0.861688486219525	0.20576641513684	0.881847375644596	0.831001092997121	0.888340946015391	0.797798672818626	0.824666198172874	0.817026556539131	0.891761852412385	0.797798672818626	0.849954554462888	0.884765337330295	0.797798672818626	0.785117747870795	0.886638923596411	0.0311856024179145	0.886638923596411	0.886638923596411	0.797798672818626	0.840397383086988	0.860466889802144	0.797798672818626	0.853446894857692	0.374814777289479	0.856635411497375	0	0.843818466353678	0
ZB_3	0.805828324178671	0.886638923596411	0	0.423890171927123	0.886638923596411	0.677729843499025	0.0749693397159473	0.464930288255923	0.856509861842707	0.886638923596411	0.793207994579946	0.812288415891669	0.380720212128988	0.674292672815836	0.895517919767342	0.632670407945163	0.643672842150965	0.632888378095767	0.71987071591578	0.909143785818151	0.0218782681447396	0.546154145885287	0.700509047141922	0.753482717591327	0.45314961614444	0.737058539597619	0.822778205457189	0.544550706634107	0.573261290133469	0.682386844807316	0.754577090282009	0.235952265805743	0.545410999914464	0.548805841890377	0.857783189967872	0.621604274508823	0.495214703142204	0.0727095346494603	0.857783189967872	0.405038063467625	0.263396654380493	0.857783189967872	0.772849151871164	0	0.870230584153406	0	0	0.857783189967872	0.580913675020697	0.665189270303383	0.857783189967872	0.593722524751615	0.786690271112661	0.604038529276289	0.886638923596411	0.454212642203404	0.886638923596411
ZB_4	0.805437402523749	0.847660017346054	0.423890171927123	0	0.847660017346054	0.820432226135253	0.467080745341615	0.0712366190073196	0.787776564176421	0.847660017346054	0.818531331140064	0.850772697419746	0.0697099447513812	0.520314422810917	0.818642079788577	0.735975114200039	0.502956410869392	0.788503386621198	0.623549002601908	0.842293587516518	0.436494457226522	0.629076670595103	0.844784176599558	0.804273035500598	0.41346086550799	0.841902086144725	0.830167627447334	0.721057923497268	0.615415800653222	0.80426794484051	0.695931142410016	0.559824591213876	0.210933440232803	0.730098939277972	0.790550144523834	0.649189315292196	0.694769852671268	0.465778849433283	0.790550144523834	0.163169475152946	0.57563557319724	0.790550144523834	0.801129604735055	0.423890171927123	0.825609713790113	0.423890171927123	0.423890171927123	0.790550144523834	0.741147126419112	0.798596692896605	0.790550144523834	0.765939553584771	0.800039417893593	0.77188270517788	0.847660017346054	0.0526331418051163	0.847660017346054
ZB_5	0.809418389717577	0	0.886638923596411	0.847660017346054	0	0.86358251571945	0.891925948896666	0.842413889626562	0.79567084271087	0	0.828862129410868	0.834609448497286	0.852814201056499	0.833624167370297	0.967693610369309	0.375802943705427	0.861911979983181	0.865680042198452	0.246512195866532	0.967207540754453	0.888149080220278	0.786058577188416	0.859388609000085	0.816865120555177	0.84903013758913	0.719078200447868	0.91252651608263	0.878934490622977	0.779910807764447	0.861688486219525	0.20576641513684	0.881847375644596	0.831001092997121	0.888340946015391	0.797798672818626	0.824666198172874	0.817026556539131	0.891761852412385	0.797798672818626	0.849954554462888	0.884765337330295	0.797798672818626	0.785117747870795	0.886638923596411	0.0311856024179145	0.886638923596411	0.886638923596411	0.797798672818626	0.840397383086988	0.860466889802144	0.797798672818626	0.853446894857692	0.374814777289479	0.856635411497375	0	0.843818466353678	0
ZB_6	0.784366568202453	0.86358251571945	0.677729843499025	0.820432226135253	0.86358251571945	0	0.648574382581189	0.81771852075833	0.814388562806102	0.86358251571945	0.23487231621079	0.20280431196532	0.804772173697193	0.722131301820641	0.97259355964457	0.699443019238894	0.655491257737717	0.0758165989977688	0.789857127276693	0.981120425412607	0.669683243995052	0.468383175282772	0.0482255499223807	0.295325507346453	0.783054351259008	0.223225892737729	0.943397242567859	0.342154485198276	0.486010828924709	0.0380876816427427	0.808185189224561	0.566634459754694	0.837198218064656	0.285870612190156	0.81000882341658	0.845104282553932	0.3584721615351	0.649522127379363	0.81000882341658	0.813593558496362	0.562740041698672	0.81000882341658	0.42273436401069	0.677729843499025	0.856880602445505	0.677729843499025	0.677729843499025	0.81000882341658	0.222064321951068	0.114816556052826	0.81000882341658	0.169394759623005	0.707964844672079	0.146542789909409	0.86358251571945	0.818435088159629	0.86358251571945
ZB_7	0.817056127524274	0.891925948896666	0.0749693397159473	0.467080745341615	0.891925948896666	0.648574382581189	0	0.505044111247379	0.864877007058939	0.891925948896666	0.791515628149504	0.810218007377737	0.42714720892511	0.693126407460072	0.903350872334533	0.64919251473981	0.661969846413978	0.616417223404123	0.732935611374454	0.915955216204455	0.0937209302325581	0.552371685492552	0.671117080842642	0.752701861902039	0.456731415911698	0.711508643819622	0.836064406377339	0.55005464255521	0.592140712621459	0.652994878508036	0.766023321864371	0.280505141886528	0.579491237093009	0.553818455998892	0.866006749705539	0.616631720536456	0.515670977896394	0.137526558073654	0.866006749705539	0.449641967005578	0.304893275462275	0.866006749705539	0.771404441989569	0.0749693397159473	0.876282874820951	0.0749693397159473	0.0749693397159473	0.866006749705539	0.584810756789803	0.635192847713149	0.866006749705539	0.597006633105906	0.79525480325104	0.606988169140652	0.891925948896666	0.495129960042727	0.891925948896666
ZB_8	0.796797778806108	0.842413889626562	0.464930288255923	0.0712366190073196	0.842413889626562	0.81771852075833	0.505044111247379	0	0.777455680677891	0.842413889626562	0.815113978899774	0.848128658210085	0.135980662983425	0.497305781323416	0.868835098335855	0.728678643220422	0.541190533110208	0.803569690289802	0.610585170139313	0.830197426264887	0.476636686885589	0.655499994492846	0.842419450609816	0.800291681151801	0.378688281520289	0.843836136718434	0.818607422540007	0.722230856330898	0.642812278738323	0.814826191573235	0.68566947078187	0.591181199105964	0.186732071213641	0.749325778310298	0.780503653940357	0.628391736272426	0.716513416386073	0.503834958001856	0.780503653940357	0.227541053987335	0.605865860189648	0.780503653940357	0.796405940594059	0.464930288255923	0.819604240384132	0.464930288255923	0.464930288255923	0.780503653940357	0.759586929953343	0.814089254981482	0.780503653940357	0.782613228430735	0.794794844042114	0.788133009998103	0.842413889626562	0.019637036108325	0.842413889626562
ZB_10	0.25013244848451	0.79567084271087	0.856509861842707	0.787776564176421	0.79567084271087	0.814388562806102	0.864877007058939	0.777455680677891	0	0.79567084271087	0.757411160089414	0.767169541958406	0.79764801297648	0.415590060087143	0.94802628624463	0.859719343764337	0.568982097350664	0.817684537098967	0.836288441536861	0.946756632418341	0.858920895205906	0.875136710773983	0.807750254136548	0.736599750482023	0.79042619195342	0.834795400676639	0.86109785892932	0.765622276451107	0.871238340489179	0.811398593448001	0.829223509774339	0.620557596036964	0.753994397759104	0.767338417211988	0.155717761557178	0.74033776432187	0.76088966737501	0.864620393264316	0.155717761557178	0.792203367373014	0.634187064864695	0.155717761557178	0.67846442673519	0.856509861842707	0.800539871780452	0.856509861842707	0.856509861842707	0.155717761557178	0.776862235682057	0.809463175788762	0.155717761557178	0.798233938816857	0.668388894711856	0.803357086731514	0.79567084271087	0.78024661702298	0.79567084271087
ZB_11	0.809418389717577	0	0.886638923596411	0.847660017346054	0	0.86358251571945	0.891925948896666	0.842413889626562	0.79567084271087	0	0.828862129410868	0.834609448497286	0.852814201056499	0.833624167370297	0.967693610369309	0.375802943705427	0.861911979983181	0.865680042198452	0.246512195866532	0.967207540754453	0.888149080220278	0.786058577188416	0.859388609000085	0.816865120555177	0.84903013758913	0.719078200447868	0.91252651608263	0.878934490622977	0.779910807764447	0.861688486219525	0.20576641513684	0.881847375644596	0.831001092997121	0.888340946015391	0.797798672818626	0.824666198172874	0.817026556539131	0.891761852412385	0.797798672818626	0.849954554462888	0.884765337330295	0.797798672818626	0.785117747870795	0.886638923596411	0.0311856024179145	0.886638923596411	0.886638923596411	0.797798672818626	0.840397383086988	0.860466889802144	0.797798672818626	0.853446894857692	0.374814777289479	0.856635411497375	0	0.843818466353678	0
ZB_12	0.759738999660408	0.828862129410868	0.793207994579946	0.818531331140064	0.828862129410868	0.23487231621079	0.791515628149504	0.815113978899774	0.757411160089414	0.828862129410868	0	0.0861223594651963	0.821992298652075	0.651235191515506	0.986004401841356	0.681652051632417	0.586638806298433	0.248458985301091	0.74797844576961	0.985913950138954	0.795023756358813	0.449489814712491	0.207507872438353	0.21930276423268	0.752805212370065	0.31899340718125	0.961636440589988	0.403905884939941	0.584311073310858	0.222547061020968	0.782412600407826	0.670904471544715	0.808024452368823	0.428613213763399	0.751686965968204	0.819446780406362	0.422124652694405	0.799436206947534	0.751686965968204	0.820059132268341	0.677139657229454	0.751686965968204	0.245530323604989	0.793207994579946	0.830725740131579	0.793207994579946	0.793207994579946	0.751686965968204	0.364658663462766	0.24704297870558	0.751686965968204	0.248280996075121	0.673346914239914	0.223365824639998	0.828862129410868	0.816018778535915	0.828862129410868
ZB_13	0.769102557627231	0.834609448497286	0.812288415891669	0.850772697419746	0.834609448497286	0.20280431196532	0.810218007377737	0.848128658210085	0.767169541958406	0.834609448497286	0.0861223594651963	0	0.853456385404789	0.69596633194597	0.986548318733558	0.716537491299952	0.633193404627994	0.216960425046866	0.780096400842786	0.986464781923934	0.813866747266104	0.50095136722079	0.17429297059963	0.180451681119791	0.790597120496498	0.290451083105938	0.951753126285639	0.440122142021326	0.550048331949981	0.189962481118745	0.789483232260405	0.695215118616807	0.842661810502475	0.396371116789612	0.7616756093453	0.826582717372461	0.457495126641682	0.817707168836894	0.7616756093453	0.851956644600194	0.700747240431852	0.7616756093453	0.275879630743566	0.812288415891669	0.836350626592154	0.812288415891669	0.812288415891669	0.7616756093453	0.331819774046441	0.214722760122824	0.7616756093453	0.289895539162467	0.671819154209387	0.266026508410037	0.834609448497286	0.848828147973887	0.834609448497286
ZB_14	0.760713526159081	0.852814201056499	0.380720212128988	0.0697099447513812	0.852814201056499	0.804772173697193	0.42714720892511	0.135980662983425	0.79764801297648	0.852814201056499	0.821992298652075	0.853456385404789	0	0.542348508291315	0.83128453038674	0.743238381790234	0.522173789806721	0.772655192662164	0.636285630010994	0.85328729281768	0.394268981384648	0.601282065402958	0.828998933471784	0.808293212979053	0.446071141368408	0.84407820634847	0.840837513848605	0.698994535519126	0.586597537857159	0.788183478285811	0.706026299690166	0.526840681244853	0.265939226519337	0.709874292217498	0.800171105084005	0.668693611817971	0.671897871414782	0.425747757322906	0.800171105084005	0.0954572287216915	0.543836436379674	0.800171105084005	0.805867497462768	0.380720212128988	0.831509934840319	0.380720212128988	0.380720212128988	0.800171105084005	0.721750359341732	0.782300119148716	0.800171105084005	0.74840057131141	0.805274433418578	0.754789064405126	0.852814201056499	0.118674033149171	0.852814201056499
ZB_15	0.379509078190418	0.833624167370297	0.674292672815836	0.520314422810917	0.833624167370297	0.722131301820641	0.693126407460072	0.497305781323416	0.415590060087143	0.833624167370297	0.651235191515506	0.69596633194597	0.542348508291315	0	0.942856538612019	0.733482683146646	0.27178431844396	0.724429204387378	0.665214659174796	0.928135622766495	0.679717705208313	0.74381444981834	0.712215026762704	0.655678566443328	0.526226032882649	0.750292366045134	0.866382418409255	0.610319486689905	0.735868744620386	0.717664715301684	0.728297632468997	0.482456085062934	0.445111454425072	0.648330775364961	0.322796782059755	0.716634474961134	0.602298527619039	0.692548501690604	0.322796782059755	0.530192187310219	0.500407641761986	0.322796782059755	0.585724902360736	0.674292672815836	0.813747380930044	0.674292672815836	0.674292672815836	0.322796782059755	0.691122203706699	0.735429158759259	0.322796782059755	0.720136739785415	0.560461259909881	0.727109580892054	0.833624167370297	0.503524811911297	0.833624167370297
