ZB_1	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_59	ZB_61	ZB_62
ZB_1	0	0.895524362814083	0.916190501501581	0.877222740508297	0.494781994182129	0.895524362814083	0.886331217692861	0.879374513942895	0.881096768011389	0.310066993592405	0.371015263739412	0.916190501501581	0.968891880890503	0.278718911309244	0.912374786390097	0.525404103561669	1	1	0.892444092226157	0.376753710161382	0.48069126292317	0.371015263739412	1	0.525404103561669	0.389368929146058	0.376753710161382	0.516483689326497	0.760178234400942	0.895524362814083	0.912374786390097	0.554688207636504	0.316965327230511	0.260491466098943	0.912374786390097	0.895524362814083	1	0.201439129248873	0.90480261283181	0.895524362814083	0.618989181943474	1	0.485096938989155	0.525404103561669	0.208847796828369	0.525404103561669	0.389368929146058	1	0.968891880890503
ZB_3	0.895524362814083	0	0.688498153253915	0.408430280460073	0.826385994164235	0	0.221599709982533	0.469627250548161	0.332465478034473	0.921585266768981	0.927255977555379	0.688498153253915	0.855683353656527	0.744359105278596	0.773734588773865	0.765774319546725	0.988399301321557	0.988399301321557	0.1994070596955	0.692411402157165	0.833524171032406	0.927255977555379	0.988399301321557	0.765774319546725	0.698637347794132	0.692411402157165	0.764791228785645	0.808484488896423	0	0.773734588773865	0.733929025525907	0.662904247164299	0.63503289671514	0.773734588773865	0	0.988399301321557	0.911949558024491	0.210763148311918	0	0.642240667814276	0.892001450087335	0.745881663246933	0.765774319546725	0.894856617157521	0.765774319546725	0.698637347794132	0.892001450087335	0.855683353656527
ZB_4	0.916190501501581	0.688498153253915	0	0.80117899249732	0.838364223325631	0.688498153253915	0.622470209948931	0.808786078098472	0.814647191935816	0.93869854692132	0.94344512195122	0	0.781911449773395	0.899890322243693	0.1632053389113	0.845004863137418	0.982469246476418	0.982469246476418	0.667932898932483	0.887813697295576	0.853565041727381	0.94344512195122	0.982469246476418	0.845004863137418	0.889915340705402	0.887813697295576	0.845288138783449	0.83058997125194	0.688498153253915	0.1632053389113	0.901951794603091	0.877940397081006	0.868744657065825	0.1632053389113	0.688498153253915	0.982469246476418	0.930511331710058	0.477735004941997	0.688498153253915	0.871110776284211	0.8367946610887	0.906076481475672	0.845004863137418	0.915598319192784	0.845004863137418	0.889915340705402	0.8367946610887	0.781911449773395
ZB_5	0.877222740508297	0.408430280460073	0.80117899249732	0	0.892707333898964	0.408430280460073	0.240018629069817	0.427404680292836	0.451608981113723	0.911707004686055	0.918831532912197	0.80117899249732	0.902320322485498	0.84908375065526	0.778273861838636	0.861439179905207	1	1	0.582131496865446	0.818039899440435	0.848385026015271	0.918831532912197	1	0.861439179905207	0.821722980354766	0.818039899440435	0.858834817075089	0.752894654490626	0.408430280460073	0.778273861838636	0.842600468252646	0.800584360036884	0.784096513068476	0.778273861838636	0.408430280460073	1	0.899298591386007	0.533111376996307	0.408430280460073	0.7883604121961	1	0.849671286797035	0.861439179905207	0.876299524338489	0.861439179905207	0.821722980354766	1	0.902320322485498
ZB_6	0.494781994182129	0.826385994164235	0.838364223325631	0.892707333898964	0	0.826385994164235	0.850962716957261	0.842128617680412	0.862360248447205	0.267728893782767	0.196772231991717	0.838364223325631	0.967004244301329	0.341542776998597	0.865214755092342	0.0606116746175104	1	1	0.803967169355934	0.299121547558396	0.096262875357814	0.196772231991717	1	0.0606116746175104	0.28338968397326	0.299121547558396	0.073826957908262	0.790775609196532	0.826385994164235	0.865214755092342	0.180298889969586	0.365777407253022	0.418839639973446	0.865214755092342	0.826385994164235	1	0.367339392246126	0.763836783845121	0.826385994164235	0.40590986985318	0.973071803046987	0.138892748521761	0.0606116746175104	0.499120745476359	0.0606116746175104	0.28338968397326	0.973071803046987	0.967004244301329
ZB_7	0.895524362814083	0	0.688498153253915	0.408430280460073	0.826385994164235	0	0.221599709982533	0.469627250548161	0.332465478034473	0.921585266768981	0.927255977555379	0.688498153253915	0.855683353656527	0.744359105278596	0.773734588773865	0.765774319546725	0.988399301321557	0.988399301321557	0.1994070596955	0.692411402157165	0.833524171032406	0.927255977555379	0.988399301321557	0.765774319546725	0.698637347794132	0.692411402157165	0.764791228785645	0.808484488896423	0	0.773734588773865	0.733929025525907	0.662904247164299	0.63503289671514	0.773734588773865	0	0.988399301321557	0.911949558024491	0.210763148311918	0	0.642240667814276	0.892001450087335	0.745881663246933	0.765774319546725	0.894856617157521	0.765774319546725	0.698637347794132	0.892001450087335	0.855683353656527
ZB_8	0.886331217692861	0.221599709982533	0.622470209948931	0.240018629069817	0.850962716957261	0.221599709982533	0	0.538191126279864	0.554065188017006	0.916517694096842	0.922915132098579	0.622470209948931	0.814598416529066	0.81740556865216	0.725773910850514	0.817678662405632	0.985096744146661	0.985096744146661	0.407059695500448	0.760572946233071	0.824256524042919	0.922915132098579	0.985096744146661	0.817678662405632	0.765419224122519	0.760572946233071	0.817525174890987	0.776663042403875	0.221599709982533	0.725773910850514	0.792890276304136	0.737604568229034	0.71590950095623	0.725773910850514	0.221599709982533	0.985096744146661	0.905508898655411	0.385657805753524	0.221599709982533	0.721520032070177	0.861255768660824	0.802194212972656	0.817678662405632	0.885540342878227	0.817678662405632	0.765419224122519	0.861255768660824	0.814598416529066
ZB_10	0.879374513942895	0.469627250548161	0.808786078098472	0.427404680292836	0.842128617680412	0.469627250548161	0.538191126279864	0	0.229623648678958	0.912825299330583	0.91977760127085	0.808786078098472	0.908026291427513	0.774612857813233	0.787693136297842	0.851697466536983	1	1	0.312924683499034	0.829430109449178	0.89094323503099	0.91977760127085	1	0.851697466536983	0.809188963708957	0.829430109449178	0.867068130098921	0.761458819652322	0.469627250548161	0.787693136297842	0.831534272761551	0.813429511901012	0.79837280016906	0.787693136297842	0.469627250548161	1	0.900750711290378	0.575783025392748	0.469627250548161	0.773480793265263	1	0.858583862388116	0.851697466536983	0.878483491885842	0.851697466536983	0.809188963708957	1	0.908026291427513
ZB_11	0.881096768011389	0.332465478034473	0.814647191935816	0.451608981113723	0.862360248447205	0.332465478034473	0.554065188017006	0.229623648678958	0	0.913728372499553	0.920543007949358	0.814647191935816	0.912262109771714	0.76237681839512	0.794894308943089	0.843646272366573	1	1	0.27562406122595	0.794673992376936	0.891852361008984	0.920543007949358	1	0.843646272366573	0.798830026021492	0.794673992376936	0.840707477429299	0.768101238786843	0.332465478034473	0.794894308943089	0.822388439245535	0.77497694777421	0.756371859175597	0.794894308943089	0.332465478034473	1	0.901919602529359	0.473157155490818	0.332465478034473	0.761183295210696	1	0.830367237552866	0.843646272366573	0.880231099099596	0.843646272366573	0.798830026021492	1	0.912262109771714
ZB_12	0.310066993592405	0.921585266768981	0.93869854692132	0.911707004686055	0.267728893782767	0.921585266768981	0.916517694096842	0.912825299330583	0.913728372499553	0	0.0883394033637517	0.93869854692132	0.978285339598929	0.35511382397615	0.936681792627098	0.31211307180461	1	1	0.919862716696344	0.427528160462292	0.247305561186567	0.0883394033637517	1	0.31211307180461	0.437135116886111	0.427528160462292	0.29918367988927	0.827726809378185	0.921585266768981	0.936681792627098	0.327165830883624	0.382901507628419	0.444958021124853	0.936681792627098	0.921585266768981	1	0.300691574252159	0.926930421542318	0.921585266768981	0.458203318913552	1	0.25369121896068	0.31211307180461	0.315992055031252	0.31211307180461	0.437135116886111	1	0.978285339598929
