ZB_1	ZB_2	ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_39	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62
ZB_1	0	0.776218657668996	0.773291409435433	0.768191782391136	0.564685909947584	0.780639230252336	0.614954807888514	0.792656961346051	0.612941207026414	0.753393190982789	0.410243535023851	0.420212333074391	0.576030188993943	0.631865994522288	0.90762353468101	0.623863350299934	0.809011760464056	0.580124087893708	1	0.612941207026414	0.661449059312325	0.675275554008586	0.781598108669419	0.499404903594382	0.504553097185872	0.434955165692008	0.526670743576713	0.855644236800554	0.563894388405888	0.949298281163276	0.593925667194237	0.531200316293312	0.582247636830435	0.780639230252336	0.637613716449949	0.58390637249412	0.586784935095567	0.568156306850682	0.793514113419584	0.598883894526238	0.669285533851952	0.790023439904662	0.60845995533564	0.410243535023851	0.780639230252336	0.766661404478122	0.701751637651346	0.576867542523483	0.559462018657502	0.648920534975286	0.612941207026414	0.574171143016512	0.655103153921407	0.616380001986659	1	0.959688873293565	0.855168253294795
ZB_2	0.776218657668996	0	0.854700418784674	0.795061984957358	0.897881743134896	0.860897870608979	0.926913766683693	0.908334689228767	0.846984796119213	0.311493018259936	0.887725163755459	0.916216904276986	0.84554343205328	0.871185334985974	0.988181010659297	0.833123824147269	0.86442549988546	0.903411852013697	1	0.846984796119213	0.899517586712262	0.723666128935891	0.861696963158746	0.887690784551771	0.860683523200889	0.905993810997382	0.868994068707456	0.705828052049493	0.899678376073058	0.985468996481009	0.897123139268948	0.89215744004307	0.907221199705114	0.860897870608979	0.866025467353021	0.904281927800799	0.863017689906348	0.88422758941432	0.871446477813988	0.836742455560149	0.893596938447906	0.86862465798346	0.843784117339916	0.887725163755459	0.860897870608979	0.848993486224484	0.873980762898049	0.75354364275818	0.896381653711532	0.918843957198188	0.846984796119213	0.902042438088834	0.834492816790438	0.897725550263664	1	0.987467622511185	0.764285003058278
ZB_3	0.773291409435433	0.854700418784674	0	0.421028932846058	0.649375108906413	0.151378826229979	0.600161856714214	0.841128168511246	0.954152851689839	0.788964258796462	0.958648679212093	0.833401044567953	0.502388975729424	0.876747531921741	0.912916588746649	0.742223014916673	0.483606814873766	0.335248269964627	0.994656103545786	0.954152851689839	0.774470179556835	0.792064376607242	0.18574580095262	0.357080817186773	0.709558916856752	0.867880073792877	0.882814792378537	0.8286281244437	0.349388338312715	0.955781098587239	0.327033569918335	0.391152869161274	0.641752833656882	0.151378826229979	0.590778863653472	0.341236420651809	0.898375753674905	0.382896410473145	0.115251942842818	0.953274522238734	0.569129739758844	0.0958312410973223	0.940373311626234	0.958648679212093	0.151378826229979	0.0831123536413209	0.227156069472053	0.865142607710382	0.446018397883849	0.474374127792445	0.954152851689839	0.32582350828666	0.95309203899732	0.296113251800972	0.978811422224489	0.925990150909823	0.755484465480591
ZB_4	0.768191782391136	0.795061984957358	0.421028932846058	0	0.684036348498165	0.321247796012478	0.545503772641801	0.807784827371453	0.939796577923583	0.763162505808948	0.947317869663353	0.817051898213477	0.406413190817982	0.837176297000237	0.917342951608055	0.691153886378273	0.211414459115578	0.528695796305993	0.992462693128502	0.939796577923583	0.737794423434707	0.851227860919048	0.371048296557441	0.537294850980425	0.753970429964521	0.872910718886208	0.877761440688264	0.622239451367186	0.510478210174585	0.937631383331601	0.52884607826955	0.473779620952749	0.691241541132468	0.321247796012478	0.530659546355428	0.53294135214843	0.907759274645089	0.435085723058306	0.372719979944848	0.938272917109524	0.473128911560804	0.358950841847453	0.921229665011941	0.947317869663353	0.321247796012478	0.400081378000814	0.385086085293988	0.894004067951987	0.444220191826901	0.583203550392862	0.939796577923583	0.522013707945871	0.937954048415073	0.500949349416429	0.970114538289998	0.955181331478177	0.510578606197696
ZB_6	0.564685909947584	0.897881743134896	0.649375108906413	0.684036348498165	0	0.605701397812803	0.591145725831235	0.890352162269136	0.740434525679179	0.837994393305007	0.61578922150588	0.519855411352659	0.5564947372333	0.701328877633606	0.944279635700518	0.593423670106953	0.692453051490232	0.356159316489757	1	0.740434525679179	0.652244796210894	0.681596277623684	0.601711393429418	0.423139124388736	0.335266064029449	0.556947193000729	0.714493529164221	0.838535491265513	0.391984856012446	0.969692182110225	0.415005457782871	0.405530558188501	0.235926948692363	0.605701397812803	0.511873696376491	0.347408731727307	0.700229454260875	0.466542033665896	0.595529332409802	0.761985125401279	0.530541778869174	0.611064974814417	0.757966255595912	0.61578922150588	0.605701397812803	0.629193801242665	0.534008699333501	0.638388602884416	0.414198449369567	0.288499268288761	0.740434525679179	0.369617012326248	0.766361260028642	0.409681852962615	0.993183693418612	0.955375295738762	0.808459032392325
ZB_7	0.780639230252336	0.860897870608979	0.151378826229979	0.321247796012478	0.605701397812803	0	0.614505384194196	0.847904516479045	0.955767714418838	0.797965549979656	0.959966912793315	0.838712031822108	0.420943602847235	0.881169008943238	0.91663095076631	0.731052044657315	0.386089787060898	0.33184857711893	0.99488403634884	0.955767714418838	0.782560686256616	0.800099281926266	0.0603995509249058	0.349783676167074	0.637385404451571	0.872162194473416	0.887018616535864	0.743594195035942	0.31935158512451	0.957667163976672	0.29613604030591	0.28855206977508	0.555090013352364	0	0.582158338442007	0.31188636278792	0.902021354261726	0.305010693042839	0.0758335422411632	0.954950720934477	0.489715276510312	0.0555475851326563	0.942512319766381	0.959966912793315	0	0.0788335819883358	0.0940524228230472	0.869892656177198	0.372117540679829	0.468945034142874	0.955767714418838	0.295786755098454	0.954781119182185	0.26475281015405	0.979715176997152	0.929146887291469	0.667804150278042
ZB_8	0.614954807888514	0.926913766683693	0.600161856714214	0.545503772641801	0.591145725831235	0.614505384194196	0	0.798710298049958	0.637604565203294	0.880266630429341	0.695410168891069	0.586675774192931	0.395138496325608	0.489792155548106	0.913481550797825	0.59702097293113	0.429132262118735	0.550511005548921	0.992096882333222	0.637604565203294	0.370510625928558	0.87603845091986	0.616369621977523	0.46409884439015	0.764896089182193	0.59212560158217	0.5566867265775	0.825564015792442	0.54830802829827	0.934604425075427	0.521245435942703	0.498136729560806	0.672386244040036	0.614505384194196	0.368298368298368	0.554560047784373	0.584238867571663	0.461233852141835	0.639392193268882	0.625310090512906	0.265737776531723	0.632675510106478	0.620807728253947	0.695410168891069	0.614505384194196	0.587130856330237	0.628104266812875	0.686338889824325	0.450505422643855	0.539538459022292	0.637604565203294	0.544138210326041	0.677079955904286	0.524048855595178	0.9686640965471	0.941239512768629	0.766780276899329
ZB_9	0.792656961346051	0.908334689228767	0.841128168511246	0.807784827371453	0.890352162269136	0.847904516479045	0.798710298049958	0	0.937648718941951	0.84309311970508	0.952903434799419	0.872107841012526	0.895295973548947	0.925418771603297	0.671787495792147	0.913911680933672	0.788065543376565	0.894389675163963	1	0.937648718941951	0.905009114686534	0.887922521838207	0.848778251254113	0.874086583158547	0.933505756287182	0.91836038362228	0.79756579489009	0.881821826875956	0.890307459953517	0.808695941229266	0.887513541708462	0.882084002792803	0.892789111543352	0.847904516479045	0.881530415997049	0.895341023630866	0.882726188899192	0.873413434837381	0.859438455753322	0.933949821208746	0.885226235826362	0.856353053298218	0.93648713395902	0.952903434799419	0.847904516479045	0.834888158592176	0.862209465204634	0.950717316187727	0.870892721453407	0.912782329947827	0.937648718941951	0.892892346014839	0.933144450707568	0.888172223152957	1	0.866969947615109	0.876918625132102
ZB_10	0.612941207026414	0.846984796119213	0.954152851689839	0.939796577923583	0.740434525679179	0.955767714418838	0.637604565203294	0.937648718941951	0	0.870302011218685	0.324419071900678	0.522341853379444	0.730331927932492	0.311400671533746	0.992473760291622	0.567271081289773	0.935063995474935	0.816331835287824	1	0	0.483365496839502	0.865295371880095	0.955977759248773	0.781022487907192	0.728197123425131	0.52084539043577	0.297530010684432	0.885390910673864	0.809232406545164	0.991458630527817	0.804373470288488	0.794930894958655	0.746404589642097	0.955767714418838	0.693419645061305	0.81798633665584	0.259261713831268	0.801753304628919	0.958574767237437	0.0830256788908032	0.70336458395536	0.95781652559934	0.131579969698147	0.324419071900678	0.955767714418838	0.952687646458402	0.94614944281721	0.282197750426948	0.775468005249948	0.795029175845427	0	0.813727812459407	0.0998851423414554	0.805518990977192	1	0.992190684252572	0.901383409079558
ZB_11	0.753393190982789	0.311493018259936	0.788964258796462	0.763162505808948	0.837994393305007	0.797965549979656	0.880266630429341	0.84309311970508	0.870302011218685	0	0.90080975727375	0.886333477225127	0.799931245778249	0.866749055797461	0.899020551672178	0.77150326154653	0.815382797731569	0.85971362593565	1	0.870302011218685	0.853258371006053	0.550397323295692	0.799126166459895	0.835724813303289	0.819168479179272	0.834356167413059	0.827892564484307	0.689485111662531	0.869755862202065	0.880028842806704	0.850579785740079	0.843367514321525	0.849046384385077	0.797965549979656	0.815511754236223	0.860977339754358	0.702074228234478	0.831850055764012	0.813286537979444	0.863017689906348	0.845046629195843	0.80918807579189	0.868009785965428	0.90080975727375	0.797965549979656	0.780675406669258	0.816967379497791	0.786531893289024	0.843651984181099	0.88721609869552	0.870302011218685	0.857724664369274	0.861437413161551	0.85145473837047	1	0.794285440337504	0.711992989156737
