ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_57	ZB_59	ZB_60	ZB_61	ZB_62	ZB_64
ZB_1	0	0.618257530550295	0.502728681252529	0.340992911511601	0.618257530550295	0.671207044491353	0.641931575525228	0.324521599249305	0.631316832985661	0.618257530550295	0.621510382836968	0.579680103434613	0.559178353031748	0.355865903934038	0.327424769252331	0.678982851158529	0.476931700810206	0.355865903934038	0.687730844550209	0.365569601128122	0.827966101694915	0.267330187787625	0.618257530550295	0.5019471790614	0.65264297137815	0.708496949875183	0.582988551419276	0.238486009415214	0.686502023561032	0.618257530550295	0.671955157417775	0.624143602519683	0.663343911808919	0.618257530550295	0.607045098299163	0.333950180758326	0.676579985301716	0.618257530550295	0.820746386578055	0.598947804078254	0.514414158302777	0.827966101694915	0.346653787058587	0.512181190673269	0.84553451346734	0.719800231381193	0.489636033079615	0.618257530550295	0.60942392955694	0.507511117626936	0.880219835374423	0.582322759260948	0.655370284244795	0.664358628499109	0.645594637745377	0.880219835374423	0.618257530550295	0.238226979303672	0.679080875937882
ZB_2	0.618257530550295	0	0.77015184178461	0.714741321649105	0	0.633785631090767	0.601178188588341	0.70949064361836	0.187602459016393	0	0.0116665052433237	0.531841594895001	0.509006447549144	0.719541193906094	0.71041120290504	0.206234265833168	0.417398931835758	0.719541193906094	0.652190079571652	0.293362207896857	0.843934611960832	0.691771890040483	0	0.76986603476996	0.613108696851045	0.586109246981954	0.391662511652106	0.683125777325516	0.650821400907725	0	0.634618890133069	0.581365685919837	0.625027559712711	0	0.562321123597258	0.712487970259061	0.639770090596628	0	0.838016043005334	0.553302239696917	0.774447846765262	0.843934611960832	0.716561598512832	0.773623660008539	0.860114883881693	0.332330075720174	0.765388249082146	0	0.564970700399963	0.771904939075435	0.890706336727373	0.619826741466881	0.616146417530709	0.626157765898986	0.605258160487836	0.890706336727373	0	0.683048985394856	0.206548477394181
ZB_3	0.502728681252529	0.77015184178461	0	0.262297805795827	0.77015184178461	0.422290597654991	0.287629901596667	0.280520940233592	0.774951532787543	0.77015184178461	0.764977192489143	0.540899481892625	0.655455792492829	0.245042271416703	0.277373796608513	0.656254881744618	0.645544466257585	0.245042271416703	0.372034654569793	0.598928781818746	0.865263096448429	0.321288648093871	0.77015184178461	0.0207887406538631	0.45915971221222	0.52268362638733	0.723107720822244	0.34699647689256	0.375954364046504	0.77015184178461	0.347116279220548	0.397803574041744	0.444473364567066	0.77015184178461	0.220615136576442	0.270199872941406	0.349610559658024	0.77015184178461	0.871253614392437	0.400376343896569	0.0234991977411474	0.865263096448429	0.255822704393295	0.0280766506536121	0.87040491063939	0.73523081173826	0.0446415481600938	0.77015184178461	0.214561436145475	0.00961735815862777	0.836747885642104	0.408654569959925	0.451980651556036	0.325033721336864	0.294885215826457	0.836747885642104	0.77015184178461	0.347218521479113	0.728683946092919
ZB_4	0.340992911511601	0.714741321649105	0.262297805795827	0	0.714741321649105	0.536180259288407	0.456654669229594	0.0548734556177207	0.722097091779638	0.714741321649105	0.716561598512832	0.505448206830145	0.64105285653227	0.0225687897478508	0.100537034016337	0.573386713713782	0.572734218514465	0.0225687897478508	0.526152053741851	0.48887639469169	0.882584659595972	0.100540137584683	0.714741321649105	0.253052393479704	0.472908509347598	0.593648762015923	0.668775963484443	0.163397093760663	0.524287398549755	0.714741321649105	0.502213484023854	0.429662587784238	0.546794120009639	0.714741321649105	0.403716729963893	0.0276630642662189	0.509231356767148	0.714741321649105	0.879265765568362	0.391429617484599	0.263155358751849	0.882584659595972	0.00859000706649638	0.259766976944561	0.89519699118318	0.702835601383457	0.225556180145141	0.714741321649105	0.40732645025269	0.252680447637199	0.815206659999873	0.366202203231074	0.490867564435348	0.490686250020816	0.462213125707735	0.815206659999873	0.714741321649105	0.134903612251838	0.705514026910562
ZB_5	0.618257530550295	0	0.77015184178461	0.714741321649105	0	0.633785631090767	0.601178188588341	0.70949064361836	0.187602459016393	0	0.0116665052433237	0.531841594895001	0.509006447549144	0.719541193906094	0.71041120290504	0.206234265833168	0.417398931835758	0.719541193906094	0.652190079571652	0.293362207896857	0.843934611960832	0.691771890040483	0	0.76986603476996	0.613108696851045	0.586109246981954	0.391662511652106	0.683125777325516	0.650821400907725	0	0.634618890133069	0.581365685919837	0.625027559712711	0	0.562321123597258	0.712487970259061	0.639770090596628	0	0.838016043005334	0.553302239696917	0.774447846765262	0.843934611960832	0.716561598512832	0.773623660008539	0.860114883881693	0.332330075720174	0.765388249082146	0	0.564970700399963	0.771904939075435	0.890706336727373	0.619826741466881	0.616146417530709	0.626157765898986	0.605258160487836	0.890706336727373	0	0.683048985394856	0.206548477394181
ZB_6	0.671207044491353	0.633785631090767	0.422290597654991	0.536180259288407	0.633785631090767	0	0.170993240279597	0.554165186050053	0.615968862252006	0.633785631090767	0.635361915837757	0.217755432956292	0.261650759825101	0.536396917026537	0.557321699544765	0.538636712135696	0.385520736641579	0.536396917026537	0.0502559430851987	0.492023577675739	0.900143225810661	0.563351483210555	0.633785631090767	0.41707132702675	0.143994798779331	0.122138322666207	0.398007888838501	0.574400488575011	0.046518572899525	0.633785631090767	0.0908627120383994	0.219435561835354	0.0233565735427018	0.633785631090767	0.255586747973526	0.533778287354039	0.084733893557423	0.633785631090767	0.914873625244283	0.271631218859225	0.407178800723829	0.900143225810661	0.538130108127316	0.405428587411197	0.914312467170621	0.451503871011944	0.438400138816589	0.633785631090767	0.250746758880543	0.416192583227981	0.892058634493604	0.302623261694058	0.0903806912383625	0.119890434049726	0.161943987332912	0.892058634493604	0.633785631090767	0.579286475145778	0.568667546384901
ZB_7	0.641931575525228	0.601178188588341	0.287629901596667	0.456654669229594	0.601178188588341	0.170993240279597	0	0.469903961286059	0.651862159341532	0.601178188588341	0.596470408493191	0.285040240588046	0.413307285752948	0.444108879406216	0.467615802507737	0.497557283912894	0.379511648255496	0.444108879406216	0.127906472323443	0.435606450902295	0.902594616645215	0.511282683541246	0.601178188588341	0.281063354284435	0.205713944888465	0.28082547602679	0.466827014826173	0.529794030179535	0.124474667380072	0.601178188588341	0.083848727897711	0.129675572843817	0.193263299353269	0.601178188588341	0.0973315789101353	0.462399937466468	0.0967647728986749	0.601178188588341	0.907294039062139	0.27299958181105	0.287995014407103	0.902594616645215	0.451946889134444	0.291321077084128	0.906682915910165	0.588722791112339	0.306019510883791	0.601178188588341	0.0918065606938461	0.280668803101367	0.882447619284488	0.221041311457557	0.198506375685127	0.0626334282526519	0.0102300621048115	0.882447619284488	0.601178188588341	0.529953917050691	0.571617226367109
ZB_8	0.324521599249305	0.70949064361836	0.280520940233592	0.0548734556177207	0.70949064361836	0.554165186050053	0.469903961286059	0	0.717116077865897	0.70949064361836	0.70295030825958	0.498328301508003	0.629667109167011	0.0464031191077307	0.124531970271881	0.565534160294981	0.566051189986829	0.0464031191077307	0.53770667559059	0.479468283075587	0.879856962190921	0.0780589161835182	0.70949064361836	0.262666548056775	0.485761457012077	0.617005947837987	0.663830519875717	0.112979657495224	0.53588748938447	0.70949064361836	0.514351839795839	0.443570072614301	0.569791022313486	0.70949064361836	0.418256895758436	0.0652841534628286	0.521198584086701	0.70949064361836	0.876379790002692	0.406269400359752	0.281123066026144	0.879856962190921	0.0463427353674004	0.277817308762809	0.892730703453847	0.698289760303897	0.24444073066853	0.70949064361836	0.421778594239296	0.270903582074965	0.810710650625049	0.381657148067407	0.50892043190827	0.503105693493864	0.475326876683617	0.810710650625049	0.70949064361836	0.113281276182178	0.722197554853146
ZB_9	0.631316832985661	0.187602459016393	0.774951532787543	0.722097091779638	0.187602459016393	0.615968862252006	0.651862159341532	0.717116077865897	0	0.187602459016393	0.195998595998596	0.594818335121877	0.48511902158223	0.726654591054758	0.717989017413054	0.339436312834841	0.502761711344483	0.726654591054758	0.635268709253613	0.405827761125202	0.850539792762979	0.700342151891	0.187602459016393	0.774677544707292	0.594285970330337	0.565972964801145	0.48241006688493	0.692176532736383	0.633833442729023	0.187602459016393	0.616842660347387	0.635462457693954	0.606784700183731	0.187602459016393	0.619773952946211	0.719958888857167	0.622244472899638	0.187602459016393	0.845120305824151	0.531569857213352	0.779071600711728	0.850539792762979	0.723824986860875	0.778280918009072	0.866131128174838	0.299847132090959	0.770386785165302	0.187602459016393	0.621952203509184	0.776632445869784	0.895079684923979	0.627762700202592	0.597471479769102	0.607969892258247	0.655249339442791	0.895079684923979	0.187602459016393	0.692104065414938	0.167946107953742
ZB_10	0.618257530550295	0	0.77015184178461	0.714741321649105	0	0.633785631090767	0.601178188588341	0.70949064361836	0.187602459016393	0	0.0116665052433237	0.531841594895001	0.509006447549144	0.719541193906094	0.71041120290504	0.206234265833168	0.417398931835758	0.719541193906094	0.652190079571652	0.293362207896857	0.843934611960832	0.691771890040483	0	0.76986603476996	0.613108696851045	0.586109246981954	0.391662511652106	0.683125777325516	0.650821400907725	0	0.634618890133069	0.581365685919837	0.625027559712711	0	0.562321123597258	0.712487970259061	0.639770090596628	0	0.838016043005334	0.553302239696917	0.774447846765262	0.843934611960832	0.716561598512832	0.773623660008539	0.860114883881693	0.332330075720174	0.765388249082146	0	0.564970700399963	0.771904939075435	0.890706336727373	0.619826741466881	0.616146417530709	0.626157765898986	0.605258160487836	0.890706336727373	0	0.683048985394856	0.206548477394181
