ZB_1	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_39	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_59	ZB_62
ZB_1	0	0.699918669700067	0.643843028460683	0.687194949998915	0.55349795467439	0.715193966641284	0.402933587101733	0.624744243255709	0.364652441575518	0.709817334148578	0.389936112341072	0.423523286839194	0.673122126585779	0.383719658867264	0.476030155610683	0.612114116153942	0.586101971649803	0.216466214738684	0.423523286839194	0.364652441575518	0.796188850310867	0.703108264602102	0.333614598515261	0.593510609399052	0.423523286839194	0.364652441575518	0.663249169505737	0.596588689727008	0.58230350963915	0.464082221420844	0.619549925703276	0.697950085182645	0.381258153757899	0.586664360887396	0.219998804614189	0.433745865784701	0.714130907073044	0.364652441575518	0.44190056033062	0.703108264602102	0.364652441575518	0.489751836029376	0.525173118401635	0.855920801847658	0.679129647910497	0.706480257146236	0.364652441575518	0.506167506280489	0.495181832029724	0.364652441575518	0.58230350963915	0.571654599637477	0.66264765610879
ZB_3	0.699918669700067	0	0.711368684323497	0.854988057061375	0.467813734315129	0.141031229016716	0.715305697679933	0.786648444345631	0.867552507501072	0.698568098143878	0.834791645889868	0.873491604423752	0.613758391349522	0.856058889550477	0.677819495028031	0.602907964238386	0.287878130289484	0.775454607727936	0.873491604423752	0.867552507501072	0.8645946405451	0.099640063467368	0.610187017431515	0.51322423401754	0.873491604423752	0.867552507501072	0.785417872096858	0.262541652802492	0.296741557320525	0.512870233271331	0.457454710011264	0.0593780654037734	0.713118943613361	0.244399426849153	0.801053996724807	0.55201049641952	0.0558549881770418	0.867552507501072	0.663550761675422	0.099640063467368	0.867552507501072	0.810678312171617	0.191466912855683	0.908773583703836	0.184499885783433	0.0259118182860491	0.867552507501072	0.51735057129315	0.535080784623746	0.867552507501072	0.296741557320525	0.279440683828252	0.724526895361155
ZB_4	0.643843028460683	0.711368684323497	0	0.642816918106642	0.750023499553508	0.666861315663302	0.403655289276204	0.397992508810451	0.710469097243078	0.398313183562641	0.756940732747754	0.737416655771996	0.22449417622986	0.578088774100547	0.822322152598599	0.243375680580762	0.731850679068847	0.509146069420898	0.737416655771996	0.710469097243078	0.710152913624466	0.714837170991972	0.693414115980801	0.79145191554046	0.737416655771996	0.710469097243078	0.21960625126852	0.738644638301771	0.72938979513374	0.580843000773395	0.781725197591482	0.709223103199724	0.40636603612386	0.732215030386877	0.565103009189741	0.638290796597061	0.72674904875779	0.710469097243078	0.461818795678424	0.714837170991972	0.710469097243078	0.767702761312708	0.747849009430117	0.784870095085041	0.68852095796322	0.718493437460179	0.710469097243078	0.615940077666601	0.690244855517362	0.710469097243078	0.72938979513374	0.722490757713853	0.442216256428502
ZB_5	0.687194949998915	0.854988057061375	0.642816918106642	0	0.764247740731164	0.863031136519916	0.709932109630375	0.474993465191252	0.53252394923249	0.627319396338446	0.458735122925897	0.394047947092863	0.71019755431842	0.603372161786751	0.645843399175785	0.71614985102048	0.815040942037949	0.67230996477673	0.394047947092863	0.53252394923249	0.592030636482622	0.856673921575623	0.665796508041517	0.749673557122481	0.394047947092863	0.53252394923249	0.566323592917806	0.819727153046019	0.813343519225872	0.790776463077559	0.7673377936829	0.853945861435817	0.71113782051282	0.815292257522605	0.609182318345665	0.778859793735383	0.862473895032353	0.53252394923249	0.736011057511877	0.856673921575623	0.53252394923249	0.492492533260929	0.84387434158172	0.700596430734821	0.843916149128658	0.85845250330348	0.53252394923249	0.735090280336744	0.739598353290285	0.53252394923249	0.813343519225872	0.80858482933773	0.565008663008952
ZB_6	0.55349795467439	0.467813734315129	0.750023499553508	0.764247740731164	0	0.450805086584784	0.597431586759852	0.833309942091421	0.664814686351052	0.757838937927444	0.564441977940203	0.610939086454477	0.737057122797707	0.595318126493829	0.334327642855791	0.69988873890919	0.260665769714856	0.578507658773999	0.610939086454477	0.664814686351052	0.890666864677892	0.488443306376556	0.505033417914656	0.241923511745024	0.610939086454477	0.664814686351052	0.788092336281691	0.235329292227864	0.269529196745897	0.408605182126253	0.208205646292866	0.503590218402943	0.557805303196463	0.259339631285293	0.663402108029023	0.449668584948947	0.454243401858523	0.664814686351052	0.542206203999933	0.488443306376556	0.664814686351052	0.535470363059614	0.353431611256216	0.921691812708704	0.486131947285741	0.478253740915952	0.664814686351052	0.372727568905975	0.477867902665122	0.664814686351052	0.269529196745897	0.293539535803326	0.842443433172414
ZB_7	0.715193966641284	0.141031229016716	0.666861315663302	0.863031136519916	0.450805086584784	0	0.677501121345197	0.799448016424277	0.874294595637706	0.684109265702027	0.842842662911867	0.879656675504426	0.570424006982777	0.816819134843064	0.660649999750346	0.559703969610169	0.240812271843911	0.737036727966871	0.879656675504426	0.874294595637706	0.872717996631548	0.04797585532867	0.629183580740674	0.495324759245596	0.879656675504426	0.874294595637706	0.740020653283011	0.215475794356919	0.187695042366323	0.531449609206039	0.440649277375114	0.14801682196751	0.67533666433705	0.239486133414348	0.811181115503771	0.568808908291672	0.0877439950994828	0.874294595637706	0.626273900299373	0.04797585532867	0.874294595637706	0.860263588096581	0.295665556818525	0.886960156374857	0.210474855399404	0.117070527394598	0.874294595637706	0.53496906480718	0.5231881332311	0.874294595637706	0.187695042366323	0.212555610479486	0.741053317433584
ZB_8	0.402933587101733	0.715305697679933	0.403655289276204	0.709932109630375	0.597431586759852	0.677501121345197	0	0.64099601681301	0.415175722365265	0.613431701231873	0.502331504335287	0.465426200653759	0.37499747306285	0.293919588037235	0.629066139984786	0.444980288590347	0.550345100561561	0.249113502513028	0.465426200653759	0.415175722365265	0.822366685310848	0.718208559775522	0.404760406011488	0.635499207606973	0.465426200653759	0.415175722365265	0.534616315662067	0.561737771798099	0.546218487394958	0.297122969837587	0.573729688049259	0.713515347865509	0.158580467786605	0.550956074904887	0.282025043462952	0.354570765661253	0.72825988552805	0.415175722365265	0.0975333651096282	0.718208559775522	0.415175722365265	0.522856219477162	0.548457754708264	0.866719905414795	0.696447533274528	0.721280184888082	0.415175722365265	0.355976643328893	0.447276917880347	0.415175722365265	0.546218487394958	0.534649612387224	0.536464866530226
ZB_9	0.624744243255709	0.786648444345631	0.397992508810451	0.474993465191252	0.833309942091421	0.799448016424277	0.64099601681301	0	0.609209566274828	0.43378569830736	0.689371189957598	0.656754678287619	0.533139684629253	0.606836499712147	0.788727208976157	0.544506491693425	0.838572100042055	0.60518882598146	0.656754678287619	0.609209566274828	0.538874582214673	0.789341494437665	0.708315080862172	0.823359004701029	0.656754678287619	0.609209566274828	0.228584939118099	0.842662114395112	0.837090629478173	0.747664346481052	0.835424887791065	0.784980888361671	0.642627906722017	0.838791442264934	0.52034044354412	0.732284692136012	0.798565192964259	0.609209566274828	0.676010883380998	0.789341494437665	0.609209566274828	0.706734805621464	0.814808718356227	0.663286694964104	0.768825813399841	0.792176771086793	0.609209566274828	0.768793049689617	0.772727589353506	0.609209566274828	0.837090629478173	0.832937357269404	0.225508581194958
ZB_10	0.364652441575518	0.867552507501072	0.710469097243078	0.53252394923249	0.664814686351052	0.874294595637706	0.415175722365265	0.609209566274828	0	0.700369223883937	0.23044623982857	0.138476002139627	0.756383043240949	0.171731338631759	0.496471034058074	0.760603110908043	0.737030898250996	0.331168912882077	0.138476002139627	0	0.704831214379658	0.868960305335211	0.524839750753194	0.644093560202763	0.138476002139627	0	0.662167276397124	0.743693608977234	0.734617554686759	0.588940448569219	0.669208028629221	0.866683629444432	0.417834101887247	0.737388210879984	0.185453096504268	0.56388670080084	0.873825390925605	0	0.472215602160788	0.868960305335211	0	0.278441487917459	0.698319900102168	0.781032220688715	0.85837681568185	0.870448608378753	0	0.623359505654922	0.629768945172368	0	0.734617554686759	0.727851795717314	0.661369863013699
ZB_11	0.709817334148578	0.698568098143878	0.398313183562641	0.627319396338446	0.757838937927444	0.684109265702027	0.613431701231873	0.43378569830736	0.700369223883937	0	0.749862487675782	0.729136229799285	0.513980787139146	0.690437876796156	0.760858065483945	0.524149431354672	0.745733864384138	0.697723020580391	0.729136229799285	0.700369223883937	0.695436615640719	0.66819041715898	0.753936692338811	0.788993261057115	0.729136229799285	0.700369223883937	0.475386092532018	0.752176072604873	0.743400390459214	0.718739806844128	0.789480894592034	0.661321998154738	0.614988885976918	0.746079351746628	0.647911160569388	0.771410945499411	0.682718724725726	0.700369223883937	0.647202703904652	0.66819041715898	0.700369223883937	0.761245777570853	0.737456171497048	0.642155241190092	0.693164000190059	0.672656279857829	0.700369223883937	0.740483636696719	0.74457452700179	0.700369223883937	0.743400390459214	0.736858544378335	0.47394787944061
ZB_12	0.389936112341072	0.834791645889868	0.756940732747754	0.458735122925897	0.564441977940203	0.842842662911867	0.502331504335287	0.689371189957598	0.23044623982857	0.749862487675782	0	0.106752960935916	0.781261785936691	0.336338436181105	0.401506760282312	0.760638813280128	0.658283650397051	0.390967588179218	0.106752960935916	0.23044623982857	0.754951181626539	0.836469720271001	0.382550935569522	0.563071983578191	0.106752960935916	0.23044623982857	0.723787804123357	0.666941538995703	0.655147620545545	0.626074429106726	0.570150925781858	0.833756754044504	0.492488907272317	0.658747961855823	0.345177227198246	0.605793312936744	0.842281172957046	0.23044623982857	0.544246269936546	0.836469720271001	0.23044623982857	0.238668196907433	0.672358071274286	0.827746129615977	0.823893424048969	0.83824549682658	0.23044623982857	0.576504212608024	0.545805833874773	0.23044623982857	0.655147620545545	0.646355825456482	0.723254986163898
