ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_18	ZB_19	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_42	ZB_43	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_57	ZB_58	ZB_59	ZB_62
ZB_3	0	0.471870993690455	0.579399459048263	0.0597537246246333	0.351889092782987	0.464307495716319	0.511313001947757	0.559649511719889	0.305689152483242	0.565143801297637	0.345431383902721	0.290779703607584	0.565143801297637	0.138250442513209	0.306579956116002	0.555570929836512	0.874489714239974	0.837259496793291	0.536813400857032	0.312886006485408	0.144116636265102	0.186696759725137	0.77583417898301	0.0691613237112216	0.381634270515697	0.202478286045165	0.247062111553255	0.834269063139782	0.0691613237112216	0.35684916145431	0.0691613237112216	0.874489714239974	0.0597537246246333	0.0597537246246333	0.0691613237112216	0.354187440755377	0.404374604386661	0.202478286045165	1	0.290779703607584	0.436911462461212
ZB_4	0.471870993690455	0	0.623292294086159	0.523591664362384	0.153322304492379	0.60552771639329	0.486696476706942	0.690696993361968	0.214568806245903	0.280110025609409	0.287692889765695	0.457111667233087	0.280110025609409	0.458234693114705	0.488191847040873	0.598257729420455	0.918355373735452	0.796778019066981	0.307803151904276	0.548184993924666	0.561042269832079	0.381773507731693	0.760071798962904	0.527723093024994	0.324392476831403	0.389519397799653	0.299718981270322	0.792093404342483	0.527723093024994	0.163386764005713	0.527723093024994	0.918355373735452	0.523591664362384	0.523591664362384	0.527723093024994	0.412887022509081	0.561590659312959	0.389519397799653	0.902892914730153	0.457111667233087	0.390485215463934
ZB_6	0.579399459048263	0.623292294086159	0	0.560281886163057	0.547845938916211	0.671377084035574	0.348645393422878	0.296535692011113	0.668121920131675	0.545132643884892	0.498956989247312	0.455612089914945	0.545132643884892	0.578555821454583	0.404450295237852	0.139372822299652	0.763687091216783	0.612614535530789	0.558224272281889	0.345562484410077	0.485303701412745	0.508177811236446	0.334012477517986	0.552594081716059	0.485618668596237	0.557668210814095	0.539370436918598	0.634919424921102	0.552594081716059	0.540217490010897	0.552594081716059	0.763687091216783	0.560281886163057	0.560281886163057	0.552594081716059	0.44407592550615	0.284043644708245	0.557668210814095	1	0.455612089914945	0.456732671916154
ZB_7	0.0597537246246333	0.523591664362384	0.560281886163057	0	0.403609763454916	0.430263625272197	0.482927035839815	0.537441478540089	0.356961299808119	0.539699692867706	0.393086276780544	0.333158257896417	0.539699692867706	0.0883222572651498	0.266693691552859	0.535213776061088	0.867199299860254	0.828558435652569	0.509711636901376	0.353943626839611	0.0948853073148912	0.245852620683707	0.766166390676421	0.0106345592616927	0.436911462461212	0.250133178922988	0.301827280107534	0.825236417578342	0.0106345592616927	0.408121308779187	0.0106345592616927	0.867199299860254	0	0	0.0106345592616927	0.3197261268738	0.378686565912759	0.250133178922988	1	0.333158257896417	0.403964281651689
ZB_8	0.351889092782987	0.153322304492379	0.547845938916211	0.403609763454916	0	0.656549780499702	0.464090822641289	0.609985605691105	0.264630531299881	0.390485215463934	0.158703348377159	0.358801660127084	0.390485215463934	0.339293279174662	0.359294616454448	0.522860411899314	0.862361564232733	0.822826451829473	0.356611683076083	0.457567588092345	0.450492182976259	0.241322994982859	0.68072171912029	0.408781679084951	0.171070172339024	0.278969310943833	0.159268468521488	0.819276283350682	0.408781679084951	0.0118870020631646	0.408781679084951	0.862361564232733	0.403609763454916	0.403609763454916	0.408781679084951	0.283989791922656	0.465340445053892	0.278969310943833	0.917781596826264	0.358801660127084	0.237162910971555
ZB_11	0.464307495716319	0.60552771639329	0.671377084035574	0.430263625272197	0.656549780499702	0	0.532893524490473	0.510332698226587	0.450339710352226	0.487836418006951	0.627987826000891	0.620076003336732	0.487836418006951	0.480584027934219	0.544891781443923	0.676617677076955	0.891008001354727	0.731290092658589	0.508769209899033	0.631918184085807	0.484323236276716	0.530853603357621	0.801656198743849	0.436322520512781	0.598625560147578	0.572773595830921	0.568408210133487	0.723038495445195	0.436322520512781	0.660000268265529	0.436322520512781	0.891008001354727	0.430263625272197	0.430263625272197	0.436322520512781	0.580317389423144	0.589849352382011	0.572773595830921	1	0.620076003336732	0.570649412242962
ZB_12	0.511313001947757	0.486696476706942	0.348645393422878	0.482927035839815	0.464090822641289	0.532893524490473	0	0.420555438328816	0.582118837698633	0.329772256728778	0.42270896954301	0.560014829919362	0.329772256728778	0.52498832927019	0.278912368349987	0.445459704880817	0.637197762329424	0.759815788994667	0.357813088932532	0.573729109503617	0.402801269237758	0.421886589965753	0.642056419570893	0.487957617523309	0.365169318221206	0.505234510712218	0.468653901943719	0.753244567453342	0.487957617523309	0.469899568753437	0.487957617523309	0.637197762329424	0.482927035839815	0.482927035839815	0.487957617523309	0.340948708060162	0.525009728167213	0.505234510712218	1	0.560014829919362	0.316420027245414
ZB_13	0.559649511719889	0.690696993361968	0.296535692011113	0.537441478540089	0.609985605691105	0.510332698226587	0.420555438328816	0	0.671850445259298	0.622719018843211	0.482827377089798	0.437853369172305	0.622719018843211	0.570464451955797	0.373791054157917	0.308782974456113	0.716039204909774	0.726777869739607	0.634201601847175	0.45537540533799	0.467322882488759	0.490757481717354	0.427614940428331	0.541353748936687	0.553398719520501	0.548573135189133	0.526395703404399	0.561308051662545	0.541353748936687	0.613430020044806	0.541353748936687	0.716039204909774	0.537441478540089	0.537441478540089	0.541353748936687	0.420001058537102	0.393129134471066	0.548573135189133	1	0.437853369172305	0.526877841114077
ZB_14	0.305689152483242	0.214568806245903	0.668121920131675	0.356961299808119	0.264630531299881	0.450339710352226	0.582118837698633	0.671850445259298	0	0.434575958042792	0.255189723173551	0.30880217505484	0.434575958042792	0.278800867203269	0.437655320779911	0.655576631640221	0.933532988240154	0.833669481911005	0.403152750461887	0.411480482989064	0.394267515923567	0.336827608338125	0.794749044049017	0.348289267113559	0.40749533888643	0.222744643891141	0.262257818663172	0.830544389792852	0.348289267113559	0.254583987230561	0.348289267113559	0.933532988240154	0.356961299808119	0.356961299808119	0.348289267113559	0.368702167381709	0.427424280350438	0.222744643891141	0.923729066094523	0.30880217505484	0.462690971523614
ZB_15	0.565143801297637	0.280110025609409	0.545132643884892	0.539699692867706	0.390485215463934	0.487836418006951	0.329772256728778	0.622719018843211	0.434575958042792	0	0.48721725265519	0.609180132027477	0	0.465687654877225	0.500624758966448	0.622217547365791	0.893395445134576	0.736957518489723	0.0526486594438065	0.621361935644799	0.580216816224908	0.484915987780041	0.709799636735157	0.544210407749493	0.264696764192986	0.560521134916039	0.396178080448065	0.729055441478439	0.544210407749493	0.397730518965244	0.544210407749493	0.893395445134576	0.539699692867706	0.539699692867706	0.544210407749493	0.414593135364443	0.578086608482962	0.560521134916039	1	0.609180132027477	0.2009895778503
