ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.6521414517452	0.442988711398225	0.522914311492292	0.6240390741134	0.601993493641034	0.46771731697043	0.544454739556057	0.543122483439408	0.248149660267361	0.574657755902253	0.544725029362743	0.596154753827547	0.56821476920778	0.64068476955928	0.534067765589162	0.55043733699225	0.6647676940943	0.572733533150132	0.650661480071333	0.239330503143924	0.646915274624023	0.548236291363511	0.378295206758837	0.541479146795327	0.666280601440883	0.555369344344583	0.353482694408484	0.648143694088253	0.670457871729423	0.587980087003047	0.632650380877331	0.568003785589674	0.633914565318119	0.621218691674483	0.385151433931922	0.639442287527985	0.612062160620932	0.330398016652368	0.559090159226111	0.506493923412061	0.532368684694632	0.580879688078729	0.222091468918162	0.651739411393104	0.601557763604463	0.343917717393928	0.448820209204838	0.491408744949704	0.585571156996692	0.471377214806356	0.451998737544524	0.275670126660355	0.528072201807802	0.609794947300607	0.362647992387517	0.560585024117061	0.543597417205429	0.625984666753112	0.528655401265394	0.621601785660208	0.574151107671471	0.461083739569419	0.631115694004512
ZB_2	0.6521414517452	0	0.485419641096074	0.514540106176632	0.189801902663284	0.70096183349665	0.5088573087311	0.47009219744766	0.424868625599649	0.565297540508985	0.255706661673143	0.686710077550348	0.709975185967919	0.335600873692611	0.338684545044491	0.479488901071599	0.423248896368227	0.518789627695652	0.700508809950061	0.0490196821451037	0.569388099419465	0.512508736054668	0.412401171163438	0.47089758095434	0.654623975569395	0.766315147425561	0.683428620168029	0.594492153296962	0.430719758675256	0.736941572404343	0.47060268448348	0.632123461466649	0.580694020927612	0.744086379212436	0.346395020862957	0.469972529087128	0.489285284698312	0.702392825512834	0.593680857788908	0.340012812299808	0.544011012564225	0.356603437782206	0.394471013861441	0.547597234472359	0.255270548051249	0.46878502943261	0.631501139144376	0.687744109175816	0.498105035192204	0.24691345996936	0.470998174372132	0.493637775197829	0.603739783176297	0.641960775232096	0.702344949128516	0.639218863517929	0.661378229206695	0.436396969446904	0.679730610357259	0.42582648875662	0.377583308296631	0.495761976480914	0.454426367585779	0.184811598955705
ZB_3	0.442988711398225	0.485419641096074	0	0.475957537570718	0.533859780802617	0.659557030753785	0.261912223694508	0.502927917503633	0.481635748012972	0.343796887053959	0.582978394817985	0.609951657673954	0.723276035678688	0.415647173966234	0.413031273934645	0.409589073662439	0.517390375645516	0.45445100911904	0.643667872445665	0.489896440094313	0.363069048115609	0.493298570334951	0.470652484414646	0.18953987464969	0.566821638660013	0.741781771703501	0.637084397722982	0.309420100008105	0.41029315986705	0.688938060137422	0.471537737905625	0.699890872908448	0.516685068885247	0.716480220391724	0.645057858785931	0.11577977674217	0.349598097394208	0.647138323591318	0.35807014649311	0.416182052691933	0.45670761124245	0.389158957290753	0.331887339349193	0.313359530488314	0.43727805066049	0.253472820730408	0.324397040084744	0.492545551946511	0.234336099163753	0.510343566415983	0.166386241647497	0.0195577322712395	0.273591616566874	0.516753846113018	0.633142276510029	0.30911316394216	0.657003944822734	0.482253850467067	0.676295652195486	0.467002770685065	0.55169515516723	0.469239957770223	0.477129280615928	0.568664665943633
ZB_4	0.522914311492292	0.514540106176632	0.475957537570718	0	0.53682687413378	0.589278746859084	0.488682205656928	0.315260715025192	0.46475763630543	0.485820683947987	0.521019446472423	0.54444219721698	0.640420035421647	0.379385939134626	0.37981075097339	0.478026400515132	0.456818503904706	0.346557559092592	0.611495669961814	0.501636659691755	0.504053422421786	0.348903685231492	0.486049974176623	0.414127488246009	0.480648694152033	0.589688575434422	0.541214423703002	0.398711143689614	0.275177368058181	0.57476636696839	0.377352088079296	0.632217439531579	0.515972003479336	0.633899808294503	0.60088859807953	0.480610878268372	0.289524947933771	0.647527018436109	0.595848553505649	0.416716983290644	0.326668597826942	0.407542371157094	0.47242566067851	0.49537776741843	0.419628199186364	0.422997887181268	0.43761662817552	0.567931831692978	0.565269771269952	0.565575219724752	0.52532538039993	0.474426331169787	0.488492398454496	0.51821161901293	0.593454347924494	0.599354408708948	0.561728983255653	0.482562348035364	0.620576644950708	0.494303139603063	0.597448766575002	0.202416519109507	0.462782097776397	0.568644859363114
ZB_5	0.6240390741134	0.189801902663284	0.533859780802617	0.53682687413378	0	0.744007336861373	0.56001903741637	0.501052273186717	0.380327156388922	0.524377788528732	0.140705311250714	0.730043769481569	0.757860294646861	0.421368698926201	0.393494775718193	0.446196963799144	0.467373440762996	0.576750658356585	0.752156179196145	0.205316989496759	0.544056169600437	0.461708571360705	0.366637169531729	0.536237764270064	0.716143632009017	0.808532091457753	0.726945852078983	0.560842593718853	0.483822045757803	0.792718801230982	0.435080493501549	0.689605652025694	0.637682177398893	0.760456457293945	0.295436434963835	0.503131450484734	0.55512081326101	0.759241420270868	0.530688393388251	0.439028421126138	0.618114228285827	0.364643200481833	0.473885043188783	0.520867779151637	0.329883517312771	0.542324844215084	0.613655704601183	0.725685145100341	0.591909735255802	0.263012898216084	0.539989997270171	0.54144443235006	0.582916560492597	0.70194866567116	0.751187833516323	0.571665486132613	0.718254284575528	0.396044904882542	0.735916255659687	0.38008363375743	0.334087440981621	0.530495795284528	0.367530416413404	0.0865618423961255
ZB_6	0.601993493641034	0.70096183349665	0.659557030753785	0.589278746859084	0.744007336861373	0	0.605008846984998	0.58937122689187	0.73377064441143	0.673904933907558	0.704075774971297	0.21004213331607	0.209816296331233	0.674339920163398	0.655239584490835	0.640827392039737	0.47943653371149	0.578362981344938	0.159152321346082	0.690711984910585	0.666904645681007	0.70771975600674	0.735641032875582	0.667171993740937	0.279417079403704	0.17481894337751	0.225456722687387	0.640884316172176	0.665395538484577	0.160095968721306	0.727236774017096	0.288307350697436	0.351383762157831	0.168797746512108	0.757028046538873	0.684700955149653	0.662646764639901	0.301663865500585	0.719429735557106	0.686165677750245	0.461254246165264	0.657769486687027	0.740374446523412	0.670720416417112	0.707934940794071	0.687410708211443	0.636714297907807	0.274677591642133	0.692438341138966	0.727304240600888	0.737114332110423	0.64874734699338	0.617836433441882	0.246734237053218	0.0775093680906353	0.673327110788527	0.208941148199014	0.703983124424183	0.255156480017447	0.746106816450356	0.638749911360789	0.607037488158073	0.68005396542738	0.751014494961807
ZB_7	0.46771731697043	0.5088573087311	0.261912223694508	0.488682205656928	0.56001903741637	0.605008846984998	0	0.462327097241444	0.496500255128869	0.408026012844852	0.576438620254111	0.588225228843991	0.641462865949205	0.413957324348986	0.509376817556353	0.517065324673742	0.520163873509469	0.482303621525121	0.551549108798782	0.513020504665506	0.425501327448252	0.585634949364742	0.501029882007151	0.23646359127003	0.518626568933384	0.676691703113598	0.588204321263887	0.440377710591129	0.495222539091126	0.649124442492646	0.522130848867201	0.626385384685534	0.410774478648453	0.620652101580216	0.647203578680872	0.235453247693942	0.434062765751753	0.588068063751974	0.425056265239521	0.413983068791216	0.47968525031191	0.389210264869627	0.372594703083552	0.380795459999926	0.428702834755925	0.425669060970349	0.475086061223343	0.499230629978277	0.224452124431249	0.5330943606687	0.257581150411676	0.249756843129082	0.446082542866778	0.499766657624382	0.593189955720235	0.47910025806238	0.598837835873453	0.395392977480378	0.583890574037214	0.493755988502076	0.569994937223206	0.508898189004461	0.49543421473703	0.586700568867437
ZB_8	0.544454739556057	0.47009219744766	0.502927917503633	0.315260715025192	0.501052273186717	0.58937122689187	0.462327097241444	0	0.421837832441	0.500793562456457	0.47191253149608	0.621981099054953	0.621260341803511	0.32378000359758	0.372991480767892	0.493553661668243	0.51333742483398	0.419749700449714	0.598934394212607	0.470243493173925	0.519105639062068	0.465937721850249	0.446870454783547	0.476335353246758	0.584517287487015	0.649638124328452	0.612462059764193	0.576131505572105	0.39179683972912	0.617628240973131	0.502269489952824	0.609943876311647	0.481306548655278	0.588739522093114	0.556100684402907	0.444434899865155	0.384882466393678	0.580601086756226	0.564597262979502	0.316837796484254	0.436950743916446	0.342155767259155	0.423799425751121	0.539246198801446	0.331220893718376	0.451504964912553	0.579048767334221	0.573276874056683	0.545173347080809	0.540406460642729	0.511442236351887	0.486323116940821	0.559886433080161	0.548108372462494	0.589933497385584	0.614758113777344	0.559464652487908	0.444966354522317	0.60244467565328	0.466460312075984	0.57754871960058	0.419597552211503	0.413313725257652	0.543455867393376
ZB_9	0.543122483439408	0.424868625599649	0.481635748012972	0.46475763630543	0.380327156388922	0.73377064441143	0.496500255128869	0.421837832441	0	0.414673018665586	0.419074101908913	0.685945630882959	0.753562404568336	0.41956083639117	0.416673959486242	0.295501545561409	0.583589499173125	0.508856748859047	0.71259194203535	0.438663165161446	0.412159259622124	0.360296443194543	0.0814756087807694	0.439285032899845	0.665904321456501	0.792575123238994	0.676649408702541	0.484763098352245	0.440351514668843	0.772478624534149	0.206576602883074	0.744792555975251	0.567366168141362	0.76025029199278	0.515383464272353	0.439420556201184	0.433973274599516	0.695850574677851	0.380918747644505	0.196505523779676	0.545760613641066	0.253651440049154	0.367445668975544	0.406404308343993	0.405830428774723	0.403742356171222	0.514418085022461	0.662433364466866	0.510908587007664	0.299241232898254	0.47004518640841	0.479736930117388	0.47121554553611	0.634838140867618	0.738657145458566	0.459814831414632	0.695227194990397	0.203000382701875	0.744160112110057	0.11157551335087	0.423818950844102	0.476704633365468	0.207459365087171	0.359335966721046
ZB_10	0.248149660267361	0.565297540508985	0.343796887053959	0.485820683947987	0.524377788528732	0.673904933907558	0.408026012844852	0.500793562456457	0.414673018665586	0	0.543484670698318	0.620713506468881	0.670264163155857	0.507163633486006	0.539189189189189	0.514149262829688	0.581044693408341	0.57218391843146	0.645072568019295	0.563246169369837	0.0609801950363593	0.536988148432591	0.422139335644291	0.23069492509272	0.608639828915335	0.724358950032826	0.631957479232099	0.21574259201736	0.548825089422688	0.708346733638077	0.480227035843404	0.692017817010454	0.576818977404162	0.677472894858433	0.640640045368709	0.265485810131124	0.545203945624387	0.676395882906314	0.199921601463439	0.440913852558886	0.562866570307786	0.419834850491785	0.457784357936486	0.0753596440805974	0.524088895876474	0.506181422864944	0.222907451418671	0.490397056474715	0.413252189808207	0.487575354026328	0.339625502069802	0.355501330437792	0.158813025084193	0.577838667010598	0.680085481103916	0.289895569628024	0.637424246395625	0.462708468104577	0.686505319396979	0.416564555696777	0.535918967849832	0.475226841806105	0.419335067211067	0.55408213983864
