ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.468305569093084	0.894279313149293	0.14876091678858	0.468305569093084	0.344239192767115	0.354461956375568	0.14876091678858	0.106836851457331	0.284789037143887	0.472859746991127	0.120404238779101	0.27055015302764	0.518677462211416	0.546552872330879	0.106836851457331	0.450821851047805	0.182766134935903	0.461074004228192	0.71716472464667	0.0774669507214557	0.468461585308464	0.106836851457331	0.894279313149293	0.116718024569621	0.395038982906087	0	0.22473133790119	0.119613758700058	0.436180814904956	0.106836851457331	0.270139180227723	0.352495060479013	0.344239192767115	0.71716472464667	0.310512481686823	0.144604720368506	0.359831636572565	0.0774669507214557	0	0.296773391602444	0	0.894279313149293	0.284789037143887	0.435905644039779	0.901044210163454	0.0774669507214557	0	0.901044210163454	0.468305569093084	0.894279313149293	0.894279313149293	0.284789037143887	0.351250212621194	0.419002113387853	0.0774669507214557	0.436363222990178	0.232189699296225	0.478298382769179	0.106836851457331	0.71716472464667	0.993937322347354	0.106836851457331	0.71716472464667
ZB_2	0.468305569093084	0	0.92820707873306	0.449431694365115	0	0.594898626553303	0.543512887688584	0.449431694365115	0.432193465969577	0.585881819512863	0.00914183915051218	0.508367386651099	0.564467691302691	0.100526117001186	0.155605938784377	0.432193465969577	0.109714899649993	0.463860703296458	0.658938851719309	0.265761396702231	0.514421159895441	0.000313355445585531	0.432193465969577	0.92820707873306	0.507080073111125	0.630034388911158	0.468305569093084	0.546552872330879	0.437384261972293	0.635957910702436	0.432193465969577	0.58036603108967	0.598439885396407	0.594898626553303	0.265761396702231	0.521965574072507	0.447696024851867	0.615404860075445	0.514421159895441	0.468305569093084	0.57506052732914	0.468305569093084	0.92820707873306	0.585881819512863	0.112676130251109	0.931392123961222	0.514421159895441	0.468305569093084	0.931392123961222	0	0.92820707873306	0.92820707873306	0.585881819512863	0.611916912685731	0.628006726387899	0.514421159895441	0.647889869203616	0.485584007115569	0.666812334935684	0.432193465969577	0.265761396702231	0.996098746852661	0.432193465969577	0.265761396702231
ZB_3	0.894279313149293	0.92820707873306	0	0.839520403870425	0.92820707873306	0.879915102770331	0.733153599533664	0.839520403870425	0.88406394615061	0.910038781452803	0.920078988365368	0.830150183770725	0.919043254485846	0.907200895246436	0.93823458217907	0.88406394615061	0.92936888724857	0.845616505993864	0.791536692547645	0.90625956691226	0.887063856991812	0.927930932073132	0.88406394615061	0	0.863024618655023	0.874057628885908	0.894279313149293	0.914677416358604	0.870938157341186	0.807907767193991	0.88406394615061	0.71285871099263	0.847619372597193	0.879915102770331	0.90625956691226	0.713353162179086	0.888038982378605	0.750150092784631	0.887063856991812	0.894279313149293	0.888071219403414	0.894279313149293	0	0.910038781452803	0.908348710260254	0.195686550118598	0.887063856991812	0.894279313149293	0.195686550118598	0.92820707873306	0	0	0.910038781452803	0.882320639699894	0.837475347236792	0.887063856991812	0.781503379890101	0.736407236011779	0.798504547430275	0.88406394615061	0.90625956691226	0.88108240948064	0.88406394615061	0.90625956691226
ZB_4	0.14876091678858	0.449431694365115	0.839520403870425	0	0.449431694365115	0.43262298182162	0.261869717283591	0	0.0522600961491002	0.390874228866782	0.440485611717074	0.225283669077887	0.371076886795543	0.461110431373383	0.532896753382603	0.0522600961491002	0.528252144063875	0.0442760910994962	0.494714760085433	0.707124751975593	0.222591656691936	0.449127756941816	0.0522600961491002	0.839520403870425	0.167582891655368	0.481833439708768	0.14876091678858	0.333025343189018	0.0368604456027088	0.468649028576224	0.0522600961491002	0.315698440386554	0.389782420124331	0.43262298182162	0.707124751975593	0.207099248591108	0.0937222861671415	0.399792127976863	0.222591656691936	0.14876091678858	0.33726955133657	0.14876091678858	0.839520403870425	0.390874228866782	0.468389703760069	0.850712273011897	0.222591656691936	0.14876091678858	0.850712273011897	0.449431694365115	0.839520403870425	0.839520403870425	0.390874228866782	0.391746372355319	0.452459583484225	0.222591656691936	0.471546471444162	0.192200252419016	0.510863961110702	0.0522600961491002	0.707124751975593	0.957009308891324	0.0522600961491002	0.707124751975593
ZB_5	0.468305569093084	0	0.92820707873306	0.449431694365115	0	0.594898626553303	0.543512887688584	0.449431694365115	0.432193465969577	0.585881819512863	0.00914183915051218	0.508367386651099	0.564467691302691	0.100526117001186	0.155605938784377	0.432193465969577	0.109714899649993	0.463860703296458	0.658938851719309	0.265761396702231	0.514421159895441	0.000313355445585531	0.432193465969577	0.92820707873306	0.507080073111125	0.630034388911158	0.468305569093084	0.546552872330879	0.437384261972293	0.635957910702436	0.432193465969577	0.58036603108967	0.598439885396407	0.594898626553303	0.265761396702231	0.521965574072507	0.447696024851867	0.615404860075445	0.514421159895441	0.468305569093084	0.57506052732914	0.468305569093084	0.92820707873306	0.585881819512863	0.112676130251109	0.931392123961222	0.514421159895441	0.468305569093084	0.931392123961222	0	0.92820707873306	0.92820707873306	0.585881819512863	0.611916912685731	0.628006726387899	0.514421159895441	0.647889869203616	0.485584007115569	0.666812334935684	0.432193465969577	0.265761396702231	0.996098746852661	0.432193465969577	0.265761396702231
ZB_6	0.344239192767115	0.594898626553303	0.879915102770331	0.43262298182162	0.594898626553303	0	0.397669592976856	0.43262298182162	0.414298612720995	0.269099315854182	0.597547735323091	0.270930274719298	0.168883424611602	0.624814374814375	0.501826634302876	0.414298612720995	0.581577670414988	0.447934216957534	0.244838047787144	0.784506002236334	0.395038982906087	0.594989200499477	0.414298612720995	0.879915102770331	0.396531590707493	0.0507997901389719	0.344239192767115	0.220114945909537	0.419820157362308	0.14020603415719	0.414298612720995	0.42090663314786	0.208841620656145	0	0.784506002236334	0.448108539505188	0.430779538016411	0.433241159373486	0.395038982906087	0.344239192767115	0.280254292958083	0.344239192767115	0.879915102770331	0.269099315854182	0.564782048894251	0.88560787443469	0.395038982906087	0.344239192767115	0.88560787443469	0.594898626553303	0.879915102770331	0.879915102770331	0.269099315854182	0.325461326731706	0.114009437276702	0.395038982906087	0.338693512662985	0.402990572444833	0.26782689744335	0.414298612720995	0.784506002236334	0.995978496291744	0.414298612720995	0.784506002236334
ZB_7	0.354461956375568	0.543512887688584	0.733153599533664	0.261869717283591	0.543512887688584	0.397669592976856	0	0.261869717283591	0.300444476828913	0.512572060728362	0.536095512963764	0.317007985365569	0.490927504878256	0.487414538858658	0.602415975086551	0.300444476828913	0.604690691205179	0.28627591891949	0.382720962565187	0.757171317582506	0.410451574729028	0.543260887137036	0.300444476828913	0.733153599533664	0.258956187299965	0.441973929236499	0.354461956375568	0.466280860336997	0.289077528417371	0.356928812676014	0.300444476828913	0.283513876193625	0.363616741134063	0.397669592976856	0.757171317582506	0.0690760711162926	0.323201792395003	0.273446767609789	0.410451574729028	0.354461956375568	0.387318423642034	0.354461956375568	0.733153599533664	0.512572060728362	0.55274311902302	0.668230836490819	0.410451574729028	0.354461956375568	0.668230836490819	0.543512887688584	0.733153599533664	0.733153599533664	0.512572060728362	0.433609624033399	0.385176239489271	0.410451574729028	0.355864650299866	0.172573593704459	0.401512342276431	0.300444476828913	0.757171317582506	0.968267269017779	0.300444476828913	0.757171317582506
ZB_8	0.14876091678858	0.449431694365115	0.839520403870425	0	0.449431694365115	0.43262298182162	0.261869717283591	0	0.0522600961491002	0.390874228866782	0.440485611717074	0.225283669077887	0.371076886795543	0.461110431373383	0.532896753382603	0.0522600961491002	0.528252144063875	0.0442760910994962	0.494714760085433	0.707124751975593	0.222591656691936	0.449127756941816	0.0522600961491002	0.839520403870425	0.167582891655368	0.481833439708768	0.14876091678858	0.333025343189018	0.0368604456027088	0.468649028576224	0.0522600961491002	0.315698440386554	0.389782420124331	0.43262298182162	0.707124751975593	0.207099248591108	0.0937222861671415	0.399792127976863	0.222591656691936	0.14876091678858	0.33726955133657	0.14876091678858	0.839520403870425	0.390874228866782	0.468389703760069	0.850712273011897	0.222591656691936	0.14876091678858	0.850712273011897	0.449431694365115	0.839520403870425	0.839520403870425	0.390874228866782	0.391746372355319	0.452459583484225	0.222591656691936	0.471546471444162	0.192200252419016	0.510863961110702	0.0522600961491002	0.707124751975593	0.957009308891324	0.0522600961491002	0.707124751975593
ZB_9	0.106836851457331	0.432193465969577	0.88406394615061	0.0522600961491002	0.432193465969577	0.414298612720995	0.300444476828913	0.0522600961491002	0	0.367616300036062	0.437384261972293	0.214377480463156	0.348482277974199	0.489272852043558	0.520547534745284	0	0.514421159895441	0.0942223144706304	0.523486030119074	0.697954862671808	0.184303802178787	0.432371391239055	0	0.88406394615061	0.211085089773614	0.465098402859967	0.106836851457331	0.307558600793365	0.0159890126784671	0.496417481431749	0	0.354663016037743	0.421672449520505	0.414298612720995	0.697954862671808	0.248536318096431	0.0471052971127411	0.433968354389521	0.184303802178787	0.106836851457331	0.371903908304657	0.106836851457331	0.88406394615061	0.367616300036062	0.49617170895542	0.89214934251722	0.184303802178787	0.106836851457331	0.89214934251722	0.432193465969577	0.88406394615061	0.88406394615061	0.367616300036062	0.426380729323407	0.481074098296858	0.184303802178787	0.501636958894143	0.15454049103526	0.538715685139785	0	0.697954862671808	0.993238905384801	0	0.697954862671808
ZB_10	0.284789037143887	0.585881819512863	0.910038781452803	0.390874228866782	0.585881819512863	0.269099315854182	0.512572060728362	0.390874228866782	0.367616300036062	0	0.58891071654625	0.353407579353694	0.11560881927809	0.619814069654503	0.43871589357994	0.367616300036062	0.512468043264503	0.410106501073084	0.316383403667655	0.748913470993117	0.239090567282828	0.585985456605912	0.367616300036062	0.910038781452803	0.351250212621194	0.231452500835055	0.284789037143887	0.0600576992426974	0.374652307253406	0.31642083840376	0.367616300036062	0.375144140794838	0.214959520023131	0.269099315854182	0.748913470993117	0.485455068279314	0.388546402968005	0.442068247672096	0.239090567282828	0.284789037143887	0.147402096117864	0.284789037143887	0.910038781452803	0	0.552739114354529	0.914984328339791	0.239090567282828	0.284789037143887	0.914984328339791	0.585881819512863	0.910038781452803	0.910038781452803	0	0.0982792142644627	0.295593234996838	0.239090567282828	0.222458221217238	0.438664780184252	0.282958553185402	0.367616300036062	0.748913470993117	0.994970299394048	0.367616300036062	0.748913470993117
ZB_11	0.472859746991127	0.00914183915051218	0.920078988365368	0.440485611717074	0.00914183915051218	0.597547735323091	0.536095512963764	0.440485611717074	0.437384261972293	0.58891071654625	0	0.500378939175142	0.56752824375214	0.0922274059612408	0.162133367690272	0.437384261972293	0.117340551699903	0.455149074947926	0.652870701727089	0.272473687911676	0.51858033910217	0.00944949237537859	0.437384261972293	0.920078988365368	0.499070708315364	0.63245373184381	0.472859746991127	0.549869424765691	0.428242422821781	0.630042658071855	0.437384261972293	0.572899915766904	0.591915009306314	0.597547735323091	0.272473687911676	0.514198081030886	0.452608472546896	0.608562154574963	0.51858033910217	0.472859746991127	0.568155764370538	0.472859746991127	0.920078988365368	0.58891071654625	0.10448951746215	0.923624630919601	0.51858033910217	0.472859746991127	0.923624630919601	0.00914183915051218	0.920078988365368	0.920078988365368	0.58891071654625	0.605012149727129	0.621962276432845	0.51858033910217	0.641625136037074	0.489848187764688	0.660884269726967	0.437384261972293	0.272473687911676	0.996133658396673	0.437384261972293	0.272473687911676
ZB_12	0.120404238779101	0.508367386651099	0.830150183770725	0.225283669077887	0.508367386651099	0.270930274719298	0.317007985365569	0.225283669077887	0.214377480463156	0.353407579353694	0.500378939175142	0	0.336774169664287	0.541118150306417	0.576017593986955	0.214377480463156	0.492201022111613	0.253115622512095	0.381107916718749	0.738475640355998	0.188543840268401	0.508500780710062	0.214377480463156	0.830150183770725	0.191310280387693	0.321251163296632	0.120404238779101	0.299111916747085	0.201612045333661	0.359001930258906	0.214377480463156	0.232519462137297	0.263860777793841	0.270930274719298	0.738475640355998	0.27225474678076	0.243747587651929	0.264843159912978	0.188543840268401	0.120404238779101	0.343097922991663	0.120404238779101	0.830150183770725	0.353407579353694	0.464672645783937	0.84061046330792	0.188543840268401	0.120404238779101	0.84061046330792	0.508367386651099	0.830150183770725	0.830150183770725	0.353407579353694	0.393258156233435	0.339471707087687	0.188543840268401	0.40207532709559	0.214378223625912	0.400888056482076	0.214377480463156	0.738475640355998	0.994645949509874	0.214377480463156	0.738475640355998
ZB_13	0.27055015302764	0.564467691302691	0.919043254485846	0.371076886795543	0.564467691302691	0.168883424611602	0.490927504878256	0.371076886795543	0.348482277974199	0.11560881927809	0.56752824375214	0.336774169664287	0	0.598855987264606	0.423116006459925	0.348482277974199	0.550146074143969	0.38983514039124	0.300513473416177	0.768318242029433	0.327058408376821	0.564572382295715	0.348482277974199	0.919043254485846	0.334680588996243	0.217867794556246	0.27055015302764	0.0591005639289083	0.355307247564112	0.227062439679409	0.348482277974199	0.435718553503855	0.206430971227757	0.168883424611602	0.768318242029433	0.463983429362633	0.368811018704185	0.490868763830344	0.327058408376821	0.27055015302764	0.141820837691798	0.27055015302764	0.919043254485846	0.11560881927809	0.533505769823325	0.923070481039796	0.327058408376821	0.27055015302764	0.923070481039796	0.564467691302691	0.919043254485846	0.919043254485846	0.11560881927809	0.193361103718054	0.203512223597516	0.327058408376821	0.294196972568984	0.417814781575181	0.268552909858058	0.348482277974199	0.768318242029433	0.995537605932203	0.348482277974199	0.768318242029433
ZB_14	0.518677462211416	0.100526117001186	0.907200895246436	0.461110431373383	0.100526117001186	0.624814374814375	0.487414538858658	0.461110431373383	0.489272852043558	0.619814069654503	0.0922274059612408	0.541118150306417	0.598855987264606	0	0.228420188007666	0.489272852043558	0.194059108114205	0.436145142328214	0.610792556909995	0.33957155244413	0.560424134559948	0.100244173613291	0.489272852043558	0.907200895246436	0.447466974155867	0.657355446829131	0.518677462211416	0.583707680033301	0.480974141003612	0.634724946633589	0.489272852043558	0.582227574400014	0.547904240743627	0.624814374814375	0.33957155244413	0.463771712158809	0.464025619610493	0.532516010176331	0.560424134559948	0.518677462211416	0.522118253087276	0.518677462211416	0.907200895246436	0.619814069654503	0.102243501366154	0.863849559674987	0.560424134559948	0.518677462211416	0.863849559674987	0.100526117001186	0.907200895246436	0.907200895246436	0.619814069654503	0.558224642708478	0.62714628014914	0.560424134559948	0.598417065422182	0.532880844645551	0.619620083032168	0.489272852043558	0.33957155244413	0.976832765013485	0.489272852043558	0.33957155244413
