ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.520750969424894	0.661325476807053	0.6684014239351	0.650222549932455	0.695637051742751	0.685506451579525	0.697963698386621	0.621676384707049	0.491060966561772	0.584510785932123	0.580256395108407	0.692939592652104	0.721490833354761	0.655782715621586	0.479144445674569	0.577620325624453	0.745290007015509	0.718648432700174	0.762410647508417	0.353286736020806	0.692740111057791	0.601701306505714	0.684171682548013	0.644451932203164	0.686981821015091	0.552480254885201	0.493297163743807	0.700889888136896	0.737589979053752	0.591592564591809	0.70743985622677	0.639119054310762	0.669387373402037	0.497911423604805	0.665216366436161	0.664627713199195	0.687645666620967	0.356296621325143	0.558811084045242	0.652894725071935	0.501983755342517	0.692917690851476	0.466849101473693	0.728781941331864	0.693022588512856	0.396304777365354	0.466698418596861	0.576679898421723	0.647310695892374	0.560597460231084	0.592903507609128	0.448988297209334	0.654670947242127	0.698099447664787	0.509921097753655	0.694255621124972	0.526210354032104	0.701047543667384	0.454595322113645	0.647310695892374	0.652842651230765	0.521797875373421	0.661135284655434
ZB_2	0.520750969424894	0	0.433663845113375	0.44767931591934	0.274321443045856	0.641484000946947	0.505950716261148	0.418278772572542	0.28925740359446	0.272683590115833	0.206035366346064	0.532990475982715	0.62393179225852	0.41797384636419	0.336804408850726	0.205016906416144	0.317059432502532	0.509523096150334	0.630586962435203	0.340404258177807	0.471026590460463	0.43270381634455	0.185052060196973	0.43062290235421	0.529627066286419	0.631302814630056	0.509501822865501	0.374694748962506	0.387827121332276	0.614211973492214	0.172453037233407	0.62456382935459	0.50672790983359	0.63325072326656	0.188480890930241	0.509531995191997	0.389918880486864	0.605612051633206	0.29456676001609	0.362056898184363	0.508669657442803	0.281534641828759	0.401165594368313	0.282324435402247	0.385982955191795	0.470596551076833	0.208049493157845	0.454605461374106	0.39583423305147	0.173592298534884	0.413756126756412	0.483813358578238	0.374833953909631	0.580908614808279	0.673547826195733	0.366665663633649	0.60842366730179	0.15496680185595	0.626293170003603	0.211363424296148	0.173592298534884	0.520091140231675	0.271543261326125	0.210673335760629
ZB_3	0.661325476807053	0.433663845113375	0	0.39007347126569	0.564952696204513	0.666222860853504	0.163130246874089	0.357641005918825	0.343482266748071	0.42546421043775	0.281588746570128	0.594290658851764	0.688234343078031	0.352275726331328	0.39762070222999	0.482948821657768	0.321851392957927	0.399868761022024	0.58897924875073	0.470222394181727	0.605107771034822	0.386503853048681	0.437831167262121	0.105496499380338	0.472318835699361	0.654856548184002	0.544343251838468	0.483708899169278	0.380616705662788	0.585053372648518	0.417118355063011	0.578520624315565	0.470271137597995	0.636274674674675	0.472520001869532	0.117156934509236	0.339608028490002	0.556074657470407	0.458346742094477	0.386055098935827	0.445908647019217	0.504351232948272	0.133922759392344	0.42075052690878	0.316950447010198	0.159839995051393	0.386003766121487	0.580986596872147	0.157415157246373	0.490211470076417	0.259095266142351	0.254205164127755	0.49408064436322	0.516527034720035	0.631777427000077	0.394832038067709	0.560940799989465	0.373306242363504	0.547852479175628	0.442523364485981	0.490211470076417	0.477510258971465	0.48439207840086	0.520236095325639
ZB_4	0.6684014239351	0.44767931591934	0.39007347126569	0	0.39616317065458	0.479048364356026	0.459403081175011	0.268345744346331	0.390477239308971	0.517234830318261	0.30605026452758	0.484190230284943	0.510051487696622	0.220473662831297	0.280386333655587	0.436282839118438	0.381498733504729	0.284373046630829	0.419190788063388	0.511524045546516	0.676979300554415	0.270863038121569	0.442497243984985	0.384918165040522	0.390900012281121	0.458063171236075	0.493334823982796	0.488899552704935	0.284583139264089	0.40119610415326	0.418012997926825	0.393451228491178	0.39128967739727	0.430276549449007	0.474385307436369	0.414443290081567	0.219337881827473	0.368825031974234	0.43249461404008	0.264789099040661	0.366318775466702	0.379589816812967	0.388722367928063	0.513715995037662	0.153949026926401	0.422650189710028	0.501428278887742	0.570101277543606	0.315238341646761	0.385036747110696	0.353176793010869	0.37851455209531	0.578040920676959	0.438117295526717	0.438135218006159	0.488251478805204	0.402487660964761	0.475061582581331	0.361903695794441	0.377863342107135	0.385036747110696	0.380342500937423	0.367075294004262	0.363754864681415
ZB_5	0.650222549932455	0.274321443045856	0.564952696204513	0.39616317065458	0	0.592155071945046	0.624123447846419	0.42165625828536	0.412616440675055	0.445819113679205	0.383709242553107	0.569713830881635	0.571871383030235	0.320646233509009	0.360909717210157	0.368867374377693	0.422788309636651	0.452761878804397	0.582734560197013	0.337431035131465	0.577025344586042	0.372727696147597	0.277546273329585	0.569996487597422	0.596163081376225	0.579515519673503	0.535542361243779	0.465365129280224	0.364397416399005	0.592779004835784	0.350889359991804	0.548265405319133	0.560434223195494	0.579595612528083	0.375800450662894	0.587323808317427	0.415803226450982	0.530403867705501	0.432321299072198	0.426922752334871	0.567375589138055	0.373011350968375	0.54114732155571	0.473398815669011	0.305724218086299	0.603217657588892	0.424304497595744	0.521547271449394	0.472049975038756	0.154823350743435	0.556850624227019	0.612832638520886	0.477480034053594	0.598580025208394	0.628727272727273	0.483754421482956	0.526506092808395	0.322550398499766	0.596134757680507	0.378695220222983	0.154823350743435	0.550779238509016	0.34107778382361	0.103344951787406
ZB_6	0.695637051742751	0.641484000946947	0.666222860853504	0.479048364356026	0.592155071945046	0	0.60093752251495	0.569494947809327	0.541310205347566	0.592665777862426	0.579689196344263	0.237473679835984	0.123735192883644	0.524967769944256	0.541989195084957	0.584422423994062	0.505012378247067	0.475028353757259	0.151262633041191	0.719320197996562	0.66373890655561	0.541960951157209	0.615345925393849	0.655680563711098	0.272009605890616	0.0677898293857029	0.289794298938044	0.594825513715963	0.569181272174017	0.149742693246161	0.609588631593522	0.184183341096877	0.323288547664747	0.0964159296212043	0.569049797412103	0.638137748560154	0.568152148407161	0.239181888655314	0.571683101205558	0.486175547923842	0.341856251559025	0.542293459738045	0.63664591896653	0.59865250928483	0.539165566351807	0.614611439189533	0.654493011370567	0.514902700956841	0.570086368317924	0.647862280223096	0.593743195180373	0.546147427923989	0.569308063107663	0.210292777114158	0.150150197352335	0.526564464321886	0.227735961593664	0.647902290209545	0.204349174982043	0.636089474186345	0.647862280223096	0.546797813396071	0.555720853216216	0.613567469549747
ZB_7	0.685506451579525	0.505950716261148	0.163130246874089	0.459403081175011	0.624123447846419	0.60093752251495	0	0.393442264556835	0.329475006473344	0.340035356101968	0.368486308332307	0.593633932259235	0.617607189139937	0.386876474623919	0.430035825254985	0.46442613294592	0.365665358986319	0.281004620155693	0.539161634855279	0.548180393277776	0.520877039816878	0.445009169056891	0.475392966892502	0.181722751343661	0.391713477654541	0.62504202790653	0.577745086980498	0.413686211494976	0.469554557446165	0.507348636439101	0.456438088441608	0.540968165203537	0.379349873357331	0.565526073778561	0.536931321721908	0.257366272786546	0.376554468579008	0.580181796718215	0.495218308344629	0.371352119403952	0.353898738944727	0.486619435136429	0.190286749359729	0.334584375260025	0.398801595149177	0.151327359310781	0.43238899375063	0.607458734512853	0.282808046594242	0.559529414786152	0.313779559564099	0.270671788420517	0.409349012474012	0.464503221767308	0.610495746170367	0.310971498816438	0.522051193639992	0.4046138239222	0.519216721257393	0.471658563259562	0.559529414786152	0.40447627728555	0.466640275161283	0.584143706660631
ZB_8	0.697963698386621	0.418278772572542	0.357641005918825	0.268345744346331	0.42165625828536	0.569494947809327	0.393442264556835	0	0.301068073111374	0.455646868301337	0.254882110820027	0.603863945300471	0.604548982873762	0.143796964923083	0.153557464139258	0.440945918931314	0.392031825893641	0.27286434858518	0.521151532587091	0.472984525347766	0.599975057621513	0.202300420862437	0.454191112467641	0.292848586858872	0.493293256923915	0.569738437289052	0.591741816374352	0.525235391636636	0.216618963489617	0.499342922038332	0.432636371108412	0.482633351523853	0.459556554327551	0.549738416481013	0.491214691463699	0.439857512752874	0.122815678310773	0.461790220453552	0.528472035018806	0.368968623094958	0.433853047947791	0.467866824841433	0.261467250441445	0.480638671251817	0.146141756169764	0.341699573604861	0.463702748626166	0.600049006595471	0.344560486809025	0.32334763731967	0.328175021678502	0.383757627672254	0.554659871249337	0.538074444348684	0.546208920484732	0.423223962260842	0.458397348079373	0.437474514226596	0.473000962585854	0.409714959285171	0.32334763731967	0.261031299445684	0.444600396485715	0.366990751466637
ZB_9	0.621676384707049	0.28925740359446	0.343482266748071	0.390477239308971	0.412616440675055	0.541310205347566	0.329475006473344	0.301068073111374	0	0.337999642849877	0.183622487400799	0.481156783137346	0.556324282259724	0.271273498101516	0.249523885294893	0.238447140588064	0.213274722192396	0.314677620007722	0.549235925833216	0.48218966846569	0.526226799369788	0.280008175708787	0.203364742854047	0.300663569528195	0.419351805261117	0.572968554916271	0.486320329765922	0.418706993290578	0.269438235659739	0.496601751207729	0.265544431101416	0.526986839856435	0.36170477158622	0.526594436773624	0.374771439789108	0.403366023141409	0.304850322540878	0.510011418701067	0.397222143323771	0.175897527565574	0.355319411752596	0.261187450321142	0.271448244701177	0.364496972623935	0.291965797264143	0.27108773970578	0.36585992595624	0.549002180343578	0.312110419458463	0.344983294782832	0.306729568165596	0.320654660047778	0.440485402121479	0.447449687072721	0.590487370478892	0.355368489840841	0.506639027396493	0.236756927060642	0.52508141429178	0.309666529878454	0.344983294782832	0.436851392104469	0.258786355003721	0.361453751613056
ZB_10	0.491060966561772	0.272683590115833	0.42546421043775	0.517234830318261	0.445819113679205	0.592665777862426	0.340035356101968	0.455646868301337	0.337999642849877	0	0.293937448876263	0.541363613746292	0.549999835526857	0.45354329702078	0.355497638830773	0.326378280122987	0.326003796052273	0.433122770148087	0.561378923766816	0.45955805432316	0.231640146878825	0.468923383549099	0.344526872385763	0.435846168477399	0.447723605509562	0.581335097473065	0.464404944830914	0.187721918786525	0.47430444058328	0.558561382287891	0.334114334907746	0.553282898581869	0.436165933038094	0.581471562537442	0.28971915214283	0.497870618624117	0.404058307333184	0.594262590990542	0.26945551577383	0.414030367657964	0.429532058001543	0.347256701563828	0.408320615181171	0.0370367320724267	0.46777008364858	0.473092008391645	0.194755404786905	0.448318512635567	0.37011555743555	0.35545197540277	0.391276288405273	0.432833050166873	0.134577643030196	0.518558967360222	0.644202925001217	0.175482456140351	0.534063142594677	0.252046811368761	0.562146933398718	0.318953828854043	0.35545197540277	0.400993581390414	0.362599288082721	0.394879261558748
ZB_11	0.584510785932123	0.206035366346064	0.281588746570128	0.30605026452758	0.383709242553107	0.579689196344263	0.368486308332307	0.254882110820027	0.183622487400799	0.293937448876263	0	0.514933460710745	0.602729888407534	0.263319147742808	0.146190312173806	0.318834777582474	0.18740036147414	0.373385491077428	0.56157131303053	0.429879529584126	0.48689262682742	0.269069914771884	0.284895214571819	0.268948774805213	0.450153190829234	0.568133624241486	0.483410851644089	0.373734813910491	0.222067458213718	0.540087725079267	0.244937231483587	0.529150661267855	0.415798634266051	0.567803005008347	0.279234935086192	0.366577796690389	0.209606277161275	0.512325861669821	0.376649149403544	0.252472039066544	0.390404387715738	0.313908169539963	0.239230191889731	0.321583732802948	0.230774093402541	0.316377208912074	0.29056101082853	0.510755935132937	0.228677581169726	0.288184132090144	0.290157211978612	0.346490588671418	0.399931141644356	0.495421073687895	0.602634087833682	0.313932246960533	0.508950220115137	0.262124067891873	0.538366502790582	0.281664856608695	0.288184132090144	0.346453669660725	0.328624794653104	0.331287056116709
