ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.309180615573105	0.459315320483024	0.423664621241107	0.354809362878885	0.706972184656369	0.447575765996307	0.422973738100656	0.272179076893808	0.406459500184801	0.404973815309325	0.47877262897962	0.663063960374717	0.418314961802822	0.383827084659991	0.3046704326966	0.553240151991785	0.427987026984656	0.710630000499144	0.394006994550757	0.281583158888692	0.379643715954262	0.275173666029786	0.546452925348042	0.60885402809091	0.700539685143791	0.564795042219434	0.373003740249068	0.392997455304355	0.676641660512302	0.313375016768258	0.627371970480154	0.560597122166128	0.704436700254838	0.294401219536339	0.527814490261081	0.471505406754693	0.610156856548057	0.662341108929903	0.207	0.556786183956061	0.243038659097053	0.436762247686455	0.347516236615763	0.438811830371463	0.385801714961395	0.344441152378131	0.50740915607958	0.53556422894209	0.391713715377432	0.514256111950098	0.522999463820995	0.311523569361472	0.469312740888576	0.725964294863193	0.500871307833057	0.623080543999593	0.237954666292637	0.646980642861051	0.277624429585333	0.307971776398159	0.50303341638199	0.269386808855917	0.365491981918958
ZB_2	0.309180615573105	0	0.382065145201679	0.39922619992715	0.142448847929464	0.661626185830586	0.397329198833716	0.370988655618465	0.183851554663992	0.266072874965765	0.225446116815001	0.44843317899169	0.626481629580844	0.381636510937078	0.453824623308479	0.241366564118087	0.474260622049431	0.437032055903721	0.669767997324883	0.202571727518035	0.362532038498759	0.369557782647832	0.201621982043449	0.517181418631666	0.553310401127539	0.668447639401593	0.513161923591731	0.318187153378914	0.3870426144142	0.629774410967126	0.202265329864969	0.581815927667526	0.516761713071676	0.685130381859369	0.10649116121302	0.468624586058896	0.435877203856093	0.565050432558464	0.711379740135567	0.257527357591981	0.545220822481305	0.271945317743474	0.410673675761644	0.286430414929522	0.402729129093321	0.411990670158842	0.396673620222577	0.521577230491434	0.477088584803745	0.226886593779476	0.484257871064468	0.493181543907639	0.369298823776311	0.46340216657601	0.69928936802485	0.437075689565936	0.576927014943336	0.228117765646241	0.610796498845201	0.179786019775293	0.124825556956705	0.52111147837834	0.181193376021789	0.140181907817178
ZB_3	0.459315320483024	0.382065145201679	0	0.261305186105029	0.415588892529008	0.597777637106698	0.142700733486793	0.221572132446021	0.379259632757679	0.370839779717833	0.369714386791911	0.508885577131902	0.580770805290547	0.191257656743787	0.386273666863704	0.441354534541849	0.367145856597173	0.30957518615739	0.54415396524079	0.265577653509478	0.454251119349092	0.277037757645771	0.381743688984558	0.28176367389788	0.410581967724897	0.578541858866022	0.566739384467333	0.415654006391371	0.308695382765292	0.508997982193718	0.371213033678037	0.466914782713799	0.379894345975909	0.597981030292636	0.317040408750836	0.172617770931638	0.292763048301872	0.401650359187958	0.742036294723219	0.400892190865955	0.347624243993564	0.391547870872804	0.0834534239159442	0.434111119484532	0.16066368018698	0.175433230881223	0.384745010165319	0.513047049745211	0.199343951215907	0.232504958058681	0.221208435735301	0.205021004907029	0.539280384599723	0.326300156513142	0.57379181023097	0.506142780451421	0.453301216683107	0.423996661461665	0.49670285193436	0.415537680454737	0.349435603644254	0.359433716309761	0.377504974637403	0.4245740548584
ZB_4	0.423664621241107	0.39922619992715	0.261305186105029	0	0.403899333344354	0.581788898249102	0.229564663591452	0.198726275360016	0.396642436098621	0.296129831918172	0.307751084188064	0.500561201936283	0.507242026395145	0.208460691446889	0.244263940816911	0.374239317694993	0.39913589242995	0.255175507936847	0.527338449812471	0.288810259906664	0.378183930862524	0.277363518739925	0.315153287403647	0.387976378989017	0.401867264367058	0.57963806882979	0.488977199033133	0.34244414449367	0.301708095912739	0.493529888479766	0.406585063025889	0.421273633176198	0.30629442487594	0.575005935337486	0.338090250921197	0.323832722569519	0.26944203024509	0.41377931941561	0.74675978600305	0.363154663823463	0.307126449455134	0.354711236575192	0.269587675637873	0.468907823050316	0.232978565015543	0.264240499002088	0.426713307027524	0.469803245188264	0.317922129246207	0.226962859050794	0.36703636602688	0.341306166200601	0.568502346047639	0.312635614422075	0.563704538638337	0.452430552282561	0.442349160429531	0.341632752443563	0.459755824244496	0.431049789760948	0.35174527756065	0.361703139661084	0.395019810244895	0.412372149332462
ZB_5	0.354809362878885	0.142448847929464	0.415588892529008	0.403899333344354	0	0.667001896052886	0.373183880003155	0.344851298836298	0.187985042437499	0.24205516268036	0.228887294390044	0.457026798178365	0.617270938324934	0.355952712653744	0.459594893704638	0.245749609040748	0.492953346292696	0.45026674570243	0.674918476865403	0.25210841551213	0.383414018363229	0.374647887323944	0.163507528786537	0.549029878642568	0.597726378457906	0.673856509360361	0.499744782595068	0.31569067049293	0.422203115776506	0.634473094781995	0.206589300351434	0.586783887547991	0.538187923705965	0.690906980302766	0.153022023908946	0.474812555443487	0.413719995484906	0.594878343387854	0.755039295158958	0.253226552055873	0.550677599469272	0.276804928352052	0.444259510033239	0.296272693311065	0.407747022455101	0.447303074321787	0.377694479602765	0.53803774805558	0.491647448969868	0.236889047449162	0.491039500770336	0.499950391399141	0.348594149004626	0.437979181161721	0.704338752130678	0.420061366527802	0.581923023255392	0.226975098123496	0.598001583570544	0.156258092437362	0.125519133534487	0.551579168136362	0.185298266896566	0.0568258749610156
ZB_6	0.706972184656369	0.661626185830586	0.597777637106698	0.581788898249102	0.667001896052886	0	0.620608177522088	0.621058611429323	0.664873403347986	0.578071240469376	0.594467852955857	0.511544404619673	0.193558253947781	0.636874140004215	0.611701972856649	0.67748085106383	0.450235972575999	0.610367178398413	0.131743893353705	0.611800547683775	0.639326075921988	0.61216227517123	0.660917890445334	0.693567530859746	0.388120212983516	0.0738755071134055	0.3568847299202	0.564876996476652	0.630511244370771	0.146913239968621	0.653057584822615	0.28560990685818	0.394919349271727	0.149447840553596	0.691243186788081	0.62011938256828	0.635579802844458	0.296653927879264	0.945205341361953	0.636857428048578	0.478449840221654	0.628023518117764	0.603302873534422	0.683238289239106	0.615597379414645	0.693693899007578	0.651329016550821	0.460227021286011	0.619791843709731	0.63834934312756	0.659858624209412	0.669424541537228	0.726912868114637	0.515221137277427	0.145269593685399	0.533994429054564	0.297841531660365	0.649847767723485	0.272614831702814	0.65559855543393	0.679023950069557	0.65987714942188	0.666652649568049	0.674833635813672
ZB_7	0.447575765996307	0.397329198833716	0.142700733486793	0.229564663591452	0.373183880003155	0.620608177522088	0	0.0886522885102242	0.308681243433398	0.380148398070176	0.3784252001286	0.496559344157182	0.570944538990319	0.0528844366305658	0.305317116006559	0.415485236599272	0.395116580961192	0.223947047362383	0.553511206107999	0.280521043678938	0.442721071713882	0.210058134925202	0.339968149000529	0.286488241525675	0.405206030013363	0.601835030765307	0.539670088263408	0.386921240595234	0.277484793733978	0.518005896895669	0.321317929935243	0.447669480255402	0.311740579242437	0.621897524123452	0.332522635514161	0.222250472526313	0.175893326421438	0.411422747601263	0.721815593645263	0.354603477367765	0.312693203250296	0.345846859528666	0.0866145976371304	0.394829264474978	0.0566487915427507	0.199151665109703	0.370700965108435	0.508742628896348	0.227557445960091	0.214828137998407	0.225536837759946	0.132334585088358	0.529595625100886	0.244063918498911	0.595417414689363	0.516824917088894	0.441088622348244	0.331747986363558	0.459585447255065	0.347144512411533	0.316998959491397	0.330400809163733	0.306633960721418	0.411194244384688
ZB_8	0.422973738100656	0.370988655618465	0.221572132446021	0.198726275360016	0.344851298836298	0.621058611429323	0.0886522885102242	0	0.27637138321411	0.354751756932844	0.353003484118788	0.464437259245953	0.556186540021178	0.05846493217894	0.275876554134333	0.392472629544941	0.391916657035777	0.192387546536763	0.580689312891208	0.248539252149154	0.416199081739596	0.131770447753009	0.311481817051289	0.309082487117763	0.436788071209113	0.601898872871747	0.524118099712446	0.361079934998843	0.244461755323095	0.545681474792942	0.290224257228637	0.479383698802437	0.346417823075133	0.639798292747743	0.302250641022224	0.298396761972484	0.100456971895204	0.440869362408281	0.70957191413188	0.326569232933113	0.347938434312325	0.318036181915045	0.170651676119636	0.366179469051937	0.0891003914079142	0.222059583702256	0.338218044104833	0.502609992542878	0.302826354450203	0.178942486579847	0.249020392876054	0.218302877973008	0.509566912116384	0.246863644950163	0.614612555326975	0.49448512396901	0.471678728398587	0.302512366437335	0.489531266503801	0.316769642236317	0.285986534535239	0.313303608710051	0.274131327212686	0.384674637909068
ZB_9	0.272179076893808	0.183851554663992	0.379259632757679	0.396642436098621	0.187985042437499	0.664873403347986	0.308681243433398	0.27637138321411	0	0.286509614940138	0.298600311041991	0.379073128524023	0.60679477854764	0.288100527858597	0.39670864179898	0.277973022822223	0.516066613261726	0.393387590952193	0.672842976285838	0.284917084830962	0.35850982075909	0.317591302081563	0.181248780364978	0.465901943381638	0.543037774060051	0.664487345961267	0.487950154262118	0.260062758956861	0.345709068776628	0.632757190950047	0.0966195989637234	0.577119178516584	0.506830583105898	0.688500029649887	0.121585866941962	0.455958385493261	0.352631698244359	0.550039877559528	0.681771087595573	0.181347183502985	0.480699755772127	0.174679792196446	0.353376005437861	0.215019378273631	0.34495233275148	0.409170683151718	0.392799126015295	0.457067791972363	0.452198760404439	0.245883104608744	0.397488824290984	0.408536829063587	0.36507653558071	0.406366943335522	0.702179220192881	0.433598996226714	0.572134062383677	0.167979632241701	0.606365150365778	0.127672717074504	0.122103398858935	0.469979115906718	0.0712191917280482	0.238730033657912
ZB_10	0.406459500184801	0.266072874965765	0.370839779717833	0.296129831918172	0.24205516268036	0.578071240469376	0.380148398070176	0.354751756932844	0.286509614940138	0	0.133505066909748	0.462502435723101	0.508061414837136	0.364785341070526	0.341191980197521	0.320129334809195	0.467579273036691	0.450353142003627	0.590665953463493	0.274541014937656	0.203084689422504	0.382036603239424	0.274780907818283	0.497793765957303	0.494494167121848	0.602341773931801	0.372939140827421	0.14247849614645	0.397481415996502	0.552935972643883	0.271915322580645	0.500087285731163	0.427424723045514	0.598497488549845	0.273184331876626	0.426878212392825	0.416962826270721	0.513708734505429	0.752866483741024	0.288570835926156	0.420693732605356	0.297548340880053	0.397529433577454	0.373261919424367	0.411589391827452	0.420504072014395	0.408892213269778	0.430367522494649	0.423953403713142	0.294183026848784	0.439164084806512	0.469718719872525	0.457952406182011	0.426870322106389	0.625024659106533	0.244164268704108	0.521874210127222	0.326511914488929	0.556865564586008	0.239954428072307	0.227710987481803	0.519556295063783	0.262126775321165	0.286921009564134
