ZB_1	ZB_2	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.166363442324697	0.492233592729479	0.166363442324697	0.421475663356666	0.996105419220641	0.486176977290525	0.166363442324697	0.106795404802547	0.996322646023339	0.439042677031746	0.114207082770797	0.49295556970555	0.147881105004519	0.213654318146955	0.687591394825647	0.458015872491426	0.443391609076137	0.996322646023339	0.0721091571713978	0.0675314635227777	0.167226796901177	0.701093061581408	0.448077495502724	0.413693074411411	0.114207082770797	0.020577596601022	0.390093546899865	0.452909822132993	0.231981496914592	0.20076275792275	0.45967159527158	0.431751255846181	0.996322646023339	0.701093061581408	0.464358718154686	0.136526994604116	0.0637225844694724	0.0984919585341922	0.515606365216206	0.227227016748336	0.426273837150641	0.486176977290525	0.684960156538014	0.00895735875159744	0.114207082770797	0.88011611650071	0.996322646023339	0.701093061581408	0.701093061581408	0.030309576052479	0.439042677031746	0.413693074411411	0	0.207921812627673	0.11855304594465	0.505169172932331	0.0896185053222781	0.166363442324697	0.0861494579447583	0.166363442324697	0.996322646023339
ZB_2	0.166363442324697	0	0.481835449484993	0	0.444257005958833	0.942794360392375	0.413326182288545	0	0.215201370876368	0.886661129393458	0.503345585341189	0.250173699992686	0.399861185601161	0.022436470303744	0.105246379891614	0.612622853592408	0.46565921065085	0.407022315157502	0.886661129393458	0.100375935998689	0.109638009525512	0.0519937771227381	0.719613843581411	0.488273799071108	0.456809682943882	0.250173699992686	0.148149653917692	0.402077214188884	0.389921938641335	0.0812024845680503	0.154839830322533	0.46819423166589	0.427156629442666	0.886661129393458	0.719613843581411	0.454352146890873	0.227419000950779	0.107361744945979	0.0730667977833093	0.484368363400621	0.124350948259989	0.49295556970555	0.413326182288545	0.705465560209979	0.159839382112822	0.250173699992686	0.891488519015833	0.886661129393458	0.719613843581411	0.719613843581411	0.139266366491508	0.503345585341189	0.456809682943882	0.166363442324697	0.148895231080832	0.0512071950257624	0.557758462650031	0.0872015392217678	0	0.0907972622039048	0	0.886661129393458
ZB_4	0.492233592729479	0.481835449484993	0	0.481835449484993	0.315300718108119	0.991199743633988	0.0904847745467567	0.481835449484993	0.429099418680237	0.987153291669413	0.177855028890872	0.449031196685352	0.102114553810571	0.475123970453456	0.42285981922361	0.554324404082474	0.0644403020441692	0.320453785681164	0.987153291669413	0.491370207187853	0.464882626141354	0.482151946488775	0.318764020094152	0.18969817981885	0.28232273534435	0.449031196685352	0.481139609605706	0.306871157749428	0.306078873300191	0.431467245088111	0.466200884484475	0.186502131272625	0.30060788430909	0.987153291669413	0.318764020094152	0.0531168051562352	0.457262212725603	0.493717606408041	0.475190862857906	0.108932227740133	0.448328992046142	0.0999077565019284	0.0904847745467567	0.428210009061552	0.489820545516748	0.449031196685352	0.875902815076933	0.987153291669413	0.318764020094152	0.318764020094152	0.475728816497347	0.177855028890872	0.28232273534435	0.492233592729479	0.463829713009907	0.481900642254601	0.130235372626197	0.472002444057884	0.481835449484993	0.45355912925342	0.481835449484993	0.987153291669413
ZB_5	0.166363442324697	0	0.481835449484993	0	0.444257005958833	0.942794360392375	0.413326182288545	0	0.215201370876368	0.886661129393458	0.503345585341189	0.250173699992686	0.399861185601161	0.022436470303744	0.105246379891614	0.612622853592408	0.46565921065085	0.407022315157502	0.886661129393458	0.100375935998689	0.109638009525512	0.0519937771227381	0.719613843581411	0.488273799071108	0.456809682943882	0.250173699992686	0.148149653917692	0.402077214188884	0.389921938641335	0.0812024845680503	0.154839830322533	0.46819423166589	0.427156629442666	0.886661129393458	0.719613843581411	0.454352146890873	0.227419000950779	0.107361744945979	0.0730667977833093	0.484368363400621	0.124350948259989	0.49295556970555	0.413326182288545	0.705465560209979	0.159839382112822	0.250173699992686	0.891488519015833	0.886661129393458	0.719613843581411	0.719613843581411	0.139266366491508	0.503345585341189	0.456809682943882	0.166363442324697	0.148895231080832	0.0512071950257624	0.557758462650031	0.0872015392217678	0	0.0907972622039048	0	0.886661129393458
ZB_6	0.421475663356666	0.444257005958833	0.315300718108119	0.444257005958833	0	0.997692121084965	0.36202025212712	0.444257005958833	0.372091620650834	0.967533950677708	0.231877811758316	0.346885343751696	0.350513851894189	0.457945004265473	0.40630391974497	0.376266828507475	0.355260301574667	0.03788249574189	0.967533950677708	0.448377350117791	0.453563671734467	0.443602752993849	0.557887124204056	0.217182869085714	0.0485616064171408	0.346885343751696	0.42842304186994	0.143639488867273	0.0543350673174987	0.390338864550394	0.341458002962731	0.257330905396072	0.0177617290037176	0.967533950677708	0.557887124204056	0.361627785217885	0.330002984426719	0.443391609076137	0.457810305125623	0.305517436440012	0.357619802056407	0.327050527992949	0.36202025212712	0.538015562823979	0.42665771338651	0.346885343751696	0.866792826523414	0.967533950677708	0.557887124204056	0.557887124204056	0.431751255846181	0.231877811758316	0.0485616064171408	0.421475663356666	0.346443744004385	0.444122306818984	0.193128464159195	0.439346293754747	0.444257005958833	0.460010533939035	0.444257005958833	0.967533950677708
ZB_7	0.996105419220641	0.942794360392375	0.991199743633988	0.942794360392375	0.997692121084965	0	0.965200094658813	0.942794360392375	0.985648818137964	0.495269016697588	0.997759930761496	0.996527880527526	0.965668675268953	0.941481409780703	0.94614470949223	0.946332754675294	0.997701539707208	0.964492909675862	0.495269016697588	0.939767972192087	0.996079042930024	0.942855642493305	0.996882141401973	0.997794859265663	0.997662123748041	0.996527880527526	0.984324573536192	0.997417328843007	0.965100094289398	0.947439600459819	0.94901516145355	0.965531440444968	0.997731768769291	0.495269016697588	0.996882141401973	0.990718955947537	0.996611083298032	0.940273112472283	0.941494623655914	0.9690996240388	0.949907935923403	0.997710628666571	0.965200094658813	0.99665669373605	0.99607221763485	0.996527880527526	0.98576512455516	0.495269016697588	0.996882141401973	0.996882141401973	0.996217006276331	0.997759930761496	0.997662123748041	0.996105419220641	0.948647526284992	0.942806988037926	0.998016420879424	0.996170083126605	0.942794360392375	0.984219250745939	0.942794360392375	0.495269016697588
ZB_8	0.486176977290525	0.413326182288545	0.0904847745467567	0.413326182288545	0.36202025212712	0.965200094658813	0	0.413326182288545	0.501217037332397	0.94544594125627	0.255636375977104	0.519294112130909	0.0134649966873837	0.405318801926435	0.457789814909132	0.494459404992085	0.0530473102186746	0.330720039684679	0.94544594125627	0.447164502300753	0.458366112145109	0.438215500757406	0.310468113411491	0.241558162422652	0.353628469191831	0.519294112130909	0.474950665622553	0.299064812459703	0.316345127303706	0.442875889053334	0.477222209358865	0.222802294143599	0.347645339746147	0.94544594125627	0.310468113411491	0.0415859188620476	0.504706309854532	0.449810493343774	0.430382535675842	0.119701580334619	0.459399274384855	0.0891714956930305	0	0.421511502704166	0.483705881242092	0.519294112130909	0.931820802758001	0.94544594125627	0.310468113411491	0.310468113411491	0.469475332811276	0.255636375977104	0.353628469191831	0.486176977290525	0.474899995348621	0.43793285505761	0.206935110839588	0.46565921065085	0.413326182288545	0.446904720788482	0.413326182288545	0.94544594125627
ZB_9	0.166363442324697	0	0.481835449484993	0	0.444257005958833	0.942794360392375	0.413326182288545	0	0.215201370876368	0.886661129393458	0.503345585341189	0.250173699992686	0.399861185601161	0.022436470303744	0.105246379891614	0.612622853592408	0.46565921065085	0.407022315157502	0.886661129393458	0.100375935998689	0.109638009525512	0.0519937771227381	0.719613843581411	0.488273799071108	0.456809682943882	0.250173699992686	0.148149653917692	0.402077214188884	0.389921938641335	0.0812024845680503	0.154839830322533	0.46819423166589	0.427156629442666	0.886661129393458	0.719613843581411	0.454352146890873	0.227419000950779	0.107361744945979	0.0730667977833093	0.484368363400621	0.124350948259989	0.49295556970555	0.413326182288545	0.705465560209979	0.159839382112822	0.250173699992686	0.891488519015833	0.886661129393458	0.719613843581411	0.719613843581411	0.139266366491508	0.503345585341189	0.456809682943882	0.166363442324697	0.148895231080832	0.0512071950257624	0.557758462650031	0.0872015392217678	0	0.0907972622039048	0	0.886661129393458
ZB_10	0.106795404802547	0.215201370876368	0.429099418680237	0.215201370876368	0.372091620650834	0.985648818137964	0.501217037332397	0.215201370876368	0	0.979409759236317	0.390936096359228	0.0446870985501927	0.507472159374725	0.199199304407648	0.115882420616659	0.693128260956149	0.492233592729479	0.376841102344734	0.979409759236317	0.13248713619553	0.164410077732612	0.215950231535619	0.72028099683375	0.400633275762809	0.36374747906863	0.0446870985501927	0.0880292383575415	0.433084962260499	0.387497354124039	0.136488346614478	0.105202496298656	0.395067594105946	0.383112778984792	0.979409759236317	0.72028099683375	0.481139609605706	0.0683298366328266	0.124809052902396	0.155123813252422	0.463936243622665	0.133995831200176	0.463103428740487	0.501217037332397	0.706201652892562	0.114796158800306	0.0446870985501927	0.794336639054989	0.979409759236317	0.72028099683375	0.72028099683375	0.131055350102387	0.390936096359228	0.36374747906863	0.106795404802547	0.11236155100358	0.172409495321368	0.461994717501148	0.182189827601679	0.215201370876368	0.146153611051683	0.215201370876368	0.979409759236317
ZB_11	0.996322646023339	0.886661129393458	0.987153291669413	0.886661129393458	0.967533950677708	0.495269016697588	0.94544594125627	0.886661129393458	0.979409759236317	0	0.997833539516362	0.996701587361082	0.931980944568887	0.909097599697202	0.91990842260841	0.893671585260001	0.997778969618576	0.929651454935818	0	0.93516012510926	0.99629913891897	0.915141652337673	0.997022928524912	0.982514448198822	0.997742185846328	0.996701587361082	0.977601571233063	0.997514685946679	0.93085444154378	0.895864527284846	0.898986112933151	0.96210540568819	0.968089132345112	0	0.997022928524912	0.986471905858599	0.973378436627373	0.935677646493455	0.936930846214519	0.955681487939553	0.900754925428098	0.997787457650557	0.94544594125627	0.996818050332658	0.996293058963531	0.996701587361082	0.988292812718263	0	0.997022928524912	0.997022928524912	0.99642229156291	0.997833539516362	0.997742185846328	0.996322646023339	0.898257734488552	0.915071243456972	0.998074356112825	0.973862668615226	0.886661129393458	0.977458391597363	0.886661129393458	0
