ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.453876327919342	0.485333215563309	0.52346034117025	0.514324264463258	0.550797559798006	0.503668819326739	0.499130828964484	0.410750978690238	0.396324724215541	0.42415861848947	0.492085557174315	0.559020932953968	0.552083613259881	0.541365030256345	0.421662034396126	0.466702874478414	0.48398119817494	0.513259860520076	0.476392934997471	0.387620026382796	0.525699796004903	0.367916260474826	0.496742263555773	0.482804117984063	0.526600926810196	0.483482379479638	0.440137448204261	0.442633365441952	0.541430002356823	0.42958956236868	0.520646052053826	0.503493966479889	0.524669009307375	0.615368215677027	0.467234722706858	0.50991225081835	0.520593824228028	0.318740902969543	0.40651864455116	0.478019549093767	0.352186073828734	0.476171575542864	0.405616449546619	0.515170688162218	0.522344890244766	0.404482058921737	0.506841393952035	0.438015214808656	0.520815680328234	0.471103355569448	0.522776763474795	0.389928358148114	0.458889247610538	0.515765097179264	0.380594084675717	0.536402938314782	0.424894368017597	0.505344746816575	0.408595888986487	0.531032892922846	0.490543660656834	0.391964641524472	0.505947250474056
ZB_2	0.453876327919342	0	0.481379062668343	0.388145844133402	0.241077859838844	0.562997510354914	0.472950965472261	0.335510938087461	0.365400353322655	0.41546788651325	0.2685453886386	0.524259286492504	0.548733182755573	0.264145692260046	0.320315805544045	0.382795257861579	0.259626934478439	0.357477231387278	0.515656043357178	0.295977459518453	0.508194226953142	0.420628459618991	0.405310820386084	0.477429482657552	0.570886089291011	0.536905042066247	0.542050403426008	0.435518794746928	0.389237221897143	0.522738302232649	0.362259594245919	0.521566011596285	0.455196291669573	0.560545130528697	0.349603248467801	0.435421223515097	0.344589198786839	0.556430374190717	0.441033991085043	0.364651978769636	0.494776233779503	0.376620074609964	0.471826750779351	0.475832888067353	0.264631478607306	0.496805105697913	0.556614215007586	0.544364621614912	0.389064984594852	0.226686226866302	0.446710145260882	0.495567063309939	0.49476816455804	0.555808898292112	0.534494522573064	0.475893297727207	0.501075289161337	0.43179958390394	0.567173186140467	0.371308907104316	0.227363058819503	0.355598224227558	0.417888810366141	0.215473344648935
ZB_3	0.485333215563309	0.481379062668343	0	0.25201805440076	0.546303389742972	0.574502073776618	0.0666652257431788	0.268634874812635	0.347233857148311	0.395617367573723	0.415596806184204	0.544040012961009	0.504698275644509	0.33394009847712	0.410301910262898	0.4509060905882	0.484791201237326	0.288498360158486	0.531399237163638	0.520084279350932	0.500825980375168	0.309872102506565	0.415869722961282	0.0810468552131701	0.49241038987376	0.539090373703349	0.52005497363005	0.429555988990941	0.311171990814755	0.531835991246577	0.385542581632886	0.507115980279241	0.466042988638359	0.542347554725405	0.50581505722396	0.205370323302808	0.276361250298258	0.549342164233226	0.431403589235253	0.365443214800124	0.411173412830806	0.454543255380258	0.0527405977587574	0.486115953163964	0.347864038323652	0.118425035508883	0.470061642721086	0.492896383796511	0.21393179609685	0.552080987486456	0.105278862172713	0.12479502433174	0.439332361914958	0.506362007008976	0.560085713070788	0.390371399067051	0.509847472973852	0.483310237254379	0.491623932732141	0.388888219517426	0.538968692529898	0.29307413823893	0.463580041692125	0.399058565062637
ZB_4	0.52346034117025	0.388145844133402	0.25201805440076	0	0.460040064451509	0.508995387627798	0.268618056456546	0.227085609404361	0.326114071890237	0.41094582032219	0.394609668372602	0.517533203360993	0.436014021065581	0.227540713345867	0.197127766697004	0.426024847234025	0.432836226702375	0.173868287838787	0.476997090600564	0.495702996311044	0.44824449202104	0.0935011827373814	0.432421912795658	0.295689599646666	0.472225391990024	0.485411803674157	0.476502713732928	0.330583754892105	0.201706213518461	0.472279752409658	0.390202312264772	0.446334344218124	0.421756366212266	0.498156775553725	0.526637901886439	0.380269577148228	0.152826394213222	0.487246894799805	0.44617775637312	0.371318472112821	0.348681629200338	0.450390956313322	0.253760485445585	0.422643603450639	0.248034332944792	0.290708411029736	0.419653769979111	0.486980970686857	0.250176758929292	0.4469886338893	0.304608768592796	0.30789942231765	0.369064106336005	0.454711273166015	0.503238341968912	0.287627475626733	0.430636137148788	0.458699141750316	0.498320244294058	0.363512086145333	0.451205775150653	0.197028196203869	0.451917689989855	0.311320037945474
ZB_5	0.514324264463258	0.241077859838844	0.546303389742972	0.460040064451509	0	0.671371313895527	0.545447616466663	0.438449064449065	0.43164044744515	0.372622722942123	0.242092389012287	0.562639580136167	0.649454089851441	0.329213541187066	0.334600066661639	0.237196000584098	0.399262351708922	0.429945316107304	0.626348053536932	0.0912416141320837	0.492500170119278	0.495118954979846	0.269961664695995	0.541761742845451	0.634311940824902	0.665586345682166	0.637220153948815	0.421176026160148	0.454652189387951	0.630071922730603	0.302586314814351	0.608926412642711	0.499929961233965	0.670459785375436	0.237089555150522	0.509051891879871	0.426989881401776	0.636284925574416	0.388890804033826	0.332022444473575	0.522944932850403	0.263457907575168	0.53088248685698	0.518628638299609	0.357858987132924	0.567255047512027	0.537097226180867	0.614404073956709	0.442850770497156	0.0181927447552448	0.504986192432452	0.554209803687469	0.406282451340617	0.587041930445938	0.647504382920143	0.44380362718013	0.574807573181501	0.306976266837716	0.654864366746591	0.330246961893879	0.0228547227323033	0.469361172715963	0.287670803396473	0.179291884966193
ZB_6	0.550797559798006	0.562997510354914	0.574502073776618	0.508995387627798	0.671371313895527	0	0.556846143243013	0.511620345259427	0.517342209364114	0.621840389224599	0.563884558483778	0.300825715172052	0.201657063653372	0.534353090243559	0.586978770078031	0.650317848340317	0.424166659868884	0.532393047692686	0.106159581225488	0.661024571564115	0.57080967402734	0.525070709186957	0.617061244222587	0.563402797266501	0.255076621008273	0.115878440646409	0.246901792132388	0.574037164007665	0.557314774149794	0.0842989936329431	0.595363865404589	0.152369182678546	0.356765983860956	0.0652198907279397	0.67625248817494	0.598704990753037	0.534592980697139	0.176752807592025	0.647048091331357	0.628957085799417	0.351784452170685	0.608445808972168	0.595126991338502	0.523572931134664	0.497231885737217	0.536814219364584	0.622820642726476	0.239562753182979	0.603175672672901	0.674120250974088	0.618944254874551	0.585120288524172	0.625797833751415	0.340940473801344	0.107929611325884	0.591622429061131	0.226441871892616	0.608293329183857	0.184718456859922	0.635763343999022	0.681775578616724	0.511477800103131	0.635922691588357	0.582723222391374
ZB_7	0.503668819326739	0.472950965472261	0.0666652257431788	0.268618056456546	0.545447616466663	0.556846143243013	0	0.267311120552589	0.326814329272388	0.389805852267639	0.403876679739724	0.542223441100012	0.495147367576459	0.353540084131208	0.428169496819874	0.446686741482673	0.477566293488883	0.307253083927587	0.517496163679043	0.515384742363341	0.491262140358653	0.339242116493301	0.412136092599088	0.104111311631529	0.492145155261261	0.530035882925953	0.511002072412532	0.43875667436164	0.329828977043756	0.515932019889377	0.392907582360275	0.489082030698355	0.451078610054577	0.52601382366107	0.510662512814722	0.210125778717123	0.260080989321548	0.539809350444072	0.43444112997191	0.369499932554436	0.407638575855129	0.450487585286748	0.0947831258877431	0.483072580468699	0.333110101053946	0.1084468455551	0.484246072871665	0.483452491831631	0.248765231657922	0.551143799731559	0.141458968023604	0.143999731242538	0.454385538678615	0.497721934766101	0.542631773975058	0.406562400343857	0.490974687110816	0.478858056888518	0.481783594680349	0.376524819647555	0.538219649797497	0.306304734498737	0.452718862840984	0.395832098305401
ZB_8	0.499130828964484	0.335510938087461	0.268634874812635	0.227085609404361	0.438449064449065	0.511620345259427	0.267311120552589	0	0.238656366868452	0.36820720269206	0.312992864448209	0.469467600632936	0.43912194063938	0.215495782122259	0.354425652132183	0.357671404036257	0.387081910066213	0.189650986274078	0.44340730676106	0.40507065990633	0.504608271150055	0.245069711522494	0.381904336279212	0.265198072331771	0.439526858138072	0.469810232294036	0.440143435542455	0.388308110666925	0.283795517989558	0.447677041369444	0.318403274980542	0.427323164186144	0.385203820278439	0.496648378053083	0.498310197924947	0.341181207076364	0.15443468928958	0.473079465067815	0.43548422552054	0.316228996880974	0.313359568125955	0.380073677857098	0.251071373093687	0.455145726921131	0.212014533444792	0.287324274164302	0.4909139649899	0.441386978083507	0.254532457668766	0.425987525987526	0.299202519769468	0.315301074828848	0.446643649572229	0.449460656026686	0.48323784378829	0.374434059735682	0.403426668116272	0.387267960501041	0.428350084733188	0.307243139467171	0.429683260593699	0.233333551017565	0.393274779577262	0.291532224532225
ZB_9	0.410750978690238	0.365400353322655	0.347233857148311	0.326114071890237	0.43164044744515	0.517342209364114	0.326814329272388	0.238656366868452	0	0.281639374669451	0.274066630331108	0.477389268790014	0.459930237810438	0.364779337167766	0.411075987167673	0.278683809430159	0.417945982291413	0.278905695432561	0.500271062119143	0.396243675509753	0.455407125692385	0.371440439478228	0.279309937032237	0.33828865396777	0.436360036082814	0.506730946953361	0.389581565843688	0.297655989147363	0.288576975536008	0.493741365778217	0.275923746544123	0.481605025782151	0.412298279184285	0.505960657999997	0.520203044818065	0.372234583492025	0.31529992025358	0.47903753990316	0.384782424704076	0.252813624618507	0.341524029858839	0.315032985585437	0.336047283590897	0.393003767687073	0.372873250136289	0.321667359446719	0.427305404936756	0.388551963480441	0.278173707418759	0.439095052724404	0.343032693200212	0.381097788202284	0.386273660696327	0.448642092289279	0.504485201429648	0.354617836240366	0.477789017459887	0.312552568875477	0.461345517154281	0.241521381083415	0.422168471547208	0.290000868579472	0.299173082406615	0.352284760638073
ZB_10	0.396324724215541	0.41546788651325	0.395617367573723	0.41094582032219	0.372622722942123	0.621840389224599	0.389805852267639	0.36820720269206	0.281639374669451	0	0.370699719539633	0.490144815721492	0.564821741281354	0.446688191147717	0.386535657161499	0.26810349417544	0.459131665966683	0.409108021906988	0.591366492542963	0.341241455847857	0.32132720031413	0.43971709219078	0.269034878296424	0.417031081808396	0.532458452762028	0.60412412651768	0.512949324932657	0.201714566868942	0.404489171723151	0.584929098966027	0.244846973984775	0.569701751016307	0.478407595247705	0.611688008389136	0.446537393303694	0.410860138660918	0.38117399934478	0.581151540546203	0.189664870076891	0.228871190940156	0.485224256226519	0.281135142683251	0.381910488385447	0.278909450718392	0.457246513439652	0.387429902757198	0.404546427246058	0.495502573251661	0.344204564401308	0.382261272529681	0.380186798676503	0.438456249539049	0.251303267790917	0.517336846813997	0.600916316035531	0.354374328186037	0.535445774971995	0.277441822795745	0.561506169490639	0.225214518041333	0.360312130903879	0.388029839587531	0.277686866984522	0.417473277234478
