ZB_1	ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_24	ZB_25	ZB_26	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_57	ZB_59	ZB_62
ZB_1	0	0.743533053283219	1	0.286788162092164	0.743533053283219	0.743533053283219	0.359594349231655	0	1	1	0.528834875537599	0.743533053283219	0.286788162092164	1	1	0.743533053283219	0.286788162092164	0.286788162092164	1	0.286788162092164	0.743533053283219	0.743533053283219	0.286788162092164	0.743533053283219	1	0.743533053283219	0.286788162092164	0.743533053283219	0.743533053283219	0.743533053283219	0.359594349231655	0.743533053283219	0.743533053283219	0.743533053283219	1	0.286788162092164	0.286788162092164	0.286788162092164	0.286788162092164	1
ZB_3	0.743533053283219	0	0.472093023255814	0.456744891191055	0	0	1	0.743533053283219	0.645174418604651	0.645174418604651	0.743817314677363	0	0.456744891191055	0.645174418604651	0.645174418604651	0	0.456744891191055	0.456744891191055	0.472093023255814	0.456744891191055	0	0	0.456744891191055	0	0.472093023255814	0	0.456744891191055	0	0	0	1	0	0	0	0.645174418604651	0.456744891191055	0.456744891191055	0.456744891191055	0.456744891191055	0.645174418604651
ZB_4	1	0.472093023255814	0	0.713211837907836	0.472093023255814	0.472093023255814	1	1	0.327863436123348	0.327863436123348	0.655452189796525	0.472093023255814	0.713211837907836	0.327863436123348	0.327863436123348	0.472093023255814	0.713211837907836	0.713211837907836	0	0.713211837907836	0.472093023255814	0.472093023255814	0.713211837907836	0.472093023255814	0	0.472093023255814	0.713211837907836	0.472093023255814	0.472093023255814	0.472093023255814	1	0.472093023255814	0.472093023255814	0.472093023255814	0.327863436123348	0.713211837907836	0.713211837907836	0.713211837907836	0.713211837907836	0.327863436123348
ZB_6	0.286788162092164	0.456744891191055	0.713211837907836	0	0.456744891191055	0.456744891191055	0.543255108808945	0.286788162092164	0.807239190170873	0.807239190170873	0.287072423486308	0.456744891191055	0	0.807239190170873	0.807239190170873	0.456744891191055	0	0	0.713211837907836	0	0.456744891191055	0.456744891191055	0	0.456744891191055	0.713211837907836	0.456744891191055	0	0.456744891191055	0.456744891191055	0.456744891191055	0.543255108808945	0.456744891191055	0.456744891191055	0.456744891191055	0.807239190170873	0	0	0	0	0.807239190170873
ZB_7	0.743533053283219	0	0.472093023255814	0.456744891191055	0	0	1	0.743533053283219	0.645174418604651	0.645174418604651	0.743817314677363	0	0.456744891191055	0.645174418604651	0.645174418604651	0	0.456744891191055	0.456744891191055	0.472093023255814	0.456744891191055	0	0	0.456744891191055	0	0.472093023255814	0	0.456744891191055	0	0	0	1	0	0	0	0.645174418604651	0.456744891191055	0.456744891191055	0.456744891191055	0.456744891191055	0.645174418604651
ZB_8	0.743533053283219	0	0.472093023255814	0.456744891191055	0	0	1	0.743533053283219	0.645174418604651	0.645174418604651	0.743817314677363	0	0.456744891191055	0.645174418604651	0.645174418604651	0	0.456744891191055	0.456744891191055	0.472093023255814	0.456744891191055	0	0	0.456744891191055	0	0.472093023255814	0	0.456744891191055	0	0	0	1	0	0	0	0.645174418604651	0.456744891191055	0.456744891191055	0.456744891191055	0.456744891191055	0.645174418604651
ZB_12	0.359594349231655	1	1	0.543255108808945	1	1	0	0.359594349231655	1	1	0.359339004075846	1	0.543255108808945	1	1	1	0.543255108808945	0.543255108808945	1	0.543255108808945	1	1	0.543255108808945	1	1	1	0.543255108808945	1	1	1	0	1	1	1	1	0.543255108808945	0.543255108808945	0.543255108808945	0.543255108808945	1
ZB_13	0	0.743533053283219	1	0.286788162092164	0.743533053283219	0.743533053283219	0.359594349231655	0	1	1	0.528834875537599	0.743533053283219	0.286788162092164	1	1	0.743533053283219	0.286788162092164	0.286788162092164	1	0.286788162092164	0.743533053283219	0.743533053283219	0.286788162092164	0.743533053283219	1	0.743533053283219	0.286788162092164	0.743533053283219	0.743533053283219	0.743533053283219	0.359594349231655	0.743533053283219	0.743533053283219	0.743533053283219	1	0.286788162092164	0.286788162092164	0.286788162092164	0.286788162092164	1
ZB_14	1	0.645174418604651	0.327863436123348	0.807239190170873	0.645174418604651	0.645174418604651	1	1	0	0	0.781912408138992	0.645174418604651	0.807239190170873	0	0	0.645174418604651	0.807239190170873	0.807239190170873	0.327863436123348	0.807239190170873	0.645174418604651	0.645174418604651	0.807239190170873	0.645174418604651	0.327863436123348	0.645174418604651	0.807239190170873	0.645174418604651	0.645174418604651	0.645174418604651	1	0.645174418604651	0.645174418604651	0.645174418604651	0	0.807239190170873	0.807239190170873	0.807239190170873	0.807239190170873	0
ZB_15	1	0.645174418604651	0.327863436123348	0.807239190170873	0.645174418604651	0.645174418604651	1	1	0	0	0.781912408138992	0.645174418604651	0.807239190170873	0	0	0.645174418604651	0.807239190170873	0.807239190170873	0.327863436123348	0.807239190170873	0.645174418604651	0.645174418604651	0.807239190170873	0.645174418604651	0.327863436123348	0.645174418604651	0.807239190170873	0.645174418604651	0.645174418604651	0.645174418604651	1	0.645174418604651	0.645174418604651	0.645174418604651	0	0.807239190170873	0.807239190170873	0.807239190170873	0.807239190170873	0
ZB_17	0.528834875537599	0.743817314677363	0.655452189796525	0.287072423486308	0.743817314677363	0.743817314677363	0.359339004075846	0.528834875537599	0.781912408138992	0.781912408138992	0	0.743817314677363	0.287072423486308	0.781912408138992	0.781912408138992	0.743817314677363	0.287072423486308	0.287072423486308	0.655452189796525	0.287072423486308	0.743817314677363	0.743817314677363	0.287072423486308	0.743817314677363	0.655452189796525	0.743817314677363	0.287072423486308	0.743817314677363	0.743817314677363	0.743817314677363	0.359339004075846	0.743817314677363	0.743817314677363	0.743817314677363	0.781912408138992	0.287072423486308	0.287072423486308	0.287072423486308	0.287072423486308	0.781912408138992
