ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_24	ZB_25	ZB_26	ZB_28	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_57	ZB_59	ZB_62
ZB_3	0	0	0.69366359856427	0	0	1	1	0	0	0.501972157772622	0	0.69366359856427	0	0.498027842227378	0.846227655567007	0.501972157772622	0	0.69366359856427	0.69366359856427	0.498027842227378	0.69366359856427	0	0	0.69366359856427	0	0	0	0	0.498027842227378	0	0	0	0	0.69366359856427	0	0.69366359856427	0.498027842227378
ZB_4	0	0	0.69366359856427	0	0	1	1	0	0	0.501972157772622	0	0.69366359856427	0	0.498027842227378	0.846227655567007	0.501972157772622	0	0.69366359856427	0.69366359856427	0.498027842227378	0.69366359856427	0	0	0.69366359856427	0	0	0	0	0.498027842227378	0	0	0	0	0.69366359856427	0	0.69366359856427	0.498027842227378
ZB_6	0.69366359856427	0.69366359856427	0	0.69366359856427	0.69366359856427	0.30633640143573	0.30633640143573	0.69366359856427	0.69366359856427	0.847435942997264	0.69366359856427	0	0.69366359856427	0.846227655567007	0.152564057002736	0.847435942997264	0.69366359856427	0	0	0.846227655567007	0	0.69366359856427	0.69366359856427	0	0.69366359856427	0.69366359856427	0.69366359856427	0.69366359856427	0.846227655567007	0.69366359856427	0.69366359856427	0.69366359856427	0.69366359856427	0	0.69366359856427	0	0.846227655567007
ZB_7	0	0	0.69366359856427	0	0	1	1	0	0	0.501972157772622	0	0.69366359856427	0	0.498027842227378	0.846227655567007	0.501972157772622	0	0.69366359856427	0.69366359856427	0.498027842227378	0.69366359856427	0	0	0.69366359856427	0	0	0	0	0.498027842227378	0	0	0	0	0.69366359856427	0	0.69366359856427	0.498027842227378
ZB_8	0	0	0.69366359856427	0	0	1	1	0	0	0.501972157772622	0	0.69366359856427	0	0.498027842227378	0.846227655567007	0.501972157772622	0	0.69366359856427	0.69366359856427	0.498027842227378	0.69366359856427	0	0	0.69366359856427	0	0	0	0	0.498027842227378	0	0	0	0	0.69366359856427	0	0.69366359856427	0.498027842227378
ZB_12	1	1	0.30633640143573	1	1	0	0	1	1	1	1	0.30633640143573	1	1	0.181456009393609	1	1	0.30633640143573	0.30633640143573	1	0.30633640143573	1	1	0.30633640143573	1	1	1	1	1	1	1	1	1	0.30633640143573	1	0.30633640143573	1
ZB_13	1	1	0.30633640143573	1	1	0	0	1	1	1	1	0.30633640143573	1	1	0.181456009393609	1	1	0.30633640143573	0.30633640143573	1	0.30633640143573	1	1	0.30633640143573	1	1	1	1	1	1	1	1	1	0.30633640143573	1	0.30633640143573	1
ZB_14	0	0	0.69366359856427	0	0	1	1	0	0	0.501972157772622	0	0.69366359856427	0	0.498027842227378	0.846227655567007	0.501972157772622	0	0.69366359856427	0.69366359856427	0.498027842227378	0.69366359856427	0	0	0.69366359856427	0	0	0	0	0.498027842227378	0	0	0	0	0.69366359856427	0	0.69366359856427	0.498027842227378
ZB_15	0	0	0.69366359856427	0	0	1	1	0	0	0.501972157772622	0	0.69366359856427	0	0.498027842227378	0.846227655567007	0.501972157772622	0	0.69366359856427	0.69366359856427	0.498027842227378	0.69366359856427	0	0	0.69366359856427	0	0	0	0	0.498027842227378	0	0	0	0	0.69366359856427	0	0.69366359856427	0.498027842227378
ZB_17	0.501972157772622	0.501972157772622	0.847435942997264	0.501972157772622	0.501972157772622	1	1	0.501972157772622	0.501972157772622	0	0.501972157772622	0.847435942997264	0.501972157772622	1	1	0	0.501972157772622	0.847435942997264	0.847435942997264	1	0.847435942997264	0.501972157772622	0.501972157772622	0.847435942997264	0.501972157772622	0.501972157772622	0.501972157772622	0.501972157772622	1	0.501972157772622	0.501972157772622	0.501972157772622	0.501972157772622	0.847435942997264	0.501972157772622	0.847435942997264	1
ZB_18	0	0	0.69366359856427	0	0	1	1	0	0	0.501972157772622	0	0.69366359856427	0	0.498027842227378	0.846227655567007	0.501972157772622	0	0.69366359856427	0.69366359856427	0.498027842227378	0.69366359856427	0	0	0.69366359856427	0	0	0	0	0.498027842227378	0	0	0	0	0.69366359856427	0	0.69366359856427	0.498027842227378
ZB_19	0.69366359856427	0.69366359856427	0	0.69366359856427	0.69366359856427	0.30633640143573	0.30633640143573	0.69366359856427	0.69366359856427	0.847435942997264	0.69366359856427	0	0.69366359856427	0.846227655567007	0.152564057002736	0.847435942997264	0.69366359856427	0	0	0.846227655567007	0	0.69366359856427	0.69366359856427	0	0.69366359856427	0.69366359856427	0.69366359856427	0.69366359856427	0.846227655567007	0.69366359856427	0.69366359856427	0.69366359856427	0.69366359856427	0	0.69366359856427	0	0.846227655567007
