ZB_1	ZB_3	ZB_4	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_39	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_61	ZB_62	ZB_64
ZB_1	0	0.729892868564119	0.593408040610109	0.487034217126478	0.724077382471543	0.87435061230128	0.734582974720282	0.413081422337759	0.98306955211025	0.547389598487886	0.520269244779019	0.850753329336113	0.472376149264263	0.630019072222166	0.735075173544494	0.594124782637275	0.557833689971702	0.772821911617547	0.463920460536027	0.920439237836884	0.922227469214283	0.74832975617932	0.577086242786751	0.538078231292517	0.463920460536027	0.463920460536027	0.786250673874914	0.558008835536004	0.480896059897872	0.563282429420887	0.534205804970159	0.744272190972699	0.877864244306539	0.568055232968544	0.463920460536027	0.572686804131999	0.732623706546901	0.463920460536027	0.61699560166911	0.724077382471543	0.503962524716738	0.716864219904776	0.729892868564119	0.736465173874678	0.463920460536027	0.576887487065191	0.599736216376876	0.365527870536861	0.558422451801535	0.809695402615026	0.540452541305296	0.463920460536027	0.525023479469552	0.942186003717821
ZB_3	0.729892868564119	0	0.503627678285897	0.44006188603277	0.086412014921286	0.418983544415017	0.801698276619513	0.823657858970259	0.883913441865719	0.716526021715964	0.754428155871087	0.336160994103293	0.942162016309562	0.743218817858891	0.585714450108747	0.502153621682123	0.297464693800409	0.640882903011209	0.949757155420531	0.865951624847808	0.885333690340719	0.135584403962212	0.328584705788296	0.497702574235279	0.949757155420531	0.949757155420531	0.592024501374437	0.257470128804966	0.342705557439798	0.321525553459211	0.393554159598859	0.0659647929843896	0.388921663382244	0.274347729063344	0.949757155420531	0.365938954701219	0.119947711192267	0.949757155420531	0.489881483431569	0.086412014921286	0.775222487831572	0.0577953783780391	0	0.030371997638883	0.949757155420531	0.341624838561649	0.333137504041825	0.824284122292747	0.296162201303403	0.780523164593506	0.227976161635738	0.949757155420531	0.69681403901503	0.888124615597033
ZB_4	0.593408040610109	0.503627678285897	0	0.475069713943272	0.492940636006329	0.390480076911904	0.955863217929542	0.457060687371546	0.937805098535527	0.467966762970097	0.474783381470784	0.358567563553713	0.626305948846769	0.844703810295647	0.772801126516464	0.0708200103145951	0.346731747341529	0.740649747618166	0.637153174240694	0.847575074217858	0.870154838442933	0.537508904087267	0.199995432721128	0.462854796020809	0.637153174240694	0.637153174240694	0.690971047879163	0.346990512051	0.321964125140989	0.242342483603588	0.408571344760489	0.530052369891334	0.410026042538378	0.361833326502079	0.637153174240694	0.259502734694956	0.508646103317967	0.637153174240694	0.0683969790447825	0.492940636006329	0.502282032564192	0.479685102058988	0.503627678285897	0.515705517285088	0.637153174240694	0.267155132288414	0.321972226254415	0.608627968666326	0.347601599709482	0.882634470700096	0.321052376568632	0.637153174240694	0.275904886960493	0.872787736926239
ZB_6	0.487034217126478	0.44006188603277	0.475069713943272	0	0.494728548722783	0.701426577763994	0.841124372984593	0.566257710682645	0.894547506926787	0.453650260226293	0.429056018608257	0.662027814624632	0.701464032017149	0.766741160507622	0.533970798996775	0.435831909466855	0.224288297150456	0.791698697305271	0.7101296420875	0.900336440659021	0.955086114665716	0.408750381411701	0.341462837678005	0.124013347523391	0.7101296420875	0.7101296420875	0.737278877263751	0.182591757227804	0.291312396820398	0.334473403247351	0.137693951500511	0.42427099130609	0.678215614824004	0.201171332413391	0.7101296420875	0.314663918173793	0.466210338875758	0.7101296420875	0.462436529059781	0.494728548722783	0.453753007308758	0.482976680895483	0.44006188603277	0.452789201153116	0.7101296420875	0.305531033781504	0.234081003508026	0.588536949951446	0.22298580465345	0.800628256730101	0.220795198240349	0.7101296420875	0.500906910386425	0.898372917688107
ZB_7	0.724077382471543	0.086412014921286	0.492940636006329	0.494728548722783	0	0.403184631253223	0.79630608561114	0.819861160737073	0.943479239817683	0.766328984562881	0.803344318549389	0.264575812274368	0.940916747486091	0.736236462093863	0.648787117775702	0.491434842529733	0.316674181046457	0.631117844249613	0.948675412179062	0.862306601340897	0.84635121196493	0.159176459401865	0.389817618065611	0.551059072133492	0.948675412179062	0.948675412179062	0.580930892212481	0.316287076633011	0.32899214530202	0.342089226254028	0.449277936414684	0.0906905991523586	0.372305312016503	0.293557216309392	0.948675412179062	0.312878476100888	0.0388023447472457	0.948675412179062	0.440426726558113	0	0.823652123365695	0.0321750902527076	0.086412014921286	0.056040017282403	0.948675412179062	0.361579328321845	0.352346991287874	0.820618087569001	0.315371688549451	0.774555183084064	0.289770603791258	0.948675412179062	0.690286355979787	0.885082516761217
ZB_8	0.87435061230128	0.418983544415017	0.390480076911904	0.701426577763994	0.403184631253223	0	0.968054782225694	0.791659203748415	0.908750626307878	0.722045277922872	0.772342756678939	0.188474653529572	0.9615701502375	0.814154496677682	0.750601879958968	0.391721196057318	0.568406968667105	0.725917294639971	0.972460040550513	0.769286439542872	0.806875134520186	0.4679394709165	0.471463070695768	0.732565115852419	0.972460040550513	0.972460040550513	0.600149237821128	0.568577926072287	0.530922306005155	0.499440386268647	0.606976044903278	0.457310174628204	0.0491948073288966	0.57838408955319	0.972460040550513	0.510777604565751	0.42634246694179	0.972460040550513	0.430970691358503	0.403184631253223	0.799937574051189	0.383343657787636	0.418983544415017	0.436630174832196	0.972460040550513	0.515833294109649	0.552049160497411	0.869504858861638	0.568981651760565	0.866956259105284	0.551441445806483	0.972460040550513	0.609790871119581	0.807448853939381
ZB_9	0.734582974720282	0.801698276619513	0.955863217929542	0.841124372984593	0.79630608561114	0.968054782225694	0	0.927712883020146	0.960856307175306	0.945165847062645	0.941687753544604	0.947557019730236	0.905362241372567	0.629910250354275	0.760587481890524	0.955942243613477	0.879218868835362	0.717077609741301	0.903448917973478	1	1	0.818407002339094	0.895351260091148	0.847173521607278	0.903448917973478	0.903448917973478	0.745676223122468	0.852755046880534	0.827065693910055	0.900552906950177	0.865038889847841	0.814779208750755	0.969277739148504	0.856101904098297	0.903448917973478	0.90267087381053	0.804209887100172	0.903448917973478	0.958461608890211	0.79630608561114	0.939585361996787	0.78953433380626	0.801698276619513	0.807721096093812	0.903448917973478	0.903617244280857	0.878558821452945	0.826260150145549	0.852892839018758	0.583086779762031	0.846906342361549	0.903448917973478	0.942299131983085	0.960303769774487
ZB_10	0.413081422337759	0.823657858970259	0.457060687371546	0.566257710682645	0.819861160737073	0.791659203748415	0.927712883020146	0	0.979642036443668	0.350099016998665	0.300614266014793	0.772123536666473	0.344789371270989	0.798377240281415	0.757373514976377	0.45820129181117	0.645314983939619	0.865312098332468	0.33169911015891	0.903641027949053	0.906251710435573	0.835694565364148	0.565646070141985	0.53335132515932	0.33169911015891	0.33169911015891	0.873682781964491	0.645455477473111	0.583599235951858	0.58863794883995	0.589607629486585	0.833045543355363	0.798571715534498	0.653514224948652	0.33169911015891	0.59795492377203	0.825440713847615	0.33169911015891	0.494196096159983	0.819861160737073	0.270124485503527	0.815151975445084	0.823657858970259	0.827948654195857	0.33169911015891	0.602109711261381	0.631872066579571	0.405850585058506	0.645787260986363	0.917885505481121	0.631372644023451	0.33169911015891	0.250182327084935	0.92982256208048
ZB_11	0.98306955211025	0.883913441865719	0.937805098535527	0.894547506926787	0.943479239817683	0.908750626307878	0.960856307175306	0.979642036443668	0	0.845048054543961	0.833013662250288	0.924664200895464	0.949492254095323	0.967196870925684	0.807040076379259	0.937927715996578	0.913768105807378	0.974441630209533	0.972025794974427	1	1	0.893694791349376	0.894398803372935	0.896832100731054	0.972025794974427	0.972025794974427	0.957463543747503	0.913802262941078	0.951604835348062	0.899988645518494	0.90916824500016	0.891571067641317	0.912851740994774	0.915761525464639	0.972025794974427	0.953195863820524	0.945553985849195	0.972025794974427	0.9418136256852	0.943479239817683	0.825581753737094	0.941708820243758	0.883913441865719	0.88743922253528	0.972025794974427	0.903263933560308	0.910499830647893	0.981116403810744	0.913882926965534	0.963416761986003	0.910378409806677	0.972025794974427	0.984018767573427	0.727963579057958
ZB_12	0.547389598487886	0.716526021715964	0.467966762970097	0.453650260226293	0.766328984562881	0.722045277922872	0.945165847062645	0.350099016998665	0.845048054543961	0	0.0730820136427163	0.710661961039262	0.535929100152424	0.848206484338151	0.560800011838873	0.468933899422614	0.496310074917367	0.889712995807804	0.529400331349555	0.923847145411452	0.899833152581964	0.686888062237824	0.455461204099107	0.414115472144056	0.529400331349555	0.529400331349555	0.874719572384464	0.496509590471042	0.547087218541061	0.483062123667466	0.417199788549297	0.731053516046616	0.730275195331817	0.507953857153917	0.529400331349555	0.501955211545827	0.772992863616284	0.529400331349555	0.499738791241961	0.766328984562881	0.113177160945179	0.760730777723376	0.716526021715964	0.72315849182203	0.529400331349555	0.499295417960072	0.477219722262544	0.457462758754111	0.496980757860039	0.937386226009942	0.534713031483587	0.529400331349555	0.46388638379928	0.850490419916345
