ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_17	ZB_18	ZB_19	ZB_21	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_62
ZB_3	0	0.78924708600231	0.933748595038209	0.86200230258117	0.0116325796831708	0.730668567537663	0.941040384905534	0.886101365574567	0.942609068496087	0.92254782895526	0.649321218827134	0.394213691125805	0.458453703109285	0.302870074660011	0.827936124540209	0.887745765597072	0.781885692399353	0.50281938888416	0.860509109375992	0.869096925348938	0.953552971007475	0.756651647619332	0.8560887511	0.796910921725677	0.805516243528587	0.906492518293336	0.718056544350995	0.51742954355781	0.775928536494145	0.811107890668915	0.50281938888416	0.943121293800539	0.29466521152982	0.50281938888416	0.945762415631281	0.0116325796831708	0	0.359577354767093	0.805516243528587	0.828915525547168	0.943225966143283	0.778388478154684	0.78489653549036	0.805481208296738	0.602276861184225
ZB_4	0.78924708600231	0	0.325870678699341	0.504363509196572	0.790005100772963	0.726715218878456	0.29297649908114	0.80839627677525	0.530557175561223	0.499137469514009	0.680427162601478	0.794488526232495	0.903087790110999	0.769224135452899	0.492807199060352	0.809978458505239	0.749431036790926	0.705017518566328	0.380972924390518	0.511733512472838	0.453343558715178	0.735827856812636	0.520959825620142	0.401354187943555	0.366516898370637	0.493677930548691	0.28442788825704	0.836289192662016	0.339504396942758	0.385032634802718	0.705017518566328	0.32006484044452	0.768308344997763	0.705017518566328	0.450328145116552	0.790005100772963	0.78924708600231	0.746084452061316	0.366516898370637	0.474244471416249	0.424134924855935	0.429853757842444	1	0.426616827409371	0.865073430660114
ZB_5	0.933748595038209	0.325870678699341	0	0.493272564083562	0.93397660928495	0.810084779779354	0.346930146373009	0.789440679680389	0.384242466692349	0.488704531481081	0.818523641266447	0.925082543401853	0.938203051206457	0.927751186343187	0.54682960775578	0.791349841643169	0.804356815277047	0.831970168207402	0.446907089091113	0.524455881273352	0.355557068205381	0.816445651407209	0.53370209702779	0.465117491883999	0.43399081155408	0.506331449474752	0.333219838182846	0.936959822471385	0.409855481074446	0.450534389313999	0.831970168207402	0.372476384515651	0.927478056458653	0.831970168207402	0.222768119328336	0.93397660928495	0.933748595038209	0.879333702990219	0.43399081155408	0.530244043938596	0.177633601047694	0.416334311823929	1	0.487689342696232	0.935080848248852
ZB_6	0.86200230258117	0.504363509196572	0.493272564083562	0	0.862299889824229	0.722055004840977	0.412181023196067	0.767565853939708	0.177066607379594	0.157924207046025	0.730405466469153	0.934388224615614	0.89580708645208	0.916289938717178	0.105692014831125	0.761978870745947	0.721013150202152	0.67629873829554	0.277384825503281	0.0889913953018882	0.21369696071408	0.698972254517907	0.0797855613858948	0.151751976273001	0.195105215901383	0.12910472440047	0.397816872968512	0.924707617145565	0.235949216719875	0.169435437389971	0.67629873829554	0.385225990794035	0.916109030754783	0.67629873829554	0.34803570399282	0.862299889824229	0.86200230258117	0.83093305499728	0.195105215901383	0.131269501104831	0.383817922811525	0.226903103031913	0.958614329356159	0.112136641254186	0.923478504318898
ZB_7	0.0116325796831708	0.790005100772963	0.93397660928495	0.862299889824229	0	0.732235408601468	0.9412210380885	0.886773622364114	0.942744091541012	0.922707175293827	0.651361299739798	0.401260548634758	0.464753283559992	0.291237494976841	0.825911020615558	0.888398806879482	0.783154576801845	0.505711747159992	0.860833034262914	0.869362863696639	0.953665155986509	0.757975645223516	0.854063647175348	0.794520667011443	0.803029412429634	0.904460951438165	0.714738213893548	0.523043082845117	0.773291329823451	0.808692559021922	0.505711747159992	0.943289438323031	0.302870074660011	0.505711747159992	0.945915328347421	0	0.0116325796831708	0.36436839456467	0.803029412429634	0.829271708683473	0.943393493282974	0.775780223740806	0.787398743681394	0.803191821477778	0.60690340728834
ZB_8	0.730668567537663	0.726715218878456	0.810084779779354	0.722055004840977	0.732235408601468	0	0.633025892330056	0.369235241333114	0.759950480854569	0.723174986143262	0.0953105133255217	0.742427264341452	0.815377353923609	0.686586936066954	0.732774650117272	0.203428130511464	0.066330467372134	0.227849178653502	0.673852376137513	0.719581319330945	0.719012763310101	0.0934747165805139	0.725033624429332	0.684590679744982	0.666235910359766	0.708893711067702	0.760875781855239	0.689277447089947	0.652003797577606	0.675991321196103	0.227849178653502	0.647668267472758	0.684438184039291	0.227849178653502	0.843632011697429	0.732235408601468	0.730668567537663	0.672906484791013	0.666235910359766	0.722994480958161	0.648401104448202	0.655824232106189	1	0.697900840413089	0.743909832451499
ZB_10	0.941040384905534	0.29297649908114	0.346930146373009	0.412181023196067	0.9412210380885	0.633025892330056	0	0.66576480042861	0.434971659290318	0.406881968793101	0.650012410478076	0.934274376911625	0.945836782820301	0.936337361901372	0.474308795210445	0.595077500647882	0.621458457468751	0.676943107966896	0.358395685877991	0.448354603516825	0.252426930286624	0.645835758262628	0.459080490253651	0.379520297608442	0.343412417738575	0.427329720710277	0.483869065462355	0.94488410088839	0.31541471273627	0.362603462592748	0.676943107966896	0.0438454326279132	0.936125388205808	0.676943107966896	0.464410651816949	0.9412210380885	0.941040384905534	0.891544599322828	0.343412417738575	0.455069045274464	0.18162316101031	0.407226083079237	1	0.405704319448549	0.943453179940153
ZB_11	0.886101365574567	0.80839627677525	0.789440679680389	0.767565853939708	0.886773622364114	0.369235241333114	0.66576480042861	0	0.717554120242747	0.765470512969641	0.424817619195796	0.857828143317208	0.881902469709816	0.86714096833092	0.792132287152372	0.224537360742087	0.328372067986381	0.503595619610301	0.782129636096948	0.781869535146998	0.704396225822329	0.278751565015203	0.78611074276838	0.754651218378017	0.777190460458762	0.773555920115839	0.836485594897735	0.877277248827625	0.767978763464605	0.747961998982116	0.503595619610301	0.621919367800697	0.86621441704178	0.503595619610301	0.829900697784629	0.886773622364114	0.886101365574567	0.805114711720445	0.777190460458762	0.814156820542992	0.680504964502685	0.770449276962137	1	0.765004849337535	0.869949551991567
ZB_12	0.942609068496087	0.530557175561223	0.384242466692349	0.177066607379594	0.942744091541012	0.759950480854569	0.434971659290318	0.717554120242747	0	0.195089079058945	0.768023258371122	0.937687090031331	0.946330644406596	0.9391604736256	0.264044095717457	0.759807106452405	0.754573078515954	0.781270606190048	0.338294013745137	0.227708809062914	0.214781929543306	0.729105746034067	0.242724810093012	0.305183620217341	0.324806017959144	0.19827444436868	0.43599615014437	0.94562950322336	0.390113636811547	0.298525616066088	0.781270606190048	0.40506889921121	0.939007997083685	0.781270606190048	0.207755692193777	0.942744091541012	0.942609068496087	0.903806673228742	0.324806017959144	0.280086688090442	0.317759393213112	0.306494106199725	1	0.265223509379077	0.94458803352738
ZB_13	0.92254782895526	0.499137469514009	0.488704531481081	0.157924207046025	0.922707175293827	0.723174986143262	0.406881968793101	0.765470512969641	0.195089079058945	0	0.731540547163398	0.916802892552001	0.94274631682279	0.918509725355334	0.113681970315658	0.759833164392895	0.73842932451057	0.745397025308864	0.16910921925269	0.0699230718704238	0.206608617624088	0.695438800256831	0.0880069711492925	0.244517110492994	0.2620060997815	0.0344750131362034	0.479572370143715	0.923327021622041	0.324857008627954	0.237170733187667	0.745397025308864	0.379683942903671	0.918332582386745	0.745397025308864	0.342158394124196	0.922707175293827	0.92254782895526	0.824198602614849	0.2620060997815	0.12802132944081	0.3782631815085	0.316225326065071	1	0.206716679468154	0.939542530437307
