ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.55292590643506	0.364003762312789	0.482636893522699	0.549192912394919	0.612708117614187	0.457392300562461	0.538390830271102	0.44651856277248	0.409616050189805	0.566862679504903	0.650894674947337	0.643243627585298	0.500392835060413	0.490960734482208	0.473930772506768	0.584181294257743	0.467112737655966	0.582764790138916	0.542448291424338	0.451930468204053	0.490358331037698	0.524682536811259	0.422095934578598	0.628933149322198	0.617095678654828	0.542289244464909	0.403801294749661	0.464736910856354	0.633041360790052	0.505081951358795	0.581408977577987	0.633129095636811	0.6392873422755	0.532439465259996	0.533781734293212	0.478550534866796	0.607210521245509	0.476392748721653	0.450748523128175	0.576160164015684	0.499087593367282	0.380293048048422	0.403690898015563	0.457265007485822	0.476340172071476	0.780802496428193	0.655274899212884	0.40456410033532	0.544272180616927	0.492460706423196	0.498434529642848	0.447561624156531	0.601742770625081	0.577637213237284	0.463408787970909	0.582764790138916	0.481154447628674	0.621371811432248	0.459691985007089	0.515391965963722	0.544614146817469	0.492698516100557	0.54039264659027
ZB_2	0.55292590643506	0	0.518446821830644	0.235677687815972	0.00870881578918584	0.457260620420418	0.349547058450351	0.212949491576629	0.210984609356292	0.255290151665963	0.032732251074923	0.43427261616402	0.546879967943832	0.250868292880505	0.241123286292748	0.231225856864685	0.197527227248575	0.354991292467836	0.333693400725857	0.0240832336154602	0.35881371097057	0.445289455004338	0.279440348922654	0.398375471076799	0.534736518530232	0.458876705523323	0.383804393255327	0.510157970279951	0.4420342008606	0.406422267422193	0.160999510459426	0.33669270272415	0.462757019497496	0.432945491841437	0.0210912003289276	0.482183870599925	0.372071653325736	0.381685471685585	0.405313230793463	0.259006946603575	0.348123087985463	0.219036607271901	0.399009195068513	0.30081181651328	0.300294116504326	0.386413041148046	0.791979401605257	0.524836756572375	0.585059869523484	0.0199705549709816	0.574805346060497	0.403595474186801	0.538452451528363	0.415596463353337	0.36090413084212	0.415124514994186	0.333693400725857	0.26735490264902	0.447742493731771	0.307372413989233	0.0656842610283906	0.473039885780248	0.183465396262962	0.0286793707601674
ZB_3	0.364003762312789	0.518446821830644	0	0.4169289287203	0.514315576243427	0.639978737979526	0.277593074375577	0.507527714576173	0.406611412481507	0.365796431212861	0.533853854267927	0.614465614549876	0.602234853100339	0.465909063790894	0.472928139181075	0.436825775476156	0.591037100748693	0.428782012987517	0.586775052773517	0.512963834627756	0.313917341894715	0.435588198817677	0.475088479697164	0.258048838943332	0.600603250872099	0.596240866183175	0.568316783029103	0.292715543525938	0.304903124310002	0.631119451569743	0.465356093996859	0.585432271625864	0.594763092269327	0.619602768354986	0.528371732898068	0.349544436334348	0.306041402884818	0.571900850705497	0.333573836728804	0.399798865601995	0.580233907115815	0.458682499537648	0.301479389878756	0.362225927911896	0.490145838815562	0.322062507493201	0.675997698540811	0.625842915467751	0.296481618978956	0.508867010102595	0.335840025564787	0.349368980044827	0.203685332969191	0.519033809255858	0.581747202500766	0.335831478537361	0.586775052773517	0.44425657825214	0.613966323453006	0.319914307853594	0.523531973548463	0.371130555928972	0.457461043935266	0.504569025589621
ZB_4	0.482636893522699	0.235677687815972	0.4169289287203	0	0.229142549092463	0.523633994988469	0.254354272825996	0.235321939905708	0.217286844986098	0.168398868814958	0.260053066584751	0.493915020649333	0.553664815965028	0.237523561822598	0.211694788235499	0.253853950457949	0.312525453724204	0.245352026821091	0.421689771274424	0.224607071731534	0.244283441930762	0.349410919135263	0.214030826334068	0.262207852193995	0.558505220269926	0.545816496857698	0.43835225781619	0.413866789316066	0.353666228646518	0.48134796520528	0.257906062874251	0.419891895521386	0.504118112642723	0.511974777085624	0.25137923913973	0.382299930111943	0.287421484286698	0.451435293958102	0.300101748219406	0.170409002607676	0.412936455894894	0.205962097172761	0.261832197204618	0.204830169856124	0.257762000635795	0.267952213998182	0.7469928063738	0.589797645856292	0.497416154331205	0.220524136013882	0.484860968582254	0.271141798253906	0.469500657030223	0.467287336714998	0.440022632968691	0.269442838370565	0.421689771274424	0.165817034516002	0.501215421450245	0.207709080678061	0.243722304283604	0.368432104070631	0.239957106515018	0.213726143115021
ZB_5	0.549192912394919	0.00870881578918584	0.514315576243427	0.229142549092463	0	0.463040312663783	0.343832617590071	0.206672236212869	0.20408705524288	0.248747633192244	0.0411560077191319	0.440156003611906	0.544245849213651	0.24477954447085	0.234456307294402	0.224742949377868	0.191711646111136	0.349851683126304	0.340140604427371	0.032792049404646	0.353180680669636	0.440900753012347	0.273729102083968	0.393176104861434	0.531982993146714	0.464762867940597	0.379725154484199	0.505969703673317	0.437132289657547	0.412201959665559	0.153860950223343	0.343139906425664	0.459577504571335	0.438828879289323	0.029616336739676	0.477952240288866	0.36667113148605	0.388132675387099	0.414022046582648	0.252671278626979	0.354570291686978	0.212564198114288	0.393779155427117	0.294669220685789	0.294840645991139	0.381131332962868	0.790151872922837	0.530898996174744	0.581673176082254	0.0286793707601674	0.57133062504747	0.398521019897839	0.534397606048435	0.422311166884249	0.367351334543635	0.410123689596887	0.340140604427371	0.261282942194113	0.453522185975136	0.30128745514651	0.0577913493348499	0.468756890511307	0.176517984996474	0.0201460027982398
ZB_6	0.612708117614187	0.457260620420418	0.639978737979526	0.523633994988469	0.463040312663783	0	0.564844664021568	0.420961152901096	0.474253992467191	0.512425988975994	0.434802429183889	0.113263841266915	0.204731875489129	0.458550686671551	0.565195055627952	0.45989951749114	0.336653643848424	0.440040884119075	0.169350813329871	0.473243698015799	0.571578221170965	0.566705168707785	0.396876793759878	0.557968087581429	0.199153807628687	0.0984131749915357	0.219896264019603	0.623441598919509	0.625653187683659	0.0624680258188112	0.419911770697111	0.17223062772801	0.122204966245519	0.106593482333628	0.442961653099416	0.549029570660502	0.549265363485371	0.207268705607426	0.605366816725164	0.498021293832812	0.183205643938628	0.410163787477295	0.559866951507753	0.522554938035007	0.434436123583903	0.599759751733097	0.881127826753546	0.206362102268257	0.62965247655905	0.470514277915943	0.622873431858913	0.575454572743488	0.674570141035298	0.273501845164874	0.187223998662853	0.550998675359082	0.169350813329871	0.457358916161201	0.0865000785792865	0.549866721183862	0.450008783506172	0.551139748206926	0.436396064668316	0.476293970159308
ZB_7	0.457392300562461	0.349547058450351	0.277593074375577	0.254354272825996	0.343832617590071	0.564844664021568	0	0.327269024966911	0.193873124739121	0.152183297937377	0.370837847445577	0.513579377982209	0.577396587213127	0.27652390652851	0.278090345618363	0.227559672877287	0.449575709557272	0.234454877688115	0.479982790674084	0.340488935119667	0.0997257910862793	0.322833385352893	0.281621164532496	0.113663361223014	0.57579965991229	0.545322830284779	0.518051894444123	0.336378176976914	0.219725608871786	0.535787384917543	0.275932185229199	0.483221781689907	0.535793106315746	0.5504179429769	0.363265891745115	0.245283301524144	0.0600353586446068	0.469934021069515	0.159785581729184	0.220504884627559	0.476763026251715	0.266651210627178	0.210251686254629	0.173060465446835	0.300274035113571	0.251636627426927	0.684187231759657	0.585677320092314	0.409054885559853	0.336292450345317	0.369759945916908	0.175989895140571	0.341346185221199	0.452333494802544	0.499532599223639	0.195472958786696	0.479982790674084	0.255618518451951	0.522848543225679	0.11043709489779	0.356577757196214	0.289085579697209	0.256744832482183	0.330341679185069
ZB_8	0.538390830271102	0.212949491576629	0.507527714576173	0.235321939905708	0.206672236212869	0.420961152901096	0.327269024966911	0	0.216887230576413	0.258038445611082	0.184397655896389	0.403420609270227	0.490703143660316	0.114962879370171	0.253195192375824	0.204547921886738	0.181806233293101	0.225334686262315	0.308322820507686	0.202210548689764	0.351107881006537	0.311527738053391	0.145881940066679	0.378113813686208	0.486165401176232	0.431258065747776	0.348263816842066	0.522044153084756	0.4678162814468	0.385724639194014	0.18351420792269	0.311413257507492	0.423291027867463	0.424574984889524	0.228060736140109	0.347672432322364	0.351028621649204	0.345770859947556	0.410174632905641	0.274421295300686	0.323190959637424	0.223598266017122	0.378624483256966	0.291633580526058	0.153412983576701	0.331303098521443	0.784854689638789	0.478935875288514	0.462155976258097	0.198404842154273	0.450592214667919	0.329900335984253	0.552541042840612	0.363291197523562	0.336360359638759	0.427235839878509	0.308322820507686	0.229699856276465	0.406815347758069	0.298360721928372	0.220686492731033	0.32833240947091	0.164647928768377	0.191892476541487
ZB_9	0.44651856277248	0.210984609356292	0.406611412481507	0.217286844986098	0.20408705524288	0.474253992467191	0.193873124739121	0.216887230576413	0	0.0937369051384574	0.236688646046344	0.467367823797818	0.55795437048701	0.201516169049818	0.279554268251405	0.118741090967496	0.3318191957496	0.209998029968796	0.362175860422573	0.199162226452056	0.196316394157342	0.417942505432164	0.184940496310888	0.248978374587924	0.539570892976654	0.481248341162513	0.400323215543237	0.426301357081394	0.342127085863477	0.436913871468845	0.122173918308529	0.360103240567718	0.483899194399831	0.494135529249233	0.227546199109584	0.372022407203811	0.225847429474999	0.414003214506203	0.28753520880469	0.129783140236668	0.372487195818441	0.161055780935485	0.248481777262294	0.135978818684013	0.313680531162251	0.355625235043746	0.739260262628977	0.544189523698769	0.489016052690892	0.194986684908749	0.476237891959408	0.258322022954578	0.460029532456276	0.430715239960496	0.391561134206508	0.312637042598082	0.362175860422573	0.174496348973141	0.459644225765246	0.141277155305293	0.219471751747009	0.351690132773901	0.1193678960855	0.187805315287052
ZB_10	0.409616050189805	0.255290151665963	0.365796431212861	0.168398868814958	0.248747633192244	0.512425988975994	0.152183297937377	0.258038445611082	0.0937369051384574	0	0.2796661813996	0.487480326456484	0.559616004900124	0.227944072002315	0.241224983815126	0.115625616992092	0.369813919392221	0.199830532053471	0.404627279929624	0.244311307740729	0.156932395398768	0.392644025783235	0.198078457415043	0.196583775953646	0.56688095308307	0.524516680269333	0.42660321784845	0.387786090636279	0.296444316026468	0.474657788793914	0.171007773080595	0.407866270945446	0.50887912187277	0.5319854948686	0.270996976264101	0.33157400331168	0.187230013610273	0.435500997119433	0.237760406173188	0.112515452089769	0.400465713400328	0.160381895716128	0.195568305757316	0.0978648353453468	0.299681797897938	0.314164687420477	0.720668930510187	0.561685483544235	0.455944346824447	0.240114822966379	0.442284117950266	0.20763461083644	0.422533921894534	0.448220183763126	0.423679878880703	0.266549175165464	0.404627279929624	0.160799248508855	0.496974956999258	0.0885219384756818	0.263339666492108	0.309958471011918	0.149039987801433	0.233301727652118
