ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_2	0	0.596916956737941	0.407559317992131	0.42841514527243	0.408401596719395	0.195916976631932	0.108293818677418	0.108293818677418	0.509227818427222	0.0742496947670292	0.462082771743439	0.437189577047107	0.107622362719329	0.107622362719329	0.0735966381782561	0.056077289195141	0.140364575939124	0.328674584228929	0.445236911273709	0.509227818427222	0.577651488243234	0.0735966381782561	0.597669958087661	0.462531495940523	0.3799538417346	0.415236189664907	0.597669958087661	0.1199687433402	0.328674584228929	0.0735966381782561	0.302821993521994	0.333438988876452	0.300143519770368	0.0728990551964197	0.518561014336544	0.144704127299851	0.328674584228929	0.597669958087661	0.108293818677418	0.327030319839139	0.0735966381782561	0.546309583007743	0.114370084329481	0.181791078679122	0.224921207302876	0.578404489592953	0.334857581319149	0.596916956737941	0.000752434765325534	0.596916956737941	0.195311501030049	0.672572281025787	0.357122339213725	0.328674584228929	0.577651488243234	0.328674584228929	0.108293818677418	0.396218191903484	0.114370084329481	0.0735966381782561	0.139234211834908	0.0735966381782561	0.42841514527243
ZB_3	0.596916956737941	0	0.552114636383766	0.294797544182347	0.685806994617821	0.499550193152352	0.54868523614845	0.54868523614845	0.178675853284312	0.565268690335729	0.665424484356758	0.646836955709911	0.548304410125776	0.548304410125776	0.56557490008728	0.572970288088142	0.533145391298613	0.711521449561247	0.273414090711194	0.178675853284312	0.0456150973862145	0.56557490008728	0.00186810475485531	0.635755552702529	0.695492111194591	0.683387643960361	0.00186810475485531	0.541967356032353	0.711521449561247	0.56557490008728	0.71897936745347	0.71080178514895	0.695884702951158	0.565222055352929	0.506058706779484	0.528720930232558	0.711521449561247	0.00186810475485531	0.54868523614845	0.712007552302742	0.56557490008728	0.111546049541227	0.545591415071675	0.508182227923586	0.480841018884497	0.0473979883607495	0.685476092812878	0	0.597220250433005	0	0.499081888484763	0.389847493188864	0.702843676355067	0.711521449561247	0.0456150973862145	0.711521449561247	0.54868523614845	0.690029280657285	0.545591415071675	0.56557490008728	0.531715771230503	0.56557490008728	0.294797544182347
ZB_4	0.407559317992131	0.552114636383766	0	0.453286265593682	0.355714836718951	0.430030911091319	0.349190548540892	0.349190548540892	0.454496567867649	0.369009219515912	0.315364034838049	0.366175214891558	0.348738449439675	0.348738449439675	0.369377601786983	0.378301615304731	0.377652532931385	0.400110938320275	0.443429267549871	0.454496567867649	0.530667763261949	0.369377601786983	0.551738875785541	0.348034336171259	0.367686364585508	0.404875756942994	0.551738875785541	0.440791605393684	0.400110938320275	0.369377601786983	0.37425834761334	0.404037500991041	0.446402291078318	0.368953123610917	0.423323790475443	0.382947768530048	0.400110938320275	0.551738875785541	0.349190548540892	0.358734380234081	0.369377601786983	0.495777053743713	0.354796458322418	0.301850472804935	0.344536398252097	0.530274009466069	0.423290431349973	0.552114636383766	0.407933462817106	0.552114636383766	0.429634969526181	0.636336317337804	0.389572949762975	0.400110938320275	0.530667763261949	0.400110938320275	0.349190548540892	0.364094917835163	0.354796458322418	0.369377601786983	0.457690486279006	0.369377601786983	0.453286265593682
ZB_5	0.42841514527243	0.294797544182347	0.453286265593682	0	0.637199832950512	0.542329037012528	0.449504444210495	0.449504444210495	0.141383510228431	0.383536875009577	0.576558319576479	0.553890994578516	0.449065293958277	0.449065293958277	0.412747589899385	0.394457990908817	0.483478967078251	0.627356201154947	0.0294300415102781	0.141383510228431	0.261092192587805	0.412747589899385	0.296114936243196	0.583205392697788	0.607214449780748	0.644403842138234	0.296114936243196	0.548383888612631	0.627356201154947	0.412747589899385	0.601503610448012	0.63212060580247	0.613744618008611	0.412279117372588	0.476397728690877	0.488350040639393	0.627356201154947	0.296114936243196	0.449504444210495	0.625711936765157	0.412747589899385	0.20625885511173	0.455941405603766	0.403023779234759	0.45257200639332	0.262409584648654	0.647525430055682	0.294797544182347	0.428845225588461	0.294797544182347	0.541963936301514	0.427158161616664	0.655803956139743	0.627356201154947	0.261092192587805	0.627356201154947	0.449504444210495	0.641799814452118	0.455941405603766	0.412747589899385	0.567649357107338	0.412747589899385	0
ZB_6	0.408401596719395	0.685806994617821	0.355714836718951	0.637199832950512	0	0.460445142707515	0.44527118248353	0.44527118248353	0.662456072683638	0.375871789517645	0.112020443811865	0.160143192943866	0.445809182544436	0.445809182544436	0.458700238715493	0.447497449409154	0.468202166211566	0.0818428625174128	0.649561495092921	0.662456072683638	0.677060600048498	0.458700238715493	0.686393940065118	0.137411681321845	0.0308253729741333	0.0601453494641047	0.686393940065118	0.412573120757432	0.0818428625174128	0.458700238715493	0.105579603197401	0.0783708983956127	0.127421644420388	0.459225214695365	0.363906177323972	0.430726880285288	0.0818428625174128	0.686393940065118	0.44527118248353	0.0833900094403784	0.458700238715493	0.652745629698212	0.442850588775042	0.414502442787349	0.394803871625064	0.677644776580032	0.117879524102479	0.685806994617821	0.407876620739523	0.685806994617821	0.461000261848651	0.750699909617971	0.0542236187483634	0.0818428625174128	0.677060600048498	0.0818428625174128	0.44527118248353	0.0955642838439382	0.442850588775042	0.458700238715493	0.419659596753077	0.458700238715493	0.637199832950512
ZB_7	0.195916976631932	0.499550193152352	0.430030911091319	0.542329037012528	0.460445142707515	0	0.0981817603359687	0.0981817603359687	0.54868523614845	0.26866180186831	0.555050603049459	0.533802003081664	0.0990248635922562	0.0990248635922562	0.131930727180853	0.148185468710051	0.0662578103104341	0.423561471117573	0.534031573950725	0.54868523614845	0.511240891002119	0.131930727180853	0.500485085816091	0.521282907748429	0.476201612657224	0.456517381442211	0.500485085816091	0.0863954576249314	0.423561471117573	0.131930727180853	0.438463900472478	0.421583145252709	0.392662795565048	0.132742278775629	0.492809318172814	0.0599970125968831	0.423561471117573	0.500485085816091	0.0981817603359687	0.424532802777298	0.131930727180853	0.529135478731349	0.0919996796668535	0.180535450105786	0.138921855411617	0.512153944217617	0.372473852153873	0.499550193152352	0.195164541866606	0.499550193152352	0.000934892663738512	0.676630209284185	0.406221523959152	0.423561471117573	0.511240891002119	0.423561471117573	0.0981817603359687	0.38061576785246	0.0919996796668535	0.131930727180853	0.0659652363204591	0.131930727180853	0.542329037012528
ZB_8	0.108293818677418	0.54868523614845	0.349190548540892	0.449504444210495	0.44527118248353	0.0981817603359687	0	0	0.450503475812481	0.181038643913797	0.537397109660549	0.516000994880511	0.000843103256287482	0.000843103256287482	0.0374232471251168	0.0553608759080176	0.0359352878481778	0.403181552542171	0.439524093894988	0.450503475812481	0.527114518874378	0.0374232471251168	0.549528339404737	0.503423710792132	0.454460810047842	0.489743157978149	0.549528339404737	0.131956293967969	0.403181552542171	0.0374232471251168	0.377328961835237	0.407945957189695	0.379265542008378	0.0382347987198922	0.472581607648455	0.0423619617262937	0.403181552542171	0.549528339404737	0	0.361881173043152	0.0374232471251168	0.492022334282487	0.00680845648473665	0.0823536897698169	0.13068100472456	0.527957622130665	0.351754140374303	0.54868523614845	0.107541383912093	0.54868523614845	0.0990248635922562	0.633393251992428	0.392719742572046	0.403181552542171	0.527114518874378	0.403181552542171	0	0.36737305162532	0.00680845648473665	0.0374232471251168	0.152252656787906	0.0374232471251168	0.449504444210495
ZB_9	0.108293818677418	0.54868523614845	0.349190548540892	0.449504444210495	0.44527118248353	0.0981817603359687	0	0	0.450503475812481	0.181038643913797	0.537397109660549	0.516000994880511	0.000843103256287482	0.000843103256287482	0.0374232471251168	0.0553608759080176	0.0359352878481778	0.403181552542171	0.439524093894988	0.450503475812481	0.527114518874378	0.0374232471251168	0.549528339404737	0.503423710792132	0.454460810047842	0.489743157978149	0.549528339404737	0.131956293967969	0.403181552542171	0.0374232471251168	0.377328961835237	0.407945957189695	0.379265542008378	0.0382347987198922	0.472581607648455	0.0423619617262937	0.403181552542171	0.549528339404737	0	0.361881173043152	0.0374232471251168	0.492022334282487	0.00680845648473665	0.0823536897698169	0.13068100472456	0.527957622130665	0.351754140374303	0.54868523614845	0.107541383912093	0.54868523614845	0.0990248635922562	0.633393251992428	0.392719742572046	0.403181552542171	0.527114518874378	0.403181552542171	0	0.36737305162532	0.00680845648473665	0.0374232471251168	0.152252656787906	0.0374232471251168	0.449504444210495
ZB_10	0.509227818427222	0.178675853284312	0.454496567867649	0.141383510228431	0.662456072683638	0.54868523614845	0.450503475812481	0.450503475812481	0	0.470694595547111	0.641316104058747	0.622115338482944	0.450039802579207	0.450039802579207	0.471067420031543	0.480071645744905	0.486438763660659	0.683697019523163	0.115348170153917	0	0.139420432504415	0.471067420031543	0.180210172828069	0.610703341241597	0.666600542910837	0.703789935268323	0.180210172828069	0.5546983836901	0.683697019523163	0.471067420031543	0.657844428816229	0.688461424170686	0.672899723360443	0.470637815306341	0.479049540313513	0.491593695271454	0.683697019523163	0.180210172828069	0.450503475812481	0.649355922568595	0.471067420031543	0.0755580001736966	0.457311932297218	0.401189196685504	0.453853621329265	0.140954752048172	0.655942594248651	0.178675853284312	0.509597092478492	0.178675853284312	0.548304410125776	0.332831543293866	0.68019449209749	0.683697019523163	0.139420432504415	0.683697019523163	0.450503475812481	0.666846435293869	0.457311932297218	0.471067420031543	0.575010860284315	0.471067420031543	0.141383510228431
ZB_11	0.0742496947670292	0.565268690335729	0.369009219515912	0.383536875009577	0.375871789517645	0.26866180186831	0.181038643913797	0.181038643913797	0.470694595547111	0	0.433305491751932	0.405609032272195	0.181791078679122	0.181791078679122	0.146341463414634	0.130284789460235	0.213109401175502	0.379428865754727	0.401679410367601	0.470694595547111	0.544490583962857	0.146341463414634	0.566080813962397	0.432372942606525	0.345886406347881	0.383075798705367	0.566080813962397	0.194128169453988	0.379428865754727	0.146341463414634	0.353576275047793	0.38419327040225	0.354340120781232	0.14709389817996	0.48816520656982	0.218844941650814	0.379428865754727	0.566080813962397	0.181038643913797	0.377784601364938	0.146341463414634	0.510687853388701	0.187114909565859	0.116072386264385	0.162623925468503	0.545302707589525	0.388873919621945	0.565268690335729	0.0734972600017036	0.565268690335729	0.269414236633635	0.64686413018495	0.407876620739523	0.379428865754727	0.544490583962857	0.379428865754727	0.181038643913797	0.446972473429282	0.187114909565859	0.146341463414634	0.21337914194043	0.146341463414634	0.383536875009577
