ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.751207889611735	0.336747962610581	0.63534976969215	0.66771518653136	0.703446269483251	0.456286098302792	0.648031457701464	0.581900932028687	0.272134533880615	0.515641158924369	0.557413358266487	0.678480386609497	0.705290041006211	0.595687615498983	0.521214502917497	0.520013532847727	0.636348578068279	0.557724118323619	0.69038728449357	0.28816133204286	0.541957128529529	0.588598262613155	0.473900933122099	0.425158856728812	0.645573797334688	0.558057272344272	0.0774897086763774	0.667029546553973	0.575591669423622	0.50957276156211	0.605807325091023	0.502798767547793	0.696818416156726	0.607796074737548	0.494829720261367	0.637017663799545	0.479761732440269	0.220019220490039	0.521411470162328	0.477981357837428	0.491768401797431	0.518594154753184	0.250084431931019	0.596265651534738	0.435090320659259	0.288388369636701	0.339389097403371	0.531733768721382	0.664636849085579	0.473743610170617	0.336109438589212	0.126079497734608	0.438234940383618	0.492006689399173	0.147751669561787	0.571931148973955	0.579267827357267	0.610666846218013	0.5766272212643	0.689694830404488	0.604095937293379	0.547502834370787	0.718422134146288
ZB_2	0.751207889611735	0	0.674037076650163	0.520175113279226	0.320986166805206	0.66693322718442	0.656776969799292	0.432532873026349	0.512524062553668	0.688979743337493	0.446753771080044	0.53424806478491	0.6634742671121	0.382399523794339	0.422855900100801	0.589137263543584	0.515549070648372	0.435539053570919	0.547891988348597	0.242901241556285	0.672193599582111	0.580948020899188	0.57788436674942	0.588330117248802	0.623139045331636	0.657779236137568	0.54398966497877	0.743322701428373	0.502578485144598	0.489478729711908	0.622573340583708	0.530580664982205	0.648546571297744	0.703024231110431	0.427256418484138	0.664993191904821	0.470322940125987	0.578104078930636	0.687454246878895	0.553613510468501	0.563041110500297	0.621764029624332	0.597113891916632	0.670084058960336	0.433695128964726	0.649062677771928	0.710945349345752	0.69399132007028	0.612009030798518	0.429243529462544	0.634508287245518	0.663526863313478	0.697156612746015	0.661550727886778	0.587772821691948	0.739341094839816	0.527836385994434	0.513104399965181	0.527539106979286	0.523126214130764	0.313735567099141	0.510047409011353	0.569792732928036	0.275957448192426
ZB_3	0.336747962610581	0.674037076650163	0	0.446082615658064	0.543036723045597	0.645730003844021	0.257720140581481	0.461949314358567	0.439615062884467	0.418683487745164	0.535134586879297	0.509665190385929	0.658826463657526	0.543522979687892	0.407674252513052	0.416662624726199	0.579102077897038	0.45679732745919	0.466282371623774	0.60315997675247	0.382179086038789	0.338651528829925	0.388098628268891	0.342229317737769	0.47906149023909	0.611277092579909	0.465683781484699	0.334225739492364	0.48757801153982	0.536312437660912	0.452931132201481	0.460609139841409	0.357623413308469	0.652072681861244	0.523239553233233	0.332367053178728	0.464056429717851	0.365522167477965	0.347221416516657	0.408018925743424	0.317872766099615	0.372099664586744	0.417479682438233	0.37440194010589	0.420258793328602	0.33884626064513	0.321286312502736	0.365610971007157	0.299555460933454	0.561370932239859	0.349265031663503	0.285992073747043	0.384894690653796	0.401090129013645	0.424750665987833	0.297212416467802	0.424253959499802	0.427422057267414	0.488215974118692	0.372213557137429	0.688252734196272	0.41275435875746	0.392027918158227	0.698558134164213
ZB_4	0.63534976969215	0.520175113279226	0.446082615658064	0	0.395103720451732	0.654713069983321	0.485021986216432	0.232574247628741	0.370602763333233	0.628480829685476	0.490180903638955	0.49575538502075	0.599473065171163	0.289178683701562	0.238529906877626	0.386827824481029	0.539868190037934	0.262633364581938	0.435158294274952	0.404569238183068	0.593862035462716	0.261917308448458	0.373956859708853	0.479640287769784	0.513622472458102	0.683277168559221	0.470561018636756	0.6127465787228	0.114383680736676	0.46609780386171	0.436916595083241	0.418387457121977	0.458032944844722	0.722557481584559	0.453936725521277	0.558148072763795	0.0971438451986104	0.285809841552107	0.623239084575996	0.423702832761331	0.343332287282284	0.430200316856972	0.578257857008434	0.573879491047945	0.237930233887631	0.491826640873431	0.583846004768408	0.554212004519431	0.473066008077535	0.386790701223389	0.570001251933429	0.455742832570618	0.635069970937579	0.472660066728037	0.46408084164397	0.599706272193907	0.366723361398987	0.389455454118113	0.461029137940682	0.300609968630185	0.538488455532135	0.0952811929990671	0.348747634551417	0.520203613774743
ZB_5	0.66771518653136	0.320986166805206	0.543036723045597	0.395103720451732	0	0.660552803962294	0.479957462844517	0.283729940095767	0.48197658554637	0.663036981114165	0.387194795892837	0.589676541175628	0.691445160736032	0.242050737046151	0.295259081695363	0.487189334273489	0.310077688547486	0.303163054877404	0.602327494355164	0.237641175425679	0.628659677415524	0.400805657696585	0.476034129722196	0.519953098782621	0.606325115954293	0.684517242986661	0.538724294587712	0.637550446448529	0.364695841656074	0.552664974619289	0.519569095169809	0.513327407051723	0.62900678868726	0.775563325282759	0.175933148706993	0.538630467093246	0.431500164117519	0.482204429354436	0.654777384644034	0.458537552702681	0.496924139907469	0.465025812047203	0.600455282491695	0.615729205201031	0.290897057938752	0.606964006999953	0.578228448344297	0.60517241987796	0.496661625992418	0.330043090291405	0.535201680183957	0.507109875439392	0.653002037385675	0.58104744722599	0.564706637240615	0.639098640191351	0.486830863040321	0.492713948248756	0.489968155587583	0.414593841191113	0.355403530465926	0.382623345652574	0.45655164659272	0.261632656621129
ZB_6	0.703446269483251	0.66693322718442	0.645730003844021	0.654713069983321	0.660552803962294	0	0.668164483061526	0.608369569686591	0.610424019931674	0.6502326595142	0.682090877831401	0.517058794200908	0.481664978241617	0.681282240235814	0.632424682842715	0.609488326351524	0.687812807303363	0.648992725977278	0.650872539331211	0.746055940210994	0.629196006323689	0.612307439378553	0.58791288842499	0.715424915535692	0.644746961705583	0.301618026057665	0.470330900232503	0.711668983631286	0.631258238725647	0.593854802101034	0.628251627033548	0.594311214425097	0.560793136210648	0.450786419760246	0.673905725826696	0.701818513948278	0.6003642296963	0.632411323844377	0.637236469224092	0.657305392759875	0.554679733428245	0.603764005602241	0.767520038734232	0.632313541848455	0.635701767671304	0.746420181383647	0.704339802291769	0.627940056705512	0.690404880161246	0.671560367172505	0.749576764031082	0.658640575959567	0.641822753708777	0.48260391257486	0.51470190516257	0.70850821378943	0.54624841257834	0.613900408351392	0.593648376507992	0.561946441596332	0.76919292317966	0.626002172108711	0.59162736833778	0.714611539883814
ZB_7	0.456286098302792	0.656776969799292	0.257720140581481	0.485021986216432	0.479957462844517	0.668164483061526	0	0.472000049995261	0.395928597261928	0.469981317626928	0.61213286607318	0.474943172054889	0.597839287672872	0.51417579669023	0.468706495660674	0.417970409301991	0.501718062837477	0.418732236662998	0.515022319294607	0.539378119082244	0.482550018632236	0.363265356257811	0.357546792031437	0.254993930029798	0.433481162742299	0.666829904271711	0.42550683826263	0.445853718414085	0.465543419024172	0.51225031363825	0.430418890418484	0.51681774336022	0.461611763022469	0.699924724352331	0.516166835397754	0.240322508261374	0.519817505655024	0.439213187322464	0.469772162829627	0.408317510485467	0.352147378373262	0.356315531036076	0.311493385764097	0.475720342843079	0.528204101095052	0.357279036629964	0.427637680168107	0.417565158300215	0.25617980522635	0.510353808041669	0.272271079561338	0.326129746271317	0.495377795561493	0.45426534017937	0.517639059426202	0.427405630395112	0.504614425967023	0.404138100042256	0.517378857781219	0.364443276839203	0.635382455823054	0.472342990871355	0.391843186644086	0.645842349531228
ZB_8	0.648031457701464	0.432532873026349	0.461949314358567	0.232574247628741	0.283729940095767	0.608369569686591	0.472000049995261	0	0.362638700586826	0.640119832960116	0.494669631045127	0.49588252422456	0.59517002473459	0.179234080952529	0.255322932721478	0.379928521564766	0.406307496928335	0.219497116966063	0.510474812923413	0.306131689073717	0.606388963094905	0.255025031930862	0.366731218172521	0.479659989253856	0.513859735067223	0.647087545581513	0.465122480581845	0.625514630095609	0.201927419764337	0.465939172801879	0.431112415190365	0.499383023447206	0.536328806592028	0.658467854555859	0.305266920555558	0.542391927153907	0.29355934929923	0.383995389900697	0.635987791480061	0.408136352646143	0.431911116225357	0.411107588540496	0.573710144081691	0.586093612250299	0.165041454826531	0.564355205434957	0.579366095447035	0.565622072928698	0.452442783853971	0.378910380839891	0.553479631949544	0.515371907750227	0.643503055439994	0.487755791687005	0.533789605913376	0.612640476162658	0.455552450054222	0.381825970092798	0.514788924398423	0.299159480351269	0.452591107370482	0.214905702293458	0.340913388973535	0.429100873952418
ZB_9	0.581900932028687	0.512524062553668	0.439615062884467	0.370602763333233	0.48197658554637	0.610424019931674	0.395928597261928	0.362638700586826	0	0.579320801135104	0.564685726975166	0.356887019144727	0.531612920166813	0.380427746414568	0.376455807411218	0.228209307195732	0.601230463394571	0.382766451606564	0.440521589904488	0.410822603859354	0.537884955031802	0.408630469109957	0.18470677973463	0.350760648617766	0.37306678703653	0.621091257524404	0.381636738406132	0.5621520366718	0.346234852574818	0.36507142799535	0.280551444631106	0.475396151287997	0.47003552233591	0.649850014632719	0.535523731871842	0.521961594053273	0.419534653785558	0.311913382011721	0.569950748713572	0.169033378379723	0.406642369330484	0.317552446674602	0.46325529278779	0.540436221102986	0.455779204113391	0.470528171874897	0.586334114632802	0.569116517556024	0.427612993471405	0.409740631219331	0.454303773525791	0.440153026002915	0.587186293913266	0.488476656253197	0.488309783734264	0.549894166656013	0.432760801664239	0.0393579574183035	0.492068260666478	0.170278540469653	0.533817581069282	0.356589583978819	0.169503719126262	0.543164247046602
ZB_10	0.272134533880615	0.688979743337493	0.418683487745164	0.628480829685476	0.663036981114165	0.6502326595142	0.469981317626928	0.640119832960116	0.579320801135104	0	0.528319131893929	0.437896707915168	0.571384857600442	0.692821017088061	0.599069942039866	0.570688933812759	0.540352585508857	0.629320454914508	0.515706341039991	0.66737519681393	0.131505085150633	0.542786842904204	0.567045110152698	0.528640807655001	0.445209047887813	0.631230782705703	0.438284393946162	0.303478645971561	0.657404680233392	0.555661736025683	0.543455405903866	0.596377347576086	0.475349260440656	0.656915170304405	0.614856108095834	0.484578353007039	0.577408553172213	0.545262514052207	0.15458978179074	0.519401559449367	0.459657324792671	0.530260343201597	0.546396936493646	0.163296558821574	0.599598681984096	0.496181405220712	0.280984809034568	0.155376204593152	0.577302401548411	0.667508383674788	0.525999363434695	0.403488356429894	0.24167549027223	0.335425475579453	0.525027132172689	0.223401782912203	0.580980846269404	0.572070908100068	0.589226846587532	0.569899751719679	0.724650898831216	0.607106814639714	0.54798396229789	0.715136740476939
