ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.520163876923452	0.37416908715192	0.343493293067888	0.40096586169065	0.617463416056934	0.365900491223104	0.366817371554823	0.529832663211711	0.397099950958951	0.480915901571075	0.509422950043139	0.622057975006459	0.359818953034888	0.301926122105029	0.370311084819258	0.517634661126667	0.401433050928216	0.363842705200433	0.418211157796536	0.447635189455345	0.384914254160531	0.374065171834305	0.438017079759181	0.388646996133233	0.455951391803115	0.534400161749826	0.24910639309038	0.368163124872778	0.473187583978354	0.351539180634369	0.45759044408235	0.374296524563637	0.656158390143043	0.469282081176936	0.303725492794142	0.396212508520791	0.424989188681019	0.308147244441383	0.363715698240583	0.439423167020423	0.410002232820857	0.553395635519732	0.305816206949385	0.336317729601109	0.407990234922007	0.341079107881771	0.338309386419327	0.336454277761369	0.458041775255536	0.406817097752717	0.347152650874978	0.373108506969812	0.364151098122829	0.348974463655283	0.307515316879573	0.354489285084554	0.361186326432354	0.354297017704871	0.546302137393811	0.633580061958402	0.413155093197863	0.409941341403898	0.553569882079491
ZB_2	0.520163876923452	0	0.525583054672204	0.428703208292996	0.283591090142144	0.687952956334225	0.472169155065035	0.490160304303946	0.536134671275053	0.510495345335203	0.329615540972182	0.607197222789764	0.578745456796068	0.353701502752348	0.425886416107215	0.412937153739612	0.281374589625397	0.520213876190501	0.405741449002157	0.251651558741296	0.493235052857453	0.365244293329407	0.354561007571345	0.44148541198433	0.553827603737847	0.468680072133563	0.597123268084631	0.364393778029932	0.465342402171438	0.542503855479827	0.458394990091416	0.539387727811617	0.540515871611414	0.712520283882207	0.22650843413964	0.362925054644978	0.464524269340293	0.577535640842902	0.490830475317383	0.363278900326174	0.602305817689107	0.429118821832347	0.526643942607201	0.571823994023913	0.418420969574549	0.389862357639672	0.38898626519945	0.457582002026339	0.410707739071938	0.38654925076344	0.286836850376792	0.401697669314502	0.496562108849299	0.470014919578833	0.412741316755206	0.379291045331539	0.534658157169369	0.373119544357085	0.524352991760776	0.543657180520267	0.403966607639767	0.506058343412969	0.447056074666187	0.512722177299871
ZB_3	0.37416908715192	0.525583054672204	0	0.338680328624505	0.40802322772295	0.61792701653428	0.246604463556242	0.408842070568804	0.55219766027959	0.361417222003104	0.419612799349039	0.45136255122346	0.602528514399133	0.376732075329062	0.345542910278589	0.423728221009033	0.480709428525553	0.400167253993524	0.315327732920099	0.436367269912866	0.394253485236761	0.416005323751029	0.358735199348539	0.367968756880424	0.512135600783707	0.457624581315489	0.524877543534083	0.396420721393871	0.34164056941748	0.47868974451838	0.515301792024895	0.498394449157846	0.392080793271086	0.659454230395357	0.492520160925034	0.252622238810121	0.372401395809503	0.493143956557447	0.467477091849593	0.451075466192238	0.387373656428206	0.470461685074912	0.363581978777108	0.43751977935397	0.278835714330915	0.317975601177216	0.381112806209387	0.413786458984552	0.265459354614423	0.454711269857653	0.35878860545785	0.228758525065554	0.39929878428281	0.436553031133499	0.307598919445427	0.441552917903066	0.418662201487208	0.395633472995892	0.427467543254685	0.614407155125118	0.656206970045624	0.427092633013515	0.365067150543253	0.369828484204664
ZB_4	0.343493293067888	0.428703208292996	0.338680328624505	0	0.304490092198961	0.670511986266807	0.31069317962099	0.299307273097142	0.484057421031799	0.46064600550834	0.37677546311291	0.476763527435226	0.547893281305194	0.231899981196701	0.256960515647728	0.331868182379692	0.407361787453452	0.151893199045723	0.317512975165582	0.272664376349056	0.456813179119907	0.183653466998301	0.305859231408236	0.327593209645301	0.408554385656079	0.475234134178903	0.502286619526507	0.302517408314947	0.198999678902135	0.412757273154122	0.424530302427867	0.424264612192964	0.337686795793461	0.6935530762149	0.391674598596071	0.198133653052758	0.14207425031226	0.435217379122602	0.421745656035785	0.368439620927721	0.398246795944959	0.420202950248814	0.420990324232651	0.510625865689058	0.24994996835102	0.303631185826058	0.337210525031029	0.347442318168239	0.20516781719531	0.329895431614653	0.336546403861747	0.263640943066042	0.446818868135052	0.441547078257279	0.342016076251423	0.354279597172623	0.33851422385898	0.33147645795881	0.311097048810187	0.475807214455356	0.516243577468595	0.238347345992065	0.431775050575844	0.54152569792555
ZB_5	0.40096586169065	0.283591090142144	0.40802322772295	0.304490092198961	0	0.679561992885872	0.363991978746975	0.296492292630194	0.534441874396778	0.527550811194599	0.297959500259982	0.519820797106726	0.573092385418379	0.186028275241776	0.246116516126036	0.376214614775489	0.351978174537864	0.34192190075165	0.430494268564866	0.100429780141246	0.506724527522919	0.258970837265524	0.337515706176426	0.381672020904008	0.466284151540338	0.542181090187597	0.552422001316139	0.367366972599121	0.294767091435215	0.479031333853802	0.475020439612594	0.522742808279134	0.445500056179074	0.703450733224401	0.262821771244877	0.311683624898779	0.328895129707474	0.540333658892939	0.482015482911328	0.371800386960768	0.510399736643166	0.425885712555877	0.460658622293154	0.565270094941065	0.271496474888295	0.357360380741207	0.420701195070567	0.450073245438807	0.277899960736946	0.378288837740336	0.280310183582637	0.388061092678444	0.496312383807494	0.456160915979984	0.414608694188586	0.435163471656338	0.377188846066652	0.374658446829864	0.435083488449422	0.536719349078015	0.439458159115642	0.331862008919387	0.443417402976219	0.373418379911514
ZB_6	0.617463416056934	0.687952956334225	0.61792701653428	0.670511986266807	0.679561992885872	0	0.622081830368489	0.670352390650451	0.83314171113487	0.702309025877908	0.681037811275131	0.647464590612687	0.514968060474358	0.688477572366393	0.706418350658609	0.676960081064505	0.60724879566472	0.738941335454624	0.546959339400223	0.681071047707197	0.709045681322276	0.697366131077406	0.714384547265884	0.648297410452987	0.651857281114347	0.54952510339521	0.6464761604422	0.698116930113918	0.686249224688794	0.581174117182968	0.722848803551283	0.633149414466831	0.681272088708252	0.324659320906277	0.694254169121603	0.666836623535591	0.69979989374729	0.648119667609517	0.637700167872763	0.669039808393021	0.651532938382156	0.714600800493657	0.596963008973529	0.602283930331909	0.671295621403747	0.551410203432176	0.690692409639176	0.656088893825702	0.655953477046698	0.740923562880016	0.61002417626737	0.605267405894684	0.723489271030532	0.558425607269069	0.619207676257257	0.690634341268184	0.672530488664801	0.613809920501376	0.607728357013771	0.835578390916832	0.821893521098222	0.736790133408569	0.616241862092204	0.580366217364501
ZB_7	0.365900491223104	0.472169155065035	0.246604463556242	0.31069317962099	0.363991978746975	0.622081830368489	0	0.315331850894846	0.527179303623332	0.400086774062829	0.373816984418979	0.494869114710911	0.589754658262678	0.376654654698028	0.336630071401651	0.39062478295812	0.463092314831711	0.376467572564439	0.341323905284136	0.362481691378066	0.465539582202455	0.40273058786601	0.338169850323275	0.28740023616342	0.500755257576236	0.481520329836344	0.615605200193056	0.393305170425878	0.340915411872694	0.462705484824367	0.521617049711412	0.474667412483103	0.378924507279313	0.606411929326086	0.42307684982564	0.257088616151905	0.36415522957405	0.471895450868603	0.45759085668663	0.452990312986491	0.420876253734586	0.493756292858462	0.327075342775376	0.475331001264281	0.295181969346987	0.221917163389535	0.377033324454151	0.440283826646436	0.304743480996038	0.421677574972623	0.280746182241552	0.23701244515239	0.464061025254105	0.480109299339478	0.36221940089628	0.430834836993088	0.395846058182373	0.435904781275573	0.409410881024533	0.584130991163458	0.543039919369647	0.398100820678995	0.411386189871555	0.474830951861603
ZB_8	0.366817371554823	0.490160304303946	0.408842070568804	0.299307273097142	0.296492292630194	0.670352390650451	0.315331850894846	0	0.54750446458384	0.541955627373227	0.435106509037545	0.376249154099125	0.548729148767001	0.237175533752607	0.245107524297126	0.347216256112473	0.505106180322151	0.254020007795245	0.444068980967825	0.305080012344617	0.584236007864024	0.280912635284157	0.371131924692678	0.335140994355954	0.291238033737537	0.509579176726036	0.53850509729709	0.388140319005852	0.241150100636347	0.374786788170833	0.464649085491256	0.438697336487003	0.319371456677626	0.684947192142007	0.44048438328417	0.352944601347726	0.295014430069083	0.425441425919578	0.542513204448505	0.457683973016187	0.385290742519542	0.496127343303343	0.39928256256526	0.587726635732586	0.290298923266678	0.328582884879181	0.467665985028985	0.443623206002193	0.345920835741656	0.425598375125339	0.334729819962283	0.373200283699121	0.50721539434477	0.357236089275164	0.395060663384456	0.459870895068108	0.328375323653226	0.438614089403702	0.361801593811823	0.562866272034398	0.538678445859292	0.229902048748036	0.47862137165533	0.494132525423677
ZB_9	0.529832663211711	0.536134671275053	0.55219766027959	0.484057421031799	0.534441874396778	0.83314171113487	0.527179303623332	0.54750446458384	0	0.411125945245244	0.559059717036046	0.467257387815791	0.684782584629146	0.511252633125949	0.534388543803653	0.320958163174744	0.637024003823076	0.467348969469236	0.45185621121629	0.527634815535315	0.429268511003241	0.513211525498127	0.352029832151648	0.451535689568766	0.46232130740302	0.484530808166742	0.593022376061586	0.368389007311008	0.492285965301213	0.52394993730969	0.392650465903202	0.555342686787023	0.52662582737066	0.797594107759042	0.58388510188909	0.501589569158844	0.518970329187187	0.517810864260148	0.434105152072032	0.349928905691038	0.446911326723934	0.408348149376569	0.599505213062664	0.553481003104934	0.49035106626943	0.509579079376275	0.375642875489591	0.511658453847707	0.469490223160513	0.50704558849909	0.461151774053113	0.447612379625163	0.402803916000443	0.569447088607595	0.584775055154637	0.450218871871838	0.526249358614547	0.414264980060809	0.560402308806176	0.17786698786717	0.419733991068875	0.463464446521111	0.362898129643081	0.707286416061512
ZB_10	0.397099950958951	0.510495345335203	0.361417222003104	0.46064600550834	0.527550811194599	0.702309025877908	0.400086774062829	0.541955627373227	0.411125945245244	0	0.504486028023517	0.488257915539929	0.717005792222699	0.480212237789741	0.425632156316068	0.395019012598345	0.539457287820489	0.527290844736169	0.421972023398331	0.543709729954362	0.219321936272541	0.503790675722095	0.407553157929956	0.48100254888887	0.548015050687598	0.538926857553583	0.666040985142165	0.269617344097839	0.484883679376765	0.566109029365538	0.365225632460784	0.54819019881041	0.533953865574215	0.734316973223058	0.535534922816806	0.393378341006936	0.508219031033507	0.537098046218175	0.333783609931815	0.345667701500899	0.412951446081528	0.393752836710231	0.570076970136725	0.253490066523216	0.413779689651746	0.421579825268412	0.191383834149616	0.356578032716886	0.457960223066306	0.469112889787804	0.427096238189598	0.352984170626608	0.306109510086455	0.486574251180502	0.496064319408346	0.322107586575924	0.543013798808556	0.400388704138399	0.533531797463258	0.49577030785182	0.628557775524182	0.536431272511348	0.235712434783306	0.558034415007766
