ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.415489775060712	0.498543246801995	0.540587250211341	0.539851559763082	0.762055876225843	0.431600874831513	0.462946116602892	0.668120144352391	0.233221904200077	0.537787310532288	0.544775031524013	0.773388738832329	0.540587250211341	0.543644988566803	0.549483519942104	0.38652604044291	0.471635373318752	0.579443881911805	0.500750619956483	0.454609160372945	0.469815141567171	0.631355173564061	0.510835276368125	0.477037090398278	0.663718486847251	0.544775031524013	0.375032680171161	0.540587250211341	0.503393438838587	0.480928613525858	0.533932533320378	0.695405594613918	0.813298520688964	0.552052200982284	0.503980412118378	0.540587250211341	0.485872612095248	0.116961651608141	0.468291747162419	0.621348197101492	0.544108311755032	0.440674967903828	0.30591462772931	0.543644988566803	0.522937168811507	0.439982586011562	0.448291164815222	0.58471855478405	0.622417571674148	0.427607169303656	0.445531220563119	0.400881322809066	0.552226414414739	0.690127099239507	0.269037831812165	0.573099511168728	0.609815853798734	0.477056281899945	0.560938190658612	0.641938012657502	0.543644988566803	0.549483519942104	0.530574816840574
ZB_2	0.415489775060712	0	0.459791418201585	0.259353549754266	0.291105658477001	0.627158941845212	0.413326272943608	0.329931845950351	0.493473026158381	0.540686685651052	0.395472169270632	0.453296739721305	0.632656247660643	0.259353549754266	0.266025286770819	0.49792482818831	0.409072488774659	0.331205240537978	0.336931848528548	0.1465422082582	0.555921558653592	0.344939964362939	0.443838836704127	0.607817148184875	0.485131788951103	0.456988982831526	0.453296739721305	0.460773927346734	0.259353549754266	0.410506493639406	0.374500235051823	0.421641104714644	0.507161490621621	0.744378262615446	0.43849411073719	0.304494326448683	0.259353549754266	0.312863201887313	0.507253792158174	0.532001607570194	0.389648868747024	0.621611379707183	0.51199331136576	0.516324954543949	0.266025286770819	0.518301379171391	0.613692466171142	0.601130603850347	0.494393191198899	0.389856272396797	0.330605196503174	0.224423424331107	0.553230820137384	0.437506231319888	0.511622672868503	0.493241938232565	0.422940696296228	0.569588771238611	0.443441915721105	0.307118343136574	0.360904754247735	0.266025286770819	0.49792482818831	0.392591566319742
ZB_3	0.498543246801995	0.459791418201585	0	0.400423184616832	0.526262802752332	0.765829251270563	0.237985306735307	0.460074521757651	0.461514094844681	0.595283856900589	0.724083545501656	0.591909163607368	0.758559318592974	0.400423184616832	0.406085782374962	0.439368833118833	0.588665561578464	0.461145687387291	0.479441076274612	0.541703242281567	0.653777551141002	0.460100087505998	0.365458032641616	0.306528075675081	0.631820459455133	0.611159297767921	0.591909163607368	0.603587229547184	0.400423184616832	0.536800442609695	0.511573365724898	0.626614411004308	0.47296834774327	0.681765107677239	0.660069491102451	0.367847999341603	0.400423184616832	0.406445531298669	0.60320549873581	0.586417176821971	0.542111850066713	0.697083953997184	0.392704400092471	0.713326557899571	0.406085782374962	0.383368746897747	0.719693251425038	0.72871758781571	0.233019692087361	0.631663463378512	0.162479076785251	0.261149659563295	0.620959324751547	0.596822483954182	0.651216841176424	0.600336650329224	0.512041654370758	0.525203775203775	0.540786360473208	0.456411362968702	0.736751153465957	0.406085782374962	0.439368833118833	0.720462408494433
ZB_4	0.540587250211341	0.259353549754266	0.400423184616832	0	0.22102915936102	0.495162797868548	0.356291408928412	0.111903639534375	0.466597371604095	0.604747006649317	0.477861436800875	0.286630200174509	0.498834046338365	0	0.0107570384143052	0.470763072851969	0.358686929577681	0.113884912241022	0.130381527723238	0.194237002669378	0.605841268531223	0.281041921686961	0.40974308615107	0.464980540332006	0.338553913238494	0.297017173551404	0.286630200174509	0.528392720062514	0	0.373474960216354	0.339558614256274	0.487930505201229	0.336148761337367	0.636948549123898	0.401540772957243	0.241263262305826	0	0.375400575974842	0.634487595460406	0.597709590884671	0.188985604770758	0.532329316583018	0.347873052614857	0.562727765063503	0.0107570384143052	0.362140450011914	0.659366055410236	0.591680994134594	0.44342607420955	0.338240260551358	0.260205132639385	0.144955990325756	0.614000176185952	0.267884607018469	0.377075594535629	0.632108752346336	0.493788298979613	0.427120442854236	0.500758715444751	0.263411009076915	0.563026017542131	0.0107570384143052	0.470763072851969	0.444752767670138
ZB_5	0.539851559763082	0.291105658477001	0.526262802752332	0.22102915936102	0	0.385585808637603	0.479072793104896	0.292158165109846	0.550012484689053	0.590754096658385	0.286053037685111	0.406973094265511	0.38698908554021	0.22102915936102	0.227726268910685	0.554994177228361	0.37508824644319	0.293447245627581	0.295004185244025	0.238644906834453	0.598440744775419	0.223007763886622	0.512629295231417	0.568816475515049	0.441298756588596	0.195116994038163	0.406973094265511	0.519979918724681	0.22102915936102	0.465840512447917	0.444671663711927	0.410182986838959	0.460593391105968	0.521711410005082	0.203626543209877	0.182271256104968	0.22102915936102	0.189070729588196	0.625534885524802	0.441838081418665	0.341017235162276	0.45222309246053	0.471119003714488	0.55141847956972	0.227726268910685	0.483021647021405	0.640584816701125	0.457911451137278	0.369676973339909	0.119422964975831	0.41157884664986	0.317316892560883	0.469600197551319	0.391702051204634	0.282755189347967	0.614864389675853	0.402296951887465	0.524537732843897	0.584246893038049	0.391803997194951	0.547556539270687	0.227726268910685	0.554994177228361	0.442400853575639
ZB_6	0.762055876225843	0.627158941845212	0.765829251270563	0.495162797868548	0.385585808637603	0	0.695614387350831	0.542989109338404	0.654337009617632	0.705704257784768	0.463413857132455	0.457768389586225	0.0491684975796224	0.495162797868548	0.486131587315353	0.641874404992772	0.610514634631043	0.531872356954597	0.516032425589262	0.577760311262522	0.748732004293569	0.442756669195596	0.601144583517683	0.787850798867058	0.515677504313868	0.237559512620744	0.457768389586225	0.624127393193275	0.495162797868548	0.54615278235801	0.51227154660743	0.609435091351036	0.572569626610032	0.288667899468186	0.378353865214241	0.426319899559494	0.495162797868548	0.517317895122767	0.742753778005669	0.578041647567022	0.401171562464282	0.50852677079304	0.685568859545673	0.669142154710686	0.486131587315353	0.698030036053571	0.764122699555396	0.563368511532401	0.629900990541879	0.304831961653486	0.645205116817369	0.546060763847108	0.594575747035791	0.464960244801726	0.335122571806038	0.741070676551599	0.637583552064065	0.612732014580505	0.803901223128598	0.456801920554594	0.479928334330319	0.486131587315353	0.641874404992772	0.551682956566928
ZB_7	0.431600874831513	0.413326272943608	0.237985306735307	0.356291408928412	0.479072793104896	0.695614387350831	0	0.256802343290179	0.410733311715384	0.528679668296372	0.666221672875748	0.387359047572957	0.687007971074041	0.356291408928412	0.361771117166213	0.201383526383526	0.543394035557066	0.415595027455449	0.43178769859178	0.487586794462194	0.710093057861538	0.419569231453742	0.317862505362505	0.277147614658037	0.44727535080807	0.554177934316534	0.387359047572957	0.557704838254002	0.356291408928412	0.347927394986594	0.304238545182728	0.456759906536869	0.413876348379309	0.608766199899399	0.605938990594856	0.331632249467059	0.356291408928412	0.506234527329448	0.530135527571741	0.410853203841247	0.48300687628727	0.552270365252178	0.358136788100247	0.563480862213338	0.361771117166213	0.166341872525839	0.669275104643687	0.604285361805213	0.388486448465804	0.575738556804871	0.336126327100293	0.230268982352048	0.6499931702508	0.539219687850278	0.596485530254922	0.636624748508187	0.600680281854443	0.287218468468468	0.493282145683298	0.405716020976652	0.662645042049891	0.361771117166213	0.201383526383526	0.65409385097082
ZB_8	0.462946116602892	0.329931845950351	0.460074521757651	0.111903639534375	0.292158165109846	0.542989109338404	0.256802343290179	0	0.515636209724353	0.532873500842953	0.520685325907396	0.175796896606269	0.547171989653756	0.111903639534375	0.120398103878477	0.367384382540657	0.408055244467756	0.20288588478194	0.218652958700859	0.277370338528184	0.638265318681985	0.340763204641104	0.470763072851969	0.366395479456718	0.238114394974556	0.364820550393535	0.175796896606269	0.561202429071995	0.111903639534375	0.279033366087811	0.236179923944962	0.403525644762049	0.410436131053118	0.671006402712245	0.451729603153613	0.307838044185192	0.111903639534375	0.428446310784762	0.557548987659219	0.519128045482583	0.27974106731168	0.458117946913298	0.24928799173957	0.486834611554655	0.120398103878477	0.263555389136626	0.584998425067448	0.528438264748315	0.493938400021727	0.398666543354156	0.333806632757053	0.230023519927814	0.638691333374562	0.341131385432428	0.430906211956046	0.658550386070682	0.539729959533623	0.315216803319861	0.406317121316208	0.339558614256274	0.605274168636301	0.120398103878477	0.367384382540657	0.497433769410531
ZB_9	0.668120144352391	0.493473026158381	0.461514094844681	0.466597371604095	0.550012484689053	0.654337009617632	0.410733311715384	0.515636209724353	0	0.629818866816218	0.610142195527187	0.467433757588094	0.643195390992763	0.466597371604095	0.471217470057667	0.286631597837547	0.499325629716035	0.516524325454749	0.500797201180425	0.559869962485772	0.701036977881032	0.50946337244284	0.187681599029343	0.621427365063484	0.500445263185465	0.470933888118354	0.467433757588094	0.406405976330788	0.466597371604095	0.449561332338082	0.382150585161026	0.661460686242874	0.269216769373224	0.607406987471203	0.540528983688833	0.480180521240137	0.466597371604095	0.580022170745915	0.640314584758416	0.479986182565914	0.399582617898295	0.503139068607324	0.659042554215661	0.664614127746917	0.471217470057667	0.524545864626291	0.651881840978966	0.570481475880379	0.499042564069196	0.50022163943304	0.528467660277877	0.426271838135637	0.513322471180585	0.450358544305317	0.350030050855294	0.637883508553678	0.701259262342852	0.376396397406851	0.704746758205853	0.309278490463585	0.611909165251305	0.471217470057667	0.286631597837547	0.750937875073614
ZB_10	0.233221904200077	0.540686685651052	0.595283856900589	0.604747006649317	0.590754096658385	0.705704257784768	0.528679668296372	0.532873500842953	0.629818866816218	0	0.520496002092054	0.480048470026666	0.716616346649258	0.604747006649317	0.607183494143104	0.507640675565016	0.447538241101701	0.54049019027512	0.623078512950858	0.602088985985326	0.357582573812008	0.53275559202483	0.589045023301484	0.600589631387673	0.412361940916445	0.607033588841004	0.480048470026666	0.289352884219166	0.604747006649317	0.465033287044601	0.420925070512381	0.640007587696259	0.653241603009624	0.774228851688217	0.489939439680498	0.569654683422089	0.604747006649317	0.535900055731005	0.145040878055825	0.430996919460095	0.556991249232755	0.529859638581321	0.513604673899119	0.170176724000622	0.607183494143104	0.606643081197989	0.316306928148738	0.287321292999284	0.663923530801612	0.556431658200801	0.511327274826995	0.522928491870503	0.319443700134625	0.488341070768872	0.638163524641685	0.152364027310874	0.682301588076887	0.567628645365844	0.605566017303492	0.501482568004347	0.633278134949849	0.607183494143104	0.507640675565016	0.646763478935958
