ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.372317326180687	0.326892640464257	0.889348465497891	0.461757740808715	0.69000742098169	0.161386870737919	0.791326607084603	0.350473597107947	0.177418293341055	0.345823815929326	0.545584049412846	0.679214731889349	0.928007112847856	0.928007112847856	0.457166341840879	0.263228616303089	0.74820108090627	0.442243339873329	0.351650389197323	0.237773835000884	0.787323090961736	0.459801002019376	0.434283305058374	0.581923795958337	0.727347695260895	0.666182573932719	0.46975304060144	0.754623624248289	0.593373459683265	0.325758713224555	0.502752924982794	0.478924593316772	0.68997809686055	0.369580619703537	0.32304704154626	0.802669713218852	0.562756523155943	0.105015606655021	0.418979981838635	0.41674714067997	0.379939737373988	0.467312157942662	0.313538148971803	0.928007112847856	0.51680804362489	0.349446054733643	0.364140828450521	0.169844423530505	0.521002617890049	0.324638210856983	0.326892640464257	0.279022356275934	0.229382285316254	0.675432797236878	0.187171860015279	0.575895544852498	0.453261591423499	0.50370806002357	0.464268393575443	0.373929600694146	0.765679213123862	0.4316665187325	0.364458631684941
ZB_2	0.372317326180687	0	0.452976584934835	0.785122031727403	0.23885344608091	0.615610049672701	0.35651387146139	0.747024004400152	0.239669310451384	0.44247178885074	0.316944845367184	0.466597061630373	0.600241130502639	0.814519191734	0.814519191734	0.366195044716123	0.373596067684545	0.687060095554705	0.544925753314174	0.0416918756377493	0.4669670381788	0.923504169838309	0.384230854194725	0.335954188065264	0.513649531104237	0.679266179324148	0.587285479024616	0.619361535120748	0.737080807094255	0.673882586716629	0.546155452678478	0.45717505634861	0.378038315566222	0.612508459908356	0.477019438551361	0.449923642926558	0.928784284001059	0.512288524220062	0.388772719961396	0.530473299106173	0.431667965566271	0.559411420164463	0.368507314848465	0.51586599737995	0.814519191734	0.428730255358688	0.543067125844123	0.54899146671073	0.33560750326131	0.43428391935883	0.456237881353852	0.452976584934835	0.505243582628183	0.461601756121204	0.694819359087399	0.439671824634976	0.505902598806179	0.473545189586472	0.594218895440797	0.375483677875879	0.0128621395398829	0.729518008829642	0.537946199052433	0.0328674241236772
ZB_3	0.326892640464257	0.452976584934835	0	0.7749882952972	0.305291706550818	0.688507502484668	0.222261910235146	0.564764410768316	0.393183642723006	0.397441256259579	0.409390943417981	0.293986312528615	0.666828349951343	0.799049739742153	0.799049739742153	0.472957774974413	0.453230434155632	0.492622181590257	0.188911103525625	0.481306604815551	0.422578679049395	0.589980868211288	0.179508489501735	0.415764291907423	0.355910551796151	0.501899273334687	0.65487593870962	0.40645281233099	0.597345846033277	0.4397625454802	0.262381417316905	0.281980707884907	0.177621714091789	0.676884039737709	0.333455986969278	0.00639762909312104	0.62168764395226	0.349136213929427	0.344785651819287	0.167254778282912	0.323508382116253	0.306366715714836	0.163901669607902	0.232453372454848	0.799049739742153	0.254251340113538	0.277157378759627	0.280901590983073	0.213052719434434	0.251499497278369	0.00375935861027511	0	0.453681984422704	0.128502037268765	0.606077172462018	0.387150003141742	0.345710373405114	0.377172951179035	0.286342733977093	0.170826245486471	0.450687848219326	0.543660935686608	0.167778425725371	0.464392656407236
ZB_4	0.889348465497891	0.785122031727403	0.7749882952972	0	0.613189155994821	0.932212465570764	0.916727261709992	0.738652462946818	0.905153820936211	0.902091466337922	0.73817583951362	0.779557470521213	0.746381848124929	0.516291875060981	0.516291875060981	0.91889180163387	0.838747581160789	0.730666910004703	0.806692682592864	0.77937449127086	0.90691058564975	0.576163481759166	0.742429943841044	0.890112203603927	0.795678523778295	0.54533348091677	0.904635233091707	0.821460355496764	0.659849954234407	0.768973214285714	0.780268322515481	0.760859553654612	0.750596230498294	0.743468443508617	0.717212359676671	0.773970015435071	0.615150183859775	0.657151576328083	0.896680383592088	0.800112384656397	0.749585949983729	0.797515208401243	0.745629963710892	0.780720165527918	0.516291875060981	0.766959666145664	0.789710353885027	0.793451633386013	0.917271167564639	0.649517495354595	0.774391050850843	0.7749882952972	0.814881846960637	0.760458746924923	0.67225525222498	0.902874528396026	0.792987705688009	0.758286295615647	0.824557622218209	0.744220017268468	0.785573320045157	0.751580542094376	0.80003452526652	0.782842365767985
ZB_5	0.461757740808715	0.23885344608091	0.305291706550818	0.613189155994821	0	0.711411501383479	0.47244342648876	0.575590871372038	0.396709861693545	0.53591178558116	0.443828071159233	0.322589427014931	0.698386644048767	0.615053509334594	0.615053509334594	0.489288238812463	0.465006427545182	0.512526427061311	0.422065226823753	0.212785449096688	0.56271764434269	0.757290083654586	0.177152907488026	0.423043704693297	0.382345078913057	0.51899494145574	0.685745227617443	0.523462309295274	0.583780042299558	0.576461828019353	0.404753862828624	0.250757726159751	0.210121672154937	0.708506730452399	0.320189405686709	0.301414534067595	0.774454527079499	0.35096122151233	0.504766340376623	0.398440550987607	0.288480644412848	0.448408177948318	0.190140165022049	0.393891787385753	0.615053509334594	0.274499375220275	0.423271199967209	0.435362989365846	0.476695597266244	0.281552412318275	0.303018643749558	0.305291706550818	0.581601213116942	0.325956046247531	0.589502195520569	0.540133284437082	0.37250663695969	0.333001931919605	0.4846664861162	0.184781864995769	0.240884266395803	0.550517078369132	0.411031751681444	0.228906993815092
ZB_6	0.69000742098169	0.615610049672701	0.688507502484668	0.932212465570764	0.711411501383479	0	0.61721380010769	0.570536121208079	0.539216275095413	0.717185880631592	0.727640479376979	0.670335710653969	0.388801487869659	0.939620358127339	0.939620358127339	0.619652084196639	0.748644639787512	0.410177993320452	0.724742483915105	0.638260270220117	0.737554526641754	0.8823163538874	0.636453214258987	0.609485833277951	0.703298775906475	0.546088823927306	0.434508200102538	0.816125452171047	0.73751591549953	0.809053002186284	0.774849931969159	0.670985687705203	0.605895954232019	0.375610010020431	0.800645247689892	0.694771981951096	0.89436538372684	0.696789474538051	0.697908065915004	0.745470807976289	0.686162158272911	0.78557318503165	0.634944494412478	0.763093033444519	0.939620358127339	0.681509398509825	0.778549194335938	0.755961100260417	0.623690579083838	0.676440012805709	0.692188620048412	0.688507502484668	0.745041850551157	0.704241587405303	0.74415647087367	0.717530300815437	0.697930274651767	0.747289595958077	0.757807649401586	0.625937754711646	0.612356684009228	0.485604873222841	0.745985256376529	0.613571681103058
ZB_7	0.161386870737919	0.35651387146139	0.222261910235146	0.916727261709992	0.47244342648876	0.61721380010769	0	0.755990012565889	0.219767727384341	0.286718067654342	0.321780590404994	0.480827432023451	0.616777740263934	0.961185273973589	0.961185273973589	0.366738466671018	0.351972395015308	0.705493069361992	0.369185271026536	0.357404303355797	0.338745130140828	0.766780950426079	0.37020754819049	0.347781128173389	0.526363895255014	0.680555895452988	0.603534113514579	0.539225172390481	0.736044310242092	0.557820687529404	0.40797300654362	0.454428402702929	0.395257834062285	0.628950574695771	0.46703184675366	0.228659539328267	0.785107627930068	0.50244174848566	0.224314222002511	0.349019970690154	0.502536711817573	0.461527636503688	0.380073695943883	0.404148191859337	0.961185273973589	0.453122923377782	0.435170390244029	0.440729777018229	0.0277362956755094	0.449584427291323	0.219327080774446	0.222261910235146	0.365863786177922	0.322202839231447	0.739247346004704	0.285076640496741	0.518863116016498	0.542044755667289	0.444961561176536	0.376048092525215	0.347194497401966	0.720732785605029	0.35476519172637	0.336450054542621
ZB_8	0.791326607084603	0.747024004400152	0.564764410768316	0.738652462946818	0.575590871372038	0.570536121208079	0.755990012565889	0	0.710290441960047	0.80074780814853	0.810712028494858	0.57616746675061	0.67933102317764	0.523356896509552	0.523356896509552	0.75426623331192	0.824434633539206	0.258641358641359	0.537512298526472	0.765261490956337	0.812445993572628	0.648145843187042	0.493946833242054	0.704096037955775	0.501482578542652	0.434276758628224	0.695373637420906	0.658069920578536	0.50647297629098	0.671802387713352	0.663240417674449	0.415896481018002	0.501477340047393	0.674855248098027	0.701085298754037	0.562204309641253	0.537821645797549	0.485008354828767	0.790865905766576	0.629860953320439	0.472689632166089	0.686754640249776	0.494156852349756	0.655491900384063	0.523356896509552	0.544389851041223	0.675772109867278	0.679278811453835	0.752207008450851	0.549065248407473	0.568200625824304	0.564764410768316	0.820617288249701	0.616456579640787	0.664791965423837	0.80590632402007	0.492462422286928	0.616418609058721	0.593068392333436	0.484230929825435	0.751973129635838	0.113388298644859	0.625630131768095	0.754263193878356
ZB_9	0.350473597107947	0.239669310451384	0.393183642723006	0.905153820936211	0.396709861693545	0.539216275095413	0.219767727384341	0.710290441960047	0	0.444813723213205	0.470831328719638	0.41053441618227	0.553818053782844	0.954905616796494	0.954905616796494	0.255549192134812	0.494387949045112	0.658074078981145	0.507817990413603	0.237807313545899	0.485272939500053	0.911141412603766	0.260423356594527	0.227224106147159	0.469474960036856	0.640014345877691	0.539760304304852	0.641328505273121	0.707480110024207	0.655827695851787	0.527659023902792	0.372583180904295	0.295311081814784	0.568416883059724	0.587203115054106	0.399581271816127	0.91818751118268	0.438710352768764	0.396198835608887	0.493270972806313	0.438833344780107	0.580848006636316	0.274228478613969	0.536183302872098	0.954905616796494	0.37291309615271	0.560331276237042	0.563639322916667	0.243180713868594	0.369155597060197	0.390893794063146	0.393183642723006	0.50522646074171	0.471160780881111	0.718716600101254	0.44219372246875	0.459875659085543	0.473392805077018	0.566941097487721	0.268566214095654	0.227892074806055	0.679970724751995	0.484819369715603	0.212496843651723
ZB_10	0.177418293341055	0.44247178885074	0.397441256259579	0.902091466337922	0.53591178558116	0.717185880631592	0.286718067654342	0.80074780814853	0.444813723213205	0	0.408956191769301	0.400957938336079	0.704665935857436	0.937269707975965	0.937269707975965	0.511820278294582	0.348502938661696	0.767203513909224	0.489322685732941	0.456269760791598	0.0737380573491126	0.816241746078677	0.524146725718315	0.494068339654665	0.61220222884489	0.743837980954424	0.495188732609207	0.355640620526578	0.78203523195582	0.491116770535233	0.397989985951515	0.570889951861556	0.528884636163516	0.713989375158108	0.445078595514473	0.394448562721357	0.827812138892572	0.604434879168431	0.222073859998903	0.474350592590996	0.470798213927353	0.431619457445157	0.524053447856649	0.165807319550833	0.937269707975965	0.559034635094984	0.214381533846916	0.227300008138021	0.284697532091286	0.562407783278534	0.400345318395034	0.397441256259579	0.123863515122854	0.311265451593742	0.561415887949484	0.019091710186997	0.440916616496087	0.504637512482847	0.379122800112064	0.517164438127035	0.44858104262328	0.785824239988474	0.481351130949826	0.44792689531223
