ZB_1	ZB_2	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_9	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_21	ZB_22	ZB_23	ZB_24	ZB_25	ZB_26	ZB_27	ZB_28	ZB_29	ZB_30	ZB_31	ZB_32	ZB_33	ZB_34	ZB_35	ZB_36	ZB_37	ZB_38	ZB_39	ZB_40	ZB_41	ZB_42	ZB_43	ZB_44	ZB_45	ZB_46	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_60	ZB_61	ZB_62	ZB_63	ZB_64
ZB_1	0	0.594972289781109	0.206130853819046	0.640145927195885	0.604157736819546	0.679122930551689	0.0702628639251553	0.443339975897731	0.178742232772464	0.0557872010811345	0.624058619987788	0.506036326119695	0.862409827576483	0.516859773627707	0.516859773627707	0.164490679326957	0.585500283686898	0.506036326119695	0.332278973662237	0.323831631846508	0.0209104237938979	0.692721943129333	0.217041492981887	0.209296236821895	0.506036326119695	0.543368099543585	0.70411367170368	0.484024236083867	0.458046298020232	0.604157736819546	0.137471200167563	0.290756126509809	0.506036326119695	0.779972675254873	0.246170614615314	0.0755310908581505	0.516859773627707	0.290756126509809	0.0209104237938979	0.164490679326957	0.246170614615314	0.49313216390668	0.253407386653922	0.0755310908581505	0.506036326119695	0.246170614615314	0.459121194881833	0.114499728068296	0.440871576093457	0.424928176170056	0.0209104237938979	0.0665701520105833	0.561121021500329	0.323831631846508	0.643943257721515	0.0755310908581505	0.429630201497723	0.301342246736019	0.40117748483933	0.15172275361307	0.593047536542496	0.506036326119695	0.164490679326957	0.323831631846508
ZB_2	0.594972289781109	0	0.604008551333069	0.192787802427748	0.465608226351275	0.753024645692683	0.578041194826503	0.635055278135153	0.548929604200547	0.608192153043612	0.141854282848971	0.611706069371071	0.358789711471805	0.615489770364499	0.615489770364499	0.552981298129813	0.701513841059954	0.611706069371071	0.568983994363793	0.480834508641503	0.590077275386881	0.16484606057859	0.517819578502167	0.539990716946102	0.611706069371071	0.243382559075412	0.130871560729568	0.55536421016044	0.637293572016818	0.465608226351275	0.560466424368294	0.51433079148041	0.611706069371071	0.378346658106712	0.508264182128989	0.603613270770942	0.615489770364499	0.51433079148041	0.590077275386881	0.552981298129813	0.508264182128989	0.533082257689883	0.556968097865195	0.603613270770942	0.611706069371071	0.508264182128989	0.183833930017266	0.594254417278687	0.155963117648246	0.53903990746096	0.590077275386881	0.561805177249158	0.37516854496915	0.480834508641503	0.38241796366079	0.603613270770942	0.583734140582182	0.705688155953415	0.568780808761495	0.556549876407131	0.490953817213296	0.611706069371071	0.552981298129813	0.480834508641503
ZB_3	0.206130853819046	0.604008551333069	0	0.645324800233384	0.612238157090124	0.704047800199633	0.233145218179986	0.476443456057985	0.322619887418839	0.242423423910107	0.533245814359493	0.532298699989922	0.877674000939006	0.540510117233616	0.540510117233616	0.310865089762601	0.442982392997509	0.532298699989922	0.128323807604267	0.374663480226314	0.192438922560861	0.707088695104289	0.28227350599617	0.347821079454658	0.532298699989922	0.437776582267497	0.703830322589468	0.538432543207095	0.488847646592656	0.612238157090124	0.288579202718072	0.415009861648983	0.532298699989922	0.670231809430193	0.307474698031989	0.229964582818549	0.540510117233616	0.415009861648983	0.192438922560861	0.310865089762601	0.307474698031989	0.548195164191629	0.378126458556407	0.229964582818549	0.532298699989922	0.307474698031989	0.479140043599188	0.262423468687368	0.463066537211518	0.222570939088121	0.192438922560861	0.152092541138193	0.599274187211121	0.374663480226314	0.558337407624963	0.229964582818549	0.297167998242869	0.423741380054995	0.26291732051079	0.300334000374311	0.637256346049983	0.532298699989922	0.310865089762601	0.374663480226314
ZB_4	0.640145927195885	0.192787802427748	0.645324800233384	0	0.588516869107352	0.888893706505951	0.625103194753812	0.631545519501877	0.599238484295126	0.651891349834633	0.305361259041412	0.589468496474335	0.322067632117674	0.610952768729642	0.610952768729642	0.602838283828383	0.686432883493035	0.589468496474335	0.623346096417959	0.639367919763331	0.635796864596574	0.141501971618144	0.568128458596746	0.686708777262389	0.589468496474335	0.284366832762098	0.081096620921475	0.591165109132705	0.598363925422749	0.588516869107352	0.609488577362409	0.670477945461711	0.589468496474335	0.308758711621774	0.657131096933525	0.647823160441318	0.610952768729642	0.670477945461711	0.635796864596574	0.602838283828383	0.657131096933525	0.570677240601254	0.697515170351198	0.647823160441318	0.589468496474335	0.657131096933525	0.228043819687643	0.639508120603316	0.201682706857938	0.677221604006041	0.635796864596574	0.60752476645885	0.4101872636024	0.639367919763331	0.415871000601594	0.647823160441318	0.714662655119049	0.591762933199397	0.705066171210556	0.606008850668165	0.612472112762738	0.589468496474335	0.602838283828383	0.639367919763331
ZB_5	0.604157736819546	0.465608226351275	0.612238157090124	0.588516869107352	0	0.759546075801485	0.588001196433007	0.644089062799056	0.560292820698723	0.616794137895263	0.535348698982961	0.622217829150871	0.737093193092252	0.625504872509202	0.625504872509202	0.564143819453383	0.708710263726135	0.622217829150871	0.578715872169148	0.494889178314766	0.599483509767974	0.573407899821544	0.529966508497319	0.551802870032318	0.622217829150871	0.570217006280708	0.564634648168832	0.18448900369076	0.646218238701222	0	0.571262766945218	0.527478661301951	0.622217829150871	0.704611969714324	0.520891011570576	0.612415227157833	0.625504872509202	0.527478661301951	0.599483509767974	0.564143819453383	0.520891011570576	0.133155500909134	0.567934840397252	0.612415227157833	0.622217829150871	0.520891011570576	0.543423751994529	0.603472083298772	0.531160860578506	0.55015353386807	0.599483509767974	0.57186015337	0.357180112273165	0.494889178314766	0.365233791110439	0.612415227157833	0.593430288112784	0.712687062669186	0.579177389872461	0.56753707714494	0.0325894829871851	0.622217829150871	0.564143819453383	0.494889178314766
ZB_6	0.679122930551689	0.753024645692683	0.704047800199633	0.888893706505951	0.759546075801485	0	0.68411473312786	0.79062226280773	0.646378148756836	0.695975299447651	0.809161730687441	0.775253798758962	0.917198571589248	0.770676845199216	0.770676845199216	0.651842319411063	0.895151455809441	0.775253798758962	0.661986989381039	0.53517003968689	0.698740727397776	0.860650179609175	0.59250929850359	0.634065322035247	0.775253798758962	0.78865788259977	0.88058692980259	0.82341479334242	0.77076193605934	0.759546075801485	0.661751457096104	0.596618940074989	0.775253798758962	0.872682585050658	0.578320802005013	0.714562775398746	0.770676845199216	0.596618940074989	0.698740727397776	0.651842319411063	0.578320802005013	0.812545215557208	0.657149779160998	0.714562775398746	0.775253798758962	0.578320802005013	0.797485706643485	0.703692369639622	0.790718336763857	0.622593307994268	0.698740727397776	0.652848510652234	0.860191356288995	0.53517003968689	0.82749393792882	0.714562775398746	0.691100047853719	0.897588161647075	0.672485157063636	0.656596201409305	0.791333246374675	0.775253798758962	0.651842319411063	0.53517003968689
ZB_7	0.0702628639251553	0.578041194826503	0.233145218179986	0.625103194753812	0.588001196433007	0.68411473312786	0	0.405649746022135	0.116677461443872	0.122130296487961	0.60951561831819	0.470571973817974	0.856485838966373	0.484147408080197	0.484147408080197	0.130013127969972	0.559359872162429	0.470571973817974	0.312616753150482	0.275285808557313	0.0504064605840197	0.695984893166735	0.160828621876616	0.149540517961571	0.470571973817974	0.578297728337643	0.691744938913898	0.463088026287938	0.472768768768769	0.588001196433007	0.101390455411127	0.237156561816526	0.470571973817974	0.807494185623955	0.192049082380638	0.104448628927857	0.484147408080197	0.237156561816526	0.0504064605840197	0.130013127969972	0.192049082380638	0.503250370521797	0.200356566022082	0.104448628927857	0.470571973817974	0.192049082380638	0.480382593087571	0.118372043468996	0.462638460141638	0.390186617842377	0.0504064605840197	0.0955914188449229	0.579300077400603	0.275285808557313	0.653208744081832	0.104448628927857	0.395471316353249	0.274984745668694	0.363412761824192	0.0876160438549557	0.575951744865587	0.470571973817974	0.130013127969972	0.275285808557313
ZB_8	0.443339975897731	0.635055278135153	0.476443456057985	0.631545519501877	0.644089062799056	0.79062226280773	0.405649746022135	0	0.47035713052188	0.390015674351562	0.700149096864077	0.217633175994606	0.835872470291792	0.112392833060399	0.112392833060399	0.477721486653327	0.460024765543258	0.217633175994606	0.51206641447824	0.349913087388446	0.432632483161131	0.555680126338885	0.421959727834767	0.313701117725317	0.217633175994606	0.680188466410982	0.602622517690374	0.620420246736888	0.211733002545073	0.644089062799056	0.491135796119163	0.404342717305806	0.217633175994606	0.777630616763742	0.259271487807957	0.378282475534468	0.112392833060399	0.404342717305806	0.432632483161131	0.477721486653327	0.259271487807957	0.705164748011248	0.247958281946454	0.378282475534468	0.217633175994606	0.259271487807957	0.594931275667977	0.35374768429661	0.627952122211275	0.460590140686188	0.432632483161131	0.387635172563281	0.700799357114433	0.349913087388446	0.736999653918746	0.378282475534468	0.451203003883777	0.327423192091554	0.505753146503795	0.484147408080197	0.673888309975969	0.217633175994606	0.477721486653327	0.349913087388446
ZB_9	0.178742232772464	0.548929604200547	0.322619887418839	0.599238484295126	0.560292820698723	0.646378148756836	0.116677461443872	0.47035713052188	0	0.22455790497223	0.584712633692914	0.404571348337144	0.846266655973236	0.423927947557242	0.423927947557242	0.0170573243085151	0.511828311580117	0.404571348337144	0.242851310525027	0.184940024872628	0.161202624166578	0.676025838073659	0.0562141453042885	0.214323694616046	0.404571348337144	0.574498774631711	0.670477945461711	0.52573355239948	0.414487082573703	0.560292820698723	0.0478488748583455	0.136393101176371	0.404571348337144	0.795974272316743	0.254709194622256	0.208939289497133	0.423927947557242	0.136393101176371	0.161202624166578	0.0170573243085151	0.254709194622256	0.494982182723682	0.262587675918952	0.208939289497133	0.404571348337144	0.254709194622256	0.541010233048161	0.176189934254874	0.525336440489882	0.327457649560979	0.161202624166578	0.201115516202151	0.628386276399134	0.184940024872628	0.652688533181766	0.208939289497133	0.333879772462746	0.34245740934615	0.294744515412385	0.0318521795491723	0.546541084042897	0.404571348337144	0.0170573243085151	0.184940024872628
ZB_10	0.0557872010811345	0.608192153043612	0.242423423910107	0.651891349834633	0.616794137895263	0.695975299447651	0.122130296487961	0.390015674351562	0.22455790497223	0	0.635474697454943	0.532376594018541	0.867025414616501	0.463535472081538	0.463535472081538	0.211101405804506	0.605195005719981	0.532376594018541	0.362804548646751	0.359887837805906	0.0755310908581505	0.660082538641776	0.258792208508259	0.253407386653922	0.532376594018541	0.513996147371709	0.713771225255282	0.451234810068339	0.405526593433873	0.616794137895263	0.185589267762084	0.330322857095769	0.532376594018541	0.78649030615147	0.28636804007593	0.019743889777016	0.463535472081538	0.330322857095769	0.0755310908581505	0.211101405804506	0.28636804007593	0.509752069317912	0.197620185572787	0.019743889777016	0.532376594018541	0.28636804007593	0.426481790394276	0.0587125269871615	0.459121194881833	0.451218194587002	0.0755310908581505	0.116344646696965	0.53463681031515	0.359887837805906	0.620130635272931	0.019743889777016	0.382115761178527	0.34031840730425	0.429630201497723	0.199045766929809	0.606391274234873	0.532376594018541	0.211101405804506	0.359887837805906
