ZB_1	ZB_2	ZB_4	ZB_5	ZB_9	ZB_11	ZB_14	ZB_16	ZB_17	ZB_18	ZB_20	ZB_21	ZB_22	ZB_28	ZB_29	ZB_35	ZB_36	ZB_37	ZB_39	ZB_40	ZB_42	ZB_45	ZB_47	ZB_48	ZB_49	ZB_50	ZB_51	ZB_53	ZB_55	ZB_56	ZB_58	ZB_59	ZB_60	ZB_61
ZB_1	0	0.904948038573167	0.896215083441948	1	1	0.904948038573167	0.725088004332521	0.619328833895763	0.786779376246981	1	0.868796846730421	1	1	1	0	0.904948038573167	1	0.78450517378615	0	1	0.619328833895763	1	0.766662836129625	0.725088004332521	0.725088004332521	0.904948038573167	1	0	0	0.743591362545776	1	1	1	0.872323702329676
ZB_2	0.904948038573167	0	0.0841447430015916	0.758075086602378	0.845356240052429	0	0.654245857129482	0.750304278625597	0.554208407452486	0.749297818556315	0.275535998502013	0.749297818556315	0.653964984552008	0.845356240052429	0.904948038573167	0	0.749297818556315	0.558913023125176	0.904948038573167	0.845356240052429	0.750304278625597	0.749297818556315	0.592641138470181	0.654245857129482	0.654245857129482	0	0.687693099897013	0.904948038573167	0.904948038573167	0.62929500983054	0.845356240052429	0.732983803014699	0.845356240052429	0.255523827356989
ZB_4	0.896215083441948	0.0841447430015916	0	0.735848092207825	0.831148253213729	0.0841447430015916	0.622479490914667	0.727363336655677	0.513251041427075	0.726264407472718	0.208975440210585	0.726264407472718	0.622172813003143	0.831148253213729	0.896215083441948	0.0841447430015916	0.726264407472718	0.518387896445092	0.896215083441948	0.831148253213729	0.727363336655677	0.726264407472718	0.555214802320529	0.622479490914667	0.622479490914667	0.0841447430015916	0.658999718878581	0.896215083441948	0.896215083441948	0.595236269774336	0.831148253213729	0.708451532111733	0.831148253213729	0.339668570358581
ZB_5	1	0.758075086602378	0.735848092207825	0	0.561348390931477	0.758075086602378	0.557343139508159	0.67382245232984	1	0.422618601513902	0.856984663086208	0.422618601513902	0.300865800865801	0.561348390931477	1	0.758075086602378	0.422618601513902	0.451525603608384	1	0.561348390931477	0.67382245232984	0.422618601513902	0.406113537117904	0.557343139508159	0.557343139508159	0.758075086602378	0.225361612830698	1	1	0.347392347518626	0.561348390931477	1	0.561348390931477	0.675040085515767
ZB_9	1	0.845356240052429	0.831148253213729	0.561348390931477	0	0.845356240052429	0.681366804416209	0.380671166104237	1	0.574884792626728	0.786540449728612	0.574884792626728	0.553097943722944	0	1	0.845356240052429	0.574884792626728	0.64940302467498	1	0	0.380671166104237	0.574884792626728	0.725868930750862	0.681366804416209	0.681366804416209	0.845356240052429	0.650568181818182	1	1	0.582838742265438	0	1	0	0.792278429276574
ZB_11	0.904948038573167	0	0.0841447430015916	0.758075086602378	0.845356240052429	0	0.654245857129482	0.750304278625597	0.554208407452486	0.749297818556315	0.275535998502013	0.749297818556315	0.653964984552008	0.845356240052429	0.904948038573167	0	0.749297818556315	0.558913023125176	0.904948038573167	0.845356240052429	0.750304278625597	0.749297818556315	0.592641138470181	0.654245857129482	0.654245857129482	0	0.687693099897013	0.904948038573167	0.904948038573167	0.62929500983054	0.845356240052429	0.732983803014699	0.845356240052429	0.255523827356989
ZB_14	0.725088004332521	0.654245857129482	0.622479490914667	0.557343139508159	0.681366804416209	0.654245857129482	0	0.430888792943934	0.863527909399469	0.274911995667479	0.747184700112338	0.274911995667479	0.431626426107721	0.681366804416209	0.725088004332521	0.654245857129482	0.274911995667479	0.216131599893871	0.725088004332521	0.681366804416209	0.430888792943934	0.274911995667479	0.151229602390255	0	0	0.654245857129482	0.38456676626063	0.725088004332521	0.725088004332521	0.375696471212523	0.681366804416209	1	0.681366804416209	0.535573930266922
ZB_16	0.619328833895763	0.750304278625597	0.727363336655677	0.67382245232984	0.380671166104237	0.750304278625597	0.430888792943934	0	0.841694928468405	0.681366804416209	0.655337296459033	0.681366804416209	0.64940302467498	0.380671166104237	0.619328833895763	0.750304278625597	0.681366804416209	0.43390819846113	0.619328833895763	0.380671166104237	0	0.681366804416209	0.510374104537012	0.430888792943934	0.430888792943934	0.750304278625597	0.725868930750862	0.619328833895763	0.619328833895763	0.326430104811214	0.380671166104237	1	0.380671166104237	0.66460213160625
ZB_17	0.786779376246981	0.554208407452486	0.513251041427075	1	1	0.554208407452486	0.863527909399469	0.841694928468405	0	1	0.384660118893771	1	1	1	0.786779376246981	0.554208407452486	1	0.879958616612474	0.786779376246981	1	0.841694928468405	1	0.874617925839019	0.863527909399469	0.863527909399469	0.554208407452486	1	0.786779376246981	0.786779376246981	0.868247737079454	1	0.401029087472435	1	0.641202404809619
ZB_18	1	0.749297818556315	0.726264407472718	0.422618601513902	0.574884792626728	0.749297818556315	0.274911995667479	0.681366804416209	1	0	0.858454119516672	0	0.275500541125541	0.574884792626728	1	0.749297818556315	0	0.431626426107721	1	0.574884792626728	0.681366804416209	0	0.38456676626063	0.274911995667479	0.274911995667479	0.749297818556315	0.197256988683205	1	1	0.591191297426373	0.574884792626728	1	0.574884792626728	0.663250227937247
