ZB_1	ZB_3	ZB_4	ZB_5	ZB_6	ZB_7	ZB_8	ZB_10	ZB_11	ZB_12	ZB_13	ZB_14	ZB_15	ZB_16	ZB_17	ZB_18	ZB_19	ZB_20	ZB_22	ZB_24	ZB_25	ZB_26	ZB_27	ZB_29	ZB_30	ZB_32	ZB_33	ZB_34	ZB_36	ZB_37	ZB_38	ZB_39	ZB_41	ZB_43	ZB_44	ZB_45	ZB_46	ZB_48	ZB_49	ZB_51	ZB_52	ZB_53	ZB_54	ZB_55	ZB_56	ZB_57	ZB_58	ZB_59	ZB_62	ZB_64
ZB_1	0	0.927877880295638	0.945288299436107	1	0.918272388876724	0.923687477181453	0.914883046651029	1	1	1	1	0.913207045750874	0.737226277372263	1	1	0.940632603406326	0.941605064507658	1	0.926397640434375	0.920372726649346	0.929701951340916	0.918637602179837	0.889136407514665	0.93412592866642	0.944976202510319	0.936027863473875	0.930659961120216	0.929473769451905	0.920372726649346	0.939633844631371	0.940963474291912	0.934651290499726	0.934044782147726	0.920372726649346	0.713390759592796	0.940632603406326	0.920372726649346	1	0.920372726649346	0.920372726649346	0.920372726649346	0.884997699033594	0.924992643523071	0.931688792151172	0.737226277372263	0.935273497497894	1	0.936780531476653	0.936540351012388	1
ZB_3	0.927877880295638	0	0.195691029418869	0.675033339385554	0.519374711645453	0.128538988632742	0.222597737171996	0.538601120688003	0.960846202503338	0.694869021304614	0.700444393143649	0.169032551912606	0.853644061363495	0.960846202503338	0.557492433511495	0.260856963431718	0.190332511971213	0.525785503805889	0.408965750446838	0.0942535557288468	0.286449730045236	0.516259125573317	0.471826261412936	0.336498581849048	0.2370745935473	0.258589133799555	0.149097488746001	0.409135072054713	0.0942535557288468	0.273527158798402	0.181436625128512	0.871814025371885	0.085506386630989	0.0942535557288468	0.868032600219451	0.260856963431718	0.0942535557288468	0.694869021304614	0.0942535557288468	0.0942535557288468	0.0942535557288468	0.904918326926926	0.359554452588446	0.280729497316327	0.853644061363495	0.250528203195487	0.501652784199521	0.26664655167597	0.310240361059162	0.694869021304614
ZB_4	0.945288299436107	0.195691029418869	0	0.604884138729028	0.605153080149514	0.148959474260679	0.12947245017585	0.539102031293291	0.952182530393121	0.633826465463114	0.641826475195462	0.0320812536852333	0.818035178035178	0.952182530393121	0.458635658181875	0.110781680266248	0.348777176190556	0.41040755040755	0.265165165165165	0.111993234234166	0.21603314790774	0.587073743216512	0.50501003425119	0.175066495066495	0.386372251705838	0.286579991185544	0.226716914033214	0.563052623008657	0.111993234234166	0.0967739167739168	0.341622134601697	0.843177109183585	0.264464583228152	0.111993234234166	0.853977666278107	0.110781680266248	0.111993234234166	0.633826465463114	0.111993234234166	0.111993234234166	0.111993234234166	0.881784641784642	0.301045069449977	0.359158702136726	0.818035178035178	0.278167269484219	0.496503385105536	0.294973777016932	0.142419562419562	0.633826465463114
ZB_5	1	0.675033339385554	0.604884138729028	0	0.478260189558635	0.657995308505311	0.622785214901379	0.473761051180144	0.921758892775976	0.134667514040025	0.168799132893966	0.616171326732088	1	0.921758892775976	0.447324147624422	0.574281707006996	0.627213347413827	0.378625899366702	0.483331508376552	0.644646488159219	0.551225221468113	0.480591669910471	0.524178836298965	0.532227829848594	0.648734310504591	0.591609127858577	0.557341047365662	0.549768534139527	0.644646488159219	0.567772827580464	0.623117508162643	0.932569680564267	0.700444393143649	0.644646488159219	1	0.574281707006996	0.644646488159219	0.134667514040025	0.644646488159219	0.644646488159219	0.644646488159219	1	0.521161533879268	0.563908988110412	1	0.705555996777817	0.403594245530174	0.596414075118109	0.547736679301181	0.134667514040025
ZB_6	0.918272388876724	0.519374711645453	0.605153080149514	0.478260189558635	0	0.605709291550838	0.573931842749047	0.571430499507376	0.861334417717163	0.397064343582846	0.372305983921924	0.583108397295061	0.903019778667295	0.861334417717163	0.569511158415636	0.566792310131987	0.384471611490186	0.641271969534657	0.561537891496056	0.593508291041333	0.421873484178389	0.181891690605384	0.500904268959281	0.590506990147101	0.326741639289024	0.466620335270828	0.41015208149057	0.137057481813397	0.593508291041333	0.577990436458562	0.394711902956785	0.863389745248105	0.44583276793226	0.593508291041333	0.850456692420783	0.566792310131987	0.593508291041333	0.397064343582846	0.593508291041333	0.593508291041333	0.593508291041333	0.982041608278538	0.370239576471736	0.286936739125131	0.903019778667295	0.47664476455227	0.649737492070776	0.456380043804229	0.563837968683023	0.397064343582846
ZB_7	0.923687477181453	0.128538988632742	0.148959474260679	0.657995308505311	0.605709291550838	0	0.103439211391019	0.513887205999165	0.958749007095063	0.679895403553566	0.686025902379123	0.120752099306316	0.845140562248996	0.958749007095063	0.533593967407166	0.217911646586345	0.234792228908594	0.498232931726908	0.374625775830595	0.0416283315078496	0.251695558493707	0.602687220958639	0.443535683993699	0.297948156261409	0.278967652261815	0.161708535331277	0.260987051299102	0.498778535927892	0.0416283315078496	0.231317999269807	0.226384824827991	0.864891097038681	0.200466626461254	0.0416283315078496	0.860365096750639	0.217911646586345	0.0416283315078496	0.679895403553566	0.0416283315078496	0.0416283315078496	0.0416283315078496	0.899393939393939	0.328727928233109	0.379955411770622	0.845140562248996	0.151823316652628	0.472698064987222	0.171571503753486	0.270164293537788	0.679895403553566
ZB_8	0.914883046651029	0.222597737171996	0.12947245017585	0.622785214901379	0.573931842749047	0.103439211391019	0	0.559140234887159	0.954400690537846	0.649252268872355	0.656599204747696	0.0992809691285658	0.827273911910347	0.954400690537846	0.483978763507476	0.127679502215272	0.313944717300568	0.440342389887933	0.30247426374772	0.145067542898868	0.241533219320066	0.570666211526427	0.486254079839317	0.216950091217097	0.353550669699267	0.248420743352431	0.251492756773344	0.533474048817449	0.145067542898868	0.142632590565546	0.306406968467909	0.893445526374762	0.286762063146865	0.145067542898868	0.844254951785249	0.127679502215272	0.145067542898868	0.649252268872355	0.145067542898868	0.145067542898868	0.145067542898868	0.932692457991403	0.265814075039531	0.326658778556476	0.827273911910347	0.23955804389833	0.520321131548595	0.257263494099073	0.185960711493354	0.649252268872355
ZB_10	1	0.538601120688003	0.539102031293291	0.473761051180144	0.571430499507376	0.513887205999165	0.559140234887159	0	0.788446395762247	0.40004175905028	0.368563389244062	0.551727805867378	1	0.788446395762247	0.297404063205418	0.505023059877379	0.531667141603947	0.372838505275061	0.468767789213073	0.494487340132864	0.525468233682381	0.455671153146599	0.110863592485335	0.458552462526767	0.558703984500042	0.486937466333676	0.631028746534365	0.434373017693979	0.494487340132864	0.497803376365442	0.526521527911154	0.853668337669905	0.471032968142576	0.494487340132864	1	0.505023059877379	0.494487340132864	0.40004175905028	0.494487340132864	0.494487340132864	0.494487340132864	1	0.495607855298551	0.538134834651308	1	0.480887380468711	0.138442816578778	0.492973934294339	0.475641823234208	0.40004175905028
ZB_11	1	0.960846202503338	0.952182530393121	0.921758892775976	0.861334417717163	0.958749007095063	0.954400690537846	0.788446395762247	0	0.818530653942467	0.779087296149102	0.953581735685556	1	0	0.822940218316194	0.948378835996664	0.900922495823346	0.923706129156759	0.936986498575821	0.957102755979923	0.880726724827971	0.861954067730635	0.811899988331265	0.943127610208817	0.906642237385225	0.891459771803536	0.96224857538888	0.880339573239037	0.957102755979923	0.947567914438503	0.89983392270062	0.564609176505754	0.888095117887616	0.957102755979923	1	0.948378835996664	0.957102755979923	0.818530653942467	0.957102755979923	0.957102755979923	0.957102755979923	1	0.872736537647219	0.884097757384421	1	0.890179854332854	0.926889212341025	0.892736808357479	0.945067455515217	0.818530653942467
ZB_12	1	0.694869021304614	0.633826465463114	0.134667514040025	0.397064343582846	0.679895403553566	0.649252268872355	0.40004175905028	0.818530653942467	0	0.0394433577933646	0.643540965593022	1	0.818530653942467	0.336765551461976	0.607691377433789	0.569198361745758	0.447324147624422	0.531729849695964	0.668230571571021	0.500995936578759	0.399758660957571	0.456515473574234	0.572253858895857	0.59406852834639	0.545371507382964	0.585869997020558	0.479701186346888	0.668230571571021	0.602170647208511	0.580066044219455	0.818318863543833	0.640520574825417	0.668230571571021	1	0.607691377433789	0.668230571571021	0	0.668230571571021	0.668230571571021	0.668230571571021	1	0.446642216847409	0.496042250851357	1	0.646654715846561	0.467164899241359	0.533605947505641	0.585259053280915	0
