 OTUID	FS0916	CS0908	QQ0718	CS0617	JZ0520	JZ0701	FS0610	FS0702	QH0615	BJ0815	BJ0613	FS0617	FS0716	WZ0519	WZ0728	QH0720	BJ0718	QQ0627	QH0714	CS0715	WZ0630	FS0729	QH0518	QH0601	QQ0829	JZ0729	CS0701	BJ0606	WZ0811	WZ0825	FS0819	QQ0801	WZ0602	BJ0704	WZ0616	QH0525	FS0527	JZ0715	JZ0916	JZ0617	QH0803	JZ0603	CS0825	QH0817	CS0520	BJ0530	CS0527	BJ0516	QQ0615	WZ0714	QQ0913	QQ0815	BJ0919	QQ0926	JZ0527	WZ0505	JZ0819	QQ0710	BJ0801	FS0520	WZ0915	CS0603	QH0629	CS0917
OTU_30	2479	6	16	3	0	8	682	168	4	3	3	104	209	0	17	17	1	35	28	6	9	221	29	73	111	11	3	2	54	80	1023	43	0	3	0	22	6	7	3	2	3	653	0	5	0	4	4	1	26	17	107	69	2	113	373	0	0	7	6	619	16	0	28	10
OTU_38	0	252	17	1914	3	49	1	0	0	193	539	0	0	0	0	0	0	35	0	2127	0	0	0	1	233	0	957	203	0	0	0	28	0	245	0	0	1	57	24	8	0	0	323	0	316	428	1953	141	10	0	42	113	24	209	0	0	16	11	123	0	0	911	0	245
OTU_94	0	1	209	1	44	131	0	0	1	14	162	1	0	4	0	0	78	252	0	0	0	0	0	0	81	13	4	144	0	0	0	189	20	30	0	0	228	28	9	267	0	0	0	0	3	39	9	109	81	1	239	73	312	101	0	0	11	146	59	0	0	2	0	0
OTU_60	2	44	188	902	0	0	0	0	0	1	16	0	0	0	0	0	13	188	0	342	0	1	0	0	279	2	621	14	0	0	1	627	0	1	1	0	0	3	7	1	1	1	81	0	277	6	299	2	138	0	367	182	15	243	0	0	3	77	22	1	0	274	0	134
OTU_28	0	0	2	0	991	0	91	16	0	0	0	1	0	0	70	1	0	0	0	0	1147	0	0	50	0	3	1	227	5	183	0	1	16	3	600	0	0	924	0	1348	0	679	0	0	0	2	0	530	0	0	0	0	31	2	0	5	1645	0	6	0	520	0	0	0
OTU_36	0	4	0	3	271	1322	1	0	2	60	40	0	0	0	0	0	93	0	0	2	11	1	0	0	0	1387	7	51	0	0	0	0	5	52	353	0	1227	1691	3	500	0	0	3	0	1	28	3	33	0	0	0	1	26	0	0	0	86	0	138	0	0	2	0	9
OTU_67	0	0	0	0	171	0	499	0	0	0	0	0	0	0	1261	0	0	0	0	0	77	0	0	495	0	1	0	123	181	75	0	0	2	0	107	0	0	223	0	164	0	0	0	3	18	103	0	344	0	3	0	59	0	0	0	0	310	0	0	0	44	0	0	0
OTU_19	1119	8	21	22	1	8	2835	312	2	2	7	252	194	0	321	1	7	80	8	12	85	289	1	16	105	12	7	14	487	808	692	29	5	4	24	11	6	9	9	4	3	1754	3	1	0	13	11	7	71	436	78	72	8	64	1338	0	3	16	12	3329	107	1	6	10
OTU_27	0	0	3749	0	59	0	33	92	5600	1	0	299	0	0	0	519	0	0	1	0	0	14	20	64	2489	0	0	619	0	0	2	0	0	22	3	0	0	0	0	0	1235	1144	0	799	1	144	0	2	1047	0	0	1460	4317	4213	3	0	0	1529	0	0	1	2459	4697	0
OTU_15	644	201	595	1289	1	0	162	826	0	0	0	622	992	0	1	0	0	1062	0	1282	2	595	1	3	350	1	1403	5	1	0	424	495	0	0	0	1	0	0	1	0	2	217	375	0	334	0	631	0	740	0	547	346	0	359	220	0	0	350	0	92	0	470	0	718
OTU_754	654	3	65	0	0	0	12	215	1920	0	0	111	602	0	0	1247	0	66	4695	4	1	1300	1804	619	97	4	1	1	1	1	1623	113	0	0	2	3959	0	2	33	1	530	14	1	1026	0	0	1	0	52	0	74	94	0	55	3	0	2	30	0	18	7	2	1870	4
OTU_202	0	10	0	4	6	0	2	0	0	7886	11	2	0	0	111	2	8	1	2	4	54	0	3	0	0	3	1	0	22	6	0	214	3	39	0	0	7	0	0	0	1	0	1	1	1	486	0	3	0	65	20	456	4	0	1	6	0	85	0	1	0	13	5	2
OTU_273	0	67	1	31	0	0	0	0	3	17	18	0	0	0	0	46	33	0	2	22	0	0	2	1	0	0	4	11	0	0	0	0	0	8	0	3	0	0	0	0	42	0	34	0	7	16	42	4	0	0	0	0	0	0	0	0	0	0	1	0	0	10	4	19
OTU_29	0	219	15	281	58	361	0	0	3	470	539	0	0	1	0	27	733	74	16	225	0	0	16	9	38	240	239	1353	0	0	0	41	8	522	2	11	169	201	61	121	4	0	162	5	67	1280	412	1102	15	0	62	105	566	122	0	1	75	10	581	0	0	189	3	255
OTU_46	1	46	1	1	448	0	169	0	0	3	0	5	0	0	27	0	0	0	0	0	2	0	0	114	0	0	0	96	44	1313	0	0	11	0	528	0	1	364	0	786	0	83	0	0	1249	3	8	56	2	1	0	73	2	1	2	5	855	18	6	465	492	0	0	0
OTU_152	150	0	0	1	0	4	805	1443	6	1	0	1816	934	0	0	3	0	0	0	0	1	252	0	1	0	9	0	0	0	0	201	0	3	0	2	1	1	5	13	1	0	1284	0	0	0	2	0	0	0	0	0	1	2	0	1580	0	7	0	0	484	1	0	4	0
OTU_105	718	123	100	645	0	0	198	815	0	0	0	651	1035	0	1	0	0	86	3	671	0	526	7	1	105	1	629	1	0	0	434	98	0	0	0	5	0	0	0	0	5	234	262	1	165	0	360	0	43	0	123	109	0	73	216	0	1	49	0	80	0	213	1	554
OTU_596	0	0	0	0	0	0	0	0	0	0	0	0	0	27	2	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	12	0	15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	2	0	0	0
OTU_69	0	0	0	0	102	142	0	0	0	0	0	0	0	821	1	0	0	0	0	0	53	0	0	0	0	48	0	0	0	2	0	0	456	0	158	0	86	31	0	90	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1078	2	0	0	0	117	0	0	0
OTU_21	14	127	0	344	0	0	5	109	1	0	0	25	51	0	708	0	0	0	0	1173	2031	84	0	1	0	3	668	0	1042	159	65	0	0	0	22	0	0	784	2796	0	0	18	279	0	209	0	887	0	0	1218	0	1	0	0	3	1	1887	0	0	29	29	522	0	344
OTU_100	0	91	37	224	0	8	1	2	10	0	15	1	2	0	0	15	3	53	20	304	0	2	23	7	38	47	239	6	0	0	1	58	0	0	0	16	0	44	186	0	44	4	185	6	92	2	178	3	32	0	60	20	0	40	2	0	199	24	1	4	0	163	7	357
OTU_164	0	0	36	0	0	0	0	11	64	0	0	7	0	0	0	21	0	0	0	0	0	1	4	467	20	54	0	0	0	0	0	0	0	0	0	21	0	0	0	0	50	5	0	0	0	0	0	0	277	0	0	17	0	0	0	0	0	33	0	0	0	0	163	0
OTU_315	91	0	2	0	0	0	7	6	0	1	2	6	11	0	0	0	1	5	0	0	0	13	0	0	1	0	0	5	0	4	28	4	0	5	0	0	0	0	0	0	0	11	0	0	0	3	0	2	0	1	2	1	1	2	8	0	0	2	4	21	1	0	0	1
OTU_3	0	2	14	1	0	0	0	0	0	3082	1892	0	0	0	1	0	6865	0	8	0	0	0	1	0	0	20	0	2874	0	0	0	1	0	7924	0	0	0	0	0	0	0	0	0	0	0	3026	1	3598	0	0	0	2	1237	3	0	0	0	0	2519	0	0	1	0	0
OTU_84	0	27	3	55	3	81	0	0	0	70	421	0	0	0	0	0	192	0	0	63	0	0	0	0	0	138	114	375	0	0	0	1	2	56	1	0	15	187	120	94	0	0	8	0	29	126	54	132	0	1	0	0	549	1	0	0	143	0	514	0	0	60	0	103
OTU_348	0	0	0	0	0	0	0	0	0	0	0	0	0	39	5	0	0	0	1	0	40	0	0	0	0	0	0	0	4	2	0	0	40	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	46	0	0	0	0	59	0	0	0
OTU_11	5	31	684	96	233	855	2	1	3	66	81	1	4	43	51	1	98	1549	1	70	413	1	0	6	1999	414	143	129	199	75	6	2035	268	77	500	2	225	1259	245	482	2	1	46	0	35	263	97	71	1601	359	1495	849	33	781	0	0	132	556	157	5	141	65	3	40
OTU_22	1	0	0	0	13	1	0	0	0	0	0	0	0	1984	135	0	0	0	0	0	802	0	0	0	0	0	0	0	216	103	0	0	1290	0	532	0	1	1	0	0	0	0	0	0	0	0	0	0	0	171	0	0	0	0	0	2802	3	0	0	0	601	0	0	0
OTU_44	258	9	121	160	25	203	415	338	0	1	4	364	732	0	0	0	0	207	1	51	2	233	0	1	215	253	59	2	0	0	304	63	0	0	0	0	40	146	390	27	0	173	5	0	0	0	14	0	10	0	105	52	0	106	208	0	178	45	0	177	2	31	0	20
OTU_559	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_45	15	279	2633	0	1067	0	0	3554	22	0	2	109	0	0	169	35	0	0	1	0	7	509	1	2113	1181	294	1	34	513	1054	78	2786	7	54	1035	157	1842	713	0	1774	378	393	0	10486	0	57	0	757	5193	62	0	443	1073	13	417	0	20	6208	1	51	842	0	390	1
OTU_324	0	0	0	0	547	406	0	0	2	1	0	0	0	379	7	0	1	0	0	2	59	0	0	0	0	343	3	1	2	3	0	0	260	3	86	0	290	149	24	417	0	0	0	0	0	0	1	0	0	5	0	0	0	0	0	460	32	0	1	2	44	0	0	0
OTU_338	4	0	0	7	11	11	54	5	53	1	4	2	1	89	0	24	0	2	54	3	6	1	133	47	16	2	2	3	9	3	2	3	75	0	49	57	23	4	4	2	9	14	0	3	0	0	4	1	0	10	24	14	0	7	21	3	3	0	1	59	10	4	36	9
OTU_4	7	7476	3	0	3250	0	1527	53	49	0	2	3970	0	0	1	0	0	1	1	0	0	0	2	15	1	1	2	0	4	876	0	27	25	0	51	3	18	0	0	48	9	274	0	0	3	1269	5	1	388	2	0	76	1	4	104	0	0	192	0	1285	2334	4961	333	18
OTU_18	0	0	0	0	48	41	0	0	0	0	0	0	0	172	10	0	0	0	0	0	7	1	0	0	0	19	0	0	44	20	0	0	120	0	108	0	84	8	1	43	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	135	2	0	0	0	9	0	0	0
OTU_520	0	0	24	0	0	0	0	0	0	1	0	0	1	0	0	0	2	34	0	3	0	1	0	0	8	0	2	7	0	1	0	27	0	4	0	0	0	1	0	1	0	0	1	0	0	1	0	5	1	0	13	3	0	9	1	0	0	3	0	0	0	0	0	0
OTU_411	0	2	0	0	0	0	0	0	54	0	0	0	0	0	0	1590	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	0	0	39	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	76	0
OTU_1098	41	3	231	0	1	2	25	2349	101	27	0	2500	5247	0	0	8	0	0	16	0	0	6909	2	192	103	1	0	45	0	0	4151	437	0	4	0	140	0	2	0	0	12	527	0	9	9	168	0	31	145	0	3	467	68	11	4	0	1	90	91	60	1	4	457	0
OTU_2338	7	113	17	293	1583	3465	0	1	84	160	71	0	0	1949	186	121	299	40	54	206	798	0	57	116	46	2489	118	183	861	134	0	18	1418	320	2460	56	3996	1678	506	2133	275	0	128	15	39	414	562	70	8	1403	68	52	94	68	1	1187	690	10	133	2	94	169	180	148
OTU_127	283	1	0	0	0	0	24	58	0	0	0	96	162	0	0	34	0	0	9	0	0	74	5	7	0	0	0	0	1	0	185	0	0	0	0	10	0	0	13	0	32	59	0	1	0	0	0	0	0	0	0	0	0	0	129	0	3	0	0	50	1	0	14	0
