Sample	T2M	T2M_MAX	T2M_MIN	WS2M	RH2M	PRECTOTCORR	T10M	T10M_MAX	T10M_MIN	WS10M
BJ0516	20.51	38.3	4.79	2.67	38.62	0.53	20.59	36.48	5.42	3.94
BJ0530	20.51	38.3	4.79	2.67	38.62	0.53	20.59	36.48	5.42	3.94
BJ0606	24.97	43.33	13.72	2.06	59.25	3.73	24.76	42.63	14.26	3
BJ0613	24.97	43.33	13.72	2.06	59.25	3.73	24.76	42.63	14.26	3
BJ0704	26.15	36.85	18.19	1.66	70.5	7.01	26.3	36.25	19.04	2.57
BJ0718	26.15	36.85	18.19	1.66	70.5	7.01	26.3	36.25	19.04	2.57
BJ0801	24.16	36.79	10.3	1.77	74.06	6.07	24.48	36.12	10.98	2.79
BJ0815	24.16	36.79	10.3	1.77	74.06	6.07	24.48	36.12	10.98	2.79
BJ0919	21.01	34.74	8.12	1.84	56.75	0.2	21.53	34.1	8.87	2.95
CS0520	21.14	30.59	11.03	1.73	81.56	7.52	21.41	30.4	12.1	2.59
CS0527	21.14	30.59	11.03	1.73	81.56	7.52	21.41	30.4	12.1	2.59
CS0603	26.54	33.06	17.79	2.5	87	8.84	26.69	32.71	18.8	3.73
CS0617	26.54	33.06	17.79	2.5	87	8.84	26.69	32.71	18.8	3.73
CS0701	28.85	34.75	24.26	2.2	84.62	6	29.08	34.61	24.82	3.33
CS0715	28.85	34.75	24.26	2.2	84.62	6	29.08	34.61	24.82	3.33
CS0825	29.29	35.3	18.63	2.17	79.5	0.5	29.54	35.23	18.73	3.34
CS0908	25.49	36.44	16.83	1.9	66.38	0.08	25.78	35.44	16.86	2.97
CS0917	25.49	36.44	16.83	1.9	66.38	0.08	25.78	35.44	16.86	2.97
FS0520	24.65	32.05	14.39	1.93	84.75	12.16	24.8	31.69	14.41	2.82
FS0527	24.65	32.05	14.39	1.93	84.75	12.16	24.8	31.69	14.41	2.82
FS0610	27.63	32.45	24.3	2.16	90.62	13.32	27.8	32.26	24.69	3.22
FS0617	27.63	32.45	24.3	2.16	90.62	13.32	27.8	32.26	24.69	3.22
FS0702	28.99	34.73	24.37	1.96	85.25	6.69	29.26	34.71	25.32	2.97
FS0716	28.99	34.73	24.37	1.96	85.25	6.69	29.26	34.71	25.32	2.97
FS0729	28.99	34.73	24.37	1.96	85.25	6.69	29.26	34.71	25.32	2.97
FS0819	28.42	34.75	24.4	1.91	86.06	8.45	28.62	34.7	24.82	2.9
FS0916	28.25	35.71	21.82	1.66	75.81	2.41	28.62	35.49	22.29	2.59
JZ0520	20.85	32.02	11.25	2.1	77.44	2.23	21.12	31.76	11.58	3.1
JZ0527	20.85	32.02	11.25	2.1	77.44	2.23	21.12	31.76	11.58	3.1
JZ0603	27.19	34.99	18.65	2.27	80.94	7.15	27.35	34.66	19.23	3.34
JZ0617	27.19	34.99	18.65	2.27	80.94	7.15	27.35	34.66	19.23	3.34
JZ0701	29.12	36.63	23.12	2.08	83.31	6.88	29.33	36.34	23.77	3.11
JZ0715	29.12	36.63	23.12	2.08	83.31	6.88	29.33	36.34	23.77	3.11
JZ0729	29.12	36.63	23.12	2.08	83.31	6.88	29.33	36.34	23.77	3.11
JZ0819	30.44	40.02	18.46	2.77	72.19	1	30.38	39.44	18.59	4.07
JZ0916	26.58	38.31	16.68	1.97	51.94	0.18	26.62	37.26	16.98	2.97
QH0518	17.4	31.91	5.72	2.8	56.25	1.62	17.66	31.61	6.37	4.02
QH0525	17.4	31.91	5.72	2.8	56.25	1.62	17.66	31.61	6.37	4.02
QH0601	21.62	32.2	11.14	2.41	75.19	5.6	21.58	32.21	11.6	3.41
QH0615	21.62	32.2	11.14	2.41	75.19	5.6	21.58	32.21	11.6	3.41
QH0629	21.62	32.2	11.14	2.41	75.19	5.6	21.58	32.21	11.6	3.41
QH0714	24.62	31.51	17.44	2.13	83.5	8.6	24.83	31.87	18.6	3.07
QH0720	24.62	31.51	17.44	2.13	83.5	8.6	24.83	31.87	18.6	3.07
QH0803	23.51	34.08	11.55	2.15	78.69	7.22	23.82	34.1	12.4	3.13
QH0817	23.51	34.08	11.55	2.15	78.69	7.22	23.82	34.1	12.4	3.13
QQ0615	20.37	31.97	8.69	2.73	72.75	4.08	20.61	31.65	9.08	3.93
QQ0627	20.37	31.97	8.69	2.73	72.75	4.08	20.61	31.65	9.08	3.93
QQ0710	24.27	32.48	15.56	2.26	77.94	5.74	24.48	32.28	16.39	3.32
QQ0718	24.27	32.48	15.56	2.26	77.94	5.74	24.48	32.28	16.39	3.32
QQ0801	19.71	30.84	5.83	2.73	73.81	2.83	19.94	30.59	6.4	4.02
QQ0815	19.71	30.84	5.83	2.73	73.81	2.83	19.94	30.59	6.4	4.02
QQ0829	19.71	30.84	5.83	2.73	73.81	2.83	19.94	30.59	6.4	4.02
QQ0913	15.05	29.25	1.4	3.11	68.69	0.72	15.27	29.12	1.4	4.57
QQ0926	15.05	29.25	1.4	3.11	68.69	0.72	15.27	29.12	1.4	4.57
WZ0505	19.87	29.15	13.74	2.29	85.75	6.95	19.98	29.83	13.76	2.95
WZ0519	19.87	29.15	13.74	2.29	85.75	6.95	19.98	29.83	13.76	2.95
WZ0602	24.84	31.29	19.02	2.66	90.25	17.05	25.03	31.67	19.18	3.55
WZ0616	24.84	31.29	19.02	2.66	90.25	17.05	25.03	31.67	19.18	3.55
WZ0630	24.84	31.29	19.02	2.66	90.25	17.05	25.03	31.67	19.18	3.55
WZ0714	28.39	34.3	25.01	2.5	85.88	3.01	28.61	34.6	25.37	3.31
WZ0728	28.39	34.3	25.01	2.5	85.88	3.01	28.61	34.6	25.37	3.31
WZ0811	28.56	33.58	24.13	2.27	85.44	2.73	28.73	34.04	24.23	2.95
WZ0825	28.56	33.58	24.13	2.27	85.44	2.73	28.73	34.04	24.23	2.95
WZ0915	25.43	31.12	19.4	3.64	78.69	1.37	25.61	31.42	19.55	4.72
