Sample	MC	GP	MP	AGP	AMP
BJ0516	58.6	10620	6223.32	3.54	2.07444
BJ0530	56.5	10873	6143.245	3.624333333	2.047748333
BJ0606	54.3	11789	6401.427	3.929666667	2.133809
BJ0613	56	12519	7010.64	4.173	2.33688
BJ0704	56	14700	8232	4.9	2.744
BJ0718	55	14800	8140	4.933333333	2.713333333
BJ0801	54	14840	8013.6	4.946666667	2.6712
BJ0815	56	12948	7250.88	4.316	2.41696
BJ0919	55	12015	6608.25	4.005	2.20275
CS0520	58.9	19999	11779.411	2.105157895	1.239938
CS0527	62.1	19253	11956.113	2.026631579	1.258538211
CS0603	61.9	21774	13478.106	2.292	1.418748
CS0617	59.5	18237	10851.015	1.919684211	1.142212105
CS0701	65.6	15451	10135.856	1.626421053	1.066932211
CS0715	72.7	19392	14097.984	2.041263158	1.483998316
CS0825	74.1	26332	19512.012	2.771789474	2.053896
CS0908	71	23555	16724.05	2.479473684	1.760426316
CS0917	71	21256	15091.76	2.237473684	1.588606316
FS0520	69	8778.3	6057.027	1.688134615	1.164812885
FS0527	69.5	9040	6282.8	1.738461538	1.208230769
FS0610	71.1	9734.6	6921.3006	1.872038462	1.331019346
FS0617	72.5	9430.3	6836.9675	1.813519231	1.314801442
FS0702	71.9	10866.4	7812.9416	2.089692308	1.502488769
FS0716	71.9	7544.7	5424.6393	1.450903846	1.043199865
FS0729	71.9	7591.5	5458.2885	1.459903846	1.049670865
FS0819	57	10562.3	6020.511	2.031211538	1.157790577
FS0916	77.6	10217.84	7929.04384	1.964969231	1.524816123
JZ0520	59.8	5166	3089.268	0.6888	0.4119024
JZ0527	59.3	5865	3477.945	0.782	0.463726
JZ0603	56.6	6128.7	3468.8442	0.81716	0.46251256
JZ0617	55.8	4978	2777.724	0.663733333	0.3703632
JZ0701	54.4	4033.4	2194.1696	0.537786667	0.292555947
JZ0715	68.4	6564.9	4490.3916	0.87532	0.59871888
JZ0729	57.9	4398.4	2546.6736	0.586453333	0.33955648
JZ0819	58.8	5331.3	3134.8044	0.71084	0.41797392
JZ0916	58.6	6414.9	3759.1314	0.85532	0.50121752
QH0518	64	2900	1856	0.90625	0.58
QH0525	64	3280	2099.2	1.025	0.656
QH0601	64.5	3832	2471.64	1.1975	0.7723875
QH0615	63.5	3117	1979.295	0.9740625	0.618529688
QH0629	64	3836	2455.04	1.19875	0.7672
QH0714	64	4961	3175.04	1.5503125	0.9922
QH0720	64	5309	3397.76	1.6590625	1.0618
QH0803	65.5	5036	3298.58	1.57375	1.03080625
QH0817	66	5245	3461.7	1.6390625	1.08178125
QQ0615	59.5	3818.5	2272.0075	1.19328125	0.710002344
QQ0627	60.5	3821.5	2312.0075	1.19421875	0.722502344
QQ0710	58.8	4276.5	2514.582	1.33640625	0.785806875
QQ0718	61.2	4407	2697.084	1.3771875	0.84283875
QQ0801	60	4136	2481.6	1.2925	0.7755
QQ0815	56.8	4252.5	2415.42	1.32890625	0.75481875
QQ0829	58.7	4882	2865.734	1.525625	0.895541875
QQ0913	62.7	4484.5	2811.7815	1.40140625	0.878681719
QQ0926	64.1	4915	3150.515	1.5359375	0.984535938
WZ0505	49.5	1411	698.445	0.659760765	0.326581579
WZ0519	60.13333333	1353	813.604	0.632640904	0.380428064
WZ0602	58.8	1958	1151.304	0.902542885	0.530695216
WZ0616	57.1	1571	897.041	0.729327218	0.416445841
WZ0630	59.53333333	1186	706.0653333	0.550593304	0.327786547
WZ0714	60.13333333	1410	847.88	0.654583945	0.393623145
WZ0728	60.16666667	1127	678.0783333	0.523202912	0.314793752
WZ0811	61.76666667	866	534.8993333	0.402035245	0.24832377
WZ0825	61.93333333	579	358.594	0.268797237	0.166475089
WZ0915	62.53333333	2368	1480.789333	1.099329632	0.687447463
